Competition,Location,Last Awards
"<a href=""https://ciderguide.com/cider-competitions/concours-general-agricole/"">Concours Général Agricole</a>","Paris, France",February/March 2024
"<a href=""https://ciderguide.com/cider-competitions/international-cider-awards/"">International Cider Awards</a>","Manchester, England",March 2024
"<a href=""https://ciderguide.com/cider-competitions/japan-cider-cup/"">Japan Cider Cup</a>","Tokyo, Japan",April 2024
"<a href=""https://ciderguide.com/cider-competitions/ciderworld-awards/"">CiderWorld Awards</a>","Frankfurt, Germany",April 2024
"<a href=""https://ciderguide.com/cider-competitions/good-food-awards/"">Good Food Awards</a>","San Francisco, California",April 2024
"<a href=""https://ciderguide.com/cider-competitions/museum-of-cider-competition/"">Museum of Cider International Cider & Perry Competition</a>","Hereford, Herefordshire",May 2024
"<a href=""https://ciderguide.com/glintcap/"">Great Lakes International Cider and Perry Competition (GLINTCAP)</a>","Grand Rapids, Michigan",May 2024
"<a href=""https://ciderguide.com/cider-competitions/british-cider-championships/"">Royal Bath & West Show - British Cider Championships</a>","Shepton Mallet, Somerset",May/June 2024
"<a href=""https://ciderguide.com/cider-competitions/cidercraft-awards/"">Cidercraft Awards</a>","Seattle, Washington",June 2024
"<a href=""https://ciderguide.com/cider-competitions/concours-regional-cidricole-de-bretagne/"">Concours Régional Cidricole de Bretagne</a>","Lorient, Brittany",June 2024
"<a href=""https://ciderguide.com/cider-competitions/royal-three-counties-show/"">Royal Three Counties Show</a>","Malvern, Worcestershire",June 2024
"<a href=""https://ciderguide.com/cider-competitions/concours-des-cidres-de-normandie/"">Concours des Cidres de Normandie</a>","Caen, Normandy",June 2024
"<a href=""https://ciderguide.com/cider-competitions/northwest-cider-cup/"">Northwest Cider Cup</a>","Portland, Oregon",June 2024
"<a href=""https://ciderguide.com/cider-competitions/international-cider-challenge/"">International Cider Challenge</a>","London, England",September 2024
"<a href=""https://ciderguide.com/cider-competitions/nordic-international-cider-awards/"">Nordic International Cider Awards</a>","Riga, Latvia",September 2023
"<a href=""https://ciderguide.com/cider-competitions/sisga-awards/"">Salón Internacional de les Sidres de Gala Awards (SISGA)</a>","Gijón, Asturias",September 2024
"<a href=""https://ciderguide.com/cider-competitions/australian-cider-awards/"">Australian Cider Awards</a>","Melbourne, Victoria",October 2024
"<a href=""https://ciderguide.com/cider-competitions/us-open-cider-championship/"">U.S. Open Cider Championship</a>","Oxford, Ohio",November 2024
"<a href=""https://ciderguide.com/cider-competitions/sagardo-forum/"">Sagardo Forum International Cider Competition</a>","San Sebastián, Basque Country",November/December 2023
