Producer,State,🏆 Winner,🏅 Finalist,Total,First,Last,Years,City,State,Status,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Big B's Hard Cider,Colorado,10,4,14,2016,2022,7,Hotchkiss,Colorado,Active,"<a href=""http://www.bigbs.com/"">Website</a>","<a href=""https://www.facebook.com/visitbigbs"">Facebook</a>","<a href=""https://www.instagram.com/drinkbigbs"">Instagram</a>","<a href=""https://maps.google.com/?cid=78577038036310991"">Google</a>","<a href=""https://www.yelp.com/biz/delicious-orchards-hotchkiss"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33588-d4471856"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-bs-fabulous-juices/100389"">Untappd</a>"
Liberty Ciderworks,Washington,10,1,11,2019,2024,6,Spokane,Washington,Active,"<a href=""http://libertycider.com/"">Website</a>","<a href=""https://www.facebook.com/LibertyCider"">Facebook</a>","<a href=""https://www.instagram.com/libertycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14868081944798289423"">Google</a>","<a href=""https://www.yelp.com/biz/liberty-ciderworks-spokane-3"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g58759-d17373965"">TripAdvisor</a>","<a href=""https://untappd.com/w/liberty-ciderworks/106336"">Untappd</a>"
Eden Ciders,Vermont,8,3,11,2016,2024,5,Newport,Vermont,Active,"<a href=""https://www.edenciders.com/"">Website</a>","<a href=""https://facebook.com/edenspecialtyciders"">Facebook</a>","<a href=""https://www.instagram.com/edenciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1133141626652589768"">Google</a>","<a href=""https://www.yelp.com/biz/northeast-kingdom-tasting-center-newport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g57335-d4675348"">TripAdvisor</a>","<a href=""https://untappd.com/w/eden-specialty-ciders/13108"">Untappd</a>"
Gowan's Heirloom Ciders,California,7,1,8,2020,2024,4,Philo,California,Active,"<a href=""http://www.gowansheirloomcider.com/"">Website</a>","<a href=""https://www.facebook.com/gowanscider/"">Facebook</a>","<a href=""https://www.instagram.com/gowanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14585432541984297394"">Google</a>","<a href=""https://www.yelp.com/biz/gowan-s-cider-philo"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g32878-d23631277"">TripAdvisor</a>","<a href=""https://untappd.com/w/gowans-hard-cider/200818"">Untappd</a>"
Snow Capped Cider,Colorado,6,5,11,2021,2024,4,Cedaredge,Colorado,Active,"<a href=""http://www.snowcappedcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowcappedcider/"">Facebook</a>","<a href=""https://www.instagram.com/snowcappedcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=373602255640136887"">Google</a>",,,"<a href=""https://untappd.com/w/snow-capped-cider/130549"">Untappd</a>"
Champlain Orchards,Vermont,6,3,9,2020,2024,5,Shoreham,Vermont,Active,"<a href=""https://www.champlainorchards.com/"">Website</a>","<a href=""https://www.facebook.com/ChamplainOrchards/"">Facebook</a>","<a href=""https://www.instagram.com/champlainorchards/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12438523521595198148"">Google</a>","<a href=""https://www.yelp.com/biz/champlain-orchards-shoreham-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57398-d9867509"">TripAdvisor</a>","<a href=""https://untappd.com/w/champlain-orchards/20547"">Untappd</a>"
Stormalong Cider,Massachusetts,6,2,8,2019,2023,5,Sherborn,Massachusetts,Active,"<a href=""https://www.stormalong.com/"">Website</a>","<a href=""https://www.facebook.com/stormalongcider/"">Facebook</a>","<a href=""https://www.instagram.com/stormalongcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9791117786097773397"">Google</a>",,,"<a href=""https://untappd.com/w/stormalong-cider/182598"">Untappd</a>"
Finnriver Farm & Cidery,Washington,5,5,10,2016,2022,6,Chimacum,Washington,Active,"<a href=""https://www.finnriver.com/"">Website</a>","<a href=""https://www.facebook.com/finnriver"">Facebook</a>","<a href=""https://www.instagram.com/finnriver/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1802892066987578987"">Google</a>","<a href=""https://www.yelp.com/biz/finnriver-farm-and-cidery-chimacum"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g58399-d10595866"">TripAdvisor</a>","<a href=""https://untappd.com/w/finnriver-farm-and-cidery/3008"">Untappd</a>"
Wise Bird Cider,Kentucky,5,2,7,2021,2024,4,Lexington,Kentucky,Active,"<a href=""https://www.wisebirdcider.com/"">Website</a>","<a href=""https://www.facebook.com/wisebirdciderco"">Facebook</a>","<a href=""https://www.instagram.com/wisebirdcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15445502611486474709"">Google</a>","<a href=""https://www.yelp.com/biz/wise-bird-cider-lexington-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g39588-d17700703"">TripAdvisor</a>","<a href=""https://untappd.com/WiseBirdCiderCo"">Untappd</a>"
Fable Farm Fermentory,Vermont,5,1,6,2018,2023,4,Royalton,Vermont,Active,"<a href=""http://fablefarmfermentory.com/"">Website</a>",,"<a href=""https://www.instagram.com/fablefarm"">Instagram</a>","<a href=""https://maps.google.com/?cid=14696832772230359937"">Google</a>",,,"<a href=""https://untappd.com/w/fable-farm-and-fermentory/169332"">Untappd</a>"
Lassen Traditional Cider,California,5,1,6,2018,2023,5,Chico,California,Active,"<a href=""https://www.lassencider.com/"">Website</a>","<a href=""https://www.facebook.com/lassencider/"">Facebook</a>","<a href=""https://www.instagram.com/lassencider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10315637006146688710"">Google</a>",,,"<a href=""https://untappd.com/w/lassen-traditional-cidery/297567"">Untappd</a>"
Castle Hill Cider,Virginia,4,3,7,2017,2023,3,Keswick,Virginia,Active,"<a href=""http://www.castlehillcider.com/"">Website</a>","<a href=""https://www.facebook.com/CastleHillCider"">Facebook</a>","<a href=""https://www.instagram.com/castlehillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4112176064200176389"">Google</a>","<a href=""https://www.yelp.com/biz/castle-hill-cider-keswick"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57873-d2359755"">TripAdvisor</a>","<a href=""https://untappd.com/w/castle-hill-cider/18303"">Untappd</a>"
Far West Cider,California,4,2,6,2017,2019,3,Richmond,California,Active,"<a href=""http://farwestcider.com/"">Website</a>","<a href=""https://www.facebook.com/FarWestCider/"">Facebook</a>","<a href=""https://www.instagram.com/farwestcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3187943752465403398"">Google</a>","<a href=""https://www.yelp.com/biz/far-west-cider-co-richmond"">Yelp</a>",,"<a href=""https://untappd.com/FarWestCiderCo"">Untappd</a>"
Farmstead Cider,Wyoming,3,2,5,2021,2024,3,Jackson,Wyoming,Active,"<a href=""https://farmsteadwyo.com/"">Website</a>","<a href=""https://www.facebook.com/farmsteadcider"">Facebook</a>","<a href=""https://www.instagram.com/farmsteadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17159845861173496600"">Google</a>",,,"<a href=""https://untappd.com/w/farmstead-cider/430386"">Untappd</a>"
Stem Ciders,Colorado,3,2,5,2018,2023,3,Denver,Colorado,Active,"<a href=""http://stemciders.com/"">Website</a>","<a href=""https://www.facebook.com/stemciders/"">Facebook</a>","<a href=""https://www.instagram.com/stemciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14948853403840338868"">Google</a>","<a href=""https://www.yelp.com/biz/stem-ciders-denver"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g33388-d26714132"">TripAdvisor</a>","<a href=""https://untappd.com/w/stem-ciders/102829"">Untappd</a>"
Dragon's Head Cider,Washington,3,1,4,2018,2019,2,Vashon,Washington,Active,"<a href=""http://www.dragonsheadcider.com/"">Website</a>",,"<a href=""https://www.instagram.com/dragonsheadcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2526574753760904159"">Google</a>","<a href=""https://www.yelp.com/biz/dragons-head-cider-vashon"">Yelp</a>",,"<a href=""https://untappd.com/w/dragons-head-cider/36168"">Untappd</a>"
Ethic Ciders,California,3,1,4,2018,2023,3,Petaluma,California,Active,"<a href=""https://ethicciders.com/"">Website</a>",,"<a href=""https://www.instagram.com/ethicciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8690271967777704135"">Google</a>","<a href=""https://www.yelp.com/biz/ethic-ciders-sebastopol"">Yelp</a>",,"<a href=""https://untappd.com/w/ethic-ciders/355517"">Untappd</a>"
Snowdrift Cider Co.,Washington,3,1,4,2016,2017,2,East Wenatchee,Washington,Active,"<a href=""https://www.snowdriftcider.com/"">Website</a>","<a href=""https://www.facebook.com/snowdriftcider"">Facebook</a>","<a href=""https://www.instagram.com/snowdriftciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=18339570792633761066"">Google</a>","<a href=""https://www.yelp.com/biz/snowdrift-cider-east-wenatchee"">Yelp</a>",,"<a href=""https://untappd.com/w/snowdrift-cider-co/8545"">Untappd</a>"
Blue Bee Cider,Virginia,3,0,3,2017,2019,2,Richmond,Virginia,Active,"<a href=""https://www.bluebeecider.com/"">Website</a>","<a href=""https://www.facebook.com/BlueBeeCider"">Facebook</a>","<a href=""https://www.instagram.com/bluebeecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17761175602688407320"">Google</a>","<a href=""https://www.yelp.com/biz/blue-bee-cider-richmond"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60893-d4749979"">TripAdvisor</a>","<a href=""https://untappd.com/w/blue-bee-cider/62200"">Untappd</a>"
Madrone Cellars & Cider,Washington,3,0,3,2020,2023,3,Friday Harbor,Washington,Active,"<a href=""https://madronecellars.com/"">Website</a>","<a href=""https://www.facebook.com/madronecellars"">Facebook</a>","<a href=""https://www.instagram.com/madronecellars_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4819408985436567114"">Google</a>","<a href=""https://www.yelp.com/biz/madrone-cellars-and-cider-friday-harbor"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g60957-d21166624"">TripAdvisor</a>","<a href=""https://untappd.com/MadroneCider"">Untappd</a>"
Shacksbury Cider,Vermont,2,2,4,2016,2019,3,Vergennes,Vermont,Active,"<a href=""http://www.shacksbury.com/"">Website</a>",,"<a href=""https://www.instagram.com/shacksbury/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3671325142868281556"">Google</a>","<a href=""https://www.yelp.com/biz/shacksbury-cider-vergennes"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57429-d12946890"">TripAdvisor</a>","<a href=""https://untappd.com/w/shacksbury-cider/129613"">Untappd</a>"
Gypsy Circus,Tennessee,2,1,3,2020,2022,2,Kingsport,Tennessee,Active,"<a href=""https://gypsycircuscider.com/"">Website</a>","<a href=""https://www.facebook.com/GypsyCircusCider/"">Facebook</a>","<a href=""https://www.instagram.com/gypsycircuscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4520512866262691085"">Google</a>","<a href=""https://www.yelp.com/biz/gypsy-circus-taproom-kingsport"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g55135-d12818214"">TripAdvisor</a>","<a href=""https://untappd.com/w/gypsy-circus-cider-company/226304"">Untappd</a>"
Ragged Hill Cider,Massachusetts,2,1,3,2022,2024,2,West Brookfield,Massachusetts,Active,"<a href=""https://www.raggedhillcider.com/"">Website</a>","<a href=""https://www.facebook.com/RaggedHillCider/"">Facebook</a>","<a href=""https://www.instagram.com/raggedhillcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12743756096350248911"">Google</a>","<a href=""https://www.yelp.com/biz/ragged-hill-orchard-west-brookfield"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g41900-d13976564"">TripAdvisor</a>","<a href=""https://untappd.com/w/ragged-hill-cider-company/339946"">Untappd</a>"
WildCraft Cider Works,Oregon,2,1,3,2018,2020,3,Eugene,Oregon,Active,"<a href=""https://wildcraftciderworks.com/"">Website</a>","<a href=""https://www.facebook.com/WildCraftCiderWorks/"">Facebook</a>","<a href=""https://www.instagram.com/wildcraftcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15001881032430403771"">Google</a>","<a href=""https://www.yelp.com/biz/wildcraft-cider-works-eugene"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g51862-d8277583"">TripAdvisor</a>","<a href=""https://untappd.com/w/wildcraft-cider-works/159780"">Untappd</a>"
Big Fish Cider Co.,Virginia,2,0,2,2018,2019,2,Monterey,Virginia,Active,"<a href=""http://www.bigfishcider.com/"">Website</a>","<a href=""https://www.facebook.com/BigFishCider/"">Facebook</a>","<a href=""https://www.instagram.com/big_fish_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10686446551531832863"">Google</a>","<a href=""https://www.yelp.com/biz/big-fish-cider-monterey"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g57982-d10413095"">TripAdvisor</a>","<a href=""https://untappd.com/w/big-fish-cider-co/202963"">Untappd</a>"
Mawby Vineyards,Michigan,2,0,2,2017,2017,1,Suttons Bay,Michigan,Active,"<a href=""https://mawby.wine/"">Website</a>","<a href=""https://www.facebook.com/MAWBYwinery"">Facebook</a>","<a href=""https://www.instagram.com/mibubbly/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2471409306317185463"">Google</a>","<a href=""https://www.yelp.com/biz/l-mawby-vineyards-suttons-bay"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42743-d2290474"">TripAdvisor</a>","<a href=""https://untappd.com/w/mawby/272550"">Untappd</a>"
The Cider Farm,Wisconsin,2,0,2,2023,2023,1,Mineral Point,Wisconsin,Active,"<a href=""http://www.theciderfarm.com/"">Website</a>","<a href=""https://www.facebook.com/theciderfarm"">Facebook</a>","<a href=""https://www.instagram.com/the_cider_farm"">Instagram</a>","<a href=""https://maps.google.com/?cid=4628939322097981132"">Google</a>","<a href=""https://www.yelp.com/biz/the-cider-farm-madison"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g60859-d23649069"">TripAdvisor</a>","<a href=""https://untappd.com/w/the-cider-farm/235550"">Untappd</a>"
Virtue Cider,Michigan,2,0,2,2020,2020,1,Fennville,Michigan,Active,"<a href=""http://www.virtuecider.com/"">Website</a>","<a href=""https://www.facebook.com/virtuecider"">Facebook</a>","<a href=""https://www.instagram.com/virtuecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8731167836057791034"">Google</a>","<a href=""https://www.yelp.com/biz/virtue-farm-fennville"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g42198-d7159911"">TripAdvisor</a>","<a href=""https://untappd.com/w/virtue-cider/24608"">Untappd</a>"
Argus Cidery,Texas,1,2,3,2016,2019,2,Austin,Texas,Active,"<a href=""http://www.arguscidery.com/"">Website</a>","<a href=""https://www.facebook.com/arguscidery"">Facebook</a>","<a href=""https://www.instagram.com/arguscidery/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/argus-cidery/10075"">Untappd</a>"
Bauman's Cider,Oregon,1,2,3,2022,2024,3,Gervais,Oregon,Active,"<a href=""https://baumanscider.com/"">Website</a>","<a href=""https://www.facebook.com/Baumanscider/"">Facebook</a>","<a href=""https://www.instagram.com/baumanscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10038644588886302965"">Google</a>","<a href=""https://www.yelp.com/biz/baumans-farm-and-garden-gervais"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g51881-d6848567"">TripAdvisor</a>","<a href=""https://untappd.com/w/baumans-cider-company/253872"">Untappd</a>"
KC Wineworks,Missouri,1,2,3,2019,2019,1,Kansas City,Missouri,Active,"<a href=""https://kcwineworks.com/"">Website</a>","<a href=""https://www.facebook.com/kcwineworks"">Facebook</a>","<a href=""https://www.instagram.com/kcwineworks"">Instagram</a>","<a href=""https://maps.google.com/?cid=12253214208142636646"">Google</a>","<a href=""https://www.yelp.com/biz/kc-wineworks-kansas-city"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g44535-d14991755"">TripAdvisor</a>","<a href=""https://untappd.com/w/kc-wineworks/291213"">Untappd</a>"
Scar of the Sea,California,1,2,3,2017,2017,1,Santa Maria,California,Active,"<a href=""http://www.scaroftheseawines.com/"">Website</a>",,"<a href=""https://www.instagram.com/scar_of_the_sea/"">Instagram</a>","<a href=""https://maps.google.com/?cid=7351321639088748491"">Google</a>",,,"<a href=""https://untappd.com/w/scar-of-the-sea-wines/130497"">Untappd</a>"
Troddenvale Cider,Virginia,1,2,3,2022,2022,1,Warm Springs,Virginia,Active,"<a href=""https://www.troddenvale.com/"">Website</a>","<a href=""https://www.facebook.com/troddenvalecider/"">Facebook</a>","<a href=""https://www.instagram.com/troddenvalecider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14366923941014908780"">Google</a>","<a href=""https://www.yelp.com/biz/troddenvale-warm-springs"">Yelp</a>",,"<a href=""https://untappd.com/w/troddenvale/461564"">Untappd</a>"
Art+Science Cider & Wine,Oregon,1,1,2,2016,2021,2,Sheridan,Oregon,Active,"<a href=""https://www.artandsciencenw.com/"">Website</a>",,"<a href=""https://www.instagram.com/art_science_cider_wine/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4459649670680406192"">Google</a>","<a href=""https://www.yelp.com/biz/art-science-cider-and-wine-sheridan"">Yelp</a>",,"<a href=""https://untappd.com/w/art-and-science/220656"">Untappd</a>"
Eve's Cidery,New York,1,1,2,2016,2017,2,Van Etten,New York,Active,"<a href=""http://www.evescidery.com/"">Website</a>","<a href=""https://www.facebook.com/evescidery/"">Facebook</a>","<a href=""https://www.instagram.com/evescidery/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1539722496531765665"">Google</a>",,,"<a href=""https://untappd.com/w/eves-cidery/5396"">Untappd</a>"
Foggy Ridge Cider,Virginia,1,1,2,2016,2018,2,Dugspur,Virginia,Inactive,,,,,,,
Humboldt Cider Company,California,1,1,2,2017,2017,1,Eureka,California,Active,,"<a href=""https://www.facebook.com/HumboldtCider/"">Facebook</a>","<a href=""https://www.instagram.com/humboldtcidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=9833726366522566502"">Google</a>","<a href=""https://www.yelp.com/biz/humboldt-cider-eureka"">Yelp</a>",,"<a href=""https://untappd.com/w/humboldt-cider-company/169054"">Untappd</a>"
James Creek Cider House,North Carolina,1,1,2,2021,2021,1,Cameron,North Carolina,Active,"<a href=""https://jamescreekciderhouse.com/"">Website</a>","<a href=""https://www.facebook.com/jamescreekciderhouse"">Facebook</a>","<a href=""https://www.instagram.com/jamescreekciderhouse/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8654485681895206331"">Google</a>","<a href=""https://www.yelp.com/biz/james-creek-cider-house-cameron"">Yelp</a>",,"<a href=""https://untappd.com/w/james-creek-cider-house/291592"">Untappd</a>"
Mount Diablo Cider Company,California,1,1,2,2024,2024,1,Lafayette,California,Active,"<a href=""https://www.mountdiablocider.com/"">Website</a>","<a href=""https://www.facebook.com/mountdiablocider"">Facebook</a>","<a href=""https://www.instagram.com/mountdiablocider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/mount-diablo-cider-company/527606"">Untappd</a>"
