Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
Cidrerie Château Lézergué,Finistère,16,5,3,24,2017,2024,7,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
Distillerie du Gorvello,Morbihan,14,8,2,24,2017,2024,7,Active,"<a href=""https://www.distilleriedugorvello.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069448008978"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedugorvello.bzh/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13385362377425184430"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-du-gorvello/69203"">Untappd</a>"
Les Vergers de Kermao,Finistère,7,5,2,14,2017,2024,6,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
Cidrerie de Menez-Brug,Finistère,6,6,1,13,2017,2024,5,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
Cidrerie Paul Coïc,Finistère,5,6,1,12,2018,2024,6,Active,"<a href=""https://www.cidrerie-coic.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100053642774962"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=16824628257896189916"">Google</a>",,"<a href=""https://untappd.com/w/paul-coa-c/137165"">Untappd</a>"
Au Pressoir du Bélon,Finistère,4,7,1,12,2017,2024,7,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
Distillerie des Menhirs,Finistère,5,4,1,10,2017,2024,5,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
Maison Kerloïck,Côtes-d'Armor,5,4,0,9,2017,2024,5,Active,"<a href=""https://www.kerloick.bzh/"">Website</a>","<a href=""https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/"">Facebook</a>","<a href=""https://www.instagram.com/maison_kerloick/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8360416368856844083"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-kerloick/400998"">Untappd</a>"
Cidrerie Melenig,Finistère,3,4,2,9,2017,2024,6,Active,,,"<a href=""https://www.instagram.com/cidremelenig/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10374518201153439760"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieMelenig"">Untappd</a>"
Cidre de Brocéliande,Ille-et-Vilaine,6,2,0,8,2018,2024,6,Active,"<a href=""https://cidre-breton.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100064718610464"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedebroceliande/"">Instagram</a>","<a href=""https://maps.google.com/?cid=531489837427288496"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-du-pays-de-broceliande/158895"">Untappd</a>"
Distillerie Warenghem,Côtes-d'Armor,5,2,1,8,2017,2024,6,Active,"<a href=""https://www.distillerie-warenghem.bzh/"">Website</a>","<a href=""https://www.facebook.com/warenghem/"">Facebook</a>",,,,
Cidrerie Manoir du Kinkiz,Finistère,4,3,1,8,2017,2024,7,Active,"<a href=""https://www.kinkiz-terroir.bzh/"">Website</a>","<a href=""https://www.facebook.com/DomaineDuKinkiz/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1999207604560008916"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g187100-d7745799"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/19870"">Untappd</a>"
Cidrerie Des Terroirs,Morbihan,3,3,2,8,2019,2024,5,Active,,,,"<a href=""https://maps.google.com/?cid=1276600632339613858"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-des-terroirs/72347"">Untappd</a>"
Les Celliers Associés,Côtes-d'Armor,4,3,0,7,2018,2023,5,Active,"<a href=""https://www.valderance.com/"">Website</a>","<a href=""https://www.facebook.com/ValdeRance/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=7883069809343472545"">Google</a>",,"<a href=""https://untappd.com/LesCelliersAssocis"">Untappd</a>"
Cidrerie de Rozavern,Finistère,3,3,0,6,2022,2024,3,Active,"<a href=""https://www.rozavern.fr/"">Website</a>","<a href=""https://www.facebook.com/cidreriederozavern"">Facebook</a>","<a href=""https://www.instagram.com/cidrerierozavern"">Instagram</a>","<a href=""https://maps.google.com/?cid=2631934440861688338"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1842069-d6157429"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-rozavern/357316"">Untappd</a>"
Cidrerie Kerné,Finistère,4,1,0,5,2017,2024,4,Active,"<a href=""https://www.cidre-kerne.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerne/"">Facebook</a>","<a href=""https://www.instagram.com/cidrekerne/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10998184529652347583"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-kerne/49751"">Untappd</a>"
Ferme Saint Charles,Loire-Atlantique,3,2,0,5,2019,2021,2,Active,"<a href=""https://www.fermesaintcharles.fr/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100069349890721"">Facebook</a>","<a href=""https://www.instagram.com/ferme_saint_charles/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3373440369955425792"">Google</a>",,"<a href=""https://untappd.com/w/ferme-saint-charles/416358"">Untappd</a>"
Val de la Chèvre,Ille-et-Vilaine,3,1,1,5,2019,2023,4,Active,"<a href=""https://www.cidre-tropee.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100046412293517"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3608898340704275469"">Google</a>",,"<a href=""https://untappd.com/w/le-val-de-la-chevre/172156"">Untappd</a>"
Le Verger de Kernivinen,Côtes-d'Armor,2,1,2,5,2021,2024,3,Active,"<a href=""http://www.cidre-fermier.com/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=4984251969580277806"">Google</a>",,"<a href=""https://untappd.com/w/le-verger-de-kernivinen/412595"">Untappd</a>"
Les Vergers de Kermabo,Morbihan,3,1,0,4,2018,2024,3,Active,"<a href=""https://www.cidre-fermier-morbihan.com/"">Website</a>","<a href=""https://www.facebook.com/vergersdekermabo"">Facebook</a>",,,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1200982-d12593344"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermabo/53393"">Untappd</a>"
Des Bouteilles à l'Amère,Finistère,2,2,0,4,2019,2024,4,Active,"<a href=""https://www.desbouteillesalamere.bzh/"">Website</a>","<a href=""https://www.facebook.com/desbouteillesalamere/"">Facebook</a>","<a href=""https://www.instagram.com/desbouteillesalamere/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3267304468269310183"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d12726387"">TripAdvisor</a>","<a href=""https://untappd.com/DesBouteillesalAmere"">Untappd</a>"
Cidrerie Benoit,Côtes-d'Armor,2,1,1,4,2018,2021,3,Active,"<a href=""https://www.cidreriebenoit.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieBenoit/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=2837012515774011484"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-benoit/548797"">Untappd</a>"
Cidres Kerisac,Loire-Atlantique,1,2,1,4,2019,2024,4,Active,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
Cidrerie & Distillerie de l'Apothicaire,Finistère,0,3,0,3,2021,2022,2,Active,"<a href=""https://www.cidrerie-distillerie.com/"">Website</a>","<a href=""https://www.facebook.com/Cidreriedistilleriedelapothicaire/"">Facebook</a>","<a href=""https://www.instagram.com/apothicaire.cidrerie/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10193719059274362566"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1079425-d17415922"">TripAdvisor</a>","<a href=""https://untappd.com/CidrerieDeLApothicaire"">Untappd</a>"
Cidrerie de Cozmezou,Finistère,0,3,0,3,2023,2024,2,Active,"<a href=""https://cidreriecozmezou.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieCozmezou29/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriedecozmezou/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2123659088104154650"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g19328280-d19325026"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-cozmezou/169471"">Untappd</a>"
Les Vergers de Trévignon,Finistère,0,3,0,3,2023,2023,1,Active,,"<a href=""https://www.facebook.com/profile.php?id=100054464589602"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=1053700222499122570"">Google</a>",,"<a href=""https://untappd.com/w/les-vergers-de-trevignon/433782"">Untappd</a>"
Distillerie Artisanale du Plessis,Finistère,0,2,1,3,2017,2019,3,Active,"<a href=""http://www.distillerie-bretagne.com/"">Website</a>",,,,,
