Year,Category,Producer,Department,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2017,Cidre AOP Cornouaille,Cidrerie de Menez-Brug,Finistère,🥇 Or,Active,"<a href=""https://www.cidrerie-de-menez-brug.com/"">Website</a>","<a href=""https://www.facebook.com/cidreriemenezbrug.fr/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=10640223041696316686"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g666452-d15052081"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-de-menez-brug/150603"">Untappd</a>"
2017,Cidre AOP Cornouaille,Les Vergers de Kermao,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
2017,Cidre Fermier Brut,Maison Kerloïck,Côtes-d'Armor,🥇 Or,Active,"<a href=""https://www.kerloick.bzh/"">Website</a>","<a href=""https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/"">Facebook</a>","<a href=""https://www.instagram.com/maison_kerloick/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8360416368856844083"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-kerloick/400998"">Untappd</a>"
2017,Cidre Fermier Brut,Au Pressoir du Bélon,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
2017,Cidre Fermier Brut,Cidrerie de Tromelin,Finistère,🥈 Argent,Active,"<a href=""https://www.kanarmor-ateliers.fr/nos-prestations/cidrerie/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=14804747814937357332"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-de-tromelin/160083"">Untappd</a>"
2017,Cidre Fermier Demi-Sec,La Maison du Cidre,Morbihan,🥇 Or,Active,"<a href=""https://www.museeducidre.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100054446516930"">Facebook</a>","<a href=""https://www.instagram.com/lamaisonducidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8243314023255302765"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g7221524-d7220846"">TripAdvisor</a>","<a href=""https://untappd.com/w/la-maison-du-cidre/360621"">Untappd</a>"
2017,Cidre Fermier Demi-Sec,Au Pressoir du Bélon,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-belon-bretagne.fr/"">Website</a>","<a href=""https://www.facebook.com/pressoirdubelon/"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=3283810982033688807"">Google</a>",,
2017,Cidre Fermier Demi-Sec,Les Vergers de Kermao,Finistère,🥈 Argent,Active,"<a href=""https://www.cidre-bretagne.com/"">Website</a>",,"<a href=""https://www.instagram.com/kermao.cidre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=11761800243914556755"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735"">TripAdvisor</a>","<a href=""https://untappd.com/w/les-vergers-de-kermao/240565"">Untappd</a>"
2017,Cidre Fermier Demi-Sec,Cidrerie Château Lézergué,Finistère,🥉 Bronze,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2017,Cidre Fermier Doux,Cidrerie Château Lézergué,Finistère,🥇 Or,Active,"<a href=""https://www.chateau-lezergue.com/"">Website</a>","<a href=""https://www.facebook.com/profile.php?id=100066917829363"">Facebook</a>","<a href=""https://www.instagram.com/cidrerie_chateaudelezergue/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8273125568764221419"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246"">Untappd</a>"
2017,Cidre Fermier Doux,Maison Kerloïck,Côtes-d'Armor,🥈 Argent,Active,"<a href=""https://www.kerloick.bzh/"">Website</a>","<a href=""https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/"">Facebook</a>","<a href=""https://www.instagram.com/maison_kerloick/"">Instagram</a>","<a href=""https://maps.google.com/?cid=8360416368856844083"">Google</a>",,"<a href=""https://untappd.com/w/cidrerie-kerloick/400998"">Untappd</a>"
2017,Cidre Artisanal Brut,Cidrerie Kerné,Finistère,🥇 Or,Active,"<a href=""https://www.cidre-kerne.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerne/"">Facebook</a>","<a href=""https://www.instagram.com/cidrekerne/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10998184529652347583"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-kerne/49751"">Untappd</a>"
2017,Cidre Artisanal Brut,Cidre Sorre,Ille-et-Vilaine,🥈 Argent,Active,"<a href=""https://www.cidre-sorre.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieSorre/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriesorre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277478841126723957"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-sorre/16758"">Untappd</a>"
