Year,Category,Medalist,Region,Medal,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2017,Cidre Artisanal ou de Marque Brut,Cidrerie La Ruaudaie,Brittany,🥇 Or,Active,,"<a href=""https://www.facebook.com/Cidrerie.La.Ruaudaie"">Facebook</a>",,"<a href=""https://maps.google.com/?cid=9093489147196571898"">Google</a>",,"<a href=""https://untappd.com/w/la-ruaudaie/92611"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Cidre Fournier,Normandy,🥈 Argent,Active,"<a href=""https://www.cidre-fournier.com/"">Website</a>","<a href=""https://www.facebook.com/cidrefournier"">Facebook</a>","<a href=""https://www.instagram.com/cidrefournier/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13822741997025402443"">Google</a>",,"<a href=""https://untappd.com/w/cidre-fournier/304628"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Cidre Sorre,Brittany,🥈 Argent,Active,"<a href=""https://www.cidre-sorre.fr/"">Website</a>","<a href=""https://www.facebook.com/CidrerieSorre/"">Facebook</a>","<a href=""https://www.instagram.com/cidreriesorre/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3277478841126723957"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidre-sorre/16758"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Cidres Kerisac,Pays de la Loire,🥈 Argent,Active,"<a href=""https://kerisac.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerisac"">Facebook</a>","<a href=""https://www.instagram.com/cidreriekerisac/"">Instagram</a>","<a href=""https://maps.google.com/?cid=14431639837198759734"">Google</a>",,"<a href=""https://untappd.com/w/cidres-kerisac/12846"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Écusson,Île-de-France,🥈 Argent,Active,"<a href=""https://www.cidre-ecusson.com/"">Website</a>","<a href=""https://www.facebook.com/CidreEcusson/"">Facebook</a>","<a href=""https://www.instagram.com/cidreecusson/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12531232480419391978"">Google</a>",,"<a href=""https://untappd.com/w/cidres-ecusson/15641"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Loïc Raison,Brittany,🥈 Argent,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Cidre Séhédic,Brittany,🥉 Bronze,Active,"<a href=""https://www.cidre-sehedic.fr/"">Website</a>","<a href=""https://www.facebook.com/cidresehedic/"">Facebook</a>","<a href=""https://www.instagram.com/cidresehedic"">Instagram</a>","<a href=""https://maps.google.com/?cid=9273404757209871069"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g672967-d12699265"">TripAdvisor</a>","<a href=""https://untappd.com/cidresehedic"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Distillerie des Menhirs,Brittany,🥉 Bronze,Active,"<a href=""https://www.distillerie.bzh/"">Website</a>","<a href=""https://www.facebook.com/distillerie.bzh"">Facebook</a>","<a href=""https://www.instagram.com/distilleriedesmenhirs/"">Instagram</a>","<a href=""https://maps.google.com/?cid=13168987804989415582"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317"">TripAdvisor</a>","<a href=""https://untappd.com/w/distillerie-des-menhirs/91619"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Brut,Loïc Raison,Brittany,🥉 Bronze,Active,"<a href=""https://www.loicraison.fr/"">Website</a>","<a href=""https://www.facebook.com/CidreLoicRaison/"">Facebook</a>","<a href=""https://www.instagram.com/loicraison/"">Instagram</a>","<a href=""https://maps.google.com/?cid=15768587504697904757"">Google</a>",,"<a href=""https://untappd.com/w/loic-raison/18640"">Untappd</a>"
2017,Cidre Artisanal ou de Marque Demi-Sec,Cidrerie Kerné,Brittany,🥇 Or,Active,"<a href=""https://www.cidre-kerne.bzh/"">Website</a>","<a href=""https://www.facebook.com/cidrekerne/"">Facebook</a>","<a href=""https://www.instagram.com/cidrekerne/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10998184529652347583"">Google</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595"">TripAdvisor</a>","<a href=""https://untappd.com/w/cidrerie-kerne/49751"">Untappd</a>"
