Region,Country,🥇 Gold,🥈 Silver,🥉 Bronze,Total
Ontario,Canada,28,16,11,55
New York,United States,13,20,18,51
Wisconsin,United States,14,12,19,45
Oregon,United States,15,17,11,43
Michigan,United States,10,20,12,42
Nebraska,United States,19,14,8,41
Pennsylvania,United States,12,11,17,40
Vermont,United States,14,13,12,39
Washington,United States,13,12,14,39
Virginia,United States,11,13,15,39
California,United States,13,11,14,38
Florida,United States,12,7,12,31
Minnesota,United States,12,5,10,27
Ohio,United States,8,6,11,25
Georgia,United States,7,8,6,21
North Carolina,United States,4,4,8,16
Colorado,United States,3,3,5,11
Quebec,Canada,4,5,1,10
Massachusetts,United States,4,4,1,9
Arizona,United States,5,2,1,8
North Yorkshire,England,3,3,2,8
Kentucky,United States,2,4,2,8
Arkansas,United States,3,3,1,7
Galicia,Spain,2,2,3,7
Navarre,Spain,2,1,3,6
Texas,United States,2,1,3,6
Tennessee,United States,1,1,3,5
Normandy,France,3,1,---,4
Brittany,France,---,3,1,4
Herefordshire,England,1,1,1,3
Maryland,United States,1,1,1,3
Idaho,United States,1,---,2,3
Hawaii,United States,---,3,---,3
New Jersey,United States,---,3,---,3
Utah,United States,---,2,1,3
Örebro,Sweden,1,1,---,2
Illinois,United States,---,1,1,2
Maine,United States,---,1,1,2
New Mexico,United States,---,1,1,2
Tipperary,Ireland,---,1,1,2
Delaware,United States,---,---,2,2
New Hampshire,United States,---,---,2,2
Somerset,England,1,---,---,1
Suffolk,England,1,---,---,1
Capital Region,Iceland,---,1,---,1
Iowa,United States,---,1,---,1
Kalmar,Sweden,---,---,1,1
Total,,245,239,238,722
