competition_id,name,sheet_id,status,notes
australian-cider-awards,Australian Cider Awards,1_6wq9qWjwNNL85E1gtmdoPrw24F-HAj3QwunLXA5kxA,active,
cidercraft-awards,Cidercraft Awards,1s8lpnk4AipJ7CecMwb5xJsz0Zh-6m-bmVHwkCoSl-cc,active,
ciderworld-awards,CiderWorld Awards,1aDe9RCi3hG9C_eWtsvGrPQCk7w_nIbxxEk4chUYlU8I,active,
concours-general-agricole,Concours Général Agricole,1e-wStpxHCRXRDC51J4smdYQHXrjx_QzdX-epz2F0sSw,active,
concours-regional-cidricole-de-bretagne,Concours Régional Cidricole de Bretagne,1J7L_8byA-87idKSIgqJPj90ugQ3GLumNQdo1Jy1P3tY,active,
concours-des-cidres-de-normandie,Concours des Cidres de Normandie,1WlWFWzucO538_joNwtC-T1ugKcMIHb-_C6dbCfVLMV8,active,
glintcap,Great Lakes International Cider and Perry Competition,1f7oB7aSG0EWlplSHJNn6OU5wvbGfMDOew3CRrw-Jua8,active,covers 2005-2023; 2024+ in separate sheets
good-food-awards,Good Food Awards,1W-MQWNsWsrwfIbVYCl0CA80NtresDlawuzcyNoVpNW4,active,
international-cider-awards,International Cider Awards,1z1fgVHluI8XpWPQYKGQS8bErWVpuOnZPO1Ik_Xh67sg,active,
international-cider-challenge,International Cider Challenge,1kWU3b7G72E5w2qKMRjhAyOuYFII7a5Vo7BL1gcHEC98,active,
japan-cider-cup,Japan Cider Cup,1rBNrAcqIo8qBa4O53ZcfmnCEHmuB8Tv00w_W_PQF7e4,active,
museum-of-cider,Museum of Cider International Cider & Perry Competition,1tosOeYHxBMnuHX-Q3uyvKhh22qWULJtON4Mp7CDFCGo,active,
nordic-international-cider-awards,Nordic International Cider Awards,1IxbFhckRRVfKUizm9CaZnBW9lBhUeyEgj9ox4iQHQwc,active,no results since 2023
northwest-cider-cup,Northwest Cider Cup,1AkEE5Eq06nhYWpMUDBHj_jkqKnsu-fCwvOpub1uPs9M,active,formerly Portland International Cider Cup
royal-bath-and-west,Royal Bath & West Show - British Cider Championships,1EBu9UGHuI4UsMgtjK2YBTdyDJlADTO-qGJuw03IeM7c,active,
royal-three-counties,Royal Three Counties Show,110xj3kYie3ds1vMvg6Cl1p3u0OnyuNxb_tPcBv6FUqI,active,
sagardo-forum,Sagardo Forum International Cider Competition,1Vh-JWffrHwqi8eYgpGO5h-U_-y_4vVPGXgsvuW31ZeY,active,biennial - odd years only
sisga,Salón Internacional de les Sidres de Gala (SISGA),13tnPKld3eW9lNr_v1YEa7O8WZ98OugirBTbN28dIQHE,active,
us-open-cider-championship,U.S. Open Cider Championship,1_r3b2oJphkvIVE8o70bvlyRwqwtxCetL16zP1mDfOSU,active,
glintcap-2025,GLINTCAP 2025 Results,1SWb7oa9lBK5rG5bl39yqv_nuOOsO6IpL5OIwKMCWk7w,active,feeds glintcap year 2025
australian-cider-awards-2025,Australian Cider Awards 2025 Results,1J-_P7_OsCJIoiJ-NQP6sV9Vj6_70Rn2gbx879UrYF4Y,active,feeds australian-cider-awards year 2025
