category_raw,style_group,notes
Botanical,Botanical Cider,
Botanical Cider,Botanical Cider,from GLINTCAP Style_Crosswalk
Cider or Perry with Botanicals,Botanical Cider,
Cider with Botanicals,Botanical Cider,
Spiced,Botanical Cider,
Spiced Cider,Botanical Cider,from GLINTCAP Style_Crosswalk
Dessert/Fortified,Fortified Cider,
Fortified,Fortified Cider,
Fortified Cider,Fortified Cider,from GLINTCAP Style_Crosswalk
Pommeau,Fortified Cider,from GLINTCAP Style_Crosswalk
Pommeau de Moins de 3 Ans,Fortified Cider,Bretagne
Pommeau de Plus de 3 Ans,Fortified Cider,Bretagne
Apple and Pear Blends,Fruit Cider,
Berry,Fruit Cider,
Cider or Perry with Fruit,Fruit Cider,
Co-Ferments,Fruit Cider,Cidercraft
Co-Ferments: Fruit / Stone Fruit,Fruit Cider,Cidercraft
FRUIT CIDER – DRY,Fruit Cider,
FRUIT CIDER – SWEET,Fruit Cider,
Flavored Cider,Fruit Cider,
Flavored Cider and Perry,Fruit Cider,
Flavored or Blended Cider,Fruit Cider,
Flavoured Cider,Fruit Cider,
Flavoured Cider and Perry,Fruit Cider,
Flavoured Ciders,Fruit Cider,
Fruit,Fruit Cider,
Fruit Cider,Fruit Cider,from GLINTCAP Style_Crosswalk
Fruit Cider - Dry,Fruit Cider,
Fruit Cider - Sweet,Fruit Cider,
Fruit Cider or Perry,Fruit Cider,
Mixed & Flavoured,Fruit Cider,
Pineapple,Fruit Cider,
Stone Fruit,Fruit Cider,
Tropical,Fruit Cider,Cidercraft
Cider Apple Class - Dry,Heritage Cider,
Cider Apple Class - Medium,Heritage Cider,
Cider Apple Class - Sweet,Heritage Cider,
HEIRLOOM CIDER – DRY,Heritage Cider,GLINTCAP 2025 renamed Heritage to Heirloom
HEIRLOOM CIDER – SWEET,Heritage Cider,GLINTCAP 2025 renamed Heritage to Heirloom
Heritage,Heritage Cider,
Heritage Cider,Heritage Cider,from GLINTCAP Style_Crosswalk
Heritage Cider - Dry,Heritage Cider,from GLINTCAP Style_Crosswalk
Heritage Cider - Medium,Heritage Cider,
Heritage Cider - Sweet,Heritage Cider,from GLINTCAP Style_Crosswalk
High Tannin Dry,Heritage Cider,Cidercraft
High Tannin Sweet,Heritage Cider,Cidercraft
High Tannin – Dry,Heritage Cider,Cidercraft
High Tannin – Sweet,Heritage Cider,Cidercraft
Single Varietal,Heritage Cider,
Single Variety Cider,Heritage Cider,
Tannic Cider - Dry,Heritage Cider,
Tannic Cider - Medium,Heritage Cider,
Tannic Cider - Sweet,Heritage Cider,
Tannin Driven Cider,Heritage Cider,
Tannin Led Cider,Heritage Cider,
Hopped,Hopped Cider,
Hopped Cider,Hopped Cider,from GLINTCAP Style_Crosswalk
Hopped/Herbal Cider,Hopped Cider,from GLINTCAP Style_Crosswalk
Ice Cider,Ice Cider,from GLINTCAP Style_Crosswalk
Ice Cider or Perry,Ice Cider,
Ice Wine,Ice Cider,
Acid Dominant,Modern Cider,
Acid Driven Cider Class,Modern Cider,
Acid Led Cider,Modern Cider,
Brut Sparkling Cider,Modern Cider,
Cidre,Modern Cider,
Dry Cider,Modern Cider,
Dry Sparkling Cider,Modern Cider,
Lighter Strength Cider or Perry,Modern Cider,
MODERN CIDER – DRY,Modern Cider,
MODERN CIDER – SWEET,Modern Cider,
Medium Cider,Modern Cider,
Medium Sparkling Cider,Modern Cider,
Modern,Modern Cider,
Modern Cider,Modern Cider,from GLINTCAP Style_Crosswalk
Modern Cider (Dry),Modern Cider,
Modern Cider (Sweet),Modern Cider,
Modern Cider - Dry,Modern Cider,from GLINTCAP Style_Crosswalk
Modern Cider - Medium,Modern Cider,
Modern Cider - Sweet,Modern Cider,from GLINTCAP Style_Crosswalk
Modern – Sweet,Modern Cider,Cidercraft
Modern-Dry,Modern Cider,Cidercraft
Modern-Sweet,Modern Cider,Cidercraft
New World Cider,Modern Cider,from GLINTCAP Style_Crosswalk
New World Cider - Medium,Modern Cider,
New World Cider - Medium Sweet,Modern Cider,
New World Cider Dry,Modern Cider,
New World Cider MT (Disgorged),Modern Cider,
New World Cider Medium,Modern Cider,
New World Cider Medium Sweet,Modern Cider,
New World Cider Sweet,Modern Cider,
New World Dry Cider,Modern Cider,
New World Medium Cider,Modern Cider,
New World Medium Sweet Cider,Modern Cider,
New World Style Cider,Modern Cider,
New World Sweet Cider,Modern Cider,
Open Apple Class - Dry,Modern Cider,
Open Apple Class - Medium,Modern Cider,
Open Apple Class - Sweet,Modern Cider,
Open Class,Modern Cider,
Open Class Cider,Modern Cider,
Open Class Dry,Modern Cider,
Open Class Medium,Modern Cider,
Open Class Sweet,Modern Cider,
Premium Sparkling Cider,Modern Cider,
Semi-Dry Sparkling Cider,Modern Cider,
Sparkling,Modern Cider,
Still,Modern Cider,
Sweet Cider,Modern Cider,
Sweet Sparkling Cider,Modern Cider,
Modern Perry,Modern Perry,from GLINTCAP Style_Crosswalk
New World Perry,Modern Perry,from GLINTCAP Style_Crosswalk
Natural Asturian Cider,Natural Cider,
Natural Basque Cider,Natural Cider,
Natural Cider,Natural Cider,from GLINTCAP Style_Crosswalk
Naturally Sparkling,Natural Cider,
Naturally Sparkling Cider,Natural Cider,
Sidra Natural,Natural Cider,
Sour Cider,Natural Cider,from GLINTCAP Style_Crosswalk
Spanish Cider,Natural Cider,from GLINTCAP Style_Crosswalk
Alcohol Free,Non-Alcoholic,
Jus de Pomme Petillant,Non-Alcoholic,Bretagne
Jus de Pomme Pétillant,Non-Alcoholic,Bretagne
Jus de Pomme Tranquille,Non-Alcoholic,Bretagne
LOW & NO ALCOHOL CIDER,Non-Alcoholic,
Low & No Cider and Perry,Non-Alcoholic,
Low Alcohol / Alcohol Removed,Non-Alcoholic,Cidercraft
Low Alcohol Cider (1.2-3.5% ABV),Non-Alcoholic,
Low and No Alcohol Cider,Non-Alcoholic,
Low/No Alcohol Cider,Non-Alcoholic,GLINTCAP 2026
No/Low Alc Cider or Perry,Non-Alcoholic,
Non-Alcoholic,Non-Alcoholic,
NonAlcoholic,Non-Alcoholic,
