producer_id,producer_name,wid,awards,medals,first_year,last_year,competitions,town,region,country,latitude,longitude,geo_source,website,google
2-towns-ciderhouse,2 Towns Ciderhouse,,328,307,2012,2024,6,Corvallis,Oregon,USA,44.563505,-123.226185,glintcap_extract,http://www.2townsciderhouse.com/,https://maps.google.com/?cid=10429935694700508047
angry-orchard,Angry Orchard,,243,233,2013,2024,10,Walden,New York,United States,41.587128,-74.221692,glintcap_extract,https://www.angryorchard.com/,https://maps.google.com/?cid=17467507983407382578
uncle-john-s,Uncle John's,,211,192,2005,2023,1,St Johns,Michigan,USA,43.112648,-84.561921,glintcap_extract,,
seattle-cider-company,Seattle Cider Company,,217,188,2015,2024,4,Seattle,Washington,USA,47.560327,-122.337605,glintcap_extract,http://www.seattlecidercompany.com/,https://maps.google.com/?cid=10339393864619567754
bauman-s-cider,Bauman's Cider,,180,157,2016,2024,6,Gervais,Oregon,USA,45.1079661,-122.8693386,glintcap_extract,https://baumanscider.com/,https://maps.google.com/?cid=10038644588886302965
vermont-cider-company,Vermont Cider Company,,145,135,2005,2024,4,Middlebury,Vermont,USA,44.034072,-73.172778,glintcap_extract,http://www.woodchuck.com/,https://maps.google.com/?cid=9402882086420367798
snow-capped-cider,Snow Capped Cider,,172,127,2017,2024,3,Cedaredge,Colorado,USA,38.898619,-107.924961,glintcap_extract,http://www.snowcappedcider.com/,https://maps.google.com/?cid=373602255640136887
haykin-family-cider,Haykin Family Cider,,128,112,2017,2024,1,Aurora,Colorado,USA,39.764391,-104.848127,glintcap_extract,,
vander-mill,Vander Mill,,111,108,2008,2024,3,Grand Rapids,Michigan,USA,42.971697,-85.630719,glintcap_extract,http://vandermill.com/,https://maps.google.com/?cid=6214407049389872858
blake-s-hard-cider-co,Blake's Hard Cider Co.,,115,105,2014,2024,3,Armada,Michigan,USA,42.8503113,-82.9513855,glintcap_extract,http://www.blakeshardcider.com/,https://maps.google.com/?cid=15855146673119620480
sidra-el-gaitero,Sidra El Gaitero,,103,101,2013,2024,8,Villaviciosa,Asturias,Spain,43.4923237,-5.4230532,glintcap_extract,https://www.sidraelgaitero.com/,https://maps.google.com/?cid=15753532318992345137
twin-pines-orchards-cider-house,Twin Pines Orchards & Cider House,,94,91,2011,2023,1,Thedford,Ontario,Canada,43.1877621,-81.8474768999999,glintcap_extract,,
tandem-ciders,Tandem Ciders,,95,89,2009,2024,1,Suttons Bay,Michigan,USA,45.011335,-85.659757,glintcap_extract,,
tieton-cider-works,Tieton Cider Works,,103,86,2011,2024,4,Yakima,Washington,USA,46.615859,-120.521786,glintcap_extract,https://tietonciderworks.com/,https://maps.google.com/?cid=9208093896298438407
small-acres-cyder,Small Acres Cyder,,86,83,2011,2024,3,Borenore,New South Wales,Australia,-33.2818782,148.9909171,glintcap_extract,https://www.smallacrescyder.com.au/,https://maps.google.com/?cid=1497457670374953580
1911-established,1911 Established,,87,79,2015,2024,3,Marietta,New York,USA,42.903744,-76.22158,glintcap_extract,http://1911established.com/,https://maps.google.com/?cid=13706571465768596510
puget-sound-cider-company,Puget Sound Cider Company,,76,76,2019,2024,2,Renton,Washington,USA,47.479856,-122.204573,glintcap_extract,https://www.shopantiques4u.com/puget-sound-cider-co,https://maps.google.com/?cid=8204287304413477076
thornbury-craft-co,Thornbury Craft Co.,,82,76,2013,2024,2,Thornbury,Ontario,Canada,44.5596898,-80.4459883999999,glintcap_extract,https://thornburycraft.com/,https://maps.google.com/?cid=17950053116977107226
virtue-cider,Virtue Cider,,80,76,2013,2023,4,Fennville,Michigan,USA,42.57688,-86.15187,glintcap_extract,http://www.virtuecider.com/,https://maps.google.com/?cid=8731167836057791034
farmhaus-cider-co,Farmhaus Cider Co.,,75,75,2015,2024,1,Hudsonville,Michigan,USA,42.936623,-85.909009,glintcap_extract,,
arsenal-cider-house,Arsenal Cider House,,76,73,2016,2024,3,Pittsburgh,Pennsylvania,USA,40.465108,-79.96092,glintcap_extract,https://www.arsenalciderhouse.com/lawrenceville/,https://maps.google.com/?cid=3302243150360255083
ciderboys,Ciderboys,,76,73,2014,2024,3,Stevens Point,Wisconsin,USA,44.510454,-89.573583,glintcap_extract,http://www.ciderboys.com/,https://maps.google.com/?cid=1756122992587390562
eden-ciders,Eden Ciders,,96,73,2009,2024,4,Newport,Vermont,USA,44.935976,-72.209246,glintcap_extract,https://www.edenciders.com/,https://maps.google.com/?cid=1133141626652589768
gypsy-circus,Gypsy Circus,,79,73,2017,2023,3,Kingsport,Tennessee,USA,36.520022,-82.51794,glintcap_extract,https://gypsycircuscider.com/,https://maps.google.com/?cid=4520512866262691085
sea-cider-farm-ciderhouse,Sea Cider Farm & Ciderhouse,,73,71,2014,2024,3,Saanichton,British Columbia,Canada,48.6036859,-123.396825,glintcap_extract,https://www.seacider.ca/,https://maps.google.com/?cid=689108951249608790
willie-smith-s,Willie Smith's,,71,71,2013,2024,4,Grove,Tasmania,Australia,-42.987793,147.085402,glintcap_extract,https://www.williesmiths.com.au/,https://maps.google.com/?cid=16057012530083496420
cidrerie-milton,Cidrerie Milton,,81,70,2013,2024,4,Sainte-Cécile-de-Milton,Quebec,Canada,45.483424,-72.759531,glintcap_extract,https://cidreriemilton.com/,https://maps.google.com/?cid=9570102942420505240
les-celliers-associ-s,Les Celliers Associés,,71,69,2015,2024,6,,Brittany,France,,,none,https://www.valderance.com/,https://maps.google.com/?cid=7883069809343472545
westons-cider,Westons Cider,,69,69,2009,2024,4,Ledbury,Herefordshire,England,51.994817,-2.512396,glintcap_extract,https://www.westons-cider.co.uk/,https://maps.google.com/?cid=11779156514256391794
aeppeltreow-winery-distillery,AeppelTreow Winery & Distillery,,71,66,2005,2024,2,Burlington,Wisconsin,USA,42.642658,-88.160186,glintcap_extract,http://aeppeltreow.com/,https://maps.google.com/?cid=14330457100802755750
glacial-till-vineyard-winery,Glacial Till Vineyard & Winery,,72,66,2018,2024,3,Ashland,Nebraska,USA,41.038896,-96.368951,glintcap_extract,http://www.glacialtillvineyard.com/,https://maps.google.com/?cid=185099829414435279
northville-winery-and-brewing-company,Northville Winery and Brewing Company,,69,65,2008,2024,1,Northville,Michigan,USA,42.437271,-83.475242,glintcap_extract,,
crispin-cider-company,Crispin Cider Company,,64,62,2006,2021,1,Colfax,California,USA,39.089006,-120.950642,glintcap_extract,,
lobo-cider,Lobo Cider,,62,62,2012,2024,1,,South Australia,Australia,,,none,https://www.lobocider.com.au/,
portland-cider-company,Portland Cider Company,,72,62,2013,2024,5,Clackamas,Oregon,USA,45.415288,-122.572714,glintcap_extract,http://portlandcider.com/,https://maps.google.com/?cid=5897814277091816079
