Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2026,Low Alcohol / Alcohol Removed,Platinum,2 Towns Ciderhouse,N/A Guava Get Down,,Corvallis,OR,
2026,Low Alcohol / Alcohol Removed,Double Gold,Schilling Cider,Excelsior Ground Control,,Auburn,WA,
2026,Low Alcohol / Alcohol Removed,Gold,NoWhere,Alpenglow,,Seattle,WA,
2026,Low Alcohol / Alcohol Removed,Silver,Puget Sound Cider Company,Virginia-Kin,,Renton,WA,
2026,High Tannin – Dry,Platinum,Noble Cider,Porter’s Perfection – Lewis Creek Orchard Reserve,,Asheville,NC,
2026,High Tannin – Dry,Double Gold,Greenwood Cider,Scrumpy,,Seattle,WA,
2026,High Tannin – Dry,Gold,Kristof Farms Cider,Orchard Cider,,Yamhill,OR,
2026,High Tannin – Dry,Silver,Puget Sound Cider Company,Brown Snout,,Renton,WA,
2026,High Tannin – Dry,Judges' Pick,Puget Sound Cider Company,Kingston Blend,,Renton,WA,
2026,High Tannin – Dry,Judges' Pick,Snow Capped Cider,Yarlington Mill,,Cedaredge,CO,
2026,High Tannin – Dry,Judges' Pick,Stray Cider,Good Past Life,,Portland,OR,
2026,High Tannin – Sweet,Platinum,Snow Capped Cider,Ellis Bitter,,Cedaredge,CO,
2026,High Tannin – Sweet,Double Gold,Kristof Farms Cider,Brut,,Yamhill,OR,
2026,High Tannin – Sweet,Gold,Snow Capped Cider,Golden Dabinett,,Cedaredge,CO,
2026,High Tannin – Sweet,Silver,Schilling Cider,Excelsior Imperial Apple,,Auburn,WA,
2026,High Tannin – Sweet,Silver,Snow Capped Cider,Chisel Jersey,,Cedaredge,CO,
2026,Single Varietal,Platinum,Snow Capped Cider,Kingston Black Reserve,,Cedaredge,CO,
2026,Single Varietal,Double Gold,Snow Capped Cider,Harrison Reserve,,Cedaredge,CO,
2026,Single Varietal,Gold,Snow Capped Cider,Esopus Spitzenburg,,Cedaredge,CO,
2026,Single Varietal,Silver,Snow Capped Cider,Elevation Gravenstein,,Cedaredge,CO,
2026,Single Varietal,Judges' Pick,Champlain Orchards,Honeycrisp,,Shoreham,VT,
2026,Single Varietal,Judges' Pick,Eden Specialty Ciders,Harrison 2024,,Newport,VT,
2026,Single Varietal,Judges' Pick,Snow Capped Cider,Medaile d’Or,,Cedaredge,CO,
2026,Perry,Platinum,Ciderboys Cider Co.,Pear Naked,,Stevens Point,WI,
2026,Perry,Double Gold,Snow Capped Cider,Winter Pear,,Cedaredge,CO,
2026,Perry,Gold,Snow Capped Cider,Sparkling Perry,,Cedaredge,CO,
2026,Perry,Silver,Finnriver Farm & Cider,Perry,,Chimicum,WA,
2026,Natural,Platinum,Botanist and Barrel,Foragers Delight Pet Nat,,Cedar Grove,NC,
2026,Natural,Double Gold,Bivouac Ciderworks,Wickson Crab,,San Diego,CA,
2026,Natural,Gold,Kristof Farms Cider,Pet Nat,,Yamhill,OR,
2026,Natural,Silver,Botanist and Barrel,Sugar Hollow Daybreak,,Cedar Grove,NC,
2026,Rosé,Platinum,Snow Capped Cider,Mountain Rose,,Cedaredge,CO,
2026,Rosé,Double Gold,Bauman’s Cider,Mountain Rose,,Gervais,OR,
2026,Rosé,Gold,Black Diamond Cider,2024 Rosé,,Trumansburg,NY,
2026,Rosé,Silver,AVAL Cider,Rosé,,Brooklyn,NY,
2026,Modern-Dry,Platinum,Snow Capped Cider,Platinum Elevation,,Cedaredge,CO,
2026,Modern-Dry,Double Gold,Merridale Cidery,Cowichan Dry,,Cobble Hill,BC,
2026,Modern-Dry,Gold,Snow Capped Cider,Novel,,Cedaredge,CO,
2026,Modern-Dry,Silver,Snow Capped Cider,Bluebird Day,,Cedaredge,CO,
2026,Modern-Dry,Judges' Pick,2 Towns Ciderhouse,Dry Fidelity,,Corvallis,OR,
2026,Modern-Dry,Judges' Pick,Blue Toad Hard Cider,Paddy Green,,Roseland,VA,
2026,Modern-Dry,Judges' Pick,Woodchuck Cider,Pearsecco,,Middlebury,Vermont,
2026,Modern – Sweet,Platinum,Snow Capped Cider,The Russets,,Cedaredge,CO,
2026,Modern – Sweet,Double Gold,Snow Capped Cider,Harrison Reserve,,Cedaredge,CO,
2026,Modern – Sweet,Gold,Snow Capped Cider,6456 Elevation,,Cedaredge,CO,
2026,Modern – Sweet,Silver,Woodchuck Cider,Natures Nectar,,Middlebury,VT,
2026,Modern – Sweet,Judges' Pick,The Old Mine Cider Co.,Handlebar,,Erie,CO,
2026,Modern – Sweet,Judges' Pick,Woodchuck Cider,Amber,,Middlebury,VT,
2026,Modern – Sweet,Judges' Pick,YSLA Craft Cider,Yellow Pear,,Kyiv,Ukraine,
2026,Fruit,Platinum,Starcut Ciders,Rhuby,,Bellaire,MI,
2026,Fruit,Double Gold,Slightly Furry,Purrfectly Pear,,Seattle,WA,
2026,Fruit,Gold,Schilling Cider,Strawbeary Rhube Awakening,,Auburn,WA,
2026,Fruit,Silver,Bauman’s Cider,Peach Raspberry Cider,,Gervais,OR,
2026,Fruit,Judges' Pick,Clarksburg Cider Co.,Lemongrass Rose,,Lancaster,NY,
2026,Fruit,Judges' Pick,Snow Capped Cider,Blueberry Lemondrop,,Cedaredge,CO,
2026,Fruit,Judges' Pick,Yankee Cider Company,White Peach Raspberry,,East Haddam,CT,
2026,Berry,Platinum,Tennessee Cider Company,Black and Blue,,Gatlinburg,TN,
2026,Berry,Double Gold,Portland Cider,Pacific Berry,,Clackamas,OR,
2026,Berry,Gold,Starfall Cider Co,Imperial Raspberry,,Auburn,WA,
2026,Berry,Silver,Puget Sound Cider Company,Blackberry,,Renton,WA,
2026,Berry,Judges' Pick,Bauman’s Cider,Obsidian Blackberry,,Gervais,OR,
2026,Berry,Judges' Pick,Martinelli’s,Berry Blush,,Watsonville,CA,
2026,Berry,Judges' Pick,Tennessee Cider Company,Strawberry,,Gatlinburg,TN,
2026,Stone Fruit,Platinum,Noble Cider,Village Tart,,Asheville,NC,
2026,Stone Fruit,Double Gold,Slightly Furry,Screechy Peach,,Seattle,WA,
2026,Stone Fruit,Gold,Old Mountain Wine Company,Summer Peach,,Gatlinburg,TN,
2026,Stone Fruit,Silver,Puget Sound Cider Company,Cherry,,Renton,WA,
2026,Tropical,Platinum,2 Towns Ciderhouse,Guava Get Down,,Corvallis,OR,
2026,Tropical,Double Gold,Schilling Cider,Excelsior Imperial Mango,,Auburn,WA,
2026,Tropical,Gold,Schilling Cider,Excelsior Imperial Passionfruit,,Auburn,WA,
2026,Tropical,Silver,Tieton Cider Works,Imperial Pink Guava,,Yakima,WA,
2026,Tropical,Judges' Pick,Cider Corps,P.O.G.,,Mesa,AZ,
2026,Tropical,Judges' Pick,Tennessee Cider Company,Pineapple,,Gatlinburg,TN,
2026,Tropical,Judges' Pick,Woodchuck Cider,Pineapple,,Middlebury,CT,
2026,Imperial Cider (Apple Only),Platinum,Martinelli’s,Imperial 1868,,Watsonville,CA,
2026,Imperial Cider (Apple Only),Platinum,Puget Sound Cider Company,Harrison,,Renton,WA,
2026,Imperial Cider (Apple Only),Double Gold,Schilling Cider,Excelsior Imperial Apple,,Auburn,WA,
2026,Imperial Cider (Apple Only),Gold,2 Towns Ciderhouse,Original Cosmic Crisp,,Corvallis,OR,
2026,Imperial Cider (Apple Only),Silver,Schilling Cider,Excelsior Imperial Hyper-Dry,,Auburn,WA,
2026,Imperial Cider (Apple Only),Judges' Pick,Bauman’s Cider,Ashmead’s Kernel,,Gervais,OR,
2026,Imperial Cider (Apple Only),Judges' Pick,Hudson North Cider Co.,Big Apple,,Newburgh,NY,
2026,Imperial Cider (Apple Only),Judges' Pick,Woodchuck Cider,Big Crush,,Middlebury,VT,
2026,Imperial Cider – (Adjuncts),Platinum,Endless Orchard,Boundless Blueberry-Basil,,Chelan,WA,
2026,Imperial Cider – (Adjuncts),Double Gold,Woodchuck Cider,Cheeky Cherry,,Middlebury,CT,
2026,Imperial Cider – (Adjuncts),Gold,Schilling Cider,Excelsior Imperial Mango,,Auburn,WA,
2026,Imperial Cider – (Adjuncts),Silver,Starfall Cider Co,Imperial White Peach,,Auburn,WA,
2026,Imperial Cider – (Adjuncts),Judges' Pick,2 Towns Ciderhouse,Huckleberry Cosmic Crisp,,Corvallis,OR,
2026,Imperial Cider – (Adjuncts),Judges' Pick,Blue Toad Hard Cider,Imperial Paddy Blueberry,,Roseland,VA,
2026,Imperial Cider – (Adjuncts),Judges' Pick,Woodchuck Cider,Sippin’ Citrus,,Middlebury,CT,
2026,Co-Ferments: Fruit / Stone Fruit,Platinum,Snow Capped Cider,Porters & Perry,,Cedaredge,CO,
2026,Co-Ferments: Fruit / Stone Fruit,Double Gold,Snow Capped Cider,Sour Cherry,,Cedaredge,CO,
2026,Co-Ferments: Fruit / Stone Fruit,Gold,Kristof Farms Cider,Noir,,Yamhill,OR,
2026,Co-Ferments: Fruit / Stone Fruit,Silver,Yankee Cider Company,Washington’s Admission Tart Cherry Cider,,East Haddam,CT,
2026,Co-Ferments: Fruit / Stone Fruit,Judges' Pick,Madrone Cellars & Cider,Plum Perry,,Friday Harbor,WA,
2026,Co-Ferments: Fruit / Stone Fruit,Judges' Pick,Snow Capped Cider,Magna Vino,,Cedaredge,CO,
2026,Co-Ferments: Fruit / Stone Fruit,Judges' Pick,Stray Ciders,Song Within a Song,,Portland,OR,
2026,Hopped,Platinum,Champlain Orchards,Citra,,Shoreham,VT,
2026,Hopped,Double Gold,The Old Mine Cider Co.,Colorado Sunshine,,Erie,CO,
2026,Hopped,Gold,Merridale Cidery,Mo’Moro,,Cobble Hill,BC,
2026,Hopped,Silver,Bivouac Ciderworks,Dry Hopped Pear,,San Diego,CA,
2026,Botanical,Platinum,Champlain Orchards,Tuscan Blue,,Shoreham,VT,
2026,Botanical,Double Gold,Schilling Cider,Moon Berries,,Auburn,WA,
2026,Botanical,Gold,Papa Moon Ciders,Apollo Palmer,,Scottsbluff,NE,
2026,Botanical,Silver,White Crow Cider Company,Liv Lav Lem,,Wichita,KS,
2026,Botanical,Judges' Pick,Papa Moon Ciders,Honey Lavender,,Scottsbluff,NE,
2026,Botanical,Judges' Pick,Snow Capped Cider,Plum & Lemongrass,,Cedaredge,CO,
2026,Botanical,Judges' Pick,Soundbite Cider,Cha Cha Chai,,Everett,WA,
2026,Spiced,Platinum,Steelhead Cider,Holy Hell! Raspberry Habanero,,Chelan,WA,
2026,Spiced,Double Gold,Woodchuck Cider,Spiced Apple,,Middlebury,VT,
2026,Spiced,Gold,Smokin Banjo,Sweet Heat,,Gatlinburg,TN,
2026,Spiced,Silver,Atlanta Hard Cider Co.,Tepache,,Marietta,GA,
2026,Spiced,Judges' Pick,Bigfoot Cider Co.,Forest Fire,,Milwaukie,OR,
2026,Spiced,Judges' Pick,Slightly Furry,Cinnabear,,Seattle,WA,
