Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2025,CIDRE AOP CORNOUAILLE,OR,Les Vergers de Kermao,,,,29,
2025,CIDRE DE PAYS EXTRA BRUT,OR,Cidrerie de Rozavern,,,,29,
2025,CIDRE DE PAYS EXTRA BRUT,OR,Cidrerie de l’Apothicaire,,,,29,
2025,CIDRE DE PAYS EXTRA BRUT,OR,Chapron Cidres Sorre,,,,35,
2025,CIDRE DE PAYS EXTRA BRUT,ARGENT,Cidrerie du Pays de Plouay,,,,56,
2025,CIDRE DE PAYS BRUT,OR,Cidrerie La Malvoisine,,,,56,
2025,CIDRE DE PAYS BRUT,OR,Cidrerie de Rozavern,,,,29,
2025,CIDRE DE PAYS BRUT,OR,Terres de la Maison Neuve,,,,56,
2025,CIDRE DE PAYS BRUT,ARGENT,Cidrerie de l’Apothicaire,,,,29,
2025,CIDRE DE PAYS BRUT,ARGENT,Le Verger de Kernivinen,,,,22,
2025,CIDRE DE PAYS BRUT,ARGENT,Cidrerie du Pays de Plouay,,,,56,
2025,CIDRE DE PAYS DEMI-SEC,OR,Cidrerie La Malvoisine,,,,56,
2025,CIDRE DE PAYS DEMI-SEC,OR,Atelier de la Pépie,,,,56,
2025,CIDRE DE PAYS DEMI-SEC,ARGENT,Cidrerie Château de Lezergué,,,,29,
2025,CIDRE DE PAYS DEMI-SEC,BRONZE,Cidrerie du Pays de Plouay,,,,56,
2025,CIDRE DE PAYS DOUX,OR,Chapron Cidres Sorre,,,,35,
2025,CIDRE DE PAYS DOUX,ARGENT,Cidrerie Château de Lezergué,,,,29,
2025,CIDRE IGP EXTRA-BRUT,OR,Cidrerie Yves Maho,,,,56,
2025,CIDRE IGP EXTRA-BRUT,ARGENT,Cidre du Pays de Brocéliande,,,,35,
2025,CIDRE IGP BRUT,OR,Distillerie des Menhirs,,,,29,
2025,CIDRE IGP BRUT,ARGENT,Cidre du Pays de Brocéliande,,,,35,
2025,CIDRE IGP BRUT,ARGENT,Cidrerie Paul Coïc,,,,29,
2025,CIDRE IGP BRUT,ARGENT,Cidrerie Loïc Raison,,,,35,
2025,CIDRE IGP BRUT,BRONZE,La Maison du cidre,,,,56,
2025,CIDRE IGP DEMI-SEC,ARGENT,Cidrerie Guillet Frères,,,,44,
2025,CIDRE IGP DEMI-SEC,ARGENT,Distillerie des Menhirs,,,,29,
2025,CIDRE IGP DEMI-SEC,ARGENT,Maison Kerloïck,,,,22,
2025,CIDRE IGP DEMI-SEC,BRONZE,Cidre du Pays de Brocéliande,,,,35,
2025,CIDRE IGP DOUX,OR,La Maison du cidre,,,,56,
2025,CIDRE IGP DOUX,OR,Cidrerie Kerné,,,,29,
2025,CIDRE ROSE,ARGENT,Cidrerie Guillet Frères,,,,44,
2025,CIDRE ROSE,ARGENT,Cidrerie Val de Rance,,,,22,
2025,POIRÉ,OR,Au Pressoir du Bélon,,,,29,
2025,POIRÉ,ARGENT,Distillerie du Gorvello,,,,56,
2025,CIDRE HOUBLONN É,OR,Les Vergers de Kermao,,,,29,
2025,JUS DE POMME PETILLANT,OR,Cidrerie Val de Rance,,,,22,
2025,JUS DE POMME PETILLANT,OR,La cidrerie du pays de Brocéliande,,,,35,
2025,JUS DE POMME PETILLANT,ARGENT,La Maison du cidre,,,,56,
2025,JUS DE POMME PETILLANT,ARGENT,La Maison du Perguet,,,,29,
2025,POMMEAU DE MOINS DE 3 ANS,OR,Distillerie du Gorvello,,,,56,
2025,POMMEAU DE MOINS DE 3 ANS,ARGENT,Distillerie Paul Coïc,,,,29,
2025,POMMEAU DE MOINS DE 3 ANS,BRONZE,Distillerie des Menhirs,,,,29,
2025,POMMEAU DE PLUS DE 3 ANS,OR,Les Vergers de Kermao,,,,29,
2025,POMMEAU DE PLUS DE 3 ANS,ARGENT,Cidrerie Paul Coïc,,,,29,
2025,EAU DE VIE DE CIDRE DE MOINS DE 4 ANS,OR,Cidrerie Paul Coïc,,,,29,
2025,EAU DE VIE DE CIDRE DE MOINS DE 4 ANS,ARGENT,Distillerie Warenghem,,,,22,
2025,EAU DE VIE DE CIDRE DE PLUS DE 4 ANS,OR,Les Vergers de Kermao,,,,29,
2025,EAU DE VIE DE CIDRE DE PLUS DE 4 ANS,ARGENT,Cidrerie Paul Coïc,,,,29,
