Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2026,Fruit Cider – Sweet,Gold,Endless Orchard Cider,Eternal Sunshine Pineapple-Mango,,,,
2026,Fruit Cider – Sweet,Gold,Starfall Cider Co,Imperial Wild Huckleberry,,,,
2026,Fruit Cider – Sweet,Silver,2 Towns Ciderhouse,Mango Cosmic Crisp,,,,
2026,Fruit Cider – Sweet,Silver,2 Towns Ciderhouse,Raspberry Cosmic Crisp,,,,
2026,Fruit Cider – Sweet,Silver,"ACE Cider I, LLC",ACE IMPERIAL POMEGRANATE,,,,
2026,Fruit Cider – Sweet,Silver,Alchemy Cider Co.,Leviathan Bite,,,,
2026,Fruit Cider – Sweet,Silver,Appalachian Ridge Cidery / Saint Paul Mountain Vineyard,Blackbear,,,,
2026,Fruit Cider – Sweet,Silver,Apple Barn Cider House,Red Lemonhead,,,,
2026,Fruit Cider – Sweet,Silver,Atlanta Hard Cider Co. & Distillery,Tepache,,,,
2026,Fruit Cider – Sweet,Silver,Beak & Skiff Apple Farms,Cranberry,,,,
2026,Fruit Cider – Sweet,Silver,Cambium Cider Co.,Rhubarb,,,,
2026,Fruit Cider – Sweet,Silver,Cider Corps,POG,,,,
2026,Fruit Cider – Sweet,Silver,Cider Hill Cellars,Raspberry Harvest,,,,
2026,Fruit Cider – Sweet,Silver,Cider Hill Cellars,Strawberry Harvest,,,,
2026,Fruit Cider – Sweet,Silver,Cider Hill Cellars,Peach Harvest,,,,
2026,Fruit Cider – Sweet,Silver,Cider Hill Cellars,Blackberry Harvest,,,,
2026,Fruit Cider – Sweet,Silver,Crane’s Winery,All Day Razzé,,,,
2026,Fruit Cider – Sweet,Silver,Crane’s Winery,Plum Lavender,,,,
2026,Fruit Cider – Sweet,Silver,Door Peninsula Winery & Ciders,Strawberry Lemonade Spritz,,,,
2026,Fruit Cider – Sweet,Silver,Flat Rock Cider Company,Blue Ridge Blue,,,,
2026,Fruit Cider – Sweet,Silver,Glacial Till,Strawberry Rhubarb,,,,
2026,Fruit Cider – Sweet,Silver,Glacial Till,Honeydew,,,,
2026,Fruit Cider – Sweet,Silver,Glacial Till,Passion Pineapple,,,,
2026,Fruit Cider – Sweet,Silver,Old Mountain Wine Company,Blackberry,,,,
2026,Fruit Cider – Sweet,Silver,Papa Moon Ciders,Raspberry,,,,
2026,Fruit Cider – Sweet,Silver,Porter’s Hard Cider Company,Cherry Pie,,,,
2026,Fruit Cider – Sweet,Silver,Sapsucker Farms Yellow Belly Cidery,Yellow Belly Rhubarb Cider,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Excelsior Imperial Mango,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Sip Society Elderberry Pear,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Keep It Wild: Black Currant,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Excelsior Imperial Blackberry,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Excelsior Imperial Passionfruit Pineapple,,,,
2026,Fruit Cider – Sweet,Silver,Schilling Cider,Polar Plunge,,,,
2026,Fruit Cider – Sweet,Silver,Second Summit Hard Cider Co.,Cranberry,,,,
2026,Fruit Cider – Sweet,Silver,Sisters Cider House,Huckleberry,,,,
2026,Fruit Cider – Sweet,Silver,Snow Capped Cider,Blueberry Lemondrop,,,,
2026,Fruit Cider – Sweet,Silver,Spy Cider House & Distillery,Conspiracy Theory,,,,
2026,Fruit Cider – Sweet,Silver,Starfall Cider Co,Imperial Raspberry,,,,
2026,Fruit Cider – Sweet,Silver,Starfall Cider Co,Imperial Tart Cherry,,,,
