Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2026,Tannin Driven Cider,Gold,Bauman’s Cider,Kingston Black SV,,Gervais,OR,USA
2026,Tannin Driven Cider,Silver,Isaac Cider,Calculus,,Beaminster,Dorset,England
2026,Tannin Driven Cider,Bronze,Peckham’s Cidery & Orchard,Major Black 2023,,Upper Moutere,,New Zealand
2026,Tannin Driven Cider,Gold,2 Towns Ciderhouse,2025 Kingston Black Single Varietal,,Corvallis,OR,USA
2026,Tannin Driven Cider,Silver,Isaac Cider,Anti-Gravity,,Beaminster,Dorset,England
2026,Tannin Driven Cider,Bronze,Haye Farm Cider,Haye Farm Cider – Sparkling Cornish Cider,,Lostwithiel,Cornwall,England
2026,Tannin Driven Cider,Gold,Annapolis Cider Company,Dore´ du Bassin des Mines,,Wolfville,,Canada
2026,Tannin Driven Cider,Silver,Hogan’s Cider,Hogan’s French Revelation Cider,,Alcester,,England
2026,Tannin Driven Cider,Bronze,English Wine Project,Buck Cider,,Derby,,England
2026,Acid Driven Cider Class,Gold,Small Cider,Buy Up The Sunset,,Uppsala,,Sweden
2026,Acid Driven Cider Class,Silver,Alde Sider,Alde Klassisk,,Nå,,Norway
2026,Acid Driven Cider Class,Bronze,Forbuden Frukt,Skamløs,,Finnøy,,Norway
2026,Acid Driven Cider Class,Gold,2 Towns Ciderhouse,14th Anniversary,,Corvallis,OR,USA
2026,Acid Driven Cider Class,Silver,Bauman’s Cider,Mountain Rose SV,,Gervais,OR,USA
2026,Acid Driven Cider Class,Bronze,Bauman’s Cider,McIntosh SV,,Gervais,OR,USA
2026,Acid Driven Cider Class,Gold,Heineken Beverages SA (Pty) Ltd,Savanna Light,,Gauteng,,South Africa
2026,Acid Driven Cider Class,Silver,C & C Group – Bulmers Ireland,Outcider Irish Cider,,Tipperary,,Ireland
2026,Naturally Sparkling,Gold,Brady’s Lookout Cider,Legana Wild Cuvee 20 MT Cider,,Tasmania,,Australia
2026,Naturally Sparkling,Gold,Bauman’s Cider,Endless Harvest,,Gervais,OR,USA
2026,Naturally Sparkling,Silver,Forty Acres Ltd,Angioletti Selezione Italian Cider,,Trentino,,Italy
2026,Naturally Sparkling,Bronze,Azienda Agricola Substrato,Granato,,Sondrio,,Italy
2026,Perry Cider- Class 4 (2% – 8.5% abv),Gold,Hogan’s Cider,Hogans Classic Perry,,Alcester,,England
2026,Perry Cider- Class 4 (2% – 8.5% abv),Silver,Napton Cidery,Vintage Perry,,Southam,,England
2026,Fruit Flavoured Cider – Berries,Gold,Bauman’s Cider,Loganberry Cider,,Gervais,OR,USA
2026,Fruit Flavoured Cider – Berries,Silver,Tempted Cider,Tempted Strawberry Cider,,Lisburn,,Northern Ireland
2026,Fruit Flavoured Cider – Berries,Gold,Cornish Orchards,Cherry & Blackberry,,Duloe,Cornwall,England
2026,Flavoured – Other Fruit & Flowers,Gold,Stonewell Cider,Rós,,Cork,,Ireland
2026,Flavoured – Other Fruit & Flowers,Silver,Tempted Cider,Tempted Elderflower Cider,,Lisburn,,Northern Ireland
2026,Cider with Botanicals,Gold,Azienda Agricola Ca’ du Ratto,Sidro Autunno,,Genova,,Italy
2026,Ice Cider,Gold,Alde Sider,Alde Issider,,Nå,,Norway
2026,Low & No Cider and Perry,Gold,Peckham’s Cidery & Orchard,Apple Zero,,Upper Moutere,,New Zealand
2026,Low & No Cider and Perry,Silver,Sandford Orchards,Red Zero,,Crediton,Devon,England
2026,Low & No Cider and Perry,Bronze,Tempted Cider,Tempted Low Alcohol Cider,,Lisburn,,Northern Ireland
2026,Open Class Cider,Gold,Annapolis Cider Company,Arctic Kiwi Jr.,,Wolfville,,Canada
2026,Open Class Cider,Silver,Mac Ivors Cider,Mac Ivors Fine Cider Cask 3,,County Armagh,,Northern Ireland
2026,Open Class Cider,Bronze,Alde Sider,Alde Svans,,Nå,,Norway
