Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2026,Dry Cider,First,Pips Cider,,,Dorstone,Herefordshire,
2026,Dry Cider,Second,Robin Bornoff,,,Ross-on-Wye,Herefordshire,
2026,Dry Cider,Third,Austringer Cider,,,Cwmavon,Glamorgan,
2026,Medium Cider,First,Robin Bornoff,,,Ross-on-Wye,Herefordshire,
2026,Medium Cider,Second,Austringer Cider,,,Cwmavon,Glamorgan,
2026,Medium Cider,Third,Pips Cider,,,Dorstone,Herefordshire,
2026,Sweet Cider,First,Llanblethian Orchards,,,Cowbridge,Vale of Glamorgan,
2026,Sweet Cider,Second,Robin Bornoff,,,Ross-on-Wye,Herefordshire,
2026,Sweet Cider,Third,Henhope Cider,,,Upper Dormington,Herefordshire,
2026,Dry Perry,First,Alistair Smith,,,Eastwood,Nottinghamshire,
2026,Dry Perry,Second,Newton Court Cider,,,Leominster,Herefordshire,
2026,Dry Perry,Third,Gregg’s Pit Cider & Perry,,,Much Marcle,Herefordshire,
2026,Medium Perry,First,Gwatkin Cider,,,Abbeydore,Herefordshire,
2026,Medium Perry,Second,Gregg’s Pit Cider & Perry,,,Much Marcle,Herefordshire,
2026,Medium Perry,Third,Alistair Smith,,,Eastwood,Nottinghamshire,
2026,Sweet Perry,First,Rosie’s Triple D Cider,,,Wrexham,Denbighshire,
2026,Sweet Perry,Second,Gregg’s Pit Cider & Perry,,,Much Marcle,Herefordshire,
2026,Sweet Perry,Third,Tom Wallis,,,Winforton,Herefordshire,
2026,Single Variety Cider,First,Brecon Beacons Cider,,,Brecon,Powys,
2026,Single Variety Cider,Second,Butford Organics,,,Bodenham,Herefordshire,
2026,Single Variety Cider,Third,Cydr Ignacow,,,,Poland,
2026,Culinary/Dessert Cider – Dry,First,Newton Court Cider,,,Leominster,Herefordshire,
2026,Culinary/Dessert Cider – Dry,Second,Alistair Smith,,,Eastwood,Nottinghamshire,
2026,Culinary/Dessert Cider – Dry,Third,Gwatkin Cider Co Ltd,,,Abbey Dore,Herefordshire,
2026,Culinary/Dessert Cider – Medium/Sweet,First,Hares Hatch,,,Lugwardine,Herefordshire,
2026,Culinary/Dessert Cider – Medium/Sweet,Second,Gwatkin Cider Co Ltd,,,Abbey Dore,Herefordshire,
2026,Naturally Sparkling Cider,First,Hâld Moed Cidery,,,Fryslân,The Netherlands,
2026,Naturally Sparkling Cider,Second,Llanblethian Orchards,,,Cowbridge,Vale of Glamorgan,
2026,Naturally Sparkling Cider,Third,Roland Woodman,,,Llwynmawr,North Wales,
2026,Naturally Sparkling Perry,First,Gregg’s Pit Cider & Perry,,,Much Marcle,Herefordshire,
2026,Naturally Sparkling Perry,Second,Butford Organics,,,Bodenham,Herefordshire,
2026,Naturally Sparkling Perry,Third,Redvers Cider & Perry,,,Bishops Frome,Herefordshire,
2026,Best Presented Packaged Cider or Perry,First,Newton Court Cider,,,Leominster,Herefordshire,
2026,Best Presented Packaged Cider or Perry,Second,Gwatkin Cider Co Ltd,,,Abbey Dore,Herefordshire,
2026,Best Presented Packaged Cider or Perry,Third,Harry Whiting,,,Taunton,Somerset,
2026,Speciality Cider or Perry,First,Llanblethian Orchards,,,Cowbridge,Vale of Glamorgan,
2026,Speciality Cider or Perry,Second,Little Pomona,,,Bromyard,Herefordshire,
2026,Speciality Cider or Perry,Third,Gwatkin Cider Co Ltd,,,Abbey Dore,Herefordshire,
