Year,Style,Medal,Medalist,Entry,Score,Town,Region,Country
2025,Modern Cider – Sweet,Gold,FX Matt Brewing Co.,McKenzie’s Original,,,New York,
2025,Modern Cider – Sweet,Silver,Thornbury Craft Co.,Premium Apple Cider,,,Ontario,
2025,Modern Cider – Sweet,Bronze,Ciderboys Hard Cider,Ciderboys First Press,,,Wisconsin,
2025,Modern Cider – Dry,Gold,Arsenal Cider House,Tubman’s Tenacity,,,Pennsylvania,
2025,Modern Cider – Dry,Silver,Blue Barn Cidery,Westcider,,,New York,
2025,Modern Cider – Dry,Bronze,"White Winter Mead, Cider, Spirits",Fox Fire,,,Wisconsin,
2025,Heritage Cider,Gold,Arsenal Cider House,Golden Russett,,,Pennsylvania,
2025,Heritage Cider,Silver,Schilling Cider,Excelsior Imperial Apple,,,Washington,
2025,Heritage Cider,Bronze,Penn Brewery,Penn Cider Apple,,,Pennsylvania,
2025,Heritage Cider,Bronze,Vala’s Orchard Cider Co.,Nebraska Heirloom,,,Nebraska,
2025,Traditional Cider,Gold,Country Boy Brewing,Classic Hard Cider,,,Kentucky,
2025,Traditional Cider,Silver,James Werner,Driftless French,,,Wisconsin,
2025,Perry,Gold,Arsenal Cider House,"Alfred’s Pear, Son!",,,Pennsylvania,
2025,Perry,Silver,Ciderboys Hard Cider,Ciderboys Pear Naked,,,Wisconsin,
2025,Perry,Bronze,Papa Moon Ciders,Simply Perry,,,Nebraska,
2025,Apple Pear,Gold,Wyders Cider,Pear,,,Vermont,
2025,Apple Pear,Silver,Thornbury Craft Co.,Thornbury Craft Co. Pear Apple Cider,,,Ontario,
2025,Apple Pear,Silver,Woodchuck Cider,Pearsecco,,,Vermont,
2025,Fruit Cider,Gold,Schilling Cider,Excelsior Imperial Passionfruit Pineapple,,,Washington,
2025,Fruit Cider,Silver,Glacial Till,Apricot Tillarita,,,Nebraska,
2025,Fruit Cider,Bronze,Arsenal Cider House,Lindsey’s Lemon,,,Pennsylvania,
2025,Orange/Blood Orange Cider,Gold,Ciderboys Hard Cider,Ciderboys Grand Mimosa,,,Wisconsin,
2025,Orange/Blood Orange Cider,Silver,Papa Moon Ciders,Moonmosa,,,Nebraska,
2025,Pomegranate Cider,Gold,Glacial Till,Pomegranate,,,Nebraska,
2025,Pomegranate Cider,Silver,ACE Cider,ACE IMPERIAL POMEGRANATE,,,California,
2025,Pomegranate Cider,Bronze,Six Byrd Cider,Prickly Pom,,,Arizona,
2025,Pineapple Cider,Gold,Ciderboys Hard Cider,Ciderboys Pineapple Hula,,,Wisconsin,
2025,Pineapple Cider,Silver,ACE Cider,ACE PINEAPPLE CRAFT CIDER,,,California,
2025,Pineapple Cider,Bronze,Country Boy Brewing,Pineapple Cider,,,Kentucky,
2025,Pineapple Cider,Bronze,Sons of Toil Brewing,Pineapple Cider,,,Ohio,
2025,Cherry Cider,Gold,FX Matt Brewing Co.,McKenzie’s Black Cherry,,,New York,
2025,Cherry Cider,Silver,Ciderboys Hard Cider,Ciderboys Cherry Jubilee,,,Wisconsin,
2025,Cherry Cider,Bronze,Sapsucker Farms Yellow Belly Cidery,Yellow Belly Cherry Cider,,,Minnesota,
2025,Cherry Cider,Bronze,Niagara College Teaching Winery,Cherry Cider,,,Ontario,
2025,Peach Cider,Gold,Blue Barn Cidery,White Peach Mango Jam,,,New York,
2025,Peach Cider,Silver,Country Boy Brewing,Peach Cider,,,Kentucky,
2025,Peach Cider,Bronze,Wölffer Estate Vineyard,Wölffer No. 139 Peach Cider,,,New York,
2025,Cranberry Cider,Gold,Cherry Street Brewing,Cranberry Star,,,Georgia,
2025,Cranberry Cider,Silver,Country Boy Brewing,Cranberry Cider,,,Kentucky,
2025,Cranberry Cider,Bronze,Atlanta Hard Cider Co. & Distillery,Cranberry,,,Georgia,
2025,Fruit & Berry Cider,Gold,Schilling Cider,KIW Black Currant,,,Washington,
2025,Fruit & Berry Cider,Silver,Schilling Cider,Moon Berries,,,Washington,
2025,Fruit & Berry Cider,Bronze,Blue Barn Cidery,Jostaberry Jam,,,New York,
2025,Raspberry Cider,Gold,Sons of Toil Brewing,Red Raspberry Cider,,,Ohio,
2025,Raspberry Cider,Silver,Thornbury Craft Co.,Thornbury Craft Co. Raspberry Apple Cider,,,Ontario,
2025,Raspberry Cider,Bronze,Armageddon Brewing,Ida’s Heart,,,New Jersey,
2025,Strawberry Cider,Gold,Ciderboys Hard Cider,Ciderboys Strawberry Magic,,,Wisconsin,
2025,Strawberry Cider,Silver,Glacial Till,Strawberry Rhubarb,,,Nebraska,
2025,Strawberry Cider,Bronze,Schilling Cider,Strawberry Rhube Awakening,,,Washington,
2025,Blueberry Cider,Gold,Thornbury Craft Co.,Thornbury Craft Co. Wild Blueberry Elderflower Apple Cider,,,Ontario,
2025,Blueberry Cider,Silver,"White Winter Mead, Cider, Spirits",Blueberry Fest Cider,,,Wisconsin,
2025,Blueberry Cider,Bronze,Woodchuck Cider,Blueberry,,,Vermont,
2025,Apple Wine/Ice,Gold,Bold Rock Hard Cider,Imperial Apple,,,Virginia,
2025,Apple Wine/Ice,Silver,Glacial Till,Ice Cider II,,,Nebraska,
2025,Apple Wine/Ice,Bronze,Six Byrd Cider,Pure Liquid Gold(PLG),,,Arizona,
2025,Herbal Cider,Gold,Cider Corps,Mango Foxtrot,,,Arizona,
2025,Herbal Cider,Silver,Armageddon Brewing,Tulsi,,,New Jersey,
2025,Herbal Cider,Bronze,Papa Moon Ciders,Honey Lavender,,,Nebraska,
2025,Hopped Cider,Gold,FIVE MAIDENS CIDER CO,GALACTIC CHARLIE GOES TO IDAHO,,,Pennsylvania,
