name,wid,town,region,country,latitude,longitude,source,website,facebook,instagram,google,untappd,yelp,tripadvisor
10 Barrel Brewing,71,Bend,Oregon,United States,44.056406,-121.328457,world_cider_map,http://www.10barrel.com/,https://www.facebook.com/10BarrelBrewingCompany,https://www.instagram.com/10barrelbrewing/,https://maps.google.com/?cid=16062015194172641850,https://untappd.com/w/10-barrel-brewing-co/3436,https://www.yelp.com/biz/10-barrel-brewing-bend,https://www.tripadvisor.com/Restaurant_Review-g51766-d1873091
101 Cider House,73,Westlake Village,California,United States,34.154101,-118.802575,world_cider_map,https://101cider.com/,https://www.facebook.com/101cider,https://www.instagram.com/101cider/,https://maps.google.com/?cid=12420065000441525891,https://untappd.com/w/101-cider-house/198367,https://www.yelp.com/biz/101-cider-house-westlake-village,
103 Cider,3012,Hällefors,Örebro,Sweden,59.7783518,14.7771663,world_cider_map,https://www.hjulsjo103.se/,https://www.facebook.com/hjulsjo103,https://www.instagram.com/103cider/,https://maps.google.com/?cid=11484495605929490180,https://untappd.com/w/hjulsjo-103/535334,,
12 Bridge Ciderworks,72,Oregon City,Oregon,United States,45.326412,-122.580527,world_cider_map,https://12bridgeciderworks.com/,,https://www.instagram.com/12bridgecider/,https://maps.google.com/?cid=14173322722824131289,https://untappd.com/w/12-bridge-ciderworks/342248,https://www.yelp.com/biz/12-bridge-ciderworks-oregon-city-2,
12 Corners Vineyards,1016,Benton Harbor,Michigan,United States,42.1328817,-86.3767096,world_cider_map,https://12corners.com/,https://www.facebook.com/12CornersVineyards,https://www.instagram.com/12cornersvineyards/,https://maps.google.com/?cid=10832365648470516551,https://untappd.com/b/12-corners-vineyards-big-daddy-s-hard-cider/1252332,https://www.yelp.com/biz/12-corners-vineyards-benton-harbor?,https://www.tripadvisor.com/Attraction_Review-g41983-d5221178
13 Brix Cider Bistro,662,Palisade,Colorado,United States,39.1106652,-108.3518042,world_cider_map,https://www.13brixciderbistro.com/,https://www.facebook.com/13BrixCiderBistro/,https://www.instagram.com/13brixcider/,https://maps.google.com/?cid=13701321241502683638,https://untappd.com/w/13a0-brix/347296,https://www.yelp.com/biz/13-brix-cider-bistro-palisade,https://www.tripadvisor.com/Restaurant_Review-g33585-d12428534
146 Cider,1209,Southampton,Hampshire,England,50.9149027,-1.3335506,world_cider_map,http://146cider.co.uk/,https://www.facebook.com/pages/146-Cider-Company/180886128621951,,,https://untappd.com/brewery/47924,,
1785 Cider,2373,Unterkirnach,Baden-Württemberg,Germany,48.0992298,8.382735,world_cider_map,https://1785-cider.de/,https://www.facebook.com/1785Cider,https://www.instagram.com/1785cider/,,https://untappd.com/1785Cider,,
1818 Farm & Cidery,3645,Carp,Ontario,Canada,45.3083183,-75.9484824,world_cider_map,https://www.1818farmandcidery.ca/,https://www.facebook.com/profile.php?id=100091053750749,https://www.instagram.com/1818farm_cidery/,https://maps.google.com/?cid=7100877252049373362,https://untappd.com/w/1818-farm-cidery/561633,,
1859 Cider Co.,74,Independence,Oregon,United States,44.8626525,-123.1844007,world_cider_map,https://www.divinedistillers.com/,https://www.facebook.com/divinedistillers/,https://www.instagram.com/divinedistillers/,https://maps.google.com/?cid=15660809870565501040,https://untappd.com/w/1859-cider-company/278728,https://www.yelp.com/biz/divine-distillers-independence,
"1880 Cidrerie Artisanale, Chantepom",855,Saint-Joseph-du-Lac,Quebec,Canada,45.53018,-74.011061,world_cider_map,https://www.vergerlamarche.ca/,https://www.facebook.com/vergerlamarchechantepom/,https://www.instagram.com/1880cidrerie/,https://maps.google.com/?cid=12727412648948142292,https://untappd.com/w/verger-lamarche/208756,,https://www.tripadvisor.com/Attraction_Review-g774902-d11670807
19 Acres Cider Co.,1084,Sherwood,Oregon,United States,45.3886798,-122.9315471,world_cider_map,https://19acres.com/,https://www.facebook.com/19AcresCiderCo/,https://www.instagram.com/19acresciderco/,https://maps.google.com/?cid=4476171369322689525,https://untappd.com/19AcresHardCider,https://www.yelp.com/biz/19-acres-cider-co-sherwood,https://www.tripadvisor.com/Restaurant_Review-g52068-d25236157
1910 Sip House,713,Battle Lake,Minnesota,United States,46.3627771,-95.619599,world_cider_map,https://www.1910siphouse.com/,https://www.facebook.com/Lovielees,https://www.instagram.com/1910siphouse/,https://maps.google.com/?cid=2508599636297872841,https://untappd.com/w/1910-sip-house/474082,https://www.yelp.com/biz/1910-sip-house-battle-lake,
1911 Established,75,Marietta,New York,United States,42.903744,-76.22158,world_cider_map,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,https://untappd.com/w/beak-and-skiff-apple-orchards/123121,https://www.yelp.com/biz/beak-and-skiff-apple-orchards-lafayette,https://www.tripadvisor.com/Attraction_Review-g48013-d4954731
2 Brothers Brewery,3444,Moorabbin,Victoria,Australia,-37.9427276,145.068757,world_cider_map,https://www.2brothers.com.au/,https://www.facebook.com/2brothersbrewery/,https://www.instagram.com/2brothersbrewery,https://maps.google.com/?cid=7491025659517231760,https://untappd.com/2BrothersBrewery,https://www.yelp.com/biz/2-brothers-brewery-moorabbin,https://www.tripadvisor.com/Attraction_Review-g2020520-d5990751
2 Fools Cider,66,Naperville,Illinois,United States,41.775847,-88.188785,world_cider_map,http://www.2foolscider.com/,https://www.facebook.com/2FoolsCider/,https://www.instagram.com/2foolscider/,https://maps.google.com/?cid=11923952537651633618,https://untappd.com/w/2-fools-cider/308673,https://www.yelp.com/biz/2-fools-cider-naperville,
2 Towns Ciderhouse,67,Corvallis,Oregon,United States,44.563505,-123.226185,world_cider_map,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,https://untappd.com/w/2-towns-ciderhouse/12975,https://www.yelp.com/biz/2-towns-ciderhouse-corvallis,https://www.tripadvisor.com/Attraction_Review-g51817-d3417221
26 Acre Craft Cider Company,714,Pelham,Ontario,Canada,43.037222,-79.328764,world_cider_map,,https://www.facebook.com/26acrecider/,,,https://untappd.com/w/26-acre-craft-cider/315449,,
27 Bridges,3356,Lancaster,Pennsylvania,United States,40.1049501,-76.3280091,world_cider_map,,https://www.facebook.com/27bridgesllc,https://www.instagram.com/27bridgesllc/,,,,
2Naturkinder,2472,Kitzingen,Bavaria,Germany,49.7357973,10.1563269,world_cider_map,https://2naturkinder.de/,https://www.facebook.com/2naturkinder,https://www.instagram.com/2naturkinder,https://maps.google.com/?cid=8577193414279594685,https://untappd.com/w/2naturkinder/529619,,
3 Daughters Brewing,68,St. Petersburg,Florida,United States,27.769051,-82.662705,world_cider_map,http://3dbrewing.com/,,https://www.instagram.com/3daughtersbrewing/,https://maps.google.com/?cid=5591277001854287566,https://untappd.com/w/3-daughters-brewing/96120,https://www.yelp.com/biz/3-daughters-brewing-st-petersburg,https://www.tripadvisor.com/Attraction_Review-g34607-d5579463
3 Keys Brewing,1849,Bradenton,Florida,United States,27.496807,-82.532577,world_cider_map,https://www.3keysbrewing.com/,,,https://maps.google.com/?cid=9227766610482221383,,,
3 North Vines,1076,Croswell,Michigan,United States,43.2642732,-82.5821548,world_cider_map,https://www.3northvines.com/,https://www.facebook.com/3NorthVines,https://www.instagram.com/3northvines_wines/,https://maps.google.com/?cid=2992073829749272130,https://untappd.com/w/3-north-vines/407444,https://www.yelp.com/biz/3-north-vines-croswell?,https://www.tripadvisor.com/Attraction_Review-g42117-d7654093
3 Sons Cider,2700,Aranda,Australian Capital Territory,Australia,-35.2554047,149.0862457,world_cider_map,http://www.3sonscider.com.au/,https://www.facebook.com/3SonsCider/,https://www.instagram.com/3sonscider/,https://maps.google.com/?cid=16285596579467432961,https://untappd.com/3sonscider,,
321 Cider,3388,Learmonth,Victoria,Australia,-37.4231754,143.7180392,world_cider_map,https://learmonthcider.com.au/,https://www.facebook.com/profile.php?id=100069530773568,,,https://untappd.com/w/321-learmonth/90115,,
33 Acres Brewing Company,715,Vancouver,British Columbia,Canada,49.264009,-123.105336,world_cider_map,https://33acresbrewing.com/,https://www.facebook.com/33AcresBrewing/,https://www.instagram.com/33acresbrewing/,https://maps.google.com/?cid=4358860967149524652,https://untappd.com/w/33-acres-brewing-co/71017/,https://www.yelp.com/biz/33-acres-brewing-vancouver,https://www.tripadvisor.com/Attraction_Review-g154944-d7228988
3Cs Cider,1661,Brackley,Northamptonshire,England,52.070567,-1.179328,world_cider_map,http://www.3cscider.com/,https://www.facebook.com/3cscider,,https://maps.google.com/?cid=10763283629346085758,https://untappd.com/w/the-3cs-cider/375097,,
3er Ciclo,3293,Santiago,Metropolitan,Chile,-33.4316585,-70.6352261,world_cider_map,,,https://www.instagram.com/3erciclo/,,https://untappd.com/3erCiclo,,
4 Labs Beer & Cider,1777,Petoskey,Michigan,United States,45.3728959,-84.9133566,world_cider_map,https://www.gabrielfarmsandwinery.com/,https://www.facebook.com/farmsgabriel,https://www.instagram.com/gabrielfarmsandwinery/,https://maps.google.com/?cid=12852233817272444842,https://untappd.com/w/gabriel-farms-winery/469433,https://www.yelp.com/biz/gabriel-farms-and-winery-petoskey,https://www.tripadvisor.com/Attraction_Review-g42590-d18961528
401 Cider Brewery,716,Colborne,Ontario,Canada,44.0219637,-77.9059336,world_cider_map,https://www.401cidercompany.com/,https://www.facebook.com/401CiderBrewery/,https://www.instagram.com/401ciderbrewery/,https://maps.google.com/?cid=15904679425375007750,https://untappd.com/w/401-brewery/207707,https://www.yelp.com/biz/the-big-apple-colborne,https://www.tripadvisor.com/Attraction_Review-g5414486-d586711
45 North Vineyard & Winery,2,Lake Leelanau,Michigan,United States,45.002103,-85.681943,world_cider_map,https://fortyfivenorth.com/,https://www.facebook.com/fortyfivenorth,https://www.instagram.com/45northwinery/,https://maps.google.com/?cid=11817740184078021050,https://untappd.com/w/45-north-vineyard-and-winery/45228,https://www.yelp.com/biz/45-north-vineyard-and-winery-lake-leelanau,https://www.tripadvisor.com/Attraction_Review-g42381-d1748282
450 North Brewing,295,Columbus,Indiana,United States,39.267861,-85.832134,world_cider_map,http://gnarlygrovehardcider.com/,,,https://maps.google.com/?cid=8307692405639232574,https://untappd.com/w/gnarly-grove-hard-cider/221199,https://www.yelp.com/biz/simmons-winery-columbus,https://www.tripadvisor.com/Attraction_Review-g37027-d4480950
5 Lakes Brewing Company,1710,Dorr,Michigan,United States,42.7240779,-85.7056013,world_cider_map,https://www.5lakesbrewpub.com/,https://www.facebook.com/5lakesbrewing,https://www.instagram.com/5lakesbrewing/,https://maps.google.com/?cid=15353427755552417700,https://untappd.com/5LakesBrewingCompany,https://www.yelp.com/biz/5-lakes-brewing-company-dorr,https://www.tripadvisor.com/Restaurant_Review-g42144-d11912975
5 Penny Hard Cider,69,Ontario,Ohio,United States,40.76436,-82.610672,world_cider_map,http://www.5pennyhardcider.com/,,https://www.instagram.com/5pennyhardcider/,,https://untappd.com/w/5-penny-hard-cider/348235,,
50 Knots Beverage Company,3532,Wakefield,Tasman,New Zealand,-41.4011628,173.0491097,world_cider_map,http://www.crookedcider.co.nz/,https://www.facebook.com/crookedcideroriginal,https://www.instagram.com/crookedcider,,https://untappd.com/w/50-knots-beverage-company/97199,,https://untappd.com/w/50-knots-beverage-company/97199
