Class,Category,Cider Name,Producer,Medal,Points
1,New World Cider Dry,Classic Dry,Spreyton Cider,Gold,93
1,New World Cider Dry,Red Hill Orchard desert blend,Camilla's Crush Cider,Silver,85
1,New World Cider Dry,Premium Bruts,Abavas,Bronze,81.5
1,New World Cider Dry,Bilpin Archibald High N Dry,Bilpin Cider Co,Bronze,78.5
2,New World Cider Medium,Apple,Hills Cider,Gold,92.5
2,New World Cider Medium,Luotsi Apple cider,Pirula,Silver,90
2,New World Cider Medium,Traditional Apple Cider,Willie Smith's Tasmanian,Silver,86
2,New World Cider Medium,Semi Dry cider,Tori Cidery,Silver,85
2,New World Cider Medium,Organic Apple Cider,Willie Smith's Tasmanian,Silver,85
2,New World Cider Medium,Liquid Crunch OG Apple Cider,Mabel Fox,Silver,85
2,New World Cider Medium,Scrumpy,Hillbilly Cider,Bronze,83.5
2,New World Cider Medium,Cloudy,LOBO,Bronze,82.5
2,New World Cider Medium,Original,Plenty,Bronze,82
2,New World Cider Medium,KUORI,Hallonmäen,Bronze,80
2,New World Cider Medium,Heritage Blend,Small Acres Cyder,Bronze,79.5
2,New World Cider Medium,Clear Apple,Cedar Creek Cider,Bronze,79
2,New World Cider Medium,Sidewood Apple Cider,Sidewood Estate,Bronze,79
2,New World Cider Medium,Pussauss (medium-dry classic),Murbudu cider co,Bronze,79
2,New World Cider Medium,Draught Cider,Flying Brick Cider Co,Bronze,78
2,New World Cider Medium,Granny,Brewers Orchard,Bronze,78
2,New World Cider Medium,Latvijas Klasiskais ābolu sidrs,Abavas Winery,Bronze,78
3,New World Cider Medium Sweet,Red Moon Rose Cider,The Apple Thief,Gold,93.5
3,New World Cider Medium Sweet,Sneaky Cider,Yallingup Cider Co,Gold,93
3,New World Cider Medium Sweet,Bilpin Original Cider,Bilpin Cider,Gold,93
3,New World Cider Medium Sweet,Cloudy Cider,Cedar Creek Cider,Silver,87
3,New World Cider Medium Sweet,Granny Smith Cider,The Apple Thief,Silver,86.5
3,New World Cider Medium Sweet,Napoleone Apple Cider,Napoleone Cider Co.,Silver,86.5
3,New World Cider Medium Sweet,Apple,Lenswood Cider Company,Silver,86
3,New World Cider Medium Sweet,Gold,Gurneys Cider,Silver,85
3,New World Cider Medium Sweet,Apple,Hillbilly Cider,Silver,85
3,New World Cider Medium Sweet,Apple Cider,Pagan Cider,Silver,85
3,New World Cider Medium Sweet,Braeburn Gala Cloudy Cider,The Apple Thief,Silver,85
3,New World Cider Medium Sweet,Apple Cider,Spreyton Cider Co,Bronze,84
3,New World Cider Medium Sweet,Original Cider,Sydney Brewery,Bronze,83.5
3,New World Cider Medium Sweet,Bruny Island Apple Cider,Bruny Island Cider,Bronze,83
3,New World Cider Medium Sweet,Apple Cider,Pressman's Cider,Bronze,83
3,New World Cider Medium Sweet,Sarastus siideri,Vaski Cider & Distillery,Bronze,82.5
3,New World Cider Medium Sweet,Squashed Apple Cider,Barossa Cider Co,Bronze,81.5
3,New World Cider Medium Sweet,Hazy Apple,Lenswood Cider Company,Bronze,78.5
3,New World Cider Medium Sweet,Apple Cider,Pressman's Cider,Bronze,78.5
3,New World Cider Medium Sweet,Bilpin Archibald Cloudy apple cider,Bilpin Cider Co,Bronze,78.5
4,New World Cider Sweet,Bilpin Blush Pink Lady Cider,Bilpin Cider Co,Silver,91
4,New World Cider Sweet,Pink Lady Cider,The Apple Thief,Silver,85.5
4,New World Cider Sweet,Original Cider,Flying Brick Cider Co,Bronze,82.5
4,New World Cider Sweet,Pink Lady,Small Acres Cyder,Bronze,79.5
4,New World Cider Sweet,Sweet Julie,Hillbilly Cider,Bronze,77.5
5,New World Cider MT (Disgorged),Cuvee 20 Legana Wild,Bradys Lookout Cider,Gold,92.5
