ID,Producer,Product,Award,Class,BOC,Class Name
1,Ciderhaus,Weidmann and Groh – Bohnapfel Halb-Trocken 2010,Gold,1,1,Dry Cider
2,Ciderhaus,Apfelwein Kontor ‘Wein aus Apfeln” 2010,Silver,1,0,Dry Cider
3,Cider Garden,Cider Garden Dry Cider,Silver,1,0,Dry Cider
4,Omadale Brook Estate,Tilse’s Apple Wine,Bronze,1,0,Dry Cider
5,Ciderhaus,Hessen – A La Carte Schoppen,Bronze,1,0,Dry Cider
6,Little Creatures,Pipsqueak Best Cider,Silver,2,1,Medium Cider
7,Red Sails,Red Sails Cider Gold,Silver,2,0,Medium Cider
8,Phoenix Beers,Henney’s Dry Cider,Bronze,2,0,Medium Cider
9,Omadale Brook Estate,Hunter River Cider,Bronze,2,0,Medium Cider
10,Australian Brewery,AB Fresh Press Cider,Bronze,2,0,Medium Cider
11,King Valley Cider Co,King Valley Cider Company – Traditionally Tart,Bronze,2,0,Medium Cider
12,Hillbilly Cider,Hillbilly Apple Cider,Bronze,2,0,Medium Cider
13,Oakvale Wines,Oakvale Apple Cider,Bronze,2,0,Medium Cider
14,Kangaroo Island Cider,Kangaroo Island Cider- Colony Cove,Bronze,2,0,Medium Cider
15,Phoenix Beers,Henney’s Apple – Sweet Cider,Gold,3,1,Sweet Cider
16,Franklin Cider Company,Frank’s Summer Apple Cider,Bronze,3,0,Sweet Cider
17,Cerbaco Distribution,Cidre Brut Artisanal de Normandie La Pommeraie,Silver,4,1,Bottle Conditioned / Methode Champenoise Cider
18,Hazeldean – Baw Baw,Baw Baw Sparkling Cider,Silver,4,0,Bottle Conditioned / Methode Champenoise Cider
19,Cerbaco Distribution,Cidre Doux Artisanal de Normandie La Pommeraie,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
20,Henry of Harcourt,Black Fox Cider,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
21,St Ronan’s Cider,Methode Traditionelle Apple Cider,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
22,Kellybrook,Kellys Jazz Methode,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
23,Small Acres Cyder,Small Acres Sparkling 2010,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
24,Napoleon Punt,Methode Traditionnelle Apple Cider,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
25,Napoleon Punt,Methode Traditionnelle Early Disgorged Dry Apple Cider,Bronze,4,0,Bottle Conditioned / Methode Champenoise Cider
26,Lobo,Lobo Dry Perry,Bronze,5,1,Dry Perry
27,The Hills Cider Company,Hills Cider – Pear Traditional,Silver,6,1,Medium Perry
28,Little Creatures,Pipsqueak Pear Cider,Bronze,6,0,Medium Perry
29,Small Acres Cyder,Small Acres Poire,Bronze,6,0,Medium Perry
30,Franklin Cider Company,Franks’ Summer Pear Cider,Bronze,7,1,Sweet Perry
31,St Ronan’s Cider,Methode Traditionelle Pear Cider,Gold,8,1,Bottle Conditioned / Methode Champenoise Perry
32,Napoleon Punt,Methode Traditionnelle Pear Cider,Silver,8,0,Bottle Conditioned / Methode Champenoise Perry
33,Westons / World Brands,Old Rosie Scrumpy (carbonated),Bronze,9,1,Dry Cider made using water and/or sugar in production
34,Westons / World Brands,Old Rosie Scrumpy (still),Bronze,10,1,Medium Cider made using water and/or sugar in production
35,Redwood – Old Mout,Old Mout Cider – Scrumpy,Bronze,10,0,Medium Cider made using water and/or sugar in production
36,Westons / World Brands,Wyld Wood Apple – Organic,Bronze,10,0,Medium Cider made using water and/or sugar in production
37,Core Cider – Highvale,Core Sparkling Pear,Bronze,14,1,Sweet Perry made using water and/or sugar in production
