ID,Producer,Product,Award,Score,Class,BOC,Class Name
1,321 Cider,321 Traditional Still Cider,Silver,85,1A,0,New World Dry Cider
2,Cheeky Grog Co,MARENNY VALE 2015 VINTAGE,No Medal,50,1A,0,New World Dry Cider
3,Granite Belt Cider Co,Tinker Tank - Farmhouse Dry,No Medal,50,1A,0,New World Dry Cider
4,Harcourt Perry & Cider Makers,Harcourt Dry Cider,Bronze,80,1A,0,New World Dry Cider
5,Pagan Cider,Wood-Aged Apple,Silver,88,1A,1,New World Dry Cider
6,Rusty Bike Wines,The Apple Cart,Bronze,82,1A,0,New World Dry Cider
7,Seattle Cider Company,Dry,No Show,0,1A,0,New World Dry Cider
8,Spreyton Cider Co,Spreyton Classic Cider,No Medal,50,1A,0,New World Dry Cider
9,Willie Smith's,Willie Smiths Bone Dry Cider,Bronze,78,1A,0,New World Dry Cider
10,Bilpin Cider Co,Bilpin Archibald Extra Brut,Bronze,78,1B,0,Traditional Dry Cider
11,Cheeky Grog Co,SECRET SEVEN,Silver,90,1B,0,Traditional Dry Cider
12,Cheeky Grog Co,CRABBY JOHNNY CIDER,Bronze,79,1B,0,Traditional Dry Cider
13,CORE Cider,Hard CORE,Bronze,79,1B,0,Traditional Dry Cider
14,CORE Cider,2015 SCORE-Rumpy,No Medal,50,1B,0,Traditional Dry Cider
15,Daylesford Cider,Farmhouse Dry 2015,Bronze,80,1B,0,Traditional Dry Cider
16,Daylesford Cider,Farmhouse Dry 2016,Bronze,78,1B,0,Traditional Dry Cider
17,LOBO Cider,LOBO Norman,Gold,93,1B,1,Traditional Dry Cider
18,Lost Pippin,Lost Pippin Vintage 2014,Silver,89,1B,0,Traditional Dry Cider
19,Pennyroyal Raspberry Farm & Cidery,Crucible Cider,Silver,86,1B,0,Traditional Dry Cider
20,Pomologist Cider,2014 Sparkling Dry Cider,Silver,91,1B,0,Traditional Dry Cider
21,Small Acres Cyder,Small Acres Cyder 2014 Somerset Still,Bronze,84,1B,0,Traditional Dry Cider
22,Spreyton Cider Co,Spreyton Vintage 2016,Bronze,80,1B,0,Traditional Dry Cider
23,Spreyton Cider Co,Spreyton Vintage 2015,Bronze,80,1B,0,Traditional Dry Cider
24,2 Brothers Brewery,Little Apple,No Medal,50,2A,0,New World Medium Cider
25,Alpine Cider,Alpine Cider Pink Lady Dry,Silver,86,2A,0,New World Medium Cider
26,Applelation,Applelation Apple Cider,Bronze,78,2A,0,New World Medium Cider
27,Batlow Cider,Batlow Premium Cider,Bronze,79,2A,0,New World Medium Cider
28,Batlow Cider,Batlow Cloudy Cider (Can),Bronze,78,2A,0,New World Medium Cider
29,Batlow Cider,Batlow Cloudy Cider (Bottle),No Medal,50,2A,0,New World Medium Cider
30,Bilpin Cider Co,Bilpin Original Cider,Bronze,84,2A,0,New World Medium Cider
31,Bilpin Cider Co,Bilpin Archibald Cloudy Cider,Bronze,82,2A,0,New World Medium Cider
32,Blue Elephant Beverage Co.,Cider No.1,Bronze,84,2A,0,New World Medium Cider
33,Blue Elephant Beverage Co.,Tap Cider,No Medal,50,2A,0,New World Medium Cider
34,Blue Elephant Beverage Co.,Cider No.2,No Medal,50,2A,0,New World Medium Cider
35,Blue Elephant Beverage Co.,"""Menage A Trois"" ",No Medal,50,2A,0,New World Medium Cider
36,Carlton & United Breweries Ltd,Bonamys Apple Cider,Bronze,80,2A,0,New World Medium Cider
37,Carlton & United Breweries Ltd,Pure Blonde Cider,No Medal,50,2A,0,New World Medium Cider
38,Carlton & United Breweries Ltd,Spring Cider Co - Apple,No Medal,50,2A,0,New World Medium Cider
39,CORE Cider,CORE Meltdown,Bronze,80,2A,0,New World Medium Cider
40,CORE Cider,CORE Cloudy,Bronze,78,2A,0,New World Medium Cider
41,Darkes Cider,Darkes Cider Howler,Bronze,80,2A,0,New World Medium Cider
42,Daylesford Cider,Summer Petillant,No Medal,50,2A,0,New World Medium Cider
43,Flying Brick Cider Co,Flying Brick Sunny Boy,Bronze,84,2A,0,New World Medium Cider
44,Flying Brick Cider Co,Flying Brick Draught Cider,Bronze,80,2A,0,New World Medium Cider
