ID,Producer,Product,Award,Score,Class,BOC,Class Name,col8,col9,col10,col11,col12,col13
1,Core Cider,HardCORE,No Medal,50,1A,0,New World Dry Cider,,,,,,
2,Henry Of Harcourt,Duck & Bull,Bronze,77.5,1A,0,New World Dry Cider,,,,,,
3,Incy Wincy Cyder ,X3,No Medal,50,1A,0,New World Dry Cider,,,,,,
4,King Valley Cider,Traditionally Tart,Bronze,80,1A,0,New World Dry Cider,,,,,,
5,Rusty Bike Wines,The Apple Cart,Bronze,80,1A,0,New World Dry Cider,,,,,,
6,Spreyton Cider Co,Classic Cider,Bronze,84,1A,0,New World Dry Cider,,,,,,
7,The Hills Cider Company,The Hills Cider Company Organic Dry Apple,Bronze,79,1A,0,New World Dry Cider,,,,,,
8,William Smith & Sons,Willie Smith's Bone Dry Apple Cider,Bronze,80,1A,0,New World Dry Cider,,,,,,
9,Winter Brook,Winter Brook Vintage Cider 2016,Silver,89,1A,1,New World Dry Cider,,,,,,
10,Winter Brook,Winter Brook Vintage Cider 2017,No Medal,50,1A,0,New World Dry Cider,,,,,,
11,3 Sons Cider,Somerset,Silver,85,1B,0,Traditional Dry Cider,,,,,,
12,Bilpin Cider,Bilpin Archibald Extra Brut,Bronze,80,1B,0,Traditional Dry Cider,,,,,,
13,Cheeky Grog Co,KINGSTON HERITAGE,Silver,85,1B,0,Traditional Dry Cider,,,,,,
14,Cheeky Grog Co,SECRET SEVEN,Bronze,84,1B,0,Traditional Dry Cider,,,,,,
15,Crucible,2016 Crucible Cider ,Bronze,78,1B,0,Traditional Dry Cider,,,,,,
16,Daylesford Cider,French Oak,Silver,86,1B,0,Traditional Dry Cider,,,,,,
17,Daylesford Cider,Farmhouse Dry,Bronze,83,1B,0,Traditional Dry Cider,,,,,,
18,Daylesford Cider,Organic Apple Cider,Bronze,81,1B,0,Traditional Dry Cider,,,,,,
19,Flying Brick Cider Co,Scrumpy RG,No Medal,50,1B,0,Traditional Dry Cider,,,,,,
20,FUNK Cider,Organic Scrumpy,Silver,86,1B,0,Traditional Dry Cider,,,,,,
21,Hart's Farm,Dry Cider 2017,Silver,85,1B,0,Traditional Dry Cider,,,,,,
22,Hart's Farm,Dry,Bronze,84,1B,0,Traditional Dry Cider,,,,,,
23,Henry Of Harcourt,Kingston Black 15,Bronze,79,1B,0,Traditional Dry Cider,,,,,,
24,LOBO Cider,LOBO Norman,Bronze,84,1B,0,Traditional Dry Cider,,,,,,
25,Malus Cider,Robusta,Bronze,81,1B,0,Traditional Dry Cider,,,,,,
26,Mock Red Hill,Traditional Dry Cider,Bronze,83,1B,0,Traditional Dry Cider,,,,,,
27,Pomologist Cider,Dry Sparkling Cider 2014 Batch 2,Bronze,80,1B,0,Traditional Dry Cider,,,,,,
28,Pomologist Cider,Dry Sparkling Cider 2016 ,Bronze,78,1B,0,Traditional Dry Cider,,,,,,
29,Seven Oaks Farmhouse Cider,Kingston Black,Silver,85,1B,0,Traditional Dry Cider,,,,,,
30,Small Acres Cyder,Small Acres Cyder 2016 Somerset Still,No Medal,50,1B,0,Traditional Dry Cider,,,,,,
31,Spreyton Cider Co,Vintage 2017,Silver,85,1B,0,Traditional Dry Cider,,,,,,
32,Suttons Cider,Suttons Draught Cider,Bronze,78,1B,0,Traditional Dry Cider,,,,,,
33,The Denmark Heritage Cider Company,Blend 16 Scrumpy,Bronze,79,1B,0,Traditional Dry Cider,,,,,,
34,The Denmark Heritage Cider Company,Blend 15 1644,No Medal,50,1B,0,Traditional Dry Cider,,,,,,
35,William Smith & Sons,Willie Smith's Somerset Red Streak Dry Cider,Silver,91,1B,1,Traditional Dry Cider,,,,,,
36,5 Seeds,5 Seeds Cloudy Apple Cider,Bronze,77.5,2A,0,New World Medium Cider,,,,,,
37,5 Seeds,5 Seeds Lower Sugar Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
38,Applelation Cider,Applelation Cider,Silver,85,2A,0,New World Medium Cider,,,,,,
39,Aspall,Suffolk Draught,Bronze,80,2A,0,New World Medium Cider,,,,,,
40,Batlow Cider,Batlow Cloudy Cider,Bronze,84,2A,0,New World Medium Cider,,,,,,
41,Batlow Cider,Batlow Premium Cider,Bronze,83,2A,0,New World Medium Cider,,,,,,
42,Beechworth Cider,Classic,No Medal,50,2A,0,New World Medium Cider,,,,,,
43,Bilpin Cider,Bilpin Archibald Cloudy Cider,Bronze,82,2A,0,New World Medium Cider,,,,,,
44,Bilpin Cider,Bilpin Original,Bronze,80,2A,0,New World Medium Cider,,,,,,
45,Carlton & United Breweries,Bonamys Apple Cider,Bronze,82,2A,0,New World Medium Cider,,,,,,
46,Castaway,Castaway Original Cider 5.0%; 330mL,Bronze,82,2A,0,New World Medium Cider,,,,,,
47,Castaway,Castaway Low Carb Cider 5.0%; 330mL,Bronze,81,2A,0,New World Medium Cider,,,,,,
48,Cheeky Tiki ,Cheeky Tiki -  Sweet Apple Cider,Bronze,80,2A,0,New World Medium Cider,,,,,,
49,Co-Op Cider,Co-Op Apple Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
50,Core Cider,CORE Meltdown,Silver,88,2A,0,New World Medium Cider,,,,,,
51,Darkes Cider,Darkes Cider - Howler,Bronze,79,2A,0,New World Medium Cider,,,,,,
52,Daylesford Cider,Summer Petillant,Silver,89,2A,0,New World Medium Cider,,,,,,
53,Flying Brick Cider Co,Draught Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
54,Frank's Cider,Franks Autumn Reserve Apple Cider,Bronze,80,2A,0,New World Medium Cider,,,,,,
55,FUNK Cider,All Star,Bronze,84,2A,0,New World Medium Cider,,,,,,
56,FUNK Cider,Swan Valley Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
57,Golden Axe,Golden Axe,Bronze,78,2A,0,New World Medium Cider,,,,,,
58,Golden Axe,Golden Axe (Keg),Bronze,77.5,2A,0,New World Medium Cider,,,,,,
59,Granite Belt Cider Co,Treehouse Cider,Bronze,79,2A,0,New World Medium Cider,,,,,,
60,Hansen Tasmania,Hansen Tasmania Apple Cider 330ml,Bronze,79,2A,0,New World Medium Cider,,,,,,
61,Harcourt Cider,Harcourt Dry Cider,Bronze,79,2A,0,New World Medium Cider,,,,,,
62,Hillbilly Cider,Apple Cider,Bronze,83,2A,0,New World Medium Cider,,,,,,
63,Hillbilly Cider,Scrumpy,Bronze,80,2A,0,New World Medium Cider,,,,,,
64,Hillbilly Cider,Vintage,No Medal,50,2A,0,New World Medium Cider,,,,,,
65,Jachmann Apple Co,Jachmann Royal Gala Apple Cider,Bronze,80,2A,0,New World Medium Cider,,,,,,
66,Jachmann Apple Co,Jachmann Pink Lady Apple Cider,Bronze,78,2A,0,New World Medium Cider,,,,,,
67,James Squire,James Squire Orchard Crush Apple Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
68,Kelly Brothers Cider,Kelly Brothers Sparkling Apple,Bronze,77.5,2A,0,New World Medium Cider,,,,,,
69,Kelly Brothers Cider,Kelly Brothers Draught,No Medal,50,2A,0,New World Medium Cider,,,,,,
70,Kirin,Kirin Fuji Apple Cider,Silver,87,2A,0,New World Medium Cider,,,,,,
71,LOBO Cider,LOBO Cloudy Apple,Bronze,84,2A,0,New World Medium Cider,,,,,,
72,Magners,Original Apple,Gold,94,2A,1,New World Medium Cider,,,,,,
73,Mock Red Hill,Classic Cider,Bronze,80,2A,0,New World Medium Cider,,,,,,
74,Montague Cider House,2017 Harvest Apple Cider,No Medal,50,2A,0,New World Medium Cider,,,,,,
75,Monteiths,Sparkling Cider Brut Cuvee,Bronze,79,2A,0,New World Medium Cider,,,,,,
76,Monteiths,Goldsmith Apple Cider,Bronze,78,2A,0,New World Medium Cider,,,,,,
77,Napoleone,Apple Cider,Bronze,80,2A,0,New World Medium Cider,,,,,,
78,Nightingale Bros,Alpine Cider Pink Lady Dry,Bronze,83,2A,0,New World Medium Cider,,,,,,
79,Rochdale Cider,Classic Apple Cider,Silver,85,2A,0,New World Medium Cider,,,,,,
80,Saxton,Saxton Apple Cider 5.0%; 330mL,Bronze,78,2A,0,New World Medium Cider,,,,,,
81,Seedy Cider ,Seedy Cider Sweet Poser,Bronze,84,2A,0,New World Medium Cider,,,,,,
82,Sidewood,Apple Cider,Bronze,81,2A,0,New World Medium Cider,,,,,,
83,Sidro Del Bosco,Sidro Del Bosco,Silver,88,2A,0,New World Medium Cider,,,,,,
84,Small Acres Cyder,Small Acres Cyder 2016 Norfolk Still,Bronze,81,2A,0,New World Medium Cider,,,,,,
85,Small Acres Cyder,Small Acres Pomme,Bronze,78,2A,0,New World Medium Cider,,,,,,
86,Spreyton Cider Co,Apple Cider,Bronze,81,2A,0,New World Medium Cider,,,,,,
87,St Ronan's,Apple Cider,Silver,88,2A,0,New World Medium Cider,,,,,,
88,Steamrail,Steamrail Apple Cider (Bottle),Bronze,80,2A,0,New World Medium Cider,,,,,,
89,Storm Brewing Co,Dry Apple Cider,Bronze,79,2A,0,New World Medium Cider,,,,,,
90,Swell Brewing Co,Cloudy Apple Cider,Silver,87,2A,0,New World Medium Cider,,,,,,
91,The Apple Thief,Granny Smith 2013,Bronze,78,2A,0,New World Medium Cider,,,,,,
92,The Apple Thief,Granny Smith,No Medal,50,2A,0,New World Medium Cider,,,,,,
93,The Cider Lab,Royal Gala Apple,Bronze,83,2A,0,New World Medium Cider,,,,,,
94,The Cider Lab,Pink Lady Apple,No Medal,50,2A,0,New World Medium Cider,,,,,,
95,The Craft And Co,Apple Cider ,Bronze,79,2A,0,New World Medium Cider,,,,,,
96,The Hills Cider Company,The Hills Cider Company Apple Cider,Silver,85,2A,0,New World Medium Cider,,,,,,
97,The Hills Cider Company,The Hills Cider Company Cloudy Apple,Bronze,80,2A,0,New World Medium Cider,,,,,,
