ID,Class,Product,Producer,State,Award,Score
2,New World Dry Cider,Adam’s Evening HiFi,Pulp & Juice P/L,VIC,Gold,97.0
3,New World Dry Cider,Sydney Brewery Oaked Organic Cider,Winadell T/A Schwartz Brewery (Sydney Brewery),NSW,Gold,95.0
4,New World Dry Cider,Ninch Cider Harps' Harvest,Ninch Cider,TAS,Silver,90.0
5,New World Dry Cider,Fernbank Creek Cidery - Original Dry Cider,FBC Beverages Pty Ltd (T/A Fernbank Creek Cidery),NSW,Silver,87.0
6,New World Dry Cider,X3 - 2016,Incy Wincy Cyder Pty Limited,NSW,Silver,86.0
7,New World Dry Cider,"Bilpin Archibald High 'n' Dry, Can",Bilpin Cider Co,NSW,Bronze,83.0
8,New World Dry Cider,Adam’s Evening 2018 Dry,Pulp & Juice P/L,VIC,Bronze,82.3
9,New World Dry Cider,Sutton's Pink Lady Apple Cider,Sutton's Juice Factory & Cidery,QLD,Bronze,81.0
10,New World Dry Cider,3 Sons Cider - Pomme,3 Sons Cider,ACT,Bronze,80.7
11,New World Dry Cider,Small Acres Cyder 2016 Somerset Still,Small Acres Cyder,NSW,Bronze,80.7
12,New World Dry Cider,Incy Wincy Cyder Wild 2017,Incy Wincy Cyder Pty Limited,NSW,Bronze,80.0
13,New World Dry Cider,Huntsman 2018,Incy Wincy Cyder Pty Limited,NSW,Bronze,79.0
14,New World Dry Cider,Willie Smith's Bone Dry,William Smith and Sons,TAS,Bronze,79.0
15,New World Dry Cider,Huntsman 2017,Incy Wincy Cyder Pty Limited,NSW,Bronze,78.7
16,New World Dry Cider,Castaway Low Carb Apple Cider,Pinnacle Drinks,NSW,Bronze,78.7
17,New World Dry Cider,Bilpin Archibald High 'n' Dry,Bilpin Cider Co,NSW,Bronze,78.5
18,New World Dry Cider,Roleystone Brewing Co - Original,Roleystone Brewing Co Pty Ltd,WA,Bronze,78.5
19,New World Dry Cider,SBO Australian,Surges Bay Orchard,TAS,Bronze,78.3
20,New World Dry Cider,"Runamuk ""Scoundrel"" Dry Cider",Runamuk Cider Co.,WA,Bronze,78.2
21,New World Dry Cider,SBO Wild Ferment,Surges Bay Orchard,TAS,Bronze,78.0
22,New World Medium Cider,Sidro Del Bosco,Cester Camillo Pty Ltd,VIC,Gold,94.0
23,New World Medium Cider,Yarra Valley Cider,Yarra Valley Cider,VIC,Silver,87.0
24,New World Medium Cider,Willie Smith's Organic Apple Cider,William Smith and Sons,TAS,Silver,86.0
25,New World Medium Cider,Hillbilly Cider Vintage,Hillbilly Cider,NSW,Bronze,84.0
26,New World Medium Cider,Mock Red Hill Classic Cider,Mock Red Hill,VIC,Bronze,82.3
27,New World Medium Cider,Flying Brick Cider Co Draught Cider,Flying Brick Cider Co,VIC,Bronze,82.0
28,New World Medium Cider,LOBO Cloudy Cider,LOBO Juice and Cider Pty Ltd,SA,Bronze,81.3
29,New World Medium Cider,Harcourt Dry Cider,Harcourt Perry and Cider Makers P/L,VIC,Bronze,79.7
30,New World Medium Cider,Darkes Dry Cider,Glenbernie Orchard PTY LTD,NSW,Bronze,79.3
31,New World Medium Cider,Hillbilly Cider Scrumpy,Hillbilly Cider,NSW,Bronze,79.0
32,New World Medium Cider,Bilpin Archibald Cloudy Apple Cider,Bilpin Cider Co,NSW,Bronze,78.8
33,New World Medium Cider,Carmel Cider,Carmel Cider Company,WA,Bronze,78.7
34,New World Medium Cider,Fils de Pomme - La Sauvage,Fils de Pomme Australia Pty Ltd,NSW,Bronze,78.7
35,New World Medium Cider,Two Birds Brewing Apple Cider,Two Birds Brewing Pty Ltd,VIC,Bronze,78.0
36,New World Medium Cider,Hansen Tasmania Apple Cider 330ML,Hansen Tasmania Pty Ltd,TAS,Bronze,77.5
37,New World Medium Cider,Castaway Original Apple Cider,Pinnacle Drinks,NSW,Bronze,77.5
38,New World Medium Cider,"Runamuk ""Grifter"" Medium Dry Cider",Runamuk Cider Co.,WA,Bronze,77.5
39,New World Medium Cider,Sidewood Apple Cider,Sidewood Estate,SA,Bronze,77.5
40,New World Medium Cider,The Side Project: Mr Bright Cide,The Side Project Cider & Beerworks,SA,Bronze,77.5
41,New World Medium Sweet Cider,The Barossa Cider Co - Squashed Apple Cider,The Barossa Valley Cider Company,SA,Gold,97.0
42,New World Medium Sweet Cider,Small Acres Pomme,Small Acres Cyder,NSW,Silver,89.0
43,New World Medium Sweet Cider,"The Hills Cider Company, Apple",The Hills Cider Company,SA,Silver,86.0
44,New World Medium Sweet Cider,Sydney Brewery Sydney Cider,Winadell T/A Schwartz Brewery (Sydney Brewery),NSW,Silver,85.0
45,New World Medium Sweet Cider,Hillbilly Cider Crushed Apple,Hillbilly Cider,NSW,Bronze,83.7
46,New World Medium Sweet Cider,Eddies Cider,Eddies Cider,VIC,Bronze,83.0
47,New World Medium Sweet Cider,"Runamuk ""Pedlar"" Medium Sweet Cider",Runamuk Cider Co.,WA,Bronze,82.0
48,New World Medium Sweet Cider,Daylesford Cider - Heritage Light,Daylesford Cider,VIC,Bronze,81.0
49,New World Medium Sweet Cider,Frank's Summer Apple Cider,Franklin Cider Company,TAS,Bronze,79.8
50,New World Medium Sweet Cider,Napoleone Apple Cider,Napoleone Cider,VIC,Bronze,79.8
51,New World Medium Sweet Cider,Granny Smith Can,Cider Production Pty Ltd,NSW,Bronze,78.0
52,New World Medium Sweet Cider,Daylesford Cider - Session,Daylesford Cider,VIC,Bronze,78.0
53,New World Sweet Cider,Small Acres Cyder 2016 Appscato,Small Acres Cyder,NSW,Gold,93.0
54,New World Sweet Cider,Storm European Apple Cider,ALDI Stores (Australia),NSW,Silver,90.0
55,New World Sweet Cider,SPARKKE Apple Cider,The Sparkke Change Beverage Company,SA,Bronze,82.0
56,New World Sweet Cider,Mock Red Hill Sweet Cider,Mock Red Hill,VIC,Bronze,81.0
57,New World Sweet Cider,Bilpin Blush Pink Lady Cider,Bilpin Cider Co,NSW,Bronze,79.3
58,New World Sweet Cider,Trattore - New World Cider,Bellevue Orchard Pty Ltd,VIC,Bronze,78.5
59,New World Sweet Cider,Harcourt Apple Cider,Harcourt Perry and Cider Makers P/L,VIC,Bronze,78.0
60,New World Sweet Cider,Main Ridge Cider (Vic) Pty Ltd,Main Ridge Cider (Vic) Pty Ltd,VIC,Bronze,77.7
61,New World ‘Method Traditional’ Cider (disgorged),Core Cider 2017 CORE-upted,Core Cider,WA,Gold,94.0
62,New World ‘Method Traditional’ Cider (disgorged),Core Cider 2015 CORE-upted,Core Cider,WA,Gold,92.5
63,New World ‘Method Traditional’ Cider (disgorged),Small Acres Cyder 2016 Sparkling,Small Acres Cyder,NSW,Silver,89.0
64,New World ‘Method Traditional’ Cider (disgorged),Apple 15,Carmel Cider Company,WA,Silver,86.0
65,New World ‘Method Traditional’ Cider (disgorged),Core Cider 2018 CORE-upted,Core Cider,WA,Bronze,80.0
66,New World ‘Method Traditional’ Cider (disgorged),Tree Ripened Apple,Carmel Cider Company,WA,Bronze,78.3
67,Traditional Dry Cider,Hart's Farm Dry Cider,Marah Enterprises Pty Ltd,VIC,Gold,92.5
68,Traditional Dry Cider,321 Traditional Still 2016,321 Cider,VIC,Silver,92
69,Traditional Dry Cider,Malus Cider 'Robusta',Malus Cider,VIC,Silver,90.0
70,Traditional Dry Cider,3 Sons Cider - Kingston Black,3 Sons Cider,ACT,Silver,88.0
71,Traditional Dry Cider,Secret Seven,Cheeky Grog Co. Pty Ltd,VIC,Bronze,80.0
72,Traditional Dry Cider,Percy Chicken's Authentic Draught Scrumpy,Denmark Heritage Cider Company,WA,Bronze,79.3
73,Traditional Dry Cider,LOBO Norman,LOBO Juice and Cider Pty Ltd,SA,Bronze,78.7
74,Traditional Dry Cider,Marenny Vale 2004 Vintage,Cheeky Grog Co. Pty Ltd,VIC,Bronze,77.5
75,Traditional Dry Cider,SBO Sturmer Pippin,Surges Bay Orchard,TAS,Bronze,77.5
76,Traditional Medium Cider,Willie Smith's French Blend,William Smith and Sons,TAS,Gold,93.0
77,Traditional Medium Cider,Willie Smith's Traditional,William Smith and Sons,TAS,Silver,85.7
78,Traditional Medium Cider,Daylesford Cider - Wild,Daylesford Cider,VIC,Silver,85.2
79,Traditional Medium Cider,Daylesford Cider - Arf n Arf,Daylesford Cider,VIC,Silver,85.0
80,Traditional Medium Cider,Devils Bit Mountain Cider,Unwined Liquor Pty Ltd,VIC,Silver,85.0
81,Traditional Medium Cider,Willie Smith's Kingston Black,William Smith and Sons,TAS,Silver,85.0
82,Traditional Medium Cider,Spreyton Cider Co - Kingston Black 2019,Spreyton Fresh P/L,TAS,Bronze,83.5
83,Traditional Medium Cider,Colony Cove 2019 Original Cider,Kangaroo Island Ciders,SA,Bronze,82.1
84,Traditional Medium Cider,3 Sons Cider - Naughty Nanna,3 Sons Cider,ACT,Bronze,82.0
85,Traditional Medium Cider,Daylesford Cider - Bulmers Norman Cider,Daylesford Cider,VIC,Bronze,82.0
86,Traditional Medium Cider,LOBO Trad,LOBO Juice and Cider Pty Ltd,SA,Bronze,82.0
87,Traditional Medium Cider,Spreyton Cider Co - Cidermakers Select 2017 - The Big Q,Spreyton Fresh P/L,TAS,Bronze,79.3
88,Traditional Medium Cider,321 Heritage,321 Cider,VIC,Bronze,79.0
89,Traditional Medium Sweet Cider,Colony Cove 2018 Draught Cider,Kangaroo Island Ciders,SA,Gold,97.0
90,Traditional Medium Sweet Cider,Zeffer Cidre Demi-Sec,Zeffer Cider Co.,NZ,Gold,92.5
91,Traditional Medium Sweet Cider,Colony Cove 2019 Draught Cider,Kangaroo Island Ciders,SA,Silver,87.0
92,Traditional Medium Sweet Cider,Seven Oaks Farmhouse Cider,Seven Oaks Farmhouse Cider,VIC,Bronze,79.7
93,Traditional Sweet Cider,LOBO Royale,LOBO Juice and Cider Pty Ltd,SA,Silver,89.0
94,Traditional Sweet Cider,Daylesford Cider - Sweet Coppin,Daylesford Cider,VIC,Bronze,79.0
