Class,Medal,Medalist,Entry,Points,State
New World Cider - Dry,Silver,William Smith & Sons,Lucidity Sturmer Pippen Apple Cider,91,Tasmania
New World Cider - Dry,Silver,"Sutton’s Juice Factory, Cidery & Shed Café",Sutton’s Pink Lady Apple Cider,85,Queensland
New World Cider - Dry,Bronze,Incy Wincy Cyder,Huntsman 2020,84,New South Wales
New World Cider - Dry,Bronze,Spreyton Cider Co,Classic Cider,82,Tasmania
New World Cider - Dry,Bronze,Carmel Cider Company,Traditional,79,Western Australia
New World Cider - Dry,Bronze,Incy Wincy Cyder,Huntsman 2019,78,New South Wales
New World Cider - Dry,Bronze,Incy Wincy Cyder,Huntsman 2018,78,New South Wales
New World Cider - Dry,Bronze,Old Twelfth,Old Twelfth Beltane 2021,78,Tasmania
New World Cider - Dry,Bronze,William Smith & Sons,Bone Dry Apple Cider,78,Tasmania
New World Cider - Medium,Gold,The Hills Cider Company,Apple Cider,93,South Australia
New World Cider - Medium,Silver,Vok Beverages,Three Oaks Cider,88,South Australia
New World Cider - Medium,Silver,LOBO Juice and Cider,LOBO Cloudy,85,South Australia
New World Cider - Medium,Bronze,Custard & Co,Custard & Co Vintage Dry Cider,82,Western Australia
New World Cider - Medium,Bronze,The Hills Cider Company,Cloudy Apple Cider,82,South Australia
New World Cider - Medium,Bronze,Sidro Del Bosco (Cester Camillo),Sidro Del Bosco,81,Victoria
New World Cider - Medium,Bronze,William Smith & Sons,Organic Apple Cider,81,Tasmania
New World Cider - Medium,Bronze,William Smith & Sons,Traditional Apple Cider,80,Tasmania
New World Cider - Medium,Bronze,Prancing Pony Brewery,"Dizzy Donkey, Cloudy Apple Cider",78,South Australia
New World Cider - Medium,Bronze,Sidewood Estate,Sidewood Estate Apple Cider,78,South Australia
New World Cider - Medium-Sweet,Gold,Funk Cider,Perth Cider,92.5,Western Australia
New World Cider - Medium-Sweet,Silver,Eddies Cider,Eddies Vintage Apple Cider,86,Victoria
New World Cider - Medium-Sweet,Silver,Sydney Brewery,Sydney Brewery Original Cider,85,New South Wales
New World Cider - Medium-Sweet,Silver,The Barossa Valley Cider Company,Squashed Apple Cider,85,South Australia
New World Cider - Medium-Sweet,Bronze,Franklin Cider Company,Frank's Summer Apple Cider,84,Tasmania
New World Cider - Medium-Sweet,Bronze,Lenswood Cider Co,Lenswood Cider Co. Apple Cider,84,South Australia
New World Cider - Medium-Sweet,Bronze,Runamuk Cider Co P&B Hinton PTY LTD,Pedlar,84,Western Australia
New World Cider - Medium-Sweet,Bronze,Eddies Cider,Eddies Apple Cider,83,Victoria
New World Cider - Medium-Sweet,Bronze,Spreyton Cider Co,Spreyton Apple Cider,81,Tasmania
New World Cider - Medium-Sweet,Bronze,Lenswood Cider Co,Lenswood Cider Co. Hazy Apple Cider,80,South Australia
New World Cider - Medium-Sweet,Bronze,Trattore Cider,Trattore New World Cider,80,Victoria
New World Cider - Medium-Sweet,Bronze,Cheeky Tiki Cider,Cheeky Tiki - Original Apple,79,Queensland
New World Cider - Medium-Sweet,Bronze,Pinnacle Drinks,Ci-Fi Apple Cider,79,New South Wales
New World Cider - Medium-Sweet,Bronze,Bruny Island Cider,Bruny Island Apple Cider ,78,TASMANIA
New World Cider - Sweet,Silver,Mock Red Hill,Royal Apple Cider,85,Victoria
New World Cider - Sweet,Bronze,Vok Beverages,Three Oaks Cider,82,South Australia
New World Cider - Sweet,Bronze,Flying Brick Cider Co,Original Cider,80,Victoria
New World Cider - Sweet,Bronze,Bilpin Cider Co,Bilpin Original Cider,79,New South Wales
New World Cider - Sweet,Bronze,Small Acres Cyder,Small Acres Pink Lady,78,New South Wales
New World Cider - Méthode Traditionnelle (Disgorged),Silver,Bradys Lookout Cider,Bradys Lookout Cider 2018 Heritage Blend MT Cuvee 12,87,Tasmania
New World Cider - Méthode Traditionnelle (Disgorged),Bronze,Carmel Cider Company,Apple and Pear,83,Western Australia
New World Cider - Méthode Traditionnelle (Disgorged),Bronze,Sunshine Coast Cider,Brut+ Cider Méthode Traditonelle,81,Queensland
New World Cider - Méthode Traditionnelle (Disgorged),Bronze,Brady's Lookout Cider,Bradys Lookout Cider 2018 Legana Wild Reserve C14,79,Tasmania
Traditional Cider - Dry,Gold,LOBO Juice and Cider,LOBO Lenswulf,93,South Australia
Traditional Cider - Dry,Silver,LOBO Juice and Cider,LOBO Norma,86,South Australia
Traditional Cider - Dry,Silver,Malus Cider,Robusta Dry Cider,85,Victoria
Traditional Cider - Dry,Bronze,Carmel Cider Company,Heritage,84,Western Australia
Traditional Cider - Dry,Bronze,Daylesford Cider,Vintage Dry,80,Victoria
Traditional Cider - Dry,Bronze,Daylesford Cider,Wild Frenchman,80,Victoria
Traditional Cider - Dry,Bronze,Camilla's Crush,Camilla's Crush,79,Victoria
Traditional Cider - Dry,Bronze,Old Twelfth,Old Twelfth Original 2020,78,Tasmania
Traditional Cider - Dry,Bronze,Old Twelfth,Old Twelfth Original 2021,78,Tasmania
Traditional Cider - Dry,Bronze,Seven Oaks Farmhouse Cider,Kingston Black 6.9%,78,Victoria
Traditional Cider - Medium,Gold,William Smith & Sons,Heritage Blend Apple Cider,93,Tasmania
Traditional Cider - Medium,Silver,William Smith & Sons,Somerset Redstreak Apple Cider,89,Tasmania
Traditional Cider - Medium,Silver,Kangaroo Island Ciders,Colony Cove Original Cider,88,South Australia
Traditional Cider - Medium,Silver,Cider Infusion,The Cape,86,Victoria
Traditional Cider - Medium,Bronze,Daylesford Cider,Cloudy Farmhouse,84,Victoria
Traditional Cider - Medium,Bronze,Seven Oaks Farmhouse Cider,Kingston Black 4.5%,84,Victoria
Traditional Cider - Medium,Bronze,Daylesford Cider,Kingston Dabinett,82,Victoria
Traditional Cider - Medium,Bronze,Eclor Entreprises,Kerisac Cuvée Spéciale Brut,82,Hauts-de-Seine
Traditional Cider - Medium,Bronze,Spreyton Cider Co,Kingston Black 2022,81.5,Tasmania
Traditional Cider - Medium,Bronze,Spreyton Cider Co,Spreyton Cidermakers Select 2021 - Young Sturmer,81,Tasmania
Traditional Cider - Medium,Bronze,Daylesford Cider,Wild Oak,80,Victoria
Traditional Cider - Medium,Bronze,Daylesford Cider,Yarlington Mill,80,Victoria
Traditional Cider - Medium,Bronze,Spreyton Cider Co,Cidermakers Select 2022 - Four Orchards Mersey Valley,80,Tasmania
Traditional Cider - Medium,Bronze,William Smith & Sons,Kingston Black Apple Cider,79,Tasmania
Traditional Cider - Medium-Sweet,Gold,Plenty Cider,Plenty Cornucopia 2021,93,Tasmania
Traditional Cider - Medium-Sweet,Silver,William Smith & Sons,Senescence Keeved Apple Cider,92,Tasmania
Traditional Cider - Medium-Sweet,Bronze,Kangaroo Island Ciders,Colony Cove Draught Cider,84,South Australia
Traditional Cider - Medium-Sweet,Bronze,Borrodell Estate,The Last Laugh,77.5,New South Wales
Traditional Cider - Méthode Traditionnelle (Disgorged),Gold,Flying Brick Cider Co,MC Cider,93,Victoria
Traditional Cider - Méthode Traditionnelle (Disgorged),Silver,Carmel Cider Company,Heritage 20,90,Western Australia
Traditional Cider - Méthode Traditionnelle (Disgorged),Silver,Carmel Cider Company,Heritage 19,88,Western Australia
Traditional Cider - Méthode Traditionnelle (Disgorged),Silver,Edgar Pines,St Ronan's Methode Traditional Apple Cider,86.5,Victoria
Traditional Cider - Méthode Traditionnelle (Disgorged),Bronze,Core Cider,Core Cider Coreupted 2020,82,Western Australia
Traditional Cider - Méthode Traditionnelle (Disgorged),Bronze,Brady's Lookout Cider,Brady's Lookout Cider 2018 Cox Orange Pippin Blend C13,77.5,Tasmania
Apple and Pear Blends,Silver,LOBO Juice and Cider,LOBO Apple and Pear,87,South Australia
Apple and Pear Blends,Bronze,The Barossa Valley Cider Company,Squashed Cloudy Cider,83,South Australia
New World Perry - Dry,Silver,3 Sons Cider,Upside Down Miss Jane,85,Australian Capital Territory
New World Perry - Medium,Silver,The Hills Cider Company,Pear Cider,88,South Australia
New World Perry - Medium,Silver,Sydney Brewery,Sydney Brewery Margaret Perry,86,New South Wales
New World Perry - Medium,Bronze,Bilpin Cider Co,Bilpin Pear Cider,82,New South Wales
New World Perry - Medium,Bronze,Small Acres Cyder,Small Acres Poire,81.5,New South Wales
New World Perry - Medium,Bronze,Flying Brick Cider Co,Pear Cider,79,Victoria
New World Perry - Medium-Sweet,Silver,The Barossa Valley Cider Company,Squashed Pear Cider,87,South Australia
New World Perry - Medium-Sweet,Bronze,Eddies Cider,Eddies Pear Cider,78,Victoria
New World Perry - Medium-Sweet,Bronze,Runamuk Cider Co P&B Hinton PTY LTD,Poacher Pear,78,Western Australia
New World Perry - Sweet,Bronze,Spreyton Cider Co,Spreyton Pear Cider,79,Tasmania
New World Perry - Méthode Traditionnelle (Disgorged),Silver,Edgar Pines,St Ronan's Methode Traditional Pear Cider,85,Victoria
New World Perry - Méthode Traditionnelle (Disgorged),Bronze,Carmel Cider Company,Pear 20,84,Western Australia
Traditional Perry - Dry,Bronze,Old Twelfth,Old Twelfth Perry,84,Tasmania
Traditional Perry - Méthode Traditionnelle (Disgorged),Gold,Core Cider,Core Cider Perilous 2020,92.5,Western Australia
Experimental Cider or Perry,Silver,Bilpin Cider Co,Bilpin Non Alc Apple Ginger,88,New South Wales
Experimental Cider or Perry,Silver,Trattore Cider,Trattore Zero,87,Victoria
Experimental Cider or Perry,Bronze,Bilpin Cider Co,Bilpin Non Alc Apple Cider,82,New South Wales
Experimental Cider or Perry,Bronze,William Smith & Sons,Non-Alc Apple Cider,78,Tasmania
Experimental Cider or Perry,Bronze,Sydney Brewery,Sydney Brewery Agave Ginger Cider,77.5,New South Wales
Cider or Perry with Fruit,Gold,Roleystone Brewing Co,Rosé Cheeks,92.5,Western Australia
Cider or Perry with Fruit,Silver,Plenty Cider,Plenty Apple + Blueberry,90,Tasmania
Cider or Perry with Fruit,Silver,Franklin Cider Company,Frank's Cherry Pear Cider,88,Tasmania
Cider or Perry with Fruit,Silver,Pagan Produce Pty Ltd,Pagan Cider Quince,88,Tasmania
Cider or Perry with Fruit,Silver,Spreyton Cider Co,Sour Cherry Cider,88,Tasmania
Cider or Perry with Fruit,Silver,Funk Cider,Pineapple Cider,87.5,Western Australia
Cider or Perry with Fruit,Silver,Sidewood Estate,Sidewood Estate Strawberry Apple Cider,85.5,South Australia
Cider or Perry with Fruit,Bronze,Plenty Cider,Plenty Apple + Quince,83,Tasmania
Cider or Perry with Fruit,Bronze,Lychee Hill Estate,Lychee Cider,82,Queensland
Cider or Perry with Fruit,Bronze,Plenty Cider,Plenty Apple + Riesling Methode Traditionelle,79.5,Tasmania
Cider or Perry with Fruit,Bronze,Flying Brick Cider Co,Pango Cider,79,Victoria
Cider or Perry with Fruit,Bronze,Pagan Produce Pty Ltd,Pagan Cider Cerise,77.5,Tasmania
Lighter Strength Cider or Perry,Gold,Glenbernie Orchard T/As Darkes Cider,Darkes Perry,92.5,New South Wales
Lighter Strength Cider or Perry,Bronze,Carmel Cider Company,Mid Apple,84,Western Australia
Cider or Perry with Herbs/Spices,Bronze,Mismatch Brewing Co,Galaxy Hopped Apple Cider,84,South Australia
Cider or Perry with Herbs/Spices,Bronze,Runamuk Cider Co P&B Hinton PTY LTD,Trickster,83,Western Australia
Cider or Perry with Herbs/Spices,Bronze,Spreyton Cider Co,Bitter Cider,83,Tasmania
Cider or Perry with Herbs/Spices,Bronze,Spreyton Cider Co,Spiced Pear Cider,79,Tasmania
Cider or Perry with Herbs/Spices,Bronze,Crafty Cider,Ole Ginger,78,New South Wales
Pommeau,Silver,Harcourt Perry & Cider Makers,Harcourt Pommeau,86,Victoria
Eau de Vie,Bronze,Carmel Cider Company,Eau De Vie,80.5,Western Australia
Eau de Vie,Bronze,Harcourt Perry & Cider Makers,Harcourt Eau De Vie,80,Victoria
Aged Spirit,Silver,Carmel Cider Company,Apple Brandy,90,Western Australia
Aged Spirit,Silver,AW Shugg Craft Distiller,The Retiring Pomme Apple Brandy ,88,Tasmania
Aged Spirit,Bronze,LOBO Juice and Cider,LOBO Apple Brandy,79,South Australia
Aged Spirit,Bronze,Harcourt Perry & Cider Makers,Harcourt Apple and Pear Brandy,78,Victoria
