ID,Style,Medal,Medalist,Entry,Region,Points,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,New World Cider - Dry,🥇 GOLD,Bilpin Cider,Bilpin Archibald High N Dry,New South Wales,95,1190,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259
3,New World Cider - Dry,🥇 GOLD,Incy Wincy Cyder,Huntsman 2020,New South Wales,93,2861,https://www.incywincycyder.com/,https://www.facebook.com/incywincycyder/,https://www.instagram.com/incywincycyder_orange,,,https://untappd.com/w/incy-wincy-cyder/413318,-33.2460069,149.1054532
4,New World Cider - Dry,🥇 GOLD,Ninch Cider,Block 13,Tasmania,93,3188,,,https://www.instagram.com/ninchcider/,https://maps.google.com/?cid=10134826457369794124,,,-43.098027,147.7436948
5,New World Cider - Dry,🥉 BRONZE,Gurneys Cider,Proper Dry,Victoria,83.5,2857,https://gurneyscider.com.au/,https://www.facebook.com/gurneyscider,https://www.instagram.com/gurneyscidery/,https://maps.google.com/?cid=17296225831182939561,https://www.tripadvisor.com/Attraction_Review-g552172-d15180819,https://untappd.com/GurneysCider,-38.667425,146.1843654
6,New World Cider - Dry,🥉 BRONZE,Sutton's Juice Factory & Cidery,Pink Lady Dry Apple Cider,Queensland,83.5,3190,https://suttonsfarm.com.au/,https://www.facebook.com/suttonsjuiceandcider/,https://www.instagram.com/suttonsfarm/,https://maps.google.com/?cid=17202902084953727843,https://www.tripadvisor.com/Attraction_Review-g3666083-d1743635,https://untappd.com/w/suttons-farm/169154,-28.5500567,151.9523766
7,New World Cider - Dry,🥉 BRONZE,Incy Wincy Cyder,Huntsman 2019,New South Wales,83,2861,https://www.incywincycyder.com/,https://www.facebook.com/incywincycyder/,https://www.instagram.com/incywincycyder_orange,,,https://untappd.com/w/incy-wincy-cyder/413318,-33.2460069,149.1054532
8,New World Cider - Medium,🥇 GOLD,Hills Cider,Apple,South Australia,93,1184,,https://www.facebook.com/thehillscidercompany,https://www.instagram.com/thehillscidercompany/,https://maps.google.com/?cid=40048064327732560,,https://untappd.com/thehillscidercompany,-35.0133029,138.8931757
9,New World Cider - Medium,🥈 SILVER,Small Acres Cyder,Femme Fatale 2023,New South Wales,89,1175,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203,https://untappd.com/brewery/14584,-33.2818782,148.9909171
10,New World Cider - Medium,🥉 BRONZE,Mock Red Hill,Classic Cider,Victoria,83.5,1185,https://www.mockredhill.com.au/,https://www.facebook.com/pages/Mock-Red-Hill/181240308586996,https://www.instagram.com/mockredhill/,https://maps.google.com/?cid=10552205982251777171,https://www.tripadvisor.com/Restaurant_Review-g552249-d9793363,https://untappd.com/brewery/28770,-38.3738505,144.993723
11,New World Cider - Medium,🥉 BRONZE,Cester Camillo,Sidro Del Bosco,Victoria,81.5,2817,https://cestercamillo.it/,https://www.facebook.com/cestercamillo/,https://www.instagram.com/cestercamillo,https://maps.google.com/?cid=8941056702037722200,,https://untappd.com/w/cester-camillo/311065,45.8126934,12.2322108
12,New World Cider - Medium,🥉 BRONZE,Hills Cider,Cloudy Apple,South Australia,81.5,1184,,https://www.facebook.com/thehillscidercompany,https://www.instagram.com/thehillscidercompany/,https://maps.google.com/?cid=40048064327732560,,https://untappd.com/thehillscidercompany,-35.0133029,138.8931757
13,New World Cider - Medium,🥉 BRONZE,Rusty Bike,Apple Cider,South Australia,81.5,2871,https://rustybike.com.au/,https://www.facebook.com/rustybike.com.au/,https://www.instagram.com/rustybikewines/,https://maps.google.com/?cid=2086180301930276726,,https://untappd.com/w/rusty-bike-wines-ciders/424227,-34.8216825,138.7560099
14,New World Cider - Medium,🥉 BRONZE,LOBO Cider,Cloudy,South Australia,79,1189,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368
15,New World Cider - Medium,🥉 BRONZE,The Apple Thief,Granny Smith Cider,New South Wales,78.5,1494,https://theapplethief.com.au/,https://www.facebook.com/TheAppleThiefCiders/,https://www.instagram.com/theapplethiefciders/,https://maps.google.com/?cid=4762631239680624675,,https://untappd.com/brewery/21796,-35.4922551,148.1527324
16,New World Cider - Medium,🥉 BRONZE,Archer,Apple Cider,Queensland,78,3193,https://www.archerbrewing.com.au/,https://www.facebook.com/archerbrewingaus,https://www.instagram.com/archerbrewing/,https://maps.google.com/?cid=4414488942984174656,,https://untappd.com/archerbrewingaus,-27.4360237,153.0154876
17,New World Cider - Medium,🥉 BRONZE,Peckham's,Apple,New Zealand,78,1432,http://www.peckhams.co.nz/,,,,,https://untappd.com/brewery/23755,-41.248697,172.9931881
18,New World Cider - Medium,🥉 BRONZE,Flying Brick Cider Co,Draught Cider,Victoria,77.5,1488,https://flyingbrickciderco.com.au/,https://www.facebook.com/flyingbrickciderco,https://www.instagram.com/flyingbrickciderco/,https://maps.google.com/?cid=413601929230884265,https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877,https://untappd.com/brewery/33883,-38.2112991,144.5152589
19,New World Cider - Medium,🥉 BRONZE,Sunshine Coast Cider,Sunshine Cider,Queensland,77.5,2874,https://www.sunshinecoastcider.com.au/,https://www.facebook.com/sunshinecoastcider/,https://www.instagram.com/sunshinecoastcider/,https://maps.google.com/?cid=10163774916123498605,https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891,https://untappd.com/SunshineCoastCider,-26.6619972,153.0417202
20,New World Cider - Medium,🥉 BRONZE,Willie Smith's Tasmanian,Organic Apple Cider,Tasmania,77.5,1442,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402
21,New World Cider - Medium Sweet,🥇 GOLD,Hillbilly Cider,Apple,New South Wales,95,2860,https://hillbillycider.com.au/,https://www.facebook.com/HillbillyCider/,https://www.instagram.com/hillbillycider/,https://maps.google.com/?cid=904695025997043027,https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596,https://untappd.com/w/hillbilly-harvest-co/44163,-33.5050517,150.5450351
22,New World Cider - Medium Sweet,🥇 GOLD,Eddies Cider,Crisp Apple,Victoria,93.5,2852,https://www.eddiescider.com.au/,https://www.facebook.com/EddiesCider/,https://www.instagram.com/eddies_organic_cider/,,,https://untappd.com/w/eddies-cider/424405,-38.3827587,145.0225816
