ID,WID,Producer,Product,Region,Medal,Points,Style,Class,BIC
2,2861,Incy Wincy Cyder,Huntsman 2019,New South Wales,Gold,94,New World Cider - Dry,1,1
3,1190,Bilpin Cider Co,Bilpin Archibald High N Dry,New South Wales,Gold,92.5,New World Cider - Dry,1,0
4,2854,Funk Drinks Co.,Juicy Cider,Western Australia,Silver,90,New World Cider - Dry,1,0
5,2700,3 Sons Cider,Not Quite Pink Lady,Australian Capital Territory,Silver,85.5,New World Cider - Dry,1,0
6,1442,Willie Smith's Tasmanian,Bone Dry Apple Cider,Tasmania,Bronze,82.5,New World Cider - Dry,1,0
7,2861,Incy Wincy Cyder,Huntsman 2020,New South Wales,Bronze,82,New World Cider - Dry,1,0
8,3717,Mostly Apples Cider,He Who Must Not Be Named,Tasmania,Bronze,81,New World Cider - Dry,1,0
9,1918,Bradys Lookout Cider,Crab Apple Sturmer Blend,Tasmania,Bronze,80,New World Cider - Dry,1,0
10,2699,Plenty Cider,Original,Tasmania,Gold,95,New World Cider - Medium,2,1
11,1184,Hills Cider,Apple,South Australia,Silver,92,New World Cider - Medium,2,0
12,2854,Funk Drink Co,Perth Cider,Western Australia,Silver,89.5,New World Cider - Medium,2,0
13,1175,Small Acres Cyder,Femme Fatale 2023,New South Wales,Silver,85,New World Cider - Medium,2,0
14,2699,Plenty Cider,Hazy Apple,Tasmania,Bronze,82.5,New World Cider - Medium,2,0
15,2860,Hillbilly Cider,Scrumpy,New South Wales,Bronze,82,New World Cider - Medium,2,0
16,3197,The Wild Beyond,Medium-Dry New World Cider,Western Australia,Bronze,82,New World Cider - Medium,2,0
17,1189,LOBO,Cloudy,South Australia,Bronze,82,New World Cider - Medium,2,0
18,2874,Sunshine Coast Cider,Sunshine Cider,Queensland,Bronze,80,New World Cider - Medium,2,0
19,1916,Sidewood Estate,Sidewood Apple Cider,South Australia,Bronze,79,New World Cider - Medium,2,0
20,2860,Hillbilly Cider,Apple,New South Wales,Silver,86.5,New World Cider - Medium Sweet,3,1
21,1494,The Apple Thief,Pink Lady Cider,New South Wales,Silver,85,New World Cider - Medium Sweet,3,0
22,2838,Barossa Cider Co,Squashed Apple Cider,South Australia,Bronze,84,New World Cider - Medium Sweet,3,0
23,3197,The Wild Beyond,Medium-Sweet New World Cider,Western Australia,Bronze,84,New World Cider - Medium Sweet,3,0
24,2875,Sydney Brewery,Original Cider,New South Wales,Bronze,83.5,New World Cider - Medium Sweet,3,0
25,1175,Small Acres Cyder,Pomme,New South Wales,Bronze,83,New World Cider - Medium Sweet,3,0
26,2852,Eddies Cider,Crisp Apple,Victoria,Bronze,82.5,New World Cider - Medium Sweet,3,0
27,2857,Gurneys Cider,Gold,Victoria,Bronze,82.5,New World Cider - Medium Sweet,3,0
28,1502,Spreyton Cider Co,Apple Cider,Tasmania,Bronze,82.5,New World Cider - Medium Sweet,3,0
29,1176,Napoleone Cider,Napoleone Apple Cider,Victoria,Bronze,82,New World Cider - Medium Sweet,3,0
30,2840,Bruny Island Cider,Bruny Island Apple Cider,Tasmania,Bronze,81.5,New World Cider - Medium Sweet,3,0
31,1494,The Apple Thief,Braeburn Gala Cloudy Cider,New South Wales,Bronze,81,New World Cider - Medium Sweet,3,0
32,1177,The Cidery Bridgetown,Apple Pickers Cloudy Cider,Western Australia,Bronze,81,New World Cider - Medium Sweet,3,0
33,1553,Frank's Cider,Summer Apple,Tasmania,Bronze,80.5,New World Cider - Medium Sweet,3,0
34,3718,Mr Bridges PTY LTD,Cloudy Apple Cider,Tasmania,Bronze,79.5,New World Cider - Medium Sweet,3,0
35,2844,Carmel Cider,Traditional,Western Australia,Bronze,79.5,New World Cider - Medium Sweet,3,0
36,1190,Bilpin Cider,Bilpin Original Cider,New South Wales,Bronze,79.5,New World Cider - Medium Sweet,3,0
37,2863,Lenswood Cider Company,Hazy Apple Cider,South Australia,Bronze,79.5,New World Cider - Medium Sweet,3,0
38,2863,Lenswood Cider Company,Apple Cider,South Australia,Bronze,79,New World Cider - Medium Sweet,3,0
39,1494,The Apple Thief,Granny Smith Cider,New South Wales,Bronze,79,New World Cider - Medium Sweet,3,0
40,1177,The Cidery Bridgetown,Spider Cider,Western Australia,Bronze,78.5,New World Cider - Medium Sweet,3,0
41,1177,The Cidery Bridgetown,Bridgetown Blues Cider,Western Australia,Bronze,78,New World Cider - Medium Sweet,3,0
42,2860,Hillbilly Cider,Sweet Julie,New South Wales,Silver,87.5,New World Cider - Sweet,4,1
43,3451,PRAH,Red and Wild,Tasmania,Bronze,84.5,New World Cider - Sweet,4,0
44,1490,Three Oaks Cider,10% Crushed Apple,South Australia,Bronze,83,New World Cider - Sweet,4,0
45,1190,Bilpin Cider Co,Bilpin Blush Pink Lady Cider,New South Wales,Bronze,81.5,New World Cider - Sweet,4,0
46,1488,Flying Brick Cider Co,Original Cider,Victoria,Bronze,81,New World Cider - Sweet,4,0
47,2874,Sunshine Coast Cider,Brut+ Cider Methode Traditonelle,Queensland,Gold,93,New World Cider - MT (Disgorged),5,1
48,1189,LOBO,Lenswulf 2019,South Australia,Gold,96,Traditional Cider - Dry,6,1
49,1186,Daylesford Cider,Organic Brut,Victoria,Gold,94,Traditional Cider - Dry,6,0
50,1189,LOBO,Be Wulf,South Australia,Silver,87,Traditional Cider - Dry,6,0
51,1918,Bradys Lookout Cider,1820s Heritage,Tasmania,Silver,86,Traditional Cider - Dry,6,0
52,1189,LOBO Cider,Norma,South Australia,Silver,85.5,Traditional Cider - Dry,6,0
53,3717,Mostly Apples Cider,Starving Wasps,Tasmania,Bronze,84,Traditional Cider - Dry,6,0
54,2700,3 Sons Cider,Somerset Redstreak,Australian Capital Territory,Bronze,83,Traditional Cider - Dry,6,0
55,1186,Daylesford Cider,Wild Frenchman,Victoria,Bronze,82.5,Traditional Cider - Dry,6,0
56,3717,Mostly Apples Cider,Send in the Clown,Tasmania,Bronze,80.5,Traditional Cider - Dry,6,0
57,1432,Peckham's Cidery and Orchard,Chisel Jersey 2023,"Nelson, New Zealand",Gold,97,Traditional Cider - Medium,7,1
58,2699,Plenty Cider,2023 Cornucopia,Tasmania,Gold,93,Traditional Cider - Medium,7,0
59,1432,Peckham's Cidery and Orchard,Knotted Kernel,"Nelson, New Zealand",Gold,92.5,Traditional Cider - Medium,7,0
60,1186,Daylesford Cider,Fox Whelp,Victoria,Silver,87.5,Traditional Cider - Medium,7,0
61,2842,Cider Infusion,The Cape,Victoria,Silver,86.5,Traditional Cider - Medium,7,0
62,2862,Kangaroo Island Ciders,Colony Cove Original Cider,South Australia,Silver,86,Traditional Cider - Medium,7,0
63,1432,Peckham's Cidery and Orchard,Classic Apple,"Nelson, New Zealand",Silver,85,Traditional Cider - Medium,7,0
64,1502,Spreyton Cider Co,Kingston Black,Tasmania,Bronze,82.5,Traditional Cider - Medium,7,0
65,1494,The Apple Thief,Orchard Blend,New South Wales,Bronze,82,Traditional Cider - Medium,7,0
66,1189,LOBO,Trad,South Australia,Bronze,81,Traditional Cider - Medium,7,0
67,2862,Kangaroo Island Ciders,Colony Cove Vintage Cider,South Australia,Bronze,81,Traditional Cider - Medium,7,0
68,1186,Daylesford Cider,Wild Oak,Victoria,Bronze,81,Traditional Cider - Medium,7,0
69,1553,Frank's Cider,Autumn Reserve,Tasmania,Bronze,78.5,Traditional Cider - Medium,7,0
70,2839,Borrodell Estate,The Hidden Stash,New South Wales,Bronze,77.5,Traditional Cider - Medium,7,0
71,1494,The Apple Thief,Kingston Black,New South Wales,Gold,92.5,Traditional Cider - Medium Sweet,8,1
72,1432,Peckham's Cidery and Orchard,Hazy Apple,Nelson,Silver,88.5,Traditional Cider - Medium Sweet,8,0
73,2862,Kangagaroo Island Ciders,Colony Cove Draught Cider,South Australia,Silver,86,Traditional Cider - Medium Sweet,8,0
74,2873,St Andrews Beach Brewery,Home Track Apple Cider,Victoria,Silver,85.5,Traditional Cider - Medium Sweet,8,0
75,1442,Willie Smith's Tasmanian,Heritage Blend,Tasmania,Bronze,83.5,Traditional Cider - Medium Sweet,8,0
76,1442,Willie Smith's Tasmanian,Farmhouse Cider,Tasmania,Bronze,80,Traditional Cider - Medium Sweet,8,0
77,1442,Willie Smith's Tasmanian,Yarlington Mill,Tasmania,Silver,85.5,Traditional Cider - Sweet,9,1
78,2699,Plenty Cider,Vintage Sparkling 2020,Tasmania,Silver,91,Traditional Cider - MT (Disgorged),10,1
79,1488,Flying Brick Cider Co,MC,Victoria,Silver,88.5,Traditional Cider - MT (Disgorged),10,0
80,1427,St Ronan's Cider,Methode Traditionelle Apple Cider,Victoria,Silver,86,Traditional Cider - MT (Disgorged),10,0
81,2844,Carmel Cider,Heritage,Western Australia,Bronze,82,Traditional Cider - MT (Disgorged),10,0
82,1918,Bradys Lookout Cider,New World Blend,Tasmania,Bronze,81.5,Traditional Cider - MT (Disgorged),10,0
83,2838,Barossa Cider Co,Squashed Cloudy Cider,South Australia,Silver,88.5,Apple and Pear Blends,11,1
84,2863,Lenswood Cider Company,Apple/Pear Cider,South Australia,Bronze,83.5,Apple and Pear Blends,11,0
85,1177,The Cidery Bridgetown,Pear Cider,Western Australia,Bronze,82,Apple and Pear Blends,11,0
86,2840,Bruny Island Cider,Bruny Island Apple & Pear Cider,Tasmania,Bronze,80.5,Apple and Pear Blends,11,0
