Trophy,Cider Name,Producer,Points
BEST IN SHOW,Wild Oak 2024,"Daylesford Cider, Victoria, Australia",93
BEST NEW WORLD CIDER,Red Moon Rosé Cider,"The Apple Thief, New South Wales, Australia",93.5
BEST TRADITIONAL CIDER,Wild Oak 2024,"Daylesford Cider, Victoria, Australia",93
BEST PERRY,William Pear Cider,"The Apple Thief, New South Wales, Australia",92.5
BEST SPECIALTY CIDER OR PERRY,Apple + Blueberry,"Plenty Cider, Tasmania, Australia",93
BEST INTENSIFIED / DISTILLED CIDER OR PERRY,Apple Brandy,"Willie Smith's Tasmanian, Tasmania, Australia",93
BEST AUSTRALIAN CIDER OR PERRY,Wild Oak 2024,"Daylesford Cider, Victoria, Australia",93
BEST INTERNATIONAL CIDER OR PERRY,Bitter Harry 2021,"Peckham's Cidery & Orchard, New Zealand",93
BEST SINGLE VARIETAL CIDER,Bilpin Blush Pink Lady Cider,"Bilpin Cider Co, New South Wales, Australia",91
,,,
MOST SUCCESSFUL SMALL PRODUCER,"Daylesford Cider, Victoria, Australia",,
MOST SUCCESSFUL LARGER PRODUCER,"Willie Smith's Tasmanian, Tasmania, Australia",,
