ID,Year,ID2,WID,Medalist_Original,Class,Award,Medalist,Product,Score,Class #,BOC,Region_Original,Status,Region,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
2,2011,1,1179,(Phoenix Beers) Henney's Cider Co,Dry Cider,🥇 Gold,Henney's Cider,Henney's Dry Cider,,1,1,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
3,2011,2,1179,(Phoenix Beers) Henney's Cider Co,Dry Cider,🥈 Silver,Henney's Cider,Henney's Vintage Cider,,1,0,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
4,2011,3,1175,Small Acres Cyder,Dry Cider,🥉 Bronze,Small Acres Cyder,Somerset Still 2010,,1,0,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
5,2011,14,1162,Innspire / Gwynt Y Ddraig,Medium Cider,🥉 Bronze,Gwynt y Ddraig Cider,Farmhouse Cloudy Scrumpy,,2,1,,Active,Rhondda Cynon Taf,Wales,"<a href=""https://gwyntcidershop.com/"">Website</a>","<a href=""https://www.facebook.com/gwyntcider/"">Facebook</a>","<a href=""https://www.instagram.com/gwyntyddraigcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=194836955180238214"">Google</a>",,,"<a href=""https://untappd.com/brewery/6770"">Untappd</a>"
6,2011,15,1175,Small Acres Cyder,Medium Cider,🥉 Bronze,Small Acres Cyder,Norfolk Still 2010,,2,0,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
7,2011,31,1179,(Phoenix Beers) Henney's Cider Co,Sweet Cider,🥈 Silver,Henney's Cider,Henney’s Sweet Cider,,3,1,,Active,Herefordshire,England,"<a href=""http://www.henneys.co.uk/"">Website</a>","<a href=""https://www.facebook.com/HenneysCider"">Facebook</a>",,,,,"<a href=""https://untappd.com/brewery/10577"">Untappd</a>"
8,2011,32,3419,Suntory (Aust) P/L,Sweet Cider,🥉 Bronze,Magners,Magners Original Irish Cider,,3,0,,Active,Tipperary,Ireland,"<a href=""https://magners.co.uk/"">Website</a>","<a href=""https://www.facebook.com/magnerscider"">Facebook</a>","<a href=""https://www.instagram.com/magnersuk"">Instagram</a>","<a href=""https://maps.google.com/?cid=13030775149028298606"">Google</a>",,,"<a href=""https://untappd.com/MagnersCider"">Untappd</a>"
9,2011,33,1175,Small Acres Cyder,Sweet Cider,🥉 Bronze,Small Acres Cyder,Appscato 2010,,3,0,,Active,New South Wales,Australia,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
10,2011,34,1162,Innspire / Gwynt Y Ddraig,Sweet Cider,🥉 Bronze,Gwynt y Ddraig Cider,Orchard Gold,,3,0,,Active,Rhondda Cynon Taf,Wales,"<a href=""https://gwyntcidershop.com/"">Website</a>","<a href=""https://www.facebook.com/gwyntcider/"">Facebook</a>","<a href=""https://www.instagram.com/gwyntyddraigcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=194836955180238214"">Google</a>",,,"<a href=""https://untappd.com/brewery/6770"">Untappd</a>"
11,2011,46,1149,(Phoenix Beers) Domaine Dupont,Bottle Conditioned / Methode Champenoise Cider,🥈 Silver,Domaine Dupont,Famille E Dupont Bouche Fermier,,4,1,,Active,Normandy,France,"<a href=""https://www.calvados-dupont.com/"">Website</a>","<a href=""https://www.facebook.com/calvados.dupont/"">Facebook</a>","<a href=""https://www.instagram.com/domaine_dupont/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4283975466429458280"">Google</a>","<a href=""https://www.yelp.com/biz/domaine-familial-louis-dupont-victot-pontfol"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g3419860-d2344452"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/4744"">Untappd</a>"
