Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd
Carmel Cider Co.,Western Australia,1,4,4,9,"<a href=""https://carmelcider.com.au/"">Website</a>",,"<a href=""https://www.instagram.com/carmel_cider"">Instagram</a>","<a href=""https://maps.google.com/?cid=9888810503901269588"">Google</a>",,,"<a href=""https://untappd.com/CarmelCiderCompany"">Untappd</a>"
Hillbilly Cider,New South Wales,0,4,5,9,"<a href=""https://hillbillycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/HillbillyCider/"">Facebook</a>","<a href=""https://www.instagram.com/hillbillycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=904695025997043027"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596"">TripAdvisor</a>","<a href=""https://untappd.com/w/hillbilly-harvest-co/44163"">Untappd</a>"
Flying Brick Cider,Victoria,0,1,8,9,"<a href=""https://flyingbrickciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/flyingbrickciderco"">Facebook</a>","<a href=""https://www.instagram.com/flyingbrickciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=413601929230884265"">Google</a>","<a href=""https://www.yelp.com/biz/flying-brick-cider-co-wallington-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/33883"">Untappd</a>"
Bilpin Cider,New South Wales,1,0,7,8,"<a href=""https://bilpincider.com/"">Website</a>","<a href=""https://www.facebook.com/bilpincider"">Facebook</a>","<a href=""https://www.instagram.com/bilpincider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=1982319036704250930"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/18734"">Untappd</a>"
Plenty Cider,Tasmania,3,1,3,7,"<a href=""https://www.plentycider.com.au/"">Website</a>","<a href=""https://www.facebook.com/plentycider/"">Facebook</a>","<a href=""https://www.instagram.com/plentycider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=108618394510087143"">Google</a>",,,"<a href=""https://untappd.com/w/plenty-cider/454183"">Untappd</a>"
Lobo Cider,South Australia,2,2,3,7,"<a href=""https://www.lobocider.com.au/"">Website</a>","<a href=""https://www.facebook.com/LOBOcider/"">Facebook</a>","<a href=""https://www.instagram.com/lobocider"">Instagram</a>",,,,"<a href=""https://untappd.com/brewery/8446"">Untappd</a>"
Willie Smith's,Tasmania,0,2,5,7,"<a href=""https://www.williesmiths.com.au/"">Website</a>","<a href=""https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198"">Facebook</a>","<a href=""https://www.instagram.com/williesmithscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16057012530083496420"">Google</a>","<a href=""https://www.yelp.com/biz/willie-smith-s-apple-shed-grove"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074"">TripAdvisor</a>","<a href=""https://untappd.com/WilliamSmithandSons"">Untappd</a>"
The Apple Thief,New South Wales,1,1,4,6,"<a href=""https://theapplethief.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheAppleThiefCiders/"">Facebook</a>","<a href=""https://www.instagram.com/theapplethiefciders/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4762631239680624675"">Google</a>",,,"<a href=""https://untappd.com/brewery/21796"">Untappd</a>"
Small Acres Cyder,New South Wales,0,3,3,6,"<a href=""https://www.smallacrescyder.com.au/"">Website</a>","<a href=""https://www.facebook.com/SmallAcresCyder"">Facebook</a>","<a href=""https://www.instagram.com/smallacrescyder"">Instagram</a>","<a href=""https://maps.google.com/?cid=1497457670374953580"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/14584"">Untappd</a>"
Spreyton Cider Co.,Tasmania,0,2,4,6,"<a href=""https://www.spreytonciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/SpreytonCiderCo"">Facebook</a>","<a href=""https://www.instagram.com/spreytonciderco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=4719454766033276507"">Google</a>","<a href=""https://www.yelp.com/biz/spreyton-cider-co-spreyton-2"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g504292-d3738226"">TripAdvisor</a>","<a href=""https://untappd.com/SpreytonCiderCo"">Untappd</a>"
The Cidery,Western Australia,0,0,6,6,"<a href=""https://www.thecidery.com.au/"">Website</a>","<a href=""https://www.facebook.com/TheCideryBridgetown"">Facebook</a>","<a href=""https://www.instagram.com/thecidery_/"">Instagram</a>","<a href=""https://maps.google.com/?cid=5365209465918520059"">Google</a>","<a href=""https://www.yelp.com/biz/the-cidery-bridgetown"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g488330-d3385747"">TripAdvisor</a>","<a href=""https://untappd.com/BlackwoodValleyBrewingCompany"">Untappd</a>"
Peckham's Cider,Tasman,3,2,0,5,"<a href=""https://www.peckhams.co.nz/"">Website</a>","<a href=""https://www.facebook.com/peckhamscider/"">Facebook</a>","<a href=""https://www.instagram.com/peckhamscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=2102526933207385793"">Google</a>",,,"<a href=""https://untappd.com/brewery/23755"">Untappd</a>"
Daylesford Cider Company,Victoria,1,2,2,5,"<a href=""https://daylesfordcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/DaylesfordCider"">Facebook</a>","<a href=""https://www.instagram.com/daylesfordcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=3704200538482217988"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486"">TripAdvisor</a>","<a href=""https://untappd.com/w/daylesford-cider-company/15899"">Untappd</a>"
Frank's Cider,Tasmania,1,1,3,5,"<a href=""https://www.frankscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/FranksCider"">Facebook</a>","<a href=""https://www.instagram.com/frankscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12281895632138757991"">Google</a>","<a href=""https://www.yelp.com/biz/franks-cider-bar-and-cafe-franklin"">Yelp</a>","<a href=""https://www.tripadvisor.com/Restaurant_Review-g504298-d7270183"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/66943"">Untappd</a>"
Lenswood Cider Co.,South Australia,1,0,4,5,"<a href=""https://www.lenswoodciderco.com.au/"">Website</a>","<a href=""https://www.facebook.com/lenswoodciderco"">Facebook</a>","<a href=""https://www.instagram.com/lenswoodciderco/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/lenswood-cider-co/472218"">Untappd</a>"
Funk Drinks Co.,Western Australia,0,4,1,5,"<a href=""https://funkdrinks.co/"">Website</a>","<a href=""https://www.facebook.com/funkdrinksco"">Facebook</a>","<a href=""https://www.instagram.com/funkdrinksco/"">Instagram</a>","<a href=""https://maps.google.com/?cid=12976653066917509642"">Google</a>",,,"<a href=""https://untappd.com/FunkCider"">Untappd</a>"
Barossa Cider Co.,South Australia,1,2,1,4,"<a href=""https://barossavalleyciderco.com/"">Website</a>","<a href=""https://www.facebook.com/barossacider/"">Facebook</a>","<a href=""https://www.instagram.com/barossacider.co/"">Instagram</a>",,,,"<a href=""https://untappd.com/TheBarossaValleyCiderCo"">Untappd</a>"
Cider Infusion,Victoria,0,3,1,4,"<a href=""https://ciderinfusion.com/"">Website</a>","<a href=""https://www.facebook.com/ciderinfusion/"">Facebook</a>","<a href=""https://www.instagram.com/ciderinfusion/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/cider-infusion/534576"">Untappd</a>"
NewLeaf Orchard,Western Australia,1,0,2,3,"<a href=""https://newleaforchard.com.au/"">Website</a>","<a href=""https://www.facebook.com/wildbeyondcider"">Facebook</a>",,,,,
Kangaroo Island Ciders,South Australia,0,2,1,3,"<a href=""https://www.kangarooislandciders.com.au/"">Website</a>",,,"<a href=""https://maps.google.com/?cid=7120331639179318476"">Google</a>",,,"<a href=""https://untappd.com/w/kangaroo-island-ciders/62318"">Untappd</a>"
3 Sons Cider,Australian Capital Territory,0,1,2,3,"<a href=""http://www.3sonscider.com.au/"">Website</a>","<a href=""https://www.facebook.com/3SonsCider/"">Facebook</a>","<a href=""https://www.instagram.com/3sonscider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16285596579467432961"">Google</a>",,,"<a href=""https://untappd.com/3sonscider"">Untappd</a>"
Brady's Lookout Cider,Tasmania,0,1,2,3,"<a href=""https://www.bradyslookoutcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/bradyslookoutcider"">Facebook</a>","<a href=""https://www.instagram.com/bradys_lookout_cider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=17861747211596541785"">Google</a>",,,"<a href=""https://untappd.com/w/brady-s-lookout/225207"">Untappd</a>"
Bruny Island Cider,Tasmania,0,0,3,3,"<a href=""https://www.brunyisland.com/catalogue/bruny-island-cider/"">Website</a>","<a href=""https://www.facebook.com/BrunyIslandCider/"">Facebook</a>","<a href=""https://www.instagram.com/brunyislandcider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/bruny-island-cider/235917"">Untappd</a>"
Little Green Men Brewing Co,Tasmania,0,0,3,3,"<a href=""https://www.littlegreenmenbrewing.com/"">Website</a>","<a href=""https://www.facebook.com/littlegreenmenbrewing"">Facebook</a>","<a href=""https://www.instagram.com/littlegreenmenbrewing"">Instagram</a>","<a href=""https://maps.google.com/?cid=4403040247038681309"">Google</a>",,"<a href=""https://www.tripadvisor.com/Restaurant_Review-g261651-d15813582"">TripAdvisor</a>","<a href=""https://untappd.com/w/little-green-men/485891"">Untappd</a>"
Napoleone Cider,Victoria,0,0,3,3,"<a href=""https://napoleone.com.au/"">Website</a>","<a href=""https://www.facebook.com/napoleoneorchardbar"">Facebook</a>","<a href=""https://www.instagram.com/napoleonecider"">Instagram</a>","<a href=""https://maps.google.com/?cid=3472985488113617215"">Google</a>","<a href=""https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream"">Yelp</a>","<a href=""https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976"">TripAdvisor</a>","<a href=""https://untappd.com/brewery/3800"">Untappd</a>"
Sidewood Estate,South Australia,0,0,3,3,"<a href=""https://sidewood.com.au/"">Website</a>","<a href=""https://www.facebook.com/SidewoodEstate/"">Facebook</a>","<a href=""https://www.instagram.com/sidewoodestate/"">Instagram</a>","<a href=""https://maps.google.com/?cid=16006910239256404559"">Google</a>",,"<a href=""https://www.tripadvisor.com.au/Attraction_Review-g499710-d19238424"">TripAdvisor</a>","<a href=""https://untappd.com/w/sidewood-estate/118552"">Untappd</a>"
The Hills Cider Company,South Australia,1,1,0,2,,"<a href=""https://www.facebook.com/thehillscidercompany"">Facebook</a>","<a href=""https://www.instagram.com/thehillscidercompany/"">Instagram</a>","<a href=""https://maps.google.com/?cid=40048064327732560"">Google</a>",,,"<a href=""https://untappd.com/thehillscidercompany"">Untappd</a>"
Eddies Cider,Victoria,1,0,1,2,"<a href=""https://www.eddiescider.com.au/"">Website</a>","<a href=""https://www.facebook.com/EddiesCider/"">Facebook</a>","<a href=""https://www.instagram.com/eddies_organic_cider/"">Instagram</a>",,,,"<a href=""https://untappd.com/w/eddies-cider/424405"">Untappd</a>"
Incy Wincy Cyder,New South Wales,1,0,1,2,"<a href=""https://www.incywincycyder.com/"">Website</a>","<a href=""https://www.facebook.com/incywincycyder/"">Facebook</a>","<a href=""https://www.instagram.com/incywincycyder_orange"">Instagram</a>",,,,"<a href=""https://untappd.com/w/incy-wincy-cyder/413318"">Untappd</a>"
Sunshine Coast Cider,Queensland,1,0,1,2,"<a href=""https://www.sunshinecoastcider.com.au/"">Website</a>","<a href=""https://www.facebook.com/sunshinecoastcider/"">Facebook</a>","<a href=""https://www.instagram.com/sunshinecoastcider/"">Instagram</a>","<a href=""https://maps.google.com/?cid=10163774916123498605"">Google</a>",,"<a href=""https://www.tripadvisor.com/Attraction_Review-g7815622-d21508891"">TripAdvisor</a>","<a href=""https://untappd.com/SunshineCoastCider"">Untappd</a>"
