WID,Medalist,Region,🥇 Gold,🥈 Silver,🥉 Bronze,🏅 Total,First,Last,Years,Status,Country,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude,Transparency
1175,Small Acres Cyder,New South Wales,6,30,39,75,2011,2024,13,Active,Australia,https://www.smallacrescyder.com.au/,https://www.facebook.com/SmallAcresCyder,https://www.instagram.com/smallacrescyder,https://maps.google.com/?cid=1497457670374953580,,https://www.tripadvisor.com/Attraction_Review-g2642455-d5991203,https://untappd.com/brewery/14584,-33.2818782,148.9909171,0
1442,Willie Smith's,Tasmania,8,21,37,66,2013,2024,10,Active,Australia,https://www.williesmiths.com.au/,https://www.facebook.com/pages/Willie-Smiths-Organic-Cider/260319247336198,https://www.instagram.com/williesmithscider/,https://maps.google.com/?cid=16057012530083496420,https://www.yelp.com/biz/willie-smith-s-apple-shed-grove,https://www.tripadvisor.com/Restaurant_Review-g1175547-d7911074,https://untappd.com/WilliamSmithandSons,-42.987793,147.085402,0
1189,Lobo Cider,South Australia,4,19,39,62,2012,2024,12,Active,Australia,https://www.lobocider.com.au/,https://www.facebook.com/LOBOcider/,https://www.instagram.com/lobocider,,,,https://untappd.com/brewery/8446,-34.9198542,138.8289368,0
1502,Spreyton Cider Co.,Tasmania,3,14,41,58,2013,2024,11,Active,Australia,https://www.spreytonciderco.com.au/,https://www.facebook.com/SpreytonCiderCo,https://www.instagram.com/spreytonciderco/,https://maps.google.com/?cid=4719454766033276507,https://www.yelp.com/biz/spreyton-cider-co-spreyton-2,https://www.tripadvisor.com/Attraction_Review-g504292-d3738226,https://untappd.com/SpreytonCiderCo,-41.2451669,146.3426667,0
1184,The Hills Cider Company,South Australia,5,17,26,48,2011,2024,13,Active,Australia,,https://www.facebook.com/thehillscidercompany,https://www.instagram.com/thehillscidercompany/,https://maps.google.com/?cid=40048064327732560,,,https://untappd.com/thehillscidercompany,-35.0133029,138.8931757,0
2844,Carmel Cider Co.,Western Australia,3,17,27,47,2017,2024,7,Active,Australia,https://carmelcider.com.au/,,https://www.instagram.com/carmel_cider,https://maps.google.com/?cid=9888810503901269588,,,https://untappd.com/CarmelCiderCompany,-32.029804,116.0846998,0
1186,Daylesford Cider Company,Victoria,6,11,27,44,2016,2024,8,Active,Australia,https://daylesfordcider.com.au/,https://www.facebook.com/DaylesfordCider,https://www.instagram.com/daylesfordcider/,https://maps.google.com/?cid=3704200538482217988,,https://www.tripadvisor.com/Attraction_Review-g2533620-d4506486,https://untappd.com/w/daylesford-cider-company/15899,-37.3566482,144.2004847,0
1488,Flying Brick Cider,Victoria,3,11,30,44,2013,2024,11,Active,Australia,https://flyingbrickciderco.com.au/,https://www.facebook.com/flyingbrickciderco,https://www.instagram.com/flyingbrickciderco/,https://maps.google.com/?cid=413601929230884265,https://www.yelp.com/biz/flying-brick-cider-co-wallington-2,https://www.tripadvisor.com/Restaurant_Review-g1937720-d7332877,https://untappd.com/brewery/33883,-38.2112991,144.5152589,0
2860,Hillbilly Cider,New South Wales,1,17,26,44,2012,2024,11,Active,Australia,https://hillbillycider.com.au/,https://www.facebook.com/HillbillyCider/,https://www.instagram.com/hillbillycider/,https://maps.google.com/?cid=904695025997043027,,https://www.tripadvisor.com/Attraction_Review-g1093762-d12290596,https://untappd.com/w/hillbilly-harvest-co/44163,-33.5050517,150.5450351,0
1176,Napoleone Cider,Victoria,2,12,26,40,2011,2024,12,Active,Australia,https://napoleone.com.au/,https://www.facebook.com/napoleoneorchardbar,https://www.instagram.com/napoleonecider,https://maps.google.com/?cid=3472985488113617215,https://www.yelp.com/biz/napoleone-brewery-and-ciderhouse-coldstream,https://www.tripadvisor.com/Attraction_Review-g1205102-d7980976,https://untappd.com/brewery/3800,-37.691864,145.4129791,0
1190,Bilpin Cider,New South Wales,2,3,35,40,2013,2024,10,Active,Australia,https://bilpincider.com/,https://www.facebook.com/bilpincider,https://www.instagram.com/bilpincider/,https://maps.google.com/?cid=1982319036704250930,,https://www.tripadvisor.com/Attraction_Review-g1093762-d10065632,https://untappd.com/brewery/18734,-33.5034269,150.5299259,0
1504,Core Cider,Western Australia,5,11,19,35,2011,2022,11,Active,Australia,https://corecider.com.au/,https://www.facebook.com/pages/The-CORE-Cider-House/193269374050973,https://www.instagram.com/coreciderhouse/,https://maps.google.com/?cid=9482101079872958147,https://www.yelp.com/biz/core-cider-pickering-brook-3,https://www.tripadvisor.com/Restaurant_Review-g804216-d3191966,https://untappd.com/w/core-cider-house/90179,-32.0381641,116.1344718,0
