ID,Year,ID2,WID,Producer,Award,Medalist,Product,Score,Class,BOC,Class
2,2011,1,1179,(Phoenix Beers) Henney's Cider Co,🏆 Best in Show,Henney's Cider,Henney's Dry Cider,,Dry Cider,1,Dry Cider
18,2011,72,3409,(Liquid Ideas) Carlton and United,🏆 Best Australian Cider,Matilda Bay Brewing Company,Dirty Granny,,Medium Cider (using water and/or sugar),1,Medium Cider (using water and/or sugar)
14,2011,55,1184,The Hills Cider Company,🏆 Best Australian Perry,The Hills Cider Company,Pear,,Medium Perry,1,Medium Perry
16,2011,61,1176,Napoleone & Co / Punt Road,🏆 Best Australian Perry,Napoleone Cider,Pear Cider Traditionelle,,Bottle Conditioned / Methode Champenoise Perry,1,Bottle Conditioned / Methode Champenoise Perry
34,2012,15,1179,Phoenix Beers,🏆 Best in Show,Henney's Cider,Henney’s Sweet Cider,,Sweet Cider,1,Sweet Cider
25,2012,6,3422,Little Creatures,🏆 Best Australian Cider,Little Creatures,Pipsqueak Best Cider,,Medium Cider,1,Medium Cider
50,2012,31,1427,St Ronan’s Cider,🏆 Best Australian Perry,St Ronan's Cider,Methode Traditionelle Pear Cider,,Bottle Conditioned / Methode Champenoise Perry,1,Bottle Conditioned / Methode Champenoise Perry
97,2013,41,1184,Hills Cider Company,🏆 Champion of the Show,The Hills Cider Company,Pear,,Medium Perry,1,Medium Perry
89,2013,33,1175,Small Acres Cyder,🏆 Champion Australian Cider,Small Acres Cyder,The Cat’s Pyjamas,,Bottle Conditioned / Methode Champenoise Cider,0,Bottle Conditioned / Methode Champenoise Cider
97,2013,41,1184,Hills Cider Company,🏆 Champion Australian Perry,The Hills Cider Company,Pear,,Medium Perry,1,Medium Perry
151,2014,58,1119,Thatchers Cider,🏆 Best in Show,Thatchers Cider,Thatchers Gold,55.5,Traditional Medium Cider,0,Traditional Medium Cider
151,2014,58,1119,Thatchers Cider,🏆 Best Cider,Thatchers Cider,Thatchers Gold,55.5,Traditional Medium Cider,0,Traditional Medium Cider
151,2014,58,1119,Thatchers Cider,🏆 Best International Cider or Perry,Thatchers Cider,Thatchers Gold,55.5,Traditional Medium Cider,0,Traditional Medium Cider
182,2014,131,1176,Napoleone Cider,🏆 Best Perry,Napoleone Cider,Methode Traditionelle Pear Cider,55.5,Bottle Conditioned / Methode Champenoise Perry,1,Bottle Conditioned / Methode Champenoise Perry
182,2014,131,1176,Napoleone Cider,🏆 Best Australian Cider or Perry,Napoleone Cider,Methode Traditionelle Pear Cider,55.5,Bottle Conditioned / Methode Champenoise Perry,1,Bottle Conditioned / Methode Champenoise Perry
231,2015,71,1442,Willie Smith’s Cider,🏆 Best in Show,Willie Smith's,18 Varieties,92.5,Traditional Medium Cider,1,Traditional Medium Cider
231,2015,71,1442,Willie Smith’s Cider,🏆 Best Cider,Willie Smith's,18 Varieties,92.5,Traditional Medium Cider,1,Traditional Medium Cider
231,2015,71,1442,Willie Smith’s Cider,🏆 Best Australian Cider or Perry,Willie Smith's,18 Varieties,92.5,Traditional Medium Cider,1,Traditional Medium Cider
359,2016,111,1442,Willie Smith's,🏆 Best in Show,Willie Smith's,French Blend,93,Traditional Medium Cider,1,Traditional Medium Cider
359,2016,111,1442,Willie Smith's,🏆 Best Cider,Willie Smith's,French Blend,93,Traditional Medium Cider,1,Traditional Medium Cider
397,2016,176,1175,Small Acres Cyder,🏆 Best Perry,Small Acres Cyder,2013 Sparkling Perry,93,Traditional Method Traditional Perry,1,Traditional Method Traditional Perry
359,2016,111,1442,Willie Smith's,🏆 Best Australian Cider or Perry,Willie Smith's,French Blend,93,Traditional Medium Cider,1,Traditional Medium Cider
340,2016,77,1227,Square Keg,🏆 Best International Cider or Perry,Aspall,Aspall Draught,87,New World Medium Cider,0,New World Medium Cider
468,2017,72,3419,Magners,🏆 Best in Show,Magners,Original Apple,94,New World Medium Cider,1,New World Medium Cider
548,2017,169,1427,St Ronan's,🏆 Best Traditional Cider,St Ronan's Cider,Methode Traditionelle Heritage,93,Tradtional Method Traditional Cider,1,Tradtional Method Traditional Cider
468,2017,72,3419,Magners,🏆 Best New World Cider,Magners,Original Apple,94,New World Medium Cider,1,New World Medium Cider
574,2017,200,2844,Carmel Cider,🏆 Best Perry,Carmel Cider Co.,Pear,87,New World Method Traditional Perry,1,New World Method Traditional Perry
588,2017,223,1189,LOBO Cider,🏆 Best Cider and Perry Blend,Lobo Cider,LOBO Apple & Pear,86,Apple and Pear Blends,1,Apple and Pear Blends
594,2017,230,1175,Small Acres Cyder,🏆 Best Intensified/Distilled Cider or Perry,Small Acres Cyder,2015 Pomona Ice,86,Ice Cider or Perry,1,Ice Cider or Perry
