Style,Award,Medalist,Entry
Heritage,🥇🥇 Double Gold,Michel Jodoin,Cidre Mousseux Rosé
Heritage,🥇 Gold,Dragon's Head Cider,Traditional Cider
Heritage,🥈 Silver,Snowdrift Cider Co.,Cliffbreaks Blend
Heritage,🥉 Bronze,Liberty Ciderworks,McIntosh SV
Heritage,Judges' Pick,Snowdrift Cider Co.,Red
Heritage,Judges' Pick,Cider Riot!,1763 Revolutionary West Country Cider
Heritage,Judges' Pick,Salt Spring Wild Cider,Semi-Dry
Modern,🥇🥇 Double Gold,C Squared Ciders,Alma
Modern,🥇 Gold,Gowan's Heirloom Ciders,Estate 1876 Heirloom Cider
Modern,🥈 Silver,FoxCraft Hard Cider,Apple Blossom
Modern,🥉 Bronze,2 Towns Ciderhouse,OutCider
Modern,Judges' Pick,Reverend Nat's Hard Cider,Revival Hard Apple
Modern,Judges' Pick,March First Brewing,Traditional Cider
Modern,Judges' Pick,Portland Cider Co.,Apple
Perry,🥇🥇 Double Gold,Portland Cider Co.,Pearfect Perry
Perry,🥇 Gold,Dragon's Head Cider,Perry
Perry,🥈 Silver,Eden Valley Orchards,Pear House Cider
Perry,🥉 Bronze,Tieton Cider Works,Sparkling Perry
Perry,Judges' Pick,Salt Spring Wild Cider,Pear
Perry,Judges' Pick,Seattle Cider Co.,2015 Perry
Perry,Judges' Pick,Stem Ciders,Perry
Still,🥇🥇 Double Gold,Liberty Ciderworks,Porter's Perfection SV
Still,🥇 Gold,Angry Orchard,Understood in Motion 01
Still,🥈 Silver,Michel Jodoin,Rosalie Tranquille Rosé
Still,🥉 Bronze,Gowan's Heirloom Ciders,Estate Sierra Beauty
Still,Judges' Pick,Headwater Cider,Clesson
Still,Judges' Pick,Mountain West Hard Cider,Stillwater 6 Months Barrel-Aged
Still,Judges' Pick,Colorado Cider Co.,Pato Feo
Single Varietal,🥇🥇 Double Gold,Michel Jodoin,Cidre Mousseux Rosé
Single Varietal,🥇 Gold,Dragon's Head Cider,Kingston Black
Single Varietal,🥈 Silver,Montana CiderWorks,McIntosh
