Style,Award,Medalist,Entry
Heritage,🥇🥇 Double Gold,Galipette,Cidre Brut
Heritage,🥇 Gold,Liberty Ciderworks,English Style
Heritage,🥈 Silver,Lassen Traditional Cider,Farmhouse Dry
Heritage,🥈 Silver,West Avenue Cider,Autumn
Heritage,🥉 Bronze,Rootwood Cider Co.,Heritage Style Estate Blend
Heritage,Judges' Pick,Ragged Hill Cider Co.,Traditional Semi-Dry
Heritage,Judges' Pick,Michel Jodoin,Cidre Rosé Tranquille Fort
Heritage,Judges' Pick,Big Fish Cider Co.,Orchard Select
Modern,🥇🥇 Double Gold,Portland Cider Co.,Sorta Sweet
Modern,🥇 Gold,2 Towns Ciderhouse,BrightCider
Modern,🥇 Gold,Arsenal Cider House,Archibald's Ado
Modern,🥈 Silver,Tieton Cider Works,Tieton Dry
Modern,🥈 Silver,Arsenal Cider House,Event Blend
Modern,🥉 Bronze,Brooks Dry Cider,Dry
Modern,Judges' Pick,Starcut Ciders,Pulsar
Modern,Judges' Pick,Seattle Cider Co.,Semi Sweet
Modern,Judges' Pick,Alter Ego Cider,The Brut
Perry,🥇🥇 Double Gold,Ramborn Cider Co.,Perry
Perry,🥇 Gold,Portland Cider Co.,Pearfect
Perry,🥈 Silver,Seattle Cider Co.,Traditional
Perry,🥉 Bronze,Edenvale Winery,Eden Valley Orchards Pear House
Perry,Judges' Pick,Blossom Barn Cidery,Rogue Valley
Perry,Judges' Pick,Rootwood Cider Co.,Perry
Perry,Judges' Pick,Seattle Cider Co.,2015 Perry
Single Varietal,🥇🥇 Double Gold,Eden Ciders,Cellar Series #4 Guinevere's Pearls
Single Varietal,🥇 Gold,Settler's Cider Co.,Golden Russett
Single Varietal,🥈 Silver,Cider Riot!,Kingston Black
Single Varietal,🥉 Bronze,Tieton Cider Works,Single Varietal Harrison
Single Varietal,🥉 Bronze,Herb's Cider,Double Drag Tap Gravenstein
Single Varietal,Judges' Pick,Seattle Cider Co.,Winter Banana
Single Varietal,Judges' Pick,Arsenal Cider House,Grimes Golden
Single Varietal,Judges' Pick,Chatter Creek Cider,Kingston Black
Single Varietal,Judges' Pick,Ragged Hill Cider Co.,Honeycrisp
Rosé,🥇🥇 Double Gold,Ragged Hill Cider Co.,Rasé
Rosé,🥇🥇 Double Gold,Seattle Cider Co.,Red Currant
Rosé,🥇 Gold,Big Pippin Hard Cider,Elder Cherry
Rosé,🥈 Silver,Houston Cider Co.,Rosé
Rosé,🥉 Bronze,Windfall Cider,Hail Mary
Rosé,Judges' Pick,Michel Jodoin,Cidre Rosé Mousseux
Rosé,Judges' Pick,Ironbound Hard Cider,Pinelands Rosé
Rosé,Judges' Pick,Diskin Cider,Daydream
Wood-Aged,🥇🥇 Double Gold,SARO Cider,Marmara
Wood-Aged,🥇 Gold,Meriwether Cider Co.,Hardwood Normandy
Wood-Aged,🥇 Gold,Blake's Hard Cider Co.,Barrel Reserve Wild Blueberry
Wood-Aged,🥈 Silver,Seattle Cider Co.,Red Wine Barrel-Aged Berry
Wood-Aged,🥉 Bronze,Gypsy Circus Cider Co.,PuppetMaster: Whiskey Barrel Vaudevillian
Wood-Aged,Judges' Pick,Diskin Cider,BTC
Wood-Aged,Judges' Pick,Standard Cider Co.,Rebel Reserve
Wood-Aged,Judges' Pick,Tieton Cider Works,Bourbon Barrel Peach Cider
Sour,🥇🥇 Double Gold,Sidra Riestra,Sidra Natural Riestra
Sour,🥇 Gold,Sidra Riestra,Good Clean Funk
Sour,🥇 Gold,Seattle Cider Co.,Crimson Gold
Sour,🥈 Silver,2 Towns Ciderhouse,2017 La Mûre
Sour,🥈 Silver,Bristols Cider,Skimmington
Sour,🥉 Bronze,Courthouse Creek Cider,Straight No Chaser
Sour,Judges' Pick,Sidra Fanjul,Sidra Natural
Sour,Judges' Pick,Cider Creek Hard Cider,Dreams of Charlotte
Sour,Judges' Pick,Potter's Craft Cider,Raspberries & Brett
Stone Fruit,🥇🥇 Double Gold,Houston Cider Co.,Cherry
Stone Fruit,🥇 Gold,AVID Cider Co.,Apricot
Stone Fruit,🥈 Silver,Big B's Hard Cider,Peach Pickin Time
Stone Fruit,🥉 Bronze,Bauman's Cider Co.,Peach Raspberry
Stone Fruit,Judges' Pick,Winsome Ciderworks,Pom Cherry
Stone Fruit,Judges' Pick,Snow Capped Cider,Colorado Peach
Stone Fruit,Judges' Pick,Washington Gold Cider,Cherry
Fruit,🥇🥇 Double Gold,2 Towns Ciderhouse,Camp Clementine
Fruit,🥇 Gold,Liquid Alchemy Ciderworks,Pineapple Experiment #13
Fruit,🥇 Gold,2 Towns Ciderhouse,Easy Squeezy
Fruit,🥈 Silver,Edenvale Winery,Eden Valley Orchards CranPerry
Fruit,🥉 Bronze,Cyderish,B.O.M.B. Cider
Fruit,🥉 Bronze,North Canyon Cider Co.,Pineapple Ginger
Fruit,Judges' Pick,Diskin Cider,Local AF
Fruit,Judges' Pick,Coyote Hole Ciderworks,Sangria
Fruit,Judges' Pick,Double Shovel Cider Co.,Cider Mosa
Hopped,🥇🥇 Double Gold,Big Pippin Hard Cider,All Hopped Up
Hopped,🥇 Gold,Rootwood Cider Co.,Hop Infused
Hopped,🥈 Silver,Chain Yard Cider,Hopped Up
Hopped,🥉 Bronze,Double Shovel Cider Co.,Pineapple IPC
Hopped,Judges' Pick,Square Mile Cider Co.,Hopped
Hopped,Judges' Pick,Union Hill Cider Co.,Hopped & Hazy
Hopped,Judges' Pick,Ironbound Hard Cider,Highlands Farmhouse
Spiced,🥇🥇 Double Gold,Meriwether Cider,Pineapple Habañero
Spiced,🥇 Gold,Blue Bee Cider,Firecracker
Spiced,🥈 Silver,Bauman's Cider Co.,The Old Mule
Spiced,🥉 Bronze,Arsenal Cider House,Grant's Flying Pumpkin
Spiced,Judges' Pick,Eaglemount Wine and Cider,Brambleberry Bum
Spiced,Judges' Pick,Citizen Cider,For Shore
Spiced,Judges' Pick,Seattle Cider Co.,Punch Bowl
Spiced,Judges' Pick,Noble Cider,The Journeyman
Botanical,🥇🥇 Double Gold,Tieton Cider Works,Lavender Honey
Botanical,🥇 Gold,Seattle Cider Co.,Earl Grey
Botanical,🥈 Silver,Big B's Hard Cider,Ciaison Grand Gru
Botanical,🥉 Bronze,Brownrigg Hard Cider,Ginger Fig Leaf
Botanical,Judges' Pick,Square Mile Cider Co.,Rosé
Botanical,Judges' Pick,Independent Cider,Lavender Perry
Botanical,Judges' Pick,Liquid Alchemy Ciderworks,Deeply Rooted
Specialty,🥇🥇 Double Gold,Chain Yard Urban Cidery,Rhubee Cyser
Specialty,🥇 Gold,Meriwether Cider Co.,Uncharted
Specialty,🥈 Silver,Bishop Cider Co.,The Dark Cide
Specialty,🥉 Bronze,2 Towns Ciderhouse,Hollow Jack'd
Specialty,Judges' Pick,Chain Yard Urban Cidery,Ginxberry
Specialty,Judges' Pick,Bishop Cider Co.,Apple Pineapple
Specialty,Judges' Pick,Bishop Cider Co.,Texas Tea
Dessert/Fortified,🥇🥇 Double Gold,2 Towns Ciderhouse,2018 Marissimo
Dessert/Fortified,🥇 Gold,Bauman's Cider Co.,Ice Cider
Dessert/Fortified,🥈 Silver,West Avenue Cider,Northern Lights
Dessert/Fortified,🥈 Silver,Settlers Cider Co.,Pommeau
Dessert/Fortified,🥉 Bronze,2 Towns Ciderhouse,2017 Pommeau
Dessert/Fortified,Judges' Pick,1911 Established Hard Cider,2019 Pommeau
Dessert/Fortified,Judges' Pick,Liberty Ciderworks,Widdershins
Dessert/Fortified,Judges' Pick,Michel Jodoin,Cidre de Glace Rosé
Dessert/Fortified,Judges' Pick,Urban Tree Cidery,Pommeau
