ID,Style,Award,Medalist,Entry
2,Heritage,🏆 Platinum,Ace Cider,ACE BlackJack 21 2020 Premium Craft Cider
3,Heritage,🥇🥇 Double Gold,Fenceline Cider,Windfall
4,Heritage,🥇🥇 Double Gold,Gowan's Heirloom Cider,Gravenstein
5,Heritage,🥇 Gold,BurroLoco Cider,BurroLoco Traditional Dry
6,Heritage,🥈 Silver,Botanist and Barrel,Foragers Delight - The Farmers Orchard
7,Heritage,🥈 Silver,Stormalong Cider,Ashmead's Kernel
8,Heritage,🥈 Silver,Wyndridge Cider Co.,Greenspy
9,Heritage,🥉 Judges' Pick,Noble Cider,Lewis Creek Old World
10,Heritage,🥉 Judges' Pick,Snow Capped Cider,Gold Rush
11,Heritage,🥉 Judges' Pick,Tieton Cider Works,Golden Russet
12,Modern,🏆 Platinum,Wise Bird Cider Co.,Pomme Pomme
13,Modern,🥇🥇 Double Gold,Meriwether Cider Co.,Foothills Semi-Dry
14,Modern,🥇 Gold,Thor's Hard Cider,Semisweet
15,Modern,🥈 Silver,Arsenal Cider House,Archibalds Ado
16,Modern,🥈 Silver,North Canyon Cider Company,American Sweet
17,Modern,🥉 Judges' Pick,Merchant's Daughter Ciderworks,Clara's Reserve
18,Modern,🥉 Judges' Pick,Mercier Orchards,Grumpy Granny
19,Modern,🥉 Judges' Pick,Union Hill Cider Co.,Hard Harvest
20,Perry,🏆 Platinum,Dragon's Head Cider,Sparkling Perry
21,Perry,🏆 Platinum,EdenVale Winery,Pear House Cider
22,Perry,🥇🥇 Double Gold,BurroLoco Cider,BurroLoco Perry
23,Perry,🥇 Gold,Madrone Cider,Perry
24,Perry,🥈 Silver,Island Orchard Cider,Pear Reserve
25,Perry,🥈 Silver,Twin Sisters Cider,Perry
26,Perry,🥉 Judges' Pick,Bad Granny Hard Cider,Nice Pear
27,Perry,🥉 Judges' Pick,Finnriver Farm & Cidery,Perry
28,Perry,🥉 Judges' Pick,Tieton Cider Works,Pure Pear
29,Natural,🏆 Platinum,Les Vergers Petit et Fils,Rabaska Classique
30,Natural,🏆 Platinum,Sidra Riestra,Sidra Natural Riestra
31,Natural,🥇🥇 Double Gold,Botanist and Barrel,Basq in the Glory
32,Natural,🥇 Gold,Sidra Riestra,Good Clean Funk
33,Natural,🥈 Silver,Sidra Fanjul,Sidra Natural Fanjul
34,Natural,🥈 Silver,Sidra Somarroza,Sidra Natural Somarroza
35,Natural,🥉 Judges' Pick,Botanist and Barrel,Less is More Petillant Natural
36,Natural,🥉 Judges' Pick,Fable Farm Fermentory,Fluxion
37,Natural,🥉 Judges' Pick,Urban Tree Cidery,Sidra Urbano
38,Single Varietal,🏆 Platinum,Gowan's Heirloom Cider,Gravenstein
39,Single Varietal,🥇🥇 Double Gold,Les Vergers Petit et Fils,St-Hil Pomme
40,Single Varietal,🥇 Gold,Ragged Hill Cider Company,Honeycrisp
41,Single Varietal,🥈 Silver,Gowan's Heirloom Cider,Sierra Beauty
42,Single Varietal,🥉 Judges' Pick,Ragged & Right Cider Project,First Pick - Gravenstein
43,Single Varietal,🥉 Judges' Pick,Union Hill Cider Co.,Kingston Black
44,Single Varietal,🥉 Judges' Pick,Wild State Cider,Macintosh
45,Wood-Aged,🏆 Platinum,Finnriver Farm & Cidery,Fire Barrel
46,Wood-Aged,🏆 Platinum,Herb's Cider,Concerto #2 - Wild Foraged Plum
47,Wood-Aged,🥇🥇 Double Gold,Herb's Cider,Concerto #1 - Grand Cuvée
48,Wood-Aged,🥇 Gold,Tieton Cider Works,Bourbon Barrel Cherry Cider
49,Wood-Aged,🥈 Silver,Yankee Cider Company,Ex-White Wine Ex-Tequila Barrel Aged
50,Wood-Aged,🥉 Judges' Pick,Big B's Hard Cider,Grizzly Brand
51,Wood-Aged,🥉 Judges' Pick,Barrel Reserve,Deep Roots Hard Cider
52,Wood-Aged,🥉 Judges' Pick,Ragged Hill Cider Company,Pommes d'Or
53,Rosé,🏆 Platinum,Alma Cider,Rosé
54,Rosé,🥇🥇 Double Gold,Dragon's Head Cider,Rosé
55,Rosé,🥇🥇 Double Gold,Snow Capped Cider,Rockies Rosé
56,Rosé,🥇 Gold,Thor's Hard Cider,Arctic Rosé
57,Rosé,🥈 Silver,Union Hill Cider Co.,Pinkheart
58,Rosé,🥉 Judges' Pick,Gowan's Heirloom Cider,Rosé
59,Rosé,🥉 Judges' Pick,Hard Pressed Cider Co.,Henry Hotspur's Hard Pressed for Cider Rosé
60,Rosé,🥉 Judges' Pick,Offset Ciderworks,Rosé
61,Stone Fruit,🏆 Platinum,Glacial Till Craft Cider,Lauretta
62,Stone Fruit,🥇🥇 Double Gold,1911 Established,Black Cherry
63,Stone Fruit,🥇🥇 Double Gold,Ash & Elm Cider Co.,Sunset Tart Cherry
64,Stone Fruit,🥇 Gold,Cinder Block Brewery,English Cherry Cider
65,Stone Fruit,🥈 Silver,Yankee Cider Company,Tart Cherry
66,Stone Fruit,🥉 Judges' Pick,Bad Granny Hard Cider,Rainier Cherry
67,Stone Fruit,🥉 Judges' Pick,Offset Ciderworks,Plum
68,Stone Fruit,🥉 Judges' Pick,Tieton Cider Works,Apricot
69,Fruit,🏆 Platinum,St. Vrain Cidery,Key Lime
70,Fruit,🥇🥇 Double Gold,Black Apple,Wild Berry
71,Fruit,🥇🥇 Double Gold,The Mad Farmer,Four Berry Pie
72,Fruit,🥇 Gold,Blake's Hard Cider,Triple Jam
73,Fruit,🥇 Gold,Diskin Cider,Babe Magnet
74,Fruit,🥇 Gold,EdenVale Winery,Pear House CranPerry
75,Fruit,🥈 Silver,ACE Cider,ACE Guava Craft
76,Fruit,🥈 Silver,Saro Cider,Gold Hills Black Currant
77,Fruit,🥈 Silver,Pivot Brewing Company,Sangria
78,Fruit,🥉 Judges' Pick,Glacial Till Craft Cider,Passion Pineapple
79,Fruit,🥉 Judges' Pick,Offset Ciderworks,Pink Guava
80,Fruit,🥉 Judges' Pick,Stormalong Cider,Light of the Sun
81,Botanical,🏆 Platinum,Tieton Cider Works,Lavender Honey Cider
82,Botanical,🥇🥇 Double Gold,Black Apple,Hibiscus
83,Botanical,🥇🥇 Double Gold,Portland Cider Company,Blueberry Bourbon Basil
84,Botanical,🥇 Gold,Channel Marker Cider,Rosemary Cran Ginger
85,Botanical,🥈 Silver,Bent Ladder,Midwest Mojo
86,Botanical,🥉 Judges' Pick,Channel Marker Cider,Lavender Bergamot
87,Botanical,🥉 Judges' Pick,Diskin Cider,Mayor Berry
88,Botanical,🥉 Judges' Pick,St. Vrain Cidery,Blackberry Botanical
89,Hopped,🏆 Platinum,1911 Established,New England IPC Hopped
90,Hopped,🥇🥇 Double Gold,Union Hill Cider Co.,Hopped & Hazy
91,Hopped,🥇 Gold,Runcible Cider,Hop Y'all
92,Hopped,🥇 Gold,Threadbare Cider and Mead,Dry Hopped
93,Hopped,🥈 Silver,SLO Cider Co.,Hopped
94,Hopped,🥉 Judges' Pick,Duluth Cider,Greenstone
95,Hopped,🥉 Judges' Pick,Jack's Hard Cider,Dry Hopped
96,Hopped,🥉 Judges' Pick,Threadbare Cider and Mead,Sweet Raspberry
97,Spiced,🏆 Platinum,Big B's Hard Cider,Snow Daze
