ID,Style,Award,Medalist,Entry,City,State/Region
2,Heritage,🏆 Platinum,Greenwood Cider,Scrumpy,Seattle,WA
3,Heritage,🥇🥇 Double Gold,Schilling Cider,Excelsior Imperial Apple,Auburn,WA
4,Heritage,🥇 Gold,Snow Capped Cider,Ashmeads Kernel,Austin,CO
5,Heritage,🥈 Silver,Liberty Ciderworks,55 Chain,Spokane,WA
6,Heritage,🥉 Judges' Pick,Dragon's Head Cider,Bittersweet Cider,Vashon,WA
7,Heritage,🥉 Judges' Pick,Old Hill Cider,Heritage,Timberville,VA
8,Heritage,🥉 Judges' Pick,Snow Capped Cider,Wickson Crab,Austin,CO
9,Perry,🏆 Platinum,Tieton Cider Works,Pure Pear,Yakima,WA
10,Perry,🥇🥇 Double Gold,Dragon's Head Cider,Sparkling Perry,Vashon,WA
11,Perry,🥇 Gold,Snow Capped Cider,Winter Pear,Austin,CO
12,Perry,🥈 Silver,Finnriver Farm & Cidery,Perry,Chimacum,WA
13,Perry,🥉 Judges' Pick,Offset Ciderworks,Perry,Edmonds,WA
14,Perry,🥉 Judges' Pick,Twin Sisters Cider,Perry,Kirkland,WA
15,Perry,🥉 Judges' Pick,Russell Orchards Farm & Winery,Perry,Ipswhich,MA
16,Single Varietal,🏆 Platinum,Yonder Cider,Wenatchee Wave,Wenatchee,WA
17,Single Varietal,🥇🥇 Double Gold,Wild State Cider,Sweetango,Duluth,MN
18,Single Varietal,🥇 Gold,Noble Cider,Bella – Lewis Creek Orchard Reserve,Asheville,NC
19,Single Varietal,🥈 Silver,Mount Diablo Cider Company,Cox Orange Pippin,Lafayette,CA
20,Single Varietal,🥉 Judges' Pick,Botanist & Barrel,Arkansas Black,Cedar Grove,NC
21,Single Varietal,🥉 Judges' Pick,Liberty Ciderworks,Heirloom Series McIntosh,Spokane,WA
22,Single Varietal,🥉 Judges' Pick,Loch Mór Cider Co.,Harrison,Hillier,ON
23,Rosé,🏆 Platinum,Bauman's Cider Company,Mountain Rose,Gervais,OR
24,Rosé,🥇🥇 Double Gold,Champlain Orchards Cidery,Foxboro Rose,Shoreham,VT
25,Rosé,🥇 Gold,Cidrerie Milton,CID Rosé,Sainte-Cécile-de-Milton,QC
26,Rosé,🥇 Gold,Thor's Hard Cider,Arctic Rosé,Stillwater,MN
27,Rosé,🥈 Silver,Meriwether Cider,Rosé Cider,Garden City,ID
28,Rosé,🥉 Judges' Pick,Noble Cider,Vino Rosé Cider,Asheville,NC
29,Rosé,🥉 Judges' Pick,Lost Giants Cider Company,Rosé,Bellingham,WA
30,Rosé,🥉 Judges' Pick,Union Hill Cider Co.,Pinkheart,East Wenatchee,WA
31,Wood-Aged,🏆 Platinum,Clarksburg Cider,Bourbon Barrel Aged Mint Julep,Lancaster,NY
32,Wood-Aged,🥇🥇 Double Gold,Number 12 Cider,Barrel 44,Minneapolis,MN
33,Wood-Aged,🥇 Gold,Union Hill Cider Co.,Whiskey Business,Wenatchee,WA
34,Wood-Aged,🥈 Silver,Standard Cider Co.,Rebel-Reserve,Washingtonville,NY
35,Wood-Aged,🥉 Judges' Pick,Alma Cider,Wood-Aged,Mt. Vernon,WA
36,Wood-Aged,🥉 Judges' Pick,Clarksburg Cider,Bourbon Barrel Aged,Lancaster,NY
37,Wood-Aged,🥉 Judges' Pick,SLO Cider Co.,Oaked,San Luis Obispo,CA
38,Modern,🏆 Platinum,Seattle Cider Co.,Honeycrisp,Seattle,WA
39,Modern,🥇🥇 Double Gold,2 Towns Ciderhouse,OutCider,Corvallis,OR
40,Modern,🥇 Gold,Yonder Cider,Vantage,Wenatchee,WA
41,Modern,🥈 Silver,Ciderboys Hard Cider,First Press,Stevens Point,WI
42,Modern,🥉 Judges' Pick,Cidrerie Milton,CID Cuivré,Sainte-Cécile-de-Milton,QC
43,Modern,🥉 Judges' Pick,Duluth Cider,Gitch,Duluth,MN
44,Modern,🥉 Judges' Pick,North Canyon Cider Company,American Semi-Sweet,Walnut Creek,CA
45,Fruit,🏆 Platinum,Portland Cider Company,Peach Berry,Clackamas,OR
46,Fruit,🥇🥇 Double Gold,Alpenfire Cider,Calypso,Port Townsend,WA
47,Fruit,🥇 Gold,Vermont Cider Company,Wyders Pear,Middlebury,VT
48,Fruit,🥈 Silver,California Cider Company,ACE Guava Craft Cider,Sebastopol,CA
49,Fruit,🥉 Judges' Pick,Ciderboys Hard Cider,Grand Mimosa,Stevens Point,WI
50,Fruit,🥉 Judges' Pick,Meriwether Cider,Cranberry Crosscut,Garden City,ID
51,Fruit,🥉 Judges' Pick,Noble Cider,Watermelon Mint Cider,Asheville,NC
52,Pineapple,🏆 Platinum,2 Towns Ciderhouse,Pacific Pineapple,Corvallis,OR
53,Pineapple,🥇🥇 Double Gold,Ciderboys Hard Cider,Pineapple Hula,Stevens Point,WI
54,Pineapple,🥇 Gold,California Cider Company,ACE Pineapple Craft Cider,Sebastopol,CA
55,Pineapple,🥇 Gold,Wild State Cider,Hazy Pineapple,Duluth,MN
56,Pineapple,🥈 Silver,Odd Brothers Craft Cider,Los Dos,Homer,MI
57,Pineapple,🥉 Judges' Pick,Seattle Cider Co.,Pineapple Agave,Seattle,WA
58,Pineapple,🥉 Judges' Pick,Hawaiian Ola Brew,Kona Gold Cider,Kailua-Kona,HI
59,Pineapple,🥉 Judges' Pick,Hawaiian Ola Brew,White Pineapple,Kailua-Kona,HI
60,Berry,🏆 Platinum,1911 Established,Blueberry,Lafayette,NY
61,Berry,🥇🥇 Double Gold,Washington Gold Cider,Raspberry Cider,Chelan,WA
62,Berry,🥇 Gold,Tieton Cider Works,Blueberry,Yakima,WA
63,Berry,🥇 Gold,Wild State Cider,Honeyberry,Duluth,MN
64,Berry,🥈 Silver,Ciderboys Hard Cider,Strawberry Magic,Stevens Point,WI
65,Berry,🥉 Judges' Pick,Blake's Hard Cider Co.,Triple Jam,Armada,MI
66,Berry,🥉 Judges' Pick,Ciderboys Hard Cider,Blackberry Wild,Stevens Point,WI
67,Berry,🥉 Judges' Pick,Washington Gold Cider,Blackberry Cider,Chelan,WA
68,Stone Fruit,🏆 Platinum,Snow Capped Cider,Plum Lemongrass,Austin,CO
