ID,Category,Award,Medalist,Entry,Location,WID,Region,Website,Facebook,Instagram,Google,Yelp,TripAdvisor,Untappd,Latitude,Longitude
2,Heritage – Dry,🏆 Platinum,Noble Cider,French Cidre – Lewis Creek Orchard Reserve,"Asheville, NC",447,North Carolina,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407,35.602136,-82.62465
3,Heritage – Dry,🥇🥇 Double Gold,Castle Hill Cider,Serendipity,"Keswick, VA",185,Virginia,http://www.castlehillcider.com/,https://www.facebook.com/CastleHillCider,https://www.instagram.com/castlehillcider/,https://maps.google.com/?cid=4112176064200176389,https://www.yelp.com/biz/castle-hill-cider-keswick,https://www.tripadvisor.com/Attraction_Review-g57873-d2359755,https://untappd.com/w/castle-hill-cider/18303,38.0888889,-78.2908333
4,Heritage – Dry,🥇 Gold,Black Diamond Cider,2021 Golden Russet / Porter's Perfection,"Trumansburg, NY",136,New York,https://blackdiamondcider.com/,https://www.facebook.com/incredapple/,https://www.instagram.com/blackdiamondfarm/,https://maps.google.com/?cid=10338399888952299802,,,https://untappd.com/w/black-diamond-farm/192550,42.547829,-76.655099
5,Heritage – Dry,🥈 Silver,Greenwood Cider,Jersey Blend,"Seattle, WA",308,Washington,https://www.greenwoodcider.com/,https://www.facebook.com/greenwoodcider,https://www.instagram.com/greenwoodcider,https://maps.google.com/?cid=9193094358946814076,https://www.yelp.com/biz/greenwood-cider-company-seattle,,https://untappd.com/w/greenwood-cider/193817,47.631204,-122.375137
6,Heritage – Dry,🥉 Judges' Pick,Noble Cider,English Cider – Lewis Creek Orchard Reserve,"Asheville, NC",447,North Carolina,http://www.noblecider.com/,https://www.facebook.com/NobleCider,https://www.instagram.com/noble_cider/,https://maps.google.com/?cid=10806279487860629423,https://www.yelp.com/biz/noble-cider-asheville,https://www.tripadvisor.com/Attraction_Review-g60742-d8604019,https://untappd.com/w/noble-cider/77407,35.602136,-82.62465
7,Heritage – Dry,🥉 Judges' Pick,Seminary Hill Orchard & Cidery,2021 Cackling Hen,"Callicoon, NY",1060,New York,https://www.seminaryhill.co/,https://www.facebook.com/seminaryhillweddings,https://www.instagram.com/seminaryhillcider/,https://maps.google.com/?cid=2014295545037325417,,,,41.7743187,-75.0549915
8,Heritage – Dry,🥉 Judges' Pick,Portland Cider Company,Kermerrian,"Clackamas, OR",490,Oregon,http://portlandcider.com/,https://www.facebook.com/portlandcider,https://www.instagram.com/portlandcider/,https://maps.google.com/?cid=5897814277091816079,https://www.yelp.com/biz/portland-cider-company-clackamas,https://www.tripadvisor.com/Restaurant_Review-g51806-d6996793,https://untappd.com/w/portland-cider-company/56260,45.415288,-122.572714
9,Heritage – Sweet,🏆 Platinum,1911 Established,Lafayette,"Lafayette, NY",75,New York,http://1911established.com/,,https://www.instagram.com/1911established/,https://maps.google.com/?cid=13706571465768596510,https://www.yelp.com/biz/beak-and-skiff-apple-orchards-lafayette,https://www.tripadvisor.com/Attraction_Review-g48013-d4954731,https://untappd.com/w/beak-and-skiff-apple-orchards/123121,42.903744,-76.22158
10,Heritage – Sweet,🥇🥇 Double Gold,Snow Capped Cider,Gold Rush,"Cedaredge, CO",569,Colorado,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,,,https://untappd.com/w/snow-capped-cider/130549,38.898619,-107.924961
11,Heritage – Sweet,🥇 Gold,Empyrical Orchards and Cider,La Raison Reserve,"Snohomish, WA",2037,Washington,,https://www.facebook.com/profile.php?id=100068960115984,https://www.instagram.com/empyricalcider/,,,,https://untappd.com/w/empyrical-orchard-cidery/507102,47.9128756,-122.0981847
