ID,WID,Year,Style,Award,Medalist,Entry,Region,Style Group
2,749,2017,Heritage,🥇🥇 Double Gold,Cidrerie Michel Jodoin,Cidre Mousseux Rosé,Quebec,Heritage
3,244,2017,Heritage,🥇 Gold,Dragon's Head Cider,Traditional Cider,Washington,Heritage
4,570,2017,Heritage,🥈 Silver,Snowdrift Cider Co.,Cliffbreaks Blend,Washington,Heritage
5,387,2017,Heritage,🥉 Bronze,Liberty Ciderworks,McIntosh SV,Washington,Heritage
6,570,2017,Heritage,👍 Judges' Pick,Snowdrift Cider Co.,Red,Washington,Heritage
7,1845,2017,Heritage,👍 Judges' Pick,Cider Riot!,1763 Revolutionary West Country Cider,Oregon,Heritage
8,827,2017,Heritage,👍 Judges' Pick,Salt Spring Wild Cider,Semi-Dry,British Columbia,Heritage
9,176,2017,Modern,🥇🥇 Double Gold,C Squared Ciders,Alma,Colorado,Modern
10,303,2017,Modern,🥇 Gold,Gowan's Heirloom Ciders,Estate 1876 Heirloom Cider,California,Modern
11,287,2017,Modern,🥈 Silver,Foxcraft Hard Cider,Apple Blossom,California,Modern
12,67,2017,Modern,🥉 Bronze,2 Towns Ciderhouse,OutCider,Oregon,Modern
13,514,2017,Modern,👍 Judges' Pick,Reverend Nat's Hard Cider,Revival Hard Apple,Oregon,Modern
14,405,2017,Modern,👍 Judges' Pick,March First Brewing,Traditional Cider,Ohio,Modern
15,490,2017,Modern,👍 Judges' Pick,Portland Cider Company,Apple,Oregon,Modern
16,490,2017,Perry,🥇🥇 Double Gold,Portland Cider Company,Pearfect Perry,Oregon,Perry
17,244,2017,Perry,🥇 Gold,Dragon's Head Cider,Perry,Washington,Perry
18,998,2017,Perry,🥈 Silver,EdenVale Winery,Pear House Cider,Oregon,Perry
19,635,2017,Perry,🥉 Bronze,Tieton Cider Works,Sparkling Perry,Washington,Perry
20,827,2017,Perry,👍 Judges' Pick,Salt Spring Wild Cider,Pear,British Columbia,Perry
21,553,2017,Perry,👍 Judges' Pick,Seattle Cider Company,2015 Perry,Washington,Perry
22,592,2017,Perry,👍 Judges' Pick,Stem Ciders,Perry,Colorado,Perry
23,387,2017,Still,🥇🥇 Double Gold,Liberty Ciderworks,Porter's Perfection SV,Washington,Still
24,87,2017,Still,🥇 Gold,Angry Orchard,Understood in Motion 01,New York,Still
25,749,2017,Still,🥈 Silver,Cidrerie Michel Jodoin,Rosalie Tranquille Rosé,Quebec,Still
26,303,2017,Still,🥉 Bronze,Gowan's Heirloom Ciders,Estate Sierra Beauty,California,Still
27,325,2017,Still,👍 Judges' Pick,Headwater Cider,Clesson,Massachusetts,Still
28,432,2017,Still,👍 Judges' Pick,Mountain West Cider Company,Stillwater 6 Months Barrel-Aged,Utah,Still
29,209,2017,Still,👍 Judges' Pick,Colorado Cider Company,Pato Feo,Colorado,Still
30,749,2017,Single Varietal,🥇🥇 Double Gold,Cidrerie Michel Jodoin,Cidre Mousseux Rosé,Quebec,Single Varietal
31,244,2017,Single Varietal,🥇 Gold,Dragon's Head Cider,Kingston Black,Washington,Single Varietal
32,428,2017,Single Varietal,🥈 Silver,Montana CiderWorks,McIntosh,Montana,Single Varietal
33,199,2017,Single Varietal,🥉 Bronze,Citizen Cider,Northern Spy,Vermont,Single Varietal
34,244,2017,Single Varietal,👍 Judges' Pick,Dragon's Head Cider,Columbia Crabapple,Washington,Single Varietal
35,387,2017,Single Varietal,👍 Judges' Pick,Liberty Ciderworks,Hewe's Virginia Crab SV,Washington,Single Varietal
36,87,2017,Single Varietal,👍 Judges' Pick,Angry Orchard,Baldwin SVC,New York,Single Varietal
37,312,2017,Stone Fruit,🥇🥇 Double Gold,Gypsy Circus,Vaudevillian,Tennessee,Fruit
38,447,2017,Stone Fruit,🥇 Gold,Noble Cider,The Village Tart,North Carolina,Fruit
39,414,2017,Stone Fruit,🥈 Silver,Mercier Orchards,Just Peachy,Georgia,Fruit
40,603,2017,Stone Fruit,🥉 Bronze,Laughing Dog Brewing,Uncrushable Apricot,Idaho,Fruit
41,635,2017,Stone Fruit,👍 Judges' Pick,Tieton Cider Works,Bourbon Peach,Washington,Fruit
42,451,2017,Stone Fruit,👍 Judges' Pick,North Idaho Cider,Wild Cherry,Idaho,Fruit
43,199,2017,Stone Fruit,👍 Judges' Pick,Citizen Cider,Companion,Vermont,Fruit
44,664,2017,Fruit,🥇🥇 Double Gold,Vermont Cider Company,Citrus Freak,Vermont,Fruit
45,67,2017,Fruit,🥇 Gold,2 Towns Ciderhouse,Two Thorns,Oregon,Fruit
46,490,2017,Fruit,🥈 Silver,Portland Cider Company,Strawberry,Oregon,Fruit
47,490,2017,Fruit,🥉 Bronze,Portland Cider Company,Pineapple,Oregon,Fruit
48,67,2017,Fruit,👍 Judges' Pick,2 Towns Ciderhouse,Made Marion,Oregon,Fruit
49,418,2017,Fruit,👍 Judges' Pick,Methow Valley Ciderhouse,Black Raven,Washington,Fruit
50,664,2017,Fruit,👍 Judges' Pick,Vermont Cider Company,Pear,Vermont,Fruit
51,585,2017,Hopped,🥇🥇 Double Gold,Square Mile Cider,Hopped Apple Cider,Oregon,Hopped
52,725,2017,Hopped,🥇 Gold,BC Tree Fruits Cider,Broken Ladder Apples & Hops,British Columbia,Hopped
