Region,Year,🏆 Platinum,🥇🥇 Double Gold,🥇 Gold,🥈 Silver,🥉 Bronze,Judges' Pick,Total
Washington,2017,0,2,3,5,4,10,24
Oregon,2017,0,3,3,2,3,12,23
Vermont,2017,0,1,0,1,3,4,9
Quebec,2017,0,3,0,1,0,1,5
Colorado,2017,0,2,1,0,0,2,5
British Columbia,2017,0,0,1,0,1,2,4
Michigan,2017,0,1,1,0,0,1,3
California,2017,0,0,1,1,1,0,3
Idaho,2017,0,0,1,0,1,1,3
Tennessee,2017,0,1,0,0,0,1,2
New York,2017,0,0,1,0,0,1,2
North Carolina,2017,0,0,1,0,0,0,1
Georgia,2017,0,0,0,1,0,0,1
Montana,2017,0,0,0,1,0,0,1
West Virginia,2017,0,0,0,1,0,0,1
Massachusetts,2017,0,0,0,0,0,1,1
Ohio,2017,0,0,0,0,0,1,1
Ontario,2017,0,0,0,0,0,1,1
Utah,2017,0,0,0,0,0,1,1
Washington,2018,0,3,6,3,2,8,22
Oregon,2018,0,2,2,3,4,2,13
New York,2018,0,1,0,0,2,5,8
Quebec,2018,0,0,1,2,0,3,6
California,2018,0,1,1,0,1,2,5
Michigan,2018,0,0,0,2,1,2,5
Pennsylvania,2018,0,0,0,0,3,2,5
Vermont,2018,0,1,1,0,0,2,4
Nova Scotia,2018,0,0,1,1,0,2,4
North Carolina,2018,0,0,1,0,1,2,4
Texas,2018,0,1,1,0,0,1,3
Ontario,2018,0,0,1,0,1,1,3
Colorado,2018,0,0,1,0,0,2,3
Massachusetts,2018,0,0,0,0,1,2,3
New Jersey,2018,0,1,0,1,0,0,2
Virginia,2018,0,1,0,0,1,0,2
British Columbia,2018,0,1,0,0,0,1,2
Normandy,2018,0,0,1,1,0,0,2
Brittany,2018,0,1,0,0,0,0,1
Herefordshire,2018,0,1,0,0,0,0,1
Georgia,2018,0,0,0,1,0,0,1
Basque Country,2018,0,0,0,0,0,1,1
Delaware,2018,0,0,0,0,0,1,1
Florida,2018,0,0,0,0,0,1,1
New Mexico,2018,0,0,0,0,0,1,1
Wisconsin,2018,0,0,0,0,0,1,1
Washington,2019,0,2,4,3,4,12,25
Oregon,2019,0,3,5,4,5,5,22
Virginia,2019,0,1,2,0,1,3,7
Texas,2019,0,1,0,2,0,2,5
Ontario,2019,0,0,1,3,0,0,4
Pennsylvania,2019,0,0,1,1,1,1,4
California,2019,0,0,0,2,2,0,4
Tennessee,2019,0,0,0,0,1,3,4
Idaho,2019,0,1,2,0,0,0,3
Asturias,2019,0,1,1,0,0,1,3
Nova Scotia,2019,0,1,0,1,0,1,3
Massachusetts,2019,0,1,0,0,0,2,3
Colorado,2019,0,0,0,2,0,1,3
New York,2019,0,0,0,0,0,3,3
Quebec,2019,0,0,0,0,0,3,3
Vermont,2019,0,1,0,0,0,1,2
Delaware,2019,0,0,1,0,0,1,2
Michigan,2019,0,0,1,0,0,1,2
Alaska,2019,0,0,0,0,1,1,2
New Jersey,2019,0,0,0,0,0,2,2
Brittany,2019,0,1,0,0,0,0,1
Luxembourg,2019,0,1,0,0,0,0,1
Nebraska,2019,0,1,0,0,0,0,1
British Columbia,2019,0,0,0,0,1,0,1
Georgia,2019,0,0,0,0,0,1,1
North Carolina,2019,0,0,0,0,0,1,1
Washington,2020,5,4,6,5,0,14,34
California,2020,2,1,0,4,0,3,10
Colorado,2020,2,2,0,0,0,4,8
Pennsylvania,2020,1,0,1,2,0,4,8
Oregon,2020,1,1,2,0,0,1,5
Minnesota,2020,0,1,2,0,0,2,5
North Carolina,2020,0,1,0,2,0,2,5
Massachusetts,2020,0,0,2,1,0,2,5
New York,2020,1,1,1,0,0,1,4
Asturias,2020,1,0,1,1,0,0,3
Kentucky,2020,1,0,0,1,0,1,3
Nebraska,2020,1,0,0,1,0,1,3
Arkansas,2020,0,2,1,0,0,0,3
Michigan,2020,0,2,1,0,0,0,3
Connecticut,2020,0,1,0,2,0,0,3
Arizona,2020,0,1,0,0,0,2,3
Vermont,2020,0,0,0,0,0,3,3
Quebec,2020,1,1,0,0,0,0,2
Tennessee,2020,0,0,1,0,0,1,2
Georgia,2020,0,0,0,0,0,2,2
Delaware,2020,1,0,0,0,0,0,1
Virginia,2020,1,0,0,0,0,0,1
Idaho,2020,0,1,0,0,0,0,1
Indiana,2020,0,1,0,0,0,0,1
Missouri,2020,0,0,1,0,0,0,1
Cantabria,2020,0,0,0,1,0,0,1
Ohio,2020,0,0,0,1,0,0,1
Wisconsin,2020,0,0,0,1,0,0,1
Ontario,2020,0,0,0,0,0,1,1
Washington,2022,5,4,6,3,0,16,34
Oregon,2022,6,2,2,0,0,2,12
California,2022,0,1,1,2,0,4,8
Colorado,2022,1,1,3,0,0,2,7
Minnesota,2022,0,2,3,0,0,2,7
Wisconsin,2022,0,1,0,3,0,2,6
New York,2022,2,1,0,1,0,1,5
Michigan,2022,1,0,0,1,0,3,5
Vermont,2022,0,2,1,1,0,1,5
Quebec,2022,0,1,2,0,0,2,5
North Carolina,2022,0,0,1,1,0,3,5
Tennessee,2022,0,1,0,1,0,2,4
Georgia,2022,1,0,0,1,0,0,2
Nebraska,2022,0,2,0,0,0,0,2
Brittany,2022,0,0,2,0,0,0,2
Idaho,2022,0,0,0,1,0,1,2
Hawaii,2022,0,0,0,0,0,2,2
New Jersey,2022,0,0,0,0,0,2,2
Virginia,2022,0,0,0,0,0,2,2
Normandy,2022,1,0,0,0,0,0,1
British Columbia,2022,0,0,0,1,0,0,1
New Mexico,2022,0,0,0,1,0,0,1
Basque Country,2022,0,0,0,0,0,1,1
Massachusetts,2022,0,0,0,0,0,1,1
Ontario,2022,0,0,0,0,0,1,1
Texas,2022,0,0,0,0,0,1,1
Washington,2023,6,7,5,7,0,10,35
Oregon,2023,2,6,8,4,0,13,33
New York,2023,3,3,3,0,0,10,19
Colorado,2023,2,2,2,2,0,3,11
Michigan,2023,2,1,1,2,0,3,9
Nebraska,2023,1,2,2,0,0,2,7
California,2023,0,0,0,3,0,3,6
North Carolina,2023,1,1,0,1,0,2,5
Normandy,2023,1,1,0,1,0,0,3
Utah,2023,0,1,0,0,0,2,3
Massachusetts,2023,0,0,0,1,0,2,3
Minnesota,2023,0,0,0,0,0,3,3
Virginia,2023,1,1,0,0,0,0,2
Ohio,2023,1,0,1,0,0,0,2
Arkansas,2023,1,0,0,0,0,1,2
Vermont,2023,0,0,0,2,0,0,2
Pennsylvania,2023,0,0,0,0,0,2,2
Idaho,2023,1,0,0,0,0,0,1
New Jersey,2023,0,0,1,0,0,0,1
British Columbia,2023,0,0,0,0,0,1,1
Washington,2024,7,5,5,10,0,14,41
Oregon,2024,4,4,8,8,0,10,34
Colorado,2024,6,8,2,3,0,2,21
New York,2024,1,0,4,3,0,3,11
Nebraska,2024,1,0,0,0,0,4,5
North Carolina,2024,2,2,0,0,0,0,4
Wisconsin,2024,2,0,1,0,0,1,4
Idaho,2024,0,1,3,0,0,0,4
Vermont,2024,0,1,1,0,0,1,3
Delaware,2024,0,0,1,0,0,2,3
Michigan,2024,0,0,1,0,0,2,3
Arkansas,2024,1,1,0,0,0,0,2
Quebec,2024,0,1,1,0,0,0,2
British Columbia,2024,0,1,0,1,0,0,2
California,2024,0,1,0,1,0,0,2
Massachusetts,2024,0,0,1,0,0,1,2
Missouri,2024,0,0,0,0,0,2,2
Pennsylvania,2024,1,0,0,0,0,0,1
Georgia,2024,0,1,0,0,0,0,1
Total,2017,0,13,13,13,13,39,91
Total,2018,0,14,17,14,17,42,104
Total,2019,0,15,18,18,16,45,112
Total,2020,18,20,19,22,0,44,123
Total,2022,17,18,21,17,0,51,124
Total,2023,22,25,23,23,0,57,150
Total,2024,25,26,28,26,0,42,147
