Style Group,Style,2024?
Fruit,Berry,2024
Botanical & Spiced,Botanical,2024
Cocktail-Inspired,Cocktail Inspired,2024
Co-Ferment,Co-Ferment,2024
Dessert & Fortified,Dessert,
Dessert & Fortified,Dessert/Fortified,2024
Dessert & Fortified,Fortified,
Fruit,Fruit,2024
Heritage,Heritage,
Heritage,Heritage – Dry,
Heritage,Heritage – Sweet,
Heritage,High Tannin – Dry,2024
Heritage,High Tannin – Sweet,2024
Hopped,Hopped,2024
Imperial,Imperial,
Imperial,Imperial Cider (Apple Only),2024
Imperial,Imperial Cider (With Adjuncts),2024
Modern,Modern,
Modern,Modern – Dry,2024
Modern,Modern – Sweet,2024
Natural,Natural,2024
Non-Alcoholic,Non-Alcoholic,2024
Wood-Aged,Oak-Aged,
Perry,Perry,2024
Pét Nat,Pét Nat,2024
Fruit,Pineapple,
Rosé,Rosé,2024
Single Varietal,Single Varietal,2024
Sour,Sour,
Specialty,Specialty,2024
Botanical & Spiced,Spiced,2024
Botanical & Spiced,Spiced – Pepper,2024
Botanical & Spiced,Spiced/Botanical,
Still,Still,
Fruit,Stone Fruit,2024
Fruit,Tropical,2024
Wood-Aged,Wood-Aged,2024
