ID,Category,Award,Medalist,Entry,Points,Country,Order
25,Still,🏆 Best of Category,Manufactur Apfeltraum,Roter Adam Selection Kaiserstuhl,108,Germany,
30,Still,🥈 Silver,Gutshof Kraatz,Adams Parmäne,105,Germany,
31,Still,🥈 Silver,Gutshof Kraatz,Rheinischer Bohnapfel späte Ernte,105,Germany,
33,Still,🥈 Silver,Melaro,Hoila Cider,104,Italy,
38,Still,🥈 Silver,Akre Gard,Edel Eplesider,103,Norway,
42,Still,🥈 Silver,Val de Rance,Cidre Bouché Brut,103,France,
50,Still,🥈 Silver,Longways Cider Co.,Sweet Katy Cider,99,Ireland,
53,Still,🥈 Silver,Val de Rance,Bio Cidre,99,France,
54,Still,🥈 Silver,Abavas Family Winery,Apple Wine Dry,98,Latvia,
56,Still,🥈 Silver,The Cotswold Cider Co.,Side Burns,98,England,
57,Still,🥈 Silver,Haußler – Hinterespig,Hohenloher Moschd,98,Germany,
60,Still,🥈 Silver,Mosterei Möhl,Saft vom Fass,97,Switzerland,
63,Still,🥉 Honor,Backstabber,Cider Classic,96,Switzerland,
67,Still,🥉 Honor,Bayside Brands,Apple Cider,95,England,
71,Still,🥉 Honor,Ramborn Cider Co.,Erbachhofer,94,Luxembourg,
77,Still,🥉 Honor,Zwutsch,Zwutsch Apfel Cider,93,Germany,
79,Still,🥉 Honor,Tatuv Sad,Suchy,92,Czech Republic,
83,Still,🥉 Honor,Longways Cider Co.,Tipperary Cider,91,Ireland,
90,Still,🥉 Honor,Tamura Farm,Apple Wine Dry,90,Japan,
91,Still,🥉 Honor,Talavas Sidrs,Rudens,89,Latvia,
93,Still,🥉 Honor,Ramborn cider Co.,Ramborn Original,89,Luxembourg,
94,Still,🥉 Honor,Kelterei Georg Herberth,Urschoppen Apfelwein,89,Germany,
97,Still,🥉 Honor,Ramborn Cider Co.,Farmhouse Cider,88,Luxembourg,
100,Still,🥉 Honor,JM Cider House,Red Brook Premium,87,Czech Republic,
