ID,Category,Award,Medalist,Entry,Points,Country
3,Still,🏆 Best of Category,Domaine Lesuffleur,La Folletière 2016,117,France
6,Still,🥇 Gold,Weidmann & Groh,2018 Boskop,114,Germany
18,Still,🥇 Gold,Weidmann & Groh,2018 Bohnapfel,110,Germany
21,Still,🥇 Gold,Sidra Cortina,Sidra Natural Ecologica,110,Spain
26,Still,🥇 Gold,Weidmann & Groh,2018 Speierling Apfelwein,109,Germany
27,Still,🥇 Gold,Zapiain,2017 Zapiain Premium Euskal Sagardoa D.O.,109,Spain
32,Still,🥈 Silver,Gutshof Kraatz,2018 Vor dem Walde,106,Germany
38,Still,🥈 Silver,Ulvik Frukt & Cideri,Gamal Tradisjon,103,Norway
56,Still,🥈 Silver,Arantast,Eth Paum,99,Spain
57,Still,🥈 Silver,Trinkkultur MSG,Pica Pica Apfel Cider,99,Germany
62,Still,🥈 Silver,Kelterei Herberth,Herberth Braeburn,98,Germany
63,Still,🥈 Silver,Angry Orchard,Understood in Motion 03,98,United States
67,Still,🥈 Silver,Samuel Smith,Samuel Smith's Organic Cider,97,England
71,Still,🥉 Honor,Matsch und Brei,E Sauber Stöfche,96,Germany
75,Still,🥉 Honor,Veitlbauer Genussmosthof,Apfelwein Pinova,95,Austria
77,Still,🥉 Honor,Sidra Somarroza,Somarozza Sidra Natural,94,Spain
83,Still,🥉 Honor,Gutshof Kraatz,2018 Gold-Renetten,92,Germany
84,Still,🥉 Honor,Grupo El Gaitero,El Gaitero Natural,91,Spain
86,Still,🥉 Honor,A. K. Cider,Limonka,89,Czech Republic
87,Still,🥉 Honor,Zapiain,2017 Zapiain Gorenek Sidra Natural,89,Spain
95,Still,🥉 Honor,Gutshof Kraatz,2018 Adams-Parmäne,87,Germany
98,Still,🥉 Honor,Mosterei Möhl,Ciderclan Juicy Apple Cider,85,Switzerland
100,Still,🥉 Honor,Obsthof und Weingut Franz Xaver,Apfelwein Xaver,84,Germany
101,Still,🥉 Honor,Veitlbauer Genussmosthof,Apfelwein Topaz,84,Austria
102,Still,🥉 Honor,Sidra Somarroza,El Capricho de Somarroza,84,Spain
104,Still,🥉 Honor,Mosterei Möhl,Ciderclan Straight Apple Cider,83,Switzerland
108,Still,🥉 Honor,Sidras Bereziartua,Bereziartua Sidra Natural,81,Spain
