ID,Category,Award,Medalist,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Still,🏆 Best of Category,Buschenschank Lippitz,Jonagold,120,Austria,,,,,,,,,
11,Still,🥇 Gold,Mosterei Möhl,Ciderclan Heritage Cider Heimenhofer,119,Switzerland,,,,,,,,,
13,Still,🥇 Gold,Streuobst-Manufaktur Altmühlfranken,Echt Brombachseer Späte Ernte 2019,119,Germany,,,,,,,,,
35,Still,🥇 Gold,Gutshof Kraatz,Adams Parmäne 2018,112,Germany,,,,,,,,,
36,Still,🥇 Gold,Kelterei Trageser,Anna & Otto's Cider mild,112,Germany,,,,,,,,,
41,Still,🥇 Gold,Sidra Somarroza,Sidra Natural Somarroza,112,Spain,,,,,,,,,
45,Still,🥇 Gold,Mosterei Seiz,Bohnapfel 20,111,Germany,,,,,,,,,
49,Still,🥇 Gold,Abavas Darzi,Apple Wine Dry,110,Latvia,,,,,,,,,
52,Still,🥇 Gold,Zapiain,Euskal Sagardoa Premium 2020,110,Spain,,,,,,,,,
60,Still,🥇 Gold,Sabiles Sidrs,Gardener's Five Seeds,109,Latvia,,,,,,,,,
65,Still,🥈 Silver,Mosterei Seiz,Apfel Gourmet,108,Germany,,,,,,,,,
69,Still,🥈 Silver,Kelterei Herberth,Herberth Erbstück,107,Germany,,,,,,,,,
71,Still,🥈 Silver,Genussmosthof Veitlbauer,Bohnapfel,106,Austria,,,,,,,,,
73,Still,🥈 Silver,Streuobst-Manufaktur Altmühlfranken,Echt Brombachseer See Cider,106,Germany,,,,,,,,,
80,Still,🥈 Silver,Zapiain,Joanes de Zapiain 2019,104,Spain,,,,,,,,,
82,Still,🥈 Silver,Kelterei Trageser,Anna & Otto's Cider klassisch,103,Germany,,,,,,,,,
84,Still,🥈 Silver,Matsch & Brei,e sauber Stöffche,103,Germany,,,,,,,,,
105,Still,🥈 Silver,Obsthof Brüggenwirth,Apfelgold Cider,98,Germany,,,,,,,,,
107,Still,🥈 Silver,Weidmann & Groh,Rosbacher Köppel 2020,98,Germany,,,,,,,,,
108,Still,🥈 Silver,Weidmann & Groh,Boskop 2020,98,Germany,,,,,,,,,
110,Still,🥈 Silver,Sidra Somarroza,Sidra Natural Ecológica Somarroza,97,Spain,,,,,,,,,
114,Still,🥉 Honor,Balholm,Sognefjord,94,Norway,,,,,,,,,
129,Still,🥉 Honor,Incider,Incider Cloudy Apple,91,Switzerland,,,,,,,,,
142,Still,🥉 Honor,Weidmann & Groh,Speierling halbtrocken 2020,83,Germany,,,,,,,,,
143,Still,🥉 Honor,"Valle, Ballina y Fernández",Sidra El Gaitero Natural,82,Spain,,,,,,,,,
147,Still,🥉 Honor,Sidras Bereziartua,Bereziartua Organic Natural Cider,80,Spain,,,,,,,,,
3,Sparkling,🏆 Best of Category,Egge Gård,Liersider,117,Norway,,,,,,,,,
22,Sparkling,🥇 Gold,Lærak Sideri,Sider,115,Norway,,,,,,,,,
29,Sparkling,🥇 Gold,Talavas Sidrs,Talavas Apple Cider,113,Latvia,,,,,,,,,
30,Sparkling,🥇 Gold,"Valle, Ballina y Fernández",El Gaitero Extra,113,Spain,,,,,,,,,
31,Sparkling,🥇 Gold,Andersen Winery,Sigrid 2017,112,Denmark,,,,,,,,,
34,Sparkling,🥇 Gold,Gallinal Drinks,Exner Craft Apple Cider,112,Spain,,,,,,,,,
48,Sparkling,🥇 Gold,Weingut Klenert,DK2,111,Germany,,,,,,,,,
51,Sparkling,🥇 Gold,Weingut Weishaar,Mustum Cider – Apfelperlwein,110,Germany,,,,,,,,,
57,Sparkling,🥇 Gold,Matsch & Brei,Matsch ‘n Dry,109,Germany,,,,,,,,,
62,Sparkling,🥇 Gold,"Valle, Ballina y Fernández",Spring Cider Apple,109,Spain,,,,,,,,,
63,Sparkling,🥇 Gold,Verein Mostbarone,Baron Cider Apfel,109,Austria,,,,,,,,,
64,Sparkling,🥈 Silver,JEs Cider,JEs Cider,108,Germany,,,,,,,,,
66,Sparkling,🥈 Silver,Müllers Mostmanufaktur,Denis Cider,108,Germany,,,,,,,,,
68,Sparkling,🥈 Silver,Haldenhof,HofCider Bittenfelder,107,Germany,,,,,,,,,
74,Sparkling,🥈 Silver,Weidmann & Groh,Dicke Bertha,105,Germany,,,,,,,,,
75,Sparkling,🥈 Silver,Andersen Winery,Ingrid Barrique 2018,104,Denmark,,,,,,,,,
83,Sparkling,🥈 Silver,Lucia Maria Melchiori,Sidro di Mela Dolomiti,103,Italy,,,,,,,,,
87,Sparkling,🥈 Silver,Sidra Somarroza,La Sidruca Natural,103,Spain,,,,,,,,,
93,Sparkling,🥈 Silver,Sidra Somarroza,La Sidruca Dulce,101,Spain,,,,,,,,,
94,Sparkling,🥈 Silver,Anderdog Cider,Anderdog Cider,100,Italy,,,,,,,,,
97,Sparkling,🥈 Silver,Balholm,Vestmann,99,Norway,,,,,,,,,
100,Sparkling,🥈 Silver,Manufactur Apfeltraum,Roter Adam Apfel Cidre,99,Germany,,,,,,,,,
101,Sparkling,🥈 Silver,Abavas Darzi,Abavas Apple Medium Dry,98,Latvia,,,,,,,,,
102,Sparkling,🥈 Silver,Balholm,Handverkscider av Eple,98,Norway,,,,,,,,,
103,Sparkling,🥈 Silver,Cidrerie Milton,CID Cuivré,98,Canada,,,,,,,,,
106,Sparkling,🥈 Silver,Pankrazhofer,Bio Apfel Cider,98,Austria,,,,,,,,,
109,Sparkling,🥈 Silver,1785 Cider,Brut 2020,97,Germany,,,,,,,,,
111,Sparkling,🥈 Silver,The Newt in Somerset,No. 1 Kingston Black,97,England,,,,,,,,,
112,Sparkling,🥉 Honor,Kikusui Brewing Company,Kikusui Standard Cidre,95,Japan,,,,,,,,,
115,Sparkling,🥉 Honor,Kikusui Brewing Company,Kikusui Method Charmat,94,Japan,,,,,,,,,
116,Sparkling,🥉 Honor,"Valle, Ballina y Fernández",Pomarina Brut,94,Spain,,,,,,,,,
119,Sparkling,🥉 Honor,Azienda Agricola Docendo Discitur,Alma Cider Extra Brut 2019,93,Italy,,,,,,,,,
121,Sparkling,🥉 Honor,Sidra Somarroza,Sidra Espumosa Dulce Somarroza,93,Spain,,,,,,,,,
122,Sparkling,🥉 Honor,Societa' Agricola Sidro Cadore,Sidro Vittoria Italian Bloom Vintage 2018,93,Italy,,,,,,,,,
123,Sparkling,🥉 Honor,Balhom,Aldin,92,Norway,,,,,,,,,
124,Sparkling,🥉 Honor,Keller Cider,C20,92,Switzerland,,,,,,,,,
125,Sparkling,🥉 Honor,Muxaller Cider,Friesenjung,92,Germany,,,,,,,,,
126,Sparkling,🥉 Honor,von Wiesen,von Wiesen Apfel Brut 2018,92,Germany,,,,,,,,,
128,Sparkling,🥉 Honor,Anderdog Cider,Mali Apfelcider,91,Italy,,,,,,,,,
130,Sparkling,🥉 Honor,Schlaraffenburger Streuobstagentur,Schlaraffenburger Apfelsecco,91,Germany,,,,,,,,,
132,Sparkling,🥉 Honor,Cidre Mauret,Le Robuste,90,France,,,,,,,,,
134,Sparkling,🥉 Honor,Legacy Irish Cider,Legacy Irish Cider Dry,90,Ireland,,,,,,,,,
135,Sparkling,🥉 Honor,Legacy Irish Cider,Longways Sweet Katy,89,Ireland,,,,,,,,,
137,Sparkling,🥉 Honor,Kikusui Brewing Company,Kikusui N35 Terroir,87,Japan,,,,,,,,,
138,Sparkling,🥉 Honor,Latvijas Sidrs,Ezera Brut,86,Latvia,,,,,,,,,
