ID,Category,Award,Medalist,Country,Entry,Points,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd
2,Still,🥇 GOLD,Kühbrein,Austria,KühbreinMost Maschanzker,120,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089
3,Still,🥇 GOLD,Rote Pumpe,Germany,Rouge 2022,116.5,3060,https://rote-pumpe.de/,https://www.facebook.com/RotePumpeStrausswirtschaft/,https://www.instagram.com/rotepumpe/,https://maps.google.com/?cid=11686005875191354066,https://www.tripadvisor.com/Restaurant_Review-g198575-d12423100,https://untappd.com/w/rote-pumpe-kelterei-gbr/332443
4,Still,🥇 GOLD,Weidmann & Groh,Germany,Boskop,116,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065
5,Still,🥇 GOLD,Kottmann's Brennerei,Germany,Wiesenobst Cider Börtlinger Weinapfel,111.5,3049,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
6,Still,🥇 GOLD,Müllers Mostmanufaktur,Germany,Apfel Quitte Speierling,111,3062,https://www.most-manufaktur.com/,,,https://maps.google.com/?cid=902565048991263488,,https://untappd.com/w/muellers-mostmanufaktur/504912
7,Still,🥇 GOLD,Obstbau Ciampa,Germany,Spätlese vom Altrain,110.5,2801,,,https://www.instagram.com/obstbau_ciampa/,https://maps.google.com/?cid=10947398667492665042,,
8,Still,🥇 GOLD,Jörg Geiger,Germany,HolzApfel,110,1322,https://www.manufaktur-joerg-geiger.de/,https://www.facebook.com/manufakturjoerggeiger/,https://www.instagram.com/manufakturjoerggeiger/,https://maps.google.com/?cid=908271853334307402,,https://untappd.com/w/manufaktur-jorg-geiger/270857
9,Still,🥇 GOLD,Kottmann's Brennerei,Germany,Wiesenobst Cider Luikenapfel,109.5,3049,https://hirsch-badditzenbach.de/,https://www.facebook.com/profile.php?id=100054455442443,,https://maps.google.com/?cid=9553558957450184374,https://www.tripadvisor.com/Restaurant_Review-g1053109-d4953508,
10,Still,🥇 GOLD,Isastegi,Spain,Sidra Natural Isastegi D.O. Premium,109,1546,https://www.isastegi.com/,https://www.facebook.com/isastegi.sagardotegia,https://www.instagram.com/isastegi/,https://maps.google.com/?cid=3927960308349571227,https://www.tripadvisor.com/Restaurant_Review-g1064362-d5772954,https://untappd.com/brewery/6054
11,Still,🥇 GOLD,Zapiain,Spain,Euskal Sagardoa Premium 2022,108.5,1172,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa
12,Still,🥇 GOLD,Mistérios da Quinta,Portugal,Arrebita,108.5,2603,,,https://www.instagram.com/sidrariaprazeres/,https://maps.google.com/?cid=17308535962264911617,,https://untappd.com/w/misterios-da-quinta-unipessoal-lda/530615
13,Still,🥈 SILVER,Genussmosthof Veitlbauer,Austria,Topaz,107.5,3052,https://www.veitlbauer.at/,https://www.facebook.com/VeitlbauerGenussmosthof/,https://www.instagram.com/veitlbauer_genussmosthof/,https://maps.google.com/?cid=3539887554277783683,,https://untappd.com/w/mostkellerei-veitbauer/433834
