ID,Category,Award,Entrant,Medalist,Entry,Entry,Points,Country,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,Still,🥇 GOLD,Weidmann&Groh,Weidmann & Groh,Speierling,Speierling,115,Germany,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065,50.3305754,8.7244989
3,Still,🥇 GOLD,Kühbrein,Kühbrein Most,Kühbrein Champagner Renette,Kühbrein Champagner Renette,113,Austria,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229
4,Still,🥇 GOLD,Die Hofkellerei Lackner,Hofkellerei Lackner,Erbachhofer Weinapfel,Erbachhofer Weinapfel,112,Austria,3254,https://www.lackner-hofkellerei.at/,https://www.facebook.com/hofkellerei.lackner,https://www.instagram.com/hofkellerei.lackner/,https://maps.google.com/?cid=1698967066169668554,,https://untappd.com/w/lackner/374455,48.3490681,14.1254242
5,Still,🥇 GOLD,Kühbrein,Kühbrein Most,Kühbrein Friedrich,Kühbrein Friedrich,111,Austria,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229
6,Still,🥇 GOLD,Krenzers Rhoen,Krenzers Rhön,Miss U,Miss U,111,Germany,1332,https://rhoenerlebnis.de/,https://www.facebook.com/krenzersrhoen/,https://www.instagram.com/krenzersrhoen/,https://maps.google.com/?cid=15922504228976266945,https://www.tripadvisor.com/Hotel_Review-g2209506-d11774349,https://untappd.com/w/krenzers-rhon/304067,50.524727,10.0156156
7,Still,🥇 GOLD,Georg Herberth Apfelweinkelterei und Getränkehandel,Kelterei Herberth,Herberth Erbstück,Herberth Erbstück,110,Germany,1330,http://www.herberth.de/,,https://www.instagram.com/kelterei_herberth/,https://maps.google.com/?cid=2797968598057029562,,https://untappd.com/w/kelterei-herberth/77482,50.169448,8.511906
8,Still,🥇 GOLD,Weidmann&Groh,Weidmann & Groh,Boskop,Boskop,110,Germany,1343,https://weidmann-groh.de/,https://www.facebook.com/pages/WEIDMANN-GROH/138116339592327,,https://maps.google.com/?cid=6569120976887073603,,https://untappd.com/w/weidmann-groh/73065,50.3305754,8.7244989
9,Still,🥇 GOLD,ZAPIAIN,Zapiain,Euskal Sagardoa Premium 2022,Euskal Sagardoa Premium 2022,110,Spain,1172,https://zapiain.eus/,https://www.facebook.com/zapiainsagardoa,https://www.instagram.com/zapiainsagardoa/,https://maps.google.com/?cid=16982677267877188990,https://www.tripadvisor.com/Restaurant_Review-g1064182-d3806229,https://untappd.com/ZapiainSagardoa,43.2821854,-1.9422089
10,Still,🥇 GOLD,Kühbrein,Kühbrein Most,Kühbrein Ilzer Rosenapfel,Kühbrein Ilzer Rosenapfel,109,Austria,2396,https://www.kuehbreinmost.at/,https://www.facebook.com/KuhbreinMost/,https://www.instagram.com/kuehbrein__/,https://maps.google.com/?cid=6347288815375920345,,https://untappd.com/w/k-hbrein/425089,47.2673244,14.7332229
11,Still,🥇 GOLD,Brunner Most,Mostschenke Brunner,"Apfelwein ""Red Love""","Apfelwein ""Red Love""",109,Austria,1556,https://www.mostschenke.com/,https://www.facebook.com/brunnermost,https://www.instagram.com/brunnermost/,https://maps.google.com/?cid=9656305552831248718,https://www.tripadvisor.com/Restaurant_Review-g3175997-d9608009,,47.110958,15.909555
