ID,Year,Category,Award,Medalist_Original,Product,Points,Country,WID,Medalist
2,2018,Still,🏆 Best of Category,Manufactur Apfeltraum,Roter Adam Selection Kaiserstuhl,108,Germany,3263,Roter Adam
3,2018,Still,🥈 Silver,Gutshof Kraatz,Adams Parmäne,105,Germany,2825,Gutshof Kraatz
4,2018,Still,🥈 Silver,Gutshof Kraatz,Rheinischer Bohnapfel späte Ernte,105,Germany,2825,Gutshof Kraatz
5,2018,Still,🥈 Silver,Melaro,Hoila Cider,104,Italy,3385,Hoila Cider
6,2018,Still,🥈 Silver,Akre Gard,Edel Eplesider,103,Norway,2544,Åkre Gård
7,2018,Still,🥈 Silver,Val de Rance,Cidre Bouché Brut,103,France,1999,Les Celliers Associés
8,2018,Still,🥈 Silver,Longways Cider Co.,Sweet Katy Cider,99,Ireland,3338,Longways Cider Company
9,2018,Still,🥈 Silver,Val de Rance,Bio Cidre,99,France,1999,Les Celliers Associés
10,2018,Still,🥈 Silver,Abavas Family Winery,Apple Wine Dry,98,Latvia,2363,Abavas
11,2018,Still,🥈 Silver,The Cotswold Cider Co.,Side Burns,98,England,1349,Cotswold Cider Company
12,2018,Still,🥈 Silver,Haußler – Hinterespig,Hohenloher Moschd,98,Germany,3053,Haußler Hinterespig
13,2018,Still,🥈 Silver,Mosterei Möhl,Saft vom Fass,97,Switzerland,3124,Mosterei Möhl
14,2018,Still,🥉 Honor,Backstabber,Cider Classic,96,Switzerland,2826,Backstabber Finest Cider
15,2018,Still,🥉 Honor,Bayside Brands,Apple Cider,95,England,3584,Bayside Brands
16,2018,Still,🥉 Honor,Ramborn Cider Co.,Erbachhofer,94,Luxembourg,2698,Ramborn Cider Co.
17,2018,Still,🥉 Honor,Zwutsch,Zwutsch Apfel Cider,93,Germany,3581,Zwutsch
18,2018,Still,🥉 Honor,Tatuv Sad,Suchy,92,Czech Republic,2762,Tátův Sad
19,2018,Still,🥉 Honor,Longways Cider Co.,Tipperary Cider,91,Ireland,3338,Longways Cider Company
20,2018,Still,🥉 Honor,Tamura Farm,Apple Wine Dry,90,Japan,3220,Tamura Farm
21,2018,Still,🥉 Honor,Talavas Sidrs,Rudens,89,Latvia,2142,Tālava
22,2018,Still,🥉 Honor,Ramborn cider Co.,Ramborn Original,89,Luxembourg,2698,Ramborn Cider Co.
23,2018,Still,🥉 Honor,Kelterei Georg Herberth,Urschoppen Apfelwein,89,Germany,1330,Kelterei Herberth
24,2018,Still,🥉 Honor,Ramborn Cider Co.,Farmhouse Cider,88,Luxembourg,2698,Ramborn Cider Co.
25,2018,Still,🥉 Honor,JM Cider House,Red Brook Premium,87,Czech Republic,3384,Redbrook Cider
26,2018,Still,🥉 Honor,Born in the Wetterau,Apfelwein pur,86,Germany,1335,Kelterei Müller
27,2018,Still,🥉 Honor,JM Cider House,Red Brook Original,85,Czech Republic,3384,Redbrook Cider
28,2018,Still,🥉 Honor,Finnbarra Cider,Medium Dry,84,Ireland,1265,Stonewell Cider
29,2018,Still,🥉 Honor,Grupo El Gaitero,Sidra Natural,82,Spain,1314,Sidra El Gaitero
30,2018,Still,🥉 Honor,Adeca Co.,Cider Tsugaru Nouveau,81,Japan,3546,Adeca
31,2018,Sparkling,🏆 Best of Category,Apfelundwein – Oberjosbach,2014 Selektion Ontario-Apfel Flaschengärung,115,Germany,3239,Apfelundwein
32,2018,Sparkling,🥇 Gold,Akre Gard,Edel Eplesider 12%,110,Norway,2544,Åkre Gård
33,2018,Sparkling,🥇 Gold,Staatsweingut Weinsberg,Apfelsecco,110,Germany,3576,Staatsweingut Weinsberg
34,2018,Sparkling,🥇 Gold,Kelterei Gerog Herberth,Apfel-Klassiker herb,109,Germany,1330,Kelterei Herberth
35,2018,Sparkling,🥈 Silver,Egge Gaard,Ekte Sider,108,Norway,1663,Egge Gård
36,2018,Sparkling,🥈 Silver,Egge Gaard,Liersider,108,Norway,1663,Egge Gård
37,2018,Sparkling,🥈 Silver,Les Vergers de Kermao,Cidre AOP Cournouaille,104,France,1587,Les Vergers de Kermao
38,2018,Sparkling,🥈 Silver,Menez Brug,Cidre AOP Cournouaille,102,France,1931,Cidrerie de Menez-Brug
39,2018,Sparkling,🥈 Silver,Obsthof Krieger,Bohnapfelschaumwein trocken,102,Germany,3578,Obsthof Krieger
40,2018,Sparkling,🥈 Silver,La Française d'Exportation,French Cider Brut,102,France,1999,Les Celliers Associés
41,2018,Sparkling,🥈 Silver,Grupo El Gaitero,Pomarina Brut,102,Spain,1314,Sidra El Gaitero
42,2018,Sparkling,🥈 Silver,Domaine Lesuffleur,Friandel,99,France,3339,Domaine Lesuffleur
43,2018,Sparkling,🥈 Silver,Mosterei Möhl,Cuvée Jean-Georges,98,Switzerland,3124,Mosterei Möhl
44,2018,Sparkling,🥈 Silver,Manufactur Apfeltraum,Roter Adam Selection Altes Land,98,Germany,3263,Roter Adam
45,2018,Sparkling,🥉 Honor,Maley,Cidre Matterhorn,96,Italy,1517,Maley
46,2018,Sparkling,🥉 Honor,Grupo El Gaitero,Sidra Brut Natur,96,Spain,1314,Sidra El Gaitero
47,2018,Sparkling,🥉 Honor,Quebrada del Chucao,Cidre Brut,94,Chile,1566,Quebrada del Chucao
48,2018,Sparkling,🥉 Honor,Angry Orchard,Crisp Apple,94,United States,87,Angry Orchard
49,2018,Sparkling,🥉 Honor,Hofkellerei Maffei,Iduna Apfel Cider,93,Italy,3157,Maffei
50,2018,Sparkling,🥉 Honor,Tamura Farm,Kogyoko & Toki,92,Japan,3220,Tamura Farm
51,2018,Sparkling,🥉 Honor,Angry Orchard,Orchard Cuvée 02,92,United States,87,Angry Orchard
52,2018,Sparkling,🥉 Honor,Floribunda,Cider alla Mela,90,Italy,2029,Floribunda
53,2018,Sparkling,🥉 Honor,Hubert Bonell,Paladeus,89,Italy,3024,Paladeus
54,2018,Sparkling,🥉 Honor,Maley,Cidre du Saint Bernard,88,Italy,1517,Maley
55,2018,Sparkling,🥉 Honor,Apfelundwein – Oberjosbach,Winterapfel Hilde Flaschengärung,87,Germany,3239,Apfelundwein
56,2018,Sparkling,🥉 Honor,Hubert Bonell,Paladeus Gold,85,Italy,3024,Paladeus
57,2018,Sparkling,🥉 Honor,Angry Orchard,Dear Brittany,85,United States,87,Angry Orchard
58,2018,Sparkling,🥉 Honor,Azienda Agricola dell Fatti Laura,Melagodo Extra Dry,84,Italy,3078,Sidro MelaGodo
59,2018,Sparkling,🥉 Honor,Tamura Farm,Kurenai no yume,83,Japan,3220,Tamura Farm
60,2018,Sparkling,🥉 Honor,Tamura Farm,Kogyoku,82,Japan,3220,Tamura Farm
61,2018,Mixed & Flavoured,🏆 Best of Category,Haußler – Hinterespig,Apfel-Quitte-Secco,114,Germany,3053,Haußler Hinterespig
62,2018,Mixed & Flavoured,🏆 Best of Category,Pomolo Obstweine,Apfel-Mispel-Secco,114,Germany,1336,Pomolo Obstweine
63,2018,Mixed & Flavoured,🥇 Gold,Finnbarra Cider,Rós,111,Ireland,1265,Stonewell Cider
64,2018,Mixed & Flavoured,🥇 Gold,Horn Cider,Freju*,110,Denmark,3344,Horn Cider
65,2018,Mixed & Flavoured,🥇 Gold,Pomolo Obstweine,Apfel-Quitte-Secco,110,Germany,1336,Pomolo Obstweine
66,2018,Mixed & Flavoured,🥇 Gold,La Française d'Exportation,French Cider – Pear,110,France,1999,Les Celliers Associés
67,2018,Mixed & Flavoured,🥇 Gold,Gutshof Kraatz,Schaumwein Mostbirne,109,Germany,2825,Gutshof Kraatz
68,2018,Mixed & Flavoured,🥇 Gold,Akre Gard,Edel Rosésicer,109,Norway,2544,Åkre Gård
69,2018,Mixed & Flavoured,🥇 Gold,Tempted Cider Company,Edelflower Cider,109,Ireland,1459,Tempted Cider
70,2018,Mixed & Flavoured,🥇 Gold,Kelterei Georg Herberth,Pink Apple,109,Germany,1330,Kelterei Herberth
71,2018,Mixed & Flavoured,🥇 Gold,Hohenloher Schaumweine,Campano Qui,109,Germany,3240,Hohenloher Schaumweine
72,2018,Mixed & Flavoured,🥈 Silver,Hohenloher Schaumweine,Pyrus,107,Germany,3240,Hohenloher Schaumweine
73,2018,Mixed & Flavoured,🥈 Silver,Angry Orchard,Rosé,106,United States,87,Angry Orchard
74,2018,Mixed & Flavoured,🥈 Silver,Prosequ Quitte pur,Quittenschaumwein,104,Austria,3585,Prosequ
75,2018,Mixed & Flavoured,🥈 Silver,Abavas Family Winery,Hopped Apple Cider,103,Latvia,2363,Abavas
76,2018,Mixed & Flavoured,🥈 Silver,Egge Gaard,Rosé Sider,103,Norway,1663,Egge Gård
77,2018,Mixed & Flavoured,🥈 Silver,Echt Brombachseer,Bohnapfel mit Quitte,103,Germany,3565,Echt Brombachseer
78,2018,Mixed & Flavoured,🥈 Silver,Ramborn Cider Co.,Cascade Hopped Cider,102,Luxembourg,2698,Ramborn Cider Co.
