ID,ID2,Style,Medal,Medalist,Medalist_Original,Entry,WID
2,4,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,EARL Cidre Lemasson,Cuvée Jazz sous les Pommiers 2018,2691
3,3,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,EARL Cidre Lemasson,Extra-brut 2019,2691
4,2,AOP Cidre Cotentin,🥇 Or,Théo Capelle,SARL Théo Capelle,Théo Capelle Brut 2019,1513
5,6,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,GAEC de Claids - Alain Dauget,Claids Brut 2018,3317
6,7,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,GAEC de Claids - Alain Dauget,Claids Brut 2019,3317
7,5,AOP Cidre Cotentin,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie - Jean-François Vaultier,Ferme de la Commanderie Brut 2019,3319
8,9,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,EARL Les Vergers de la Passion,Les Vergers de la Passion - Petit Louis 2018,3553
9,8,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,EARL Les Vergers de la Passion,Les Vergers de la Passion Brut 2018,3553
10,10,AOP Cidre Cotentin,🥈 Argent,Maison Hérout,Maison Hérout,Hérout Cuvée tradition 2018,2140
11,12,AOP Cidre Pays d'Auge,🥇 Or,Domaine de la Galotière,GAEC de la Galotière - Nathalie et Jean-Luc Olivier,La Galotière 2019,1183
12,11,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Cidrerie Desvoye,Cuvée premières 2019,2161
13,13,AOP Cidre Pays d'Auge,🥈 Argent,Manoir de Grandouet,GAEC du Manoir de Grandouet - Lucile et Stéphane Grandval,Le Manoir de Grandouet - Cuvée réserve 2018,1376
14,14,Cidre du Pays de Caux,🥇 Or,Ecomusée de la Pomme et du Cidre,Vincent Godefroy,Récolte 2019,1577
15,15,Cidre du Pays de Caux,🥈 Argent,Les Vergers du Quesnay,EARL Saint-Joseph - Pierre Lambard,Les Vergers du Quesnay - Brut 2019,3370
16,16,Cidre du Perche,🥇 Or,Cidrerie Traditionnelle du Perche,Cidrerie Traditionnelle du Perche - Nathalie et Dominique Plessis,L'Hermitière Brut 2019,1294
17,19,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,Cidrerie Traditionnelle du Perche - Nathalie et Dominique Plessis,L'Hermitière - Demi-sec 2019,1294
18,17,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,Cidrerie Traditionnelle du Perche - Nathalie et Dominique Plessis,L'Hermitière Brut 2019,1294
19,18,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,Cidrerie Traditionnelle du Perche - Nathalie et Dominique Plessis,L'Hermitière Brut 2019,1294
20,20,AOP Poiré Domfront,🥇 Or,Pacory,GAEC des Grimaux,Pacory Ferme des Grimaux - Le Cadet 2019,1582
21,21,AOP Poiré Domfront,🥈 Argent,Famille Guesdon,GAEC de la Cave Normande - Sébastien Guesdon,La Cave Normande 2019,2697
22,22,IGP Cidre de Normandie,🥇 Or,Cidre Viard-Bayeux,SAS Cidrerie Viard,Cidre Artisanal de Bayeux - Brut 2019,3318
23,26,IGP Cidre de Normandie,🥇 Or,Cidrerie Dujardin,Les Celliers Associés,Dujardin 2019,1142
24,28,IGP Cidre de Normandie,🥇 Or,Le Clos des Citots,SCEA Clos des Citots,Clos des Citots - Doux 2019,3102
25,24,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or - Demi-sec 2019,2689
26,23,IGP Cidre de Normandie,🥈 Argent,Cidre Viard-Bayeux,SAS Cidrerie Viard,Cidre Artisanal de Bayeux - Doux 2019,3318
27,27,IGP Cidre de Normandie,🥈 Argent,Cidrerie Dujardin,Les Celliers Associés,Dujardin - Doux 2019,1142
28,31,IGP Cidre de Normandie,🥈 Argent,Écusson,Eclor Boissons,Ecusson - Brut généreux 2019,3182
29,32,IGP Cidre de Normandie,🥈 Argent,Écusson,Eclor Boissons,Ecusson - Doux fruité 2019,3182
30,30,IGP Cidre de Normandie,🥈 Argent,La Cave de la Loterie,Cave de la Loterie - Régis Aubry,Cave de la Loterie - Fraîcheur 2018,3316
31,25,IGP Cidre de Normandie,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or - Demi-sec 2019,2689
32,29,IGP Cidre de Normandie,🥈 Argent,Les Vergers de Ducy,Les Vergers de Ducy,Domaine de la Flaguerie - Fraîcheur 2018,3321
33,33,Cidre Rosé,🥇 Or,Cidrerie Dujardin,Les Celliers Associés,Dujardin 2019,1142
34,35,Cidre Rosé,🥈 Argent,Écusson,Eclor Boissons,Ecusson Rosé naturel 2019,3182
35,34,Cidre Rosé,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d'Or,Le Pressoir d'Or 2019,2689
36,36,Cidre,🥇 Or,Cidre de Grévilly,Cidre de Grévilly - Brigitte Criaud,Le Cidre de Grévilly - Demi-sec 2018,3557
37,42,Cidre,🥇 Or,Domaine Duclos Fougeray,SCEA Fougeray Duclos,Domaine Duclos Denise - La Douce 2019,1178
38,38,Cidre,🥇 Or,Ferme de la Sapinière,SCEA Cidricole de la Sapinière,Ferme de la Sapinière - Brut 2019,1913
39,40,Cidre,🥇 Or,Ferme du Lieu-Roussel,Le Lieu Roussel - EARL Maertens,Lieu Roussel - Demi-sec 2018,1650
40,41,Cidre,🥇 Or,Les Vergers du Chouquet,EARL Les Vergers du Chouquet - Christophe Aguinet,Les Vergers du Chouquet - Demi-sec 2019,2901
41,37,Cidre,🥈 Argent,Cidre de Grévilly,Cidre de Grévilly - Brigitte Criaud,Le Cidre de Grévilly - Brut 2019,3557
42,53,Cidre,🥈 Argent,Domaine Olivier,Thierry Olivier,Le Domaine Olivier - Brut 2019,3372
43,49,Cidre,🥈 Argent,Famille Guesdon,GAEC de la Cave Normande - Sébastien Guesdon,La Cave Normande - Brut 2019,2697
44,50,Cidre,🥈 Argent,Ferme de Cutesson,EARL Ferme de Cutesson,Ferme de Cutesson - Brut 2019,2897
45,48,Cidre,🥈 Argent,Ferme de l'Hermitière,Ferme de l'Hermitière - Jean-Luc Coulombier,Ferme de l'Hermitière -Demi-sec 2019,1295
46,39,Cidre,🥈 Argent,Ferme de la Sapinière,SCEA Cidricole de la Sapinière,Ferme de la Sapinière - Apple oak 2018,1913
47,46,Cidre,🥈 Argent,Ferme des Noës,EARL des Noës - Hervé et Christophe Leber,La Ferme des Noës - Demi-sec 2019,2887
48,47,Cidre,🥈 Argent,Ferme des Noës,EARL des Noës - Hervé et Christophe Leber,La Ferme des Noës - Fruité 2018,2887
49,45,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Cidre du Pays de la Risle - Brut 2019,3315
50,44,Cidre,🥈 Argent,La Ferme de Billy,La Ferme de Billy - Olivier Vauvrecy,Ferme de Billy - Corsé 2018,1653
51,43,Cidre,🥈 Argent,La Ferme de Billy,La Ferme de Billy - Olivier Vauvrecy,Ferme de Billy - Fraîcheur 2018,1653
52,52,Cidre,🥈 Argent,Le Domaine du Tertre,SARL des Patrets - Olivier Havard,Domaine du Tertre - Cuvée acidulée 2019,3556
53,54,Cidre,🥈 Argent,Le P'tit Clos Normand,EARL des Coudréaux,Le P'tit Clos Normand - Extra-brut 2019,3369
54,55,Cidre,🥈 Argent,Les Normandises du Pradon,EARL du Pradon - Emmanuel Palfray,Les Normandises du Pradon - Extra-brut 2019,3308
55,51,Cidre,🥈 Argent,Pacory,GAEC des Grimaux,Pacory Ferme des Grimaux - Doux 2019,1582
56,56,Cidre de Glace,🥇 Or,Les Vergers de Ducy,Les Vergers de Ducy,Domaine de la Flaguerie 2017,3321
57,59,Cidre de Glace,🥈 Argent,Domaine Duclos Fougeray,SCEA Fougeray Duclos,Domaine Duclos 2018,1178
58,57,Cidre de Glace,🥈 Argent,Ferme des Noës,EARL des Noës - Hervé et Christophe Leber,La Ferme des Noës 2018,2887
59,60,Cidre de Glace,🥈 Argent,Les Normandises du Pradon,EARL du Pradon - Emmanuel Palfray,Les Normandises du Pradon 2019,3308
60,58,Cidre de Glace,🥈 Argent,Théo Capelle,SARL Théo Capelle,Théo Capelle - Kapel Ice 2019,1513
61,61,Cidre Aromatisé,🥈 Argent,Domaine de la Galotière,GAEC de la Galotière - Nathalie et Jean-Luc Olivier,La Galotière - Le houblonné 2019,1183
62,62,Cidre Aromatisé,🥈 Argent,Écusson,Eclor Boissons,Ecusson Cidre et poire subtil 2019,3182
63,65,Poiré,🥇 Or,Domaine Olivier,Thierry Olivier,Le Domaine Olivier 2018,3372
64,64,Poiré,🥇 Or,Famille Guesdon,GAEC de la Cave Normande - Sébastien Guesdon,La Cave Normande 2019,2697
65,63,Poiré,🥇 Or,La Cave de la Loterie,Cave de la Loterie - Régis Aubry,Cave de la Loterie Fruité 2018,3316
66,66,Poiré,🥈 Argent,Domaine Sicera,Domaine Sicera - Paul Caillouel,Sicera Odette 2019,3491
