ID,ID2,Style,Medal,Medalist,Medalist_Original,Entry,Town,Department,WID
2,2,AOP Cidre Cotentin,🥇 Or,Théo Capelle,Théo Capelle,Brut 2019,,,1513
3,3,AOP Cidre Cotentin,🥇 Or,Théo Capelle,Théo Capelle,Extra-brut 2019,,,1513
4,4,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Cidrerie Claids,Brut 2020,,,3317
5,6,AOP Cidre Cotentin,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie,Ferme de la Commanderie 2019,,,3319
6,5,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,Les Vergers de la Passion,Brut 2020,,,3553
7,7,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Cidrerie Desvoye,Cru de Cambremer 2020,,,2161
8,10,AOP Cidre Pays d'Auge,🥈 Argent,Domaine de la Galotière,La Galotière,Prestige 2019,,,1183
9,8,AOP Cidre Pays d'Auge,🥈 Argent,Ferme Cidricole Desvoye,Cidrerie Desvoye,Cru de Cambremer 2020,,,2161
10,9,AOP Cidre Pays d'Auge,🥈 Argent,Ferme Cidricole Desvoye,Cidrerie Desvoye,Cuvée Premières 2019,,,2161
11,13,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,Le Lieu Roussel,Le Lieu Roussel 2019,,,1650
12,11,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,Le Lieu Roussel,Le Lieu Roussel 2020,,,1650
13,12,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,Le Lieu Roussel,Le Lieu Roussel 2020,,,1650
14,14,Cidre du Perche,🥈 Argent,Cidrerie Domaine du Ruisseau,Domaine du Ruisseau,Demi-sec 2020,,,3325
15,15,Cidre du Perche,🥈 Argent,Cidrerie Lacour-Veyranne,Lacour-Veyranne,Cuvée des vergers oubliés 2020,,,3555
16,16,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,,,1294
17,19,Cidre du Perche,🥈 Argent,La Maison Ferré,La Maison Ferré,La cave de Gabriel 2019,,,2551
18,18,Cidre du Perche,🥈 Argent,La Maison Ferré,La Maison Ferré,Le préféré de Marie 2019,,,2551
19,17,Cidre du Perche,🥈 Argent,La Maison Ferré,La Maison Ferré,Le préféré de Marie 2020,,,2551
20,20,Cidre du Pays de Caux,🥇 Or,Ecomusée de la Pomme et du Cidre,Ecomusée du Cidre,Brut 2019,,,1577
21,21,Cidre du Pays de Caux,🥈 Argent,Ecomusée de la Pomme et du Cidre,Ecomusée du Cidre,Demi-sec 2020,,,1577
22,22,Cidre du Pays de Caux,🥈 Argent,Les Normandises du Pradon,Les Normandises du Pradon,Les Normandises du Pradon 2019,,,3308
23,24,AOP Poiré Domfront,🥇 Or,Pacory,Pacory,L'idéal 2017,,,1582
24,23,AOP Poiré Domfront,🥇 Or,Pacory,Pacory,L'idéal 2019,,,1582
25,25,AOP Poiré Domfront,🥈 Argent,Famille Guesdon,La Cave Normande,La Cave Normande Sélection 2019,,,2697
26,30,IGP Cidre de Normandie,🥇 Or,Cidre Viard-Bayeux,Bayeux,Doux 2020,,,3318
27,27,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,Le Pressoir d'Or,Le Pressoir d'Or 2020,,,2689
28,28,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,Le Pressoir d'Or,Le Pressoir d'Or 2020,,,2689
29,29,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,Le Pressoir d'Or,Le Pressoir d'Or 2020,,,2689
30,26,IGP Cidre de Normandie,🥇 Or,Les Vergers de Fumichon,Les Vergers de Fumichon,Fruité 2020,,,3552
31,33,IGP Cidre de Normandie,🥈 Argent,Cidre Lemasson,Lemasson,Brut 2020,,,2691
32,31,IGP Cidre de Normandie,🥈 Argent,Domaine des 5 Autels,Cinq Autels,Le brut 2020,,,2591
33,34,IGP Cidre de Normandie,🥈 Argent,Domaine Duclos Fougeray,Domaine Duclos Fougeray,Denise La Douce 2020,,,1178
34,32,IGP Cidre de Normandie,🥈 Argent,La Cave de la Loterie,Cave de la Loterie,Fruité 2020,,,3316
35,35,IGP Cidre de Normandie,🥈 Argent,Le Clos des Citots,Clos des Citots,Brut 2020,,,3102
36,36,Cidre de Glace,🥇 Or,Domaine Duclos Fougeray,Domaine Duclos Fougeray,Domaine Duclos Fougeray 2018,,,1178
37,37,Cidre de Glace,🥈 Argent,Ferme des Noës,La Ferme des Noës,Domaine Duclos Fougeray 2019,,,2887
38,39,Cidre Rosé,🥇 Or,Ferme des Noës,Ferme des Noës,Ferme des Noës 2019,,,2887
39,38,Cidre Rosé,🥇 Or,Le Pressoir d'Or,Le Pressoir d'Or,Le Pressoir d'Or 2020,,,2689
40,40,Cidre Rosé,🥈 Argent,Domaine des Hauts-Vents,Domaine des Hauts Vents,Domaine des Hauts Vents 2020,,,2889
41,41,Cidre Aromatisé,🥈 Argent,Cidre Lemasson,Lemasson,La Taloche 2020,,,2691
42,43,Cidre,🥇 Or,Ferme de la Sapinière,Ferme de la Sapinière,Demi-sec 2019,,,1913
43,42,Cidre,🥇 Or,Ferme des Noës,Ferme des Noës,Fruité 2019,,,2887
44,44,Cidre,🥇 Or,Les Vergers du Quesnay,Les Vergers du Quesnay,Cuvée Gustave 2019,,,3370
45,60,Cidre,🥈 Argent,Cave de la Fosse,Cave de la Fosse,Cave de la Fosse 2020,,,3550
46,54,Cidre,🥈 Argent,Domaine des Hauts-Vents,Domaine des Hauts Vents,Brut 2020,,,2889
47,55,Cidre,🥈 Argent,Domaine des Hauts-Vents,Domaine des Hauts Vents,Doux 2020,,,2889
48,49,Cidre,🥈 Argent,Ferme de la Sapinière,Ferme de la Sapinière,Apple Oak 2018,,,1913
49,48,Cidre,🥈 Argent,Ferme de la Sapinière,Ferme de la Sapinière,Apple Oak 2019,,,1913
50,47,Cidre,🥈 Argent,Ferme de la Sapinière,Ferme de la Sapinière,Brut 2020,,,1913
51,50,Cidre,🥈 Argent,Ferme de la Sapinière,Ferme de la Sapinière,Cuvée Louise Gautier 2019,,,1913
52,58,Cidre,🥈 Argent,Ferme des Martellières,Les Martellières,Demi-sec 2020,,,3322
53,51,Cidre,🥈 Argent,Ferme du Petit Château,Ferme du Petit Château,Ferme du Petit Château 2018,,,3551
54,52,Cidre,🥈 Argent,La Ferme de Billy,Ferme de Billy,Fruité 2020,,,1653
55,53,Cidre,🥈 Argent,La Ferme des Ruelles,La Ferme des Ruelles,La Ferme des Ruelles 2020,,,2888
56,56,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie,Brut 2019,,,3368
57,57,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie,Brut 2019,,,3368
58,45,Cidre,🥈 Argent,Les Vergers du Quesnay,Les Vergers du Quesnay,Brut 2020,,,3370
59,46,Cidre,🥈 Argent,Les Vergers du Quesnay,Les Vergers du Quesnay,Demi-sec 2020,,,3370
60,59,Cidre,🥈 Argent,Pacory,Pacory,Pacory 2020,,,1582
61,61,Poiré,🥇 Or,Domaine des Hauts-Vents,Domaine des Hauts Vents,Domaine des Hauts Vents 2020,,,2889
62,62,Poiré,🥇 Or,Famille Guesdon,La Cave Normande,La Cave Normande 2020,,,2697
63,63,Poiré,🥇 Or,Manoir de Durcet,Manoir de Durcet,Manoir de Durcet 2020,,,2487
64,66,Poiré,🥈 Argent,Cidres d'Auteurs,Poiré d'Auteur,Poiré d'Auteur 2020,,,3554
65,68,Poiré,🥈 Argent,Domaine Duclos Fougeray,Domaine Duclos Fougeray,Denise La Bonne Poire 2020,,,1178
66,67,Poiré,🥈 Argent,Ferme des Martellières,Les Martellières,Les Martellières 2018,,,3322
67,65,Poiré,🥈 Argent,Ferme du Manoir du Val,Manoir du Val,Poiré du Pays de la Risle 2020,,,3315
68,64,Poiré,🥈 Argent,La Cave de la Loterie,Cave de la Loterie,Fruité 2020,,,3316
