ID,ID2,Style,Medal,Medalist,Medalist_Original,Entry,Entry_Original,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,2,AOP Cidre Cotentin,🥇 Or,Ferme de la Commanderie,Ferme de la Commanderie,Ferme de la Commanderie Brut Cuvée Héritage 2021,FERME DE LA COMMANDERIE BRUT CUVÉE HÉRITAGE,3319,,,,,,,,
3,4,AOP Cidre Cotentin,🥇 Or,Ferme de la Commanderie,Ferme de la Commanderie,Ferme de la Commanderie Extra-Brut 2021,FERME DE LA COMMANDERIE EXTRA-BRUT,3319,,,,,,,,
4,3,AOP Cidre Cotentin,🥇 Or,Théo Capelle,Théo Capelle,Théo Capelle Brut 2020,THÉO CAPELLE BRUT,1513,,,,,,,,
5,7,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,EARL Cidrerie de Claids,Cidrerie Claids 2020,CIDRERIE CLAIDS,3317,,,,,,,,
6,5,AOP Cidre Cotentin,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie,Ferme de la Commanderie Brut 2021,FERME DE LA COMMANDERIE BRUT,3319,,,,,,,,
7,6,AOP Cidre Cotentin,🥈 Argent,Théo Capelle,Théo Capelle,Théo Capelle Extra-Brut 2020,THÉO CAPELLE EXTRA-BRUT,1513,,,,,,,,
8,8,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Ferme Cidricole Desvoye,Cidrerie Desvoye Premières 2021,CIDRERIE DESVOYE PREMIÈRES,2161,,,,,,,,
9,9,AOP Cidre Pays d'Auge,🥇 Or,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur Demi-Sec 2021,FERME DE LA VALLÉE AU TANNEUR DEMI-SEC,2160,,,,,,,,
10,12,AOP Cidre Pays d'Auge,🥈 Argent,Ferme Cidricole Desvoye,Ferme Cidricole Desvoye,Cidrerie Desvoye Tradition Cambremer 2021,CIDRERIE DESVOYE TRADITION CAMBREMER,2161,,,,,,,,
11,13,AOP Cidre Pays d'Auge,🥈 Argent,Ferme du Lieu-Roussel,EARL Maertens,Le Lieu Roussel 2021,LE LIEU ROUSSEL,1650,,,,,,,,
12,11,AOP Cidre Pays d'Auge,🥈 Argent,Les Vergers d'Auvillars,Les Vergers d’Auvillars,Les Vergers d'Auvillars 2021,LES VERGERS D’AUVILLARS,2905,,,,,,,,
13,10,AOP Cidre Pays d'Auge,🥈 Argent,Manoir d'Apreval,Manoir d’Apreval,Manoir d'Apreval Cuvée Saint-Georges 2021,MANOIR D’APREVAL CUVÉE SAINT-GEORGES,1377,,,,,,,,
14,14,AOP Cidre du Perche,🥇 Or,Cidrerie Domaine du Ruisseau,Domaine du Ruisseau,Domaine du Ruisseau Demi-Sec 2021,DOMAINE DU RUISSEAU DEMI-SEC,3325,,,,,,,,
15,15,Cidre du Pays de Caux,🥇 Or,Les Normandises du Pradon,EARL du Pradon,Domaine du Pradon 2021,DOMAINE DU PRADON,3308,,,,,,,,
16,16,Cidre du Pays de Caux,🥈 Argent,GAEC Hédouin,GAEC Hédouin Cidre,Ferme de Catteville 2021,FERME DE CATTEVILLE,3324,,,,,,,,
17,17,AOP Poiré Domfront,🥇 Or,Famille Guesdon,La Cave Normande,La Cave Normande 2020,LA CAVE NORMANDE,2697,,,,,,,,
18,18,AOP Poiré Domfront,🥇 Or,Famille Guesdon,La Cave Normande,La Cave Normande 2020,LA CAVE NORMANDE,2697,,,,,,,,
19,30,IGP Cidre de Normandie,🥇 Or,Cidre Viard-Bayeux,Cidrerie Viard - Bayeux,Bayeux Brut Tannique 2021,BAYEUX BRUT TANNIQUE,3318,,,,,,,,
20,29,IGP Cidre de Normandie,🥇 Or,Cidre Viard-Bayeux,Cidrerie Viard - Bayeux,Pomme d'Aure Demi-Sec 2020,POMME D’AURE DEMI-SEC,3318,,,,,,,,
21,20,IGP Cidre de Normandie,🥇 Or,Domaine Duclos Fougeray,SCEA Fougeray-Duclos,Domaine Duclos-Fougeray Denise La Patronne 2021,DOMAINE DUCLOS-FOUGERAY DENISE LA PATRONNE,1178,,,,,,,,
22,19,IGP Cidre de Normandie,🥇 Or,Le Pressoir d'Or,SARL Le Pressoir d’Or,Le Pressoir d'Or Cidre du Vexin Normand 2021,LE PRESSOIR D’OR CIDRE DU VEXIN NORMAND,2689,,,,,,,,
23,27,IGP Cidre de Normandie,🥈 Argent,Cidre Viard-Bayeux,Cidrerie Viard - Bayeux,Bayeux Doux Plaisir 2021,BAYEUX DOUX PLAISIR,3318,,,,,,,,
24,28,IGP Cidre de Normandie,🥈 Argent,Cidrerie de la Brique,Cidrerie de la Brique,Les Vergers Brut 2021,LES VERGERS BRUT,1312,,,,,,,,
25,26,IGP Cidre de Normandie,🥈 Argent,Cidrerie de la Brique,Cidrerie de la Brique,Les Vergers Doux 2021,LES VERGERS DOUX,1312,,,,,,,,
26,33,IGP Cidre de Normandie,🥈 Argent,Cidrerie Michel Bréavoine,SARL Michel Bréavoine,Michel Bréavoine 2021,MICHEL BRÉAVOINE,1507,,,,,,,,
27,31,IGP Cidre de Normandie,🥈 Argent,Domaine des 5 Autels,Domaine des 5 Autels,Domaine des 5 Autels L'Extralucidre 2020,DOMAINE DES 5 AUTELS L’EXTRALUCIDRE,2591,,,,,,,,
28,32,IGP Cidre de Normandie,🥈 Argent,Domaine des Hauts-Vents,SCEA des Hauts Vents,Domaine des Hauts Vents Cuvée Paule 2021,DOMAINE DES HAUTS VENTS CUVÉE PAULE,2889,,,,,,,,
29,21,IGP Cidre de Normandie,🥈 Argent,Domaine Duclos Fougeray,SCEA Fougeray-Duclos,Domaine Duclos-Fougeray Denise La Brute 2020,DOMAINE DUCLOS-FOUGERAY DENISE LA BRUTE,1178,,,,,,,,
30,23,IGP Cidre de Normandie,🥈 Argent,Domaine Duclos Fougeray,SCEA Fougeray-Duclos,Domaine Duclos-Fougeray Denise La Douce 2021,DOMAINE DUCLOS-FOUGERAY DENISE LA DOUCE,1178,,,,,,,,
31,25,IGP Cidre de Normandie,🥈 Argent,La Cave de la Loterie,Cave de la Loterie,Cave de la Loterie Brut 2021,CAVE DE LA LOTERIE BRUT,3316,,,,,,,,
32,24,IGP Cidre de Normandie,🥈 Argent,La Cave de la Loterie,Cave de la Loterie,Cave de la Loterie Fruité 2021,CAVE DE LA LOTERIE FRUITÉ,3316,,,,,,,,
33,22,IGP Cidre de Normandie,🥈 Argent,Le Pressoir d'Or,SARL Le Pressoir d’Or,Le Pressoir d'Or Domaine de Frenelles 2020,LE PRESSOIR D’OR DOMAINE DE FRENELLES,2689,,,,,,,,
34,48,Cidre,🥇 Or,Ecomusée de la Pomme et du Cidre,Ecomusée du Cidre,Demi-Sec 2021,DEMI-SEC,1577,,,,,,,,
35,47,Cidre,🥇 Or,Ferme de la Sapinière,SCEA Cidricole de la Sapinière,Ferme de la Sapinière Cuvée Louise Gautier 2021,FERME DE LA SAPINIÈRE CUVÉE LOUISE GAUTIER,1913,,,,,,,,
36,40,Cidre,🥇 Or,Ferme des Noës,EARL des Noës,La Ferme des Noës Fruité 2021,LA FERME DES NOËS FRUITÉ,2887,,,,,,,,
37,41,Cidre,🥇 Or,Ferme du Lieu-Roussel,EARL Maertens,Le Lieu-Roussel 2021,LE LIEU-ROUSSEL,1650,,,,,,,,
38,37,Cidre,🥇 Or,Ferme du Manoir du Val,EARL Courtoux Bourut,Ferme du Manoir du Val 2020,FERME DU MANOIR DU VAL,3315,,,,,,,,
39,35,Cidre,🥇 Or,Les Vergers de Ducy,Les Vergers de Ducy,Cidre de la Flaguerie Brut 2020,CIDRE DE LA FLAGUERIE BRUT,3321,,,,,,,,
40,36,Cidre,🥇 Or,Les Vergers de Ducy,Les Vergers de Ducy,Cidre de la Flaguerie Calypso 2020,CIDRE DE LA FLAGUERIE CALYPSO,3321,,,,,,,,
41,34,Cidre,🥇 Or,Les Vergers de Ducy,Les Vergers de Ducy,Cidre de la Flaguerie Demi-Sec 2020,CIDRE DE LA FLAGUERIE DEMI-SEC,3321,,,,,,,,
42,44,Cidre,🥇 Or,Les Vergers du Quesnay,EARL Saint-Joseph,Les Vergers du Quesnay Brut 2019,LES VERGERS DU QUESNAY BRUT,3370,,,,,,,,
43,46,Cidre,🥇 Or,Pacory,Pacory,Pacory 2021,PACORY,1582,,,,,,,,
44,49,Cidre,🥇 Or,Pacory,Pacory,Pacory Brut 2021,PACORY BRUT,1582,,,,,,,,
45,53,Cidre,🥈 Argent,Ferme de Cavelande,François-Xavier Lebosquain,Ferme de Cavelande 2021,FERME DE CAVELANDE,2164,,,,,,,,
46,50,Cidre,🥈 Argent,Ferme de la Sapinière,SCEA Cidricole de la Sapinière,Ferme de la Sapinière Apple Oak 2020,FERME DE LA SAPINIÈRE APPLE OAK,1913,,,,,,,,
47,55,Cidre,🥈 Argent,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur,Ferme de la Vallée au Tanneur Extra-Brut 2021,FERME DE LA VALLÉE AU TANNEUR EXTRA-BRUT,2160,,,,,,,,
48,59,Cidre,🥈 Argent,Ferme des Martellières,SCEA des Martellières,Ferme des Martellières Brut 2021,FERME DES MARTELLIÈRES BRUT,3322,,,,,,,,
49,43,Cidre,🥈 Argent,Ferme des Noës,EARL des Noës,La Ferme des Noës Sec 2021,LA FERME DES NOËS SEC,2887,,,,,,,,
50,39,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Ferme du Manoir du Val Brut 2021,FERME DU MANOIR DU VAL BRUT,3315,,,,,,,,
51,42,Cidre,🥈 Argent,Ferme du Manoir du Val,EARL Courtoux Bourut,Ferme du Manoir du Val Doux 2021,FERME DU MANOIR DU VAL DOUX,3315,,,,,,,,
52,51,Cidre,🥈 Argent,Groualle Frères,Anthony Groualle,Groualle Frères Brut 2021,GROUALLE FRÈRES BRUT,3367,,,,,,,,
53,56,Cidre,🥈 Argent,La Ferme de Billy,La Ferme de Billy,La Ferme de Billy Corsé 2021,LA FERME DE BILLY CORSÉ,1653,,,,,,,,
54,58,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie,Le Chai de la Baie Brut 2021,LE CHAI DE LA BAIE BRUT,3368,,,,,,,,
55,57,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie,Le Chai de la Baie Demi-Sec 2020,LE CHAI DE LA BAIE DEMI-SEC,3368,,,,,,,,
56,60,Cidre,🥈 Argent,Le Chai de la Baie,Le Chai de la Baie,Le Chai de la Baie Doux 2021,LE CHAI DE LA BAIE DOUX,3368,,,,,,,,
57,54,Cidre,🥈 Argent,Les Normandises du Pradon,EARL du Pradon,Les Normandises du Pradon Demi-Sec 2021,LES NORMANDISES DU PRADON DEMI-SEC,3308,,,,,,,,
58,52,Cidre,🥈 Argent,Les Normandises du Pradon,EARL du Pradon,Les Normandises du Pradon Extra-Brut 2021,LES NORMANDISES DU PRADON EXTRA-BRUT,3308,,,,,,,,
59,61,Cidre,🥈 Argent,Les Vergers d'Auvillars,Les Vergers d’Auvillars,Les Vergers d'Auvillars Cuvée Tradition 2021,LES VERGERS D’AUVILLARS CUVÉE TRADITION,2905,,,,,,,,
60,38,Cidre,🥈 Argent,Les Vergers de Ducy,Les Vergers de Ducy,Cidre de la Flaguerie Demi-Sec 2021,CIDRE DE LA FLAGUERIE DEMI-SEC,3321,,,,,,,,
61,45,Cidre,🥈 Argent,Les Vergers du Quesnay,EARL Saint-Joseph,Les Vergers du Quesnay Doux 2021,LES VERGERS DU QUESNAY DOUX,3370,,,,,,,,
62,62,Cidre Rosé,🥇 Or,Les Celliers Associés,Les Celliers Associés,Dujardin 2020,DUJARDIN,1999,,,,,,,,
63,63,Cidre Rosé,🥈 Argent,Ferme des Noës,EARL des Noës,La Ferme des Noës 2021,LA FERME DES NOËS,2887,,,,,,,,
64,64,Poiré,🥇 Or,Domaine des Hauts-Vents,SCEA des Hauts Vents,Domaine des Hauts Vents 2021,DOMAINE DES HAUTS VENTS,2889,,,,,,,,
65,65,Poiré,🥇 Or,Famille Guesdon,La Cave Normande,La Cave Normande 2021,LA CAVE NORMANDE,2697,,,,,,,,
66,66,Poiré,🥇 Or,Ferme des Martellières,SCEA des Martellières,Ferme des Martellières Demi-Sec 2021,FERME DES MARTELLIÈRES DEMI-SEC,3322,,,,,,,,
67,67,Poiré,🥈 Argent,Ferme des Martellières,SCEA des Martellières,Ferme des Martellières Demi-Sec 2020,FERME DES MARTELLIÈRES DEMI-SEC,3322,,,,,,,,
68,68,Poiré,🥈 Argent,Pacory,Pacory,Pacory Vif et Pétillant 2021,PACORY VIF ET PÉTILLANT,1582,,,,,,,,
69,69,Cidre et Poiré de Glace,🥈 Argent,Domaine de la Galotière,Domaine de la Galotière,Cidre de Glace La Galotière 2020,CIDRE DE GLACE LA GALOTIÈRE,1183,,,,,,,,
70,70,Cidre et Poiré de Glace,🥈 Argent,Domaine de la Galotière,Domaine de la Galotière,Poiré de Glace La Galotière 2020,POIRÉ DE GLACE LA GALOTIÈRE,1183,,,,,,,,
