ID,Style,Medal,Medalist,Medalist_Original,Entry,Town,Department,WID,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
2,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,EARL Cidre Lemasson,Lemasson extra-brut Bio récolte 2022,Cametours,Manche,2691,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290,49.0708506,-1.2963565
3,AOP Cidre Cotentin,🥇 Or,Groualle Frères,EI Groualles Frères,Groualle Frères Bio récolte 2023,Le Lorey,Manche,3367,,https://www.facebook.com/GROUALLEANTHONY,,,,,49.104686,-1.329224
4,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Cidrerie Claids,Cidrerie Claids extra-brut récolte 2023,Saint-Patrice-de-Claids,Manche,3317,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585
5,AOP Cidre Cotentin,🥈 Argent,Domaine de Rugueville,Nicolas Flambard,Domaine de Rugueville brut Bio récolte 2023,Partbail sur Mer,Manche,3371,https://domainederugueville.fr/,https://www.facebook.com/profile.php?id=100057855811467,,https://maps.google.com/?cid=8320768846860943756,https://www.tripadvisor.com/Attraction_Review-g616116-d12491816,https://untappd.com/w/domaine-de-rugueville/222398,49.3610839,-1.6742373
6,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Cidrerie Desvoye,Tradition Cambremer Bio récolte 2023,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
7,AOP Cidre Pays d'Auge,🥇 Or,Zathinoé,Monique Berl,Zathinoé Carte Noire Bio récolte 2019,Castillon en Auge,Calvados,2702,https://zathinoe.fr/,,,https://maps.google.com/?cid=2359582709656446462,,https://untappd.com/w/zathinoe/452758,49.0320526,0.0828382
8,AOP Cidre Pays d'Auge,🥈 Argent,Ferme Cidricole Desvoye,Cidrerie Desvoye,Premières douces amères Bio récolte 2023,Beaufour-Druval,Calvados,2161,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439
9,AOP Cidre Pays d'Auge,🥈 Argent,Manoir de Grandouet,GAEC du Manoir de Grandouet,Manoir de Grandouet Cambremer Tradition Bio récolte 2023,Cambremer,Calvados,1376,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211
10,AOP Cidre Pays d'Auge,🥈 Argent,Manoir de Grandouet,GAEC La Ferme du Bout du Chemin,La Ferme du Bout du Chemin Bio récolte 2023,Cambremer,Calvados,1376,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211
11,AOP Cidre Pays d'Auge,🥈 Argent,Zathinoé,Monique Berl,Zathinoé Carte Noire Bio récolte 2023,Castillon en Auge,Calvados,2702,https://zathinoe.fr/,,,https://maps.google.com/?cid=2359582709656446462,,https://untappd.com/w/zathinoe/452758,49.0320526,0.0828382
12,AOP Poiré Domfront,🥇 Or,Famille Guesdon,GAEC de la Cave Normande,Ancestrale récolte 2022,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
13,AOP Poiré Domfront,🥈 Argent,Famille Guesdon,GAEC de la Cave Normande,Réserve méthode traditionnelle récolte 2021,Saint-Cyr du Bailleul,Manche,2697,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042
14,AOP Poiré Domfront,🥈 Argent,Pacory,GAEC des Grimaux,Pacory Le Doyen récolte 2023,Mantilly,Orne,1582,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360,48.5314059,-0.795102
