ID,Year,Style,Medal,Medalist,Entry,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
2,2020,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,Cuvée Jazz sous les Pommiers 2018,2691,Active,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290,49.0708506,-1.2963565,0
3,2020,AOP Cidre Cotentin,🥇 Or,Cidre Lemasson,Extra-brut 2019,2691,Active,https://www.cidre-lemasson.fr/,https://www.facebook.com/cidrelemasson,https://www.instagram.com/cidrelemasson/,https://maps.google.com/?cid=7632467116285948880,https://www.tripadvisor.com/Attraction_Review-g12634286-d6538652,https://untappd.com/w/cidre-lemasson/247290,49.0708506,-1.2963565,0
4,2020,AOP Cidre Cotentin,🥇 Or,Théo Capelle,Théo Capelle Brut 2019,1513,Active,https://www.theo-capelle.com/,https://www.facebook.com/profile.php?id=100054206274447,,https://maps.google.com/?cid=3221607950662529223,https://www.tripadvisor.com/Attraction_Review-g187183-d3406164,https://untappd.com/w/cidrerie-tha-c-o-capelle/124517,49.5292294,-1.7457542,0
5,2020,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Claids Brut 2018,3317,Active,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585,0
6,2020,AOP Cidre Cotentin,🥈 Argent,Cidrerie Claids,Claids Brut 2019,3317,Active,https://www.cidrerieclaids.fr/,https://www.facebook.com/cidrerieclaids/,https://www.instagram.com/cidrerieclaids/,https://maps.google.com/?cid=16896075272570280949,,https://untappd.com/w/cidrerie-claids/541066,49.2339556,-1.4258585,0
7,2020,AOP Cidre Cotentin,🥈 Argent,Ferme de la Commanderie,Ferme de la Commanderie Brut 2019,3319,Active,http://www.ferme-de-la-commanderie.fr/,https://www.facebook.com/CidrerieLaCommanderie,https://www.instagram.com/cidreriefermedelacommanderie,https://maps.google.com/?cid=2113479186577428756,https://www.tripadvisor.com/Attraction_Review-g2407705-d10109503,https://untappd.com/w/ferme-de-la-commanderie/233207,49.5108604,-1.7174817,0
8,2020,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,Les Vergers de la Passion - Petit Louis 2018,3553,Active,https://les-vergers-de-la-passion-cidrerie.fr/,https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/,https://www.instagram.com/lesvergersdelapassion/,https://maps.google.com/?cid=9889208295960516000,https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411,https://untappd.com/w/les-vergers-de-la-passion/468828,49.527658,-1.648722,0
9,2020,AOP Cidre Cotentin,🥈 Argent,Les Vergers de la Passion,Les Vergers de la Passion Brut 2018,3553,Active,https://les-vergers-de-la-passion-cidrerie.fr/,https://www.facebook.com/LesVergersDeLaPassion.FermeCidricole/,https://www.instagram.com/lesvergersdelapassion/,https://maps.google.com/?cid=9889208295960516000,https://www.tripadvisor.com/Attraction_Review-g13423894-d13413411,https://untappd.com/w/les-vergers-de-la-passion/468828,49.527658,-1.648722,0
10,2020,AOP Cidre Cotentin,🥈 Argent,Maison Hérout,Hérout Cuvée tradition 2018,2140,Active,https://www.maisonherout.com/,https://www.facebook.com/cidres/,https://www.instagram.com/maisonherout/,https://maps.google.com/?cid=1426598113576371976,,https://untappd.com/w/m-a-herout/164919,49.2940012,-1.303545,0
11,2020,AOP Cidre Pays d'Auge,🥇 Or,Domaine de la Galotière,La Galotière 2019,1183,Active,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481,0
12,2020,AOP Cidre Pays d'Auge,🥇 Or,Ferme Cidricole Desvoye,Cuvée premières 2019,2161,Active,https://www.cidre-calvados-desvoye.fr/,https://www.facebook.com/profile.php?id=100015340218972,https://www.instagram.com/calvados_desvoye/,https://maps.google.com/?cid=9466556986578009265,https://www.tripadvisor.com/Attraction_Review-g14010617-d21111014,https://untappd.com/w/cidrerie-desvoye/264267,49.209316,0.008439,0
13,2020,AOP Cidre Pays d'Auge,🥈 Argent,Manoir de Grandouet,Le Manoir de Grandouet - Cuvée réserve 2018,1376,Active,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211,0
14,2020,Cidre du Pays de Caux,🥇 Or,Cidrerie Godefroy,Récolte 2019,1577,Active,https://www.ecomuseeducidre.fr/,,,https://maps.google.com/?cid=5707167707581907830,https://www.tripadvisor.com/Attraction_Review-g1572450-d3428587,https://untappd.com/w/vincent-et-marieclaire-godefroy/207560,49.6562671,0.378119,0
15,2020,Cidre du Pays de Caux,🥈 Argent,Les Vergers du Quesnay,Les Vergers du Quesnay - Brut 2019,3370,Active,https://www.lesvergersduquesnay.fr/,https://www.facebook.com/profile.php?id=100058435991351,https://www.instagram.com/les_vergers_du_quesnay/,https://maps.google.com/?cid=15904214834922492181,,https://untappd.com/w/les-vergers-du-quesnay/228234,49.5329228,1.0095949,0
16,2020,Cidre du Perche,🥇 Or,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,http://www.cidrerie-traditionnelle-du-perche.fr/,https://www.facebook.com/cidrerietraditionnelleduperche,,https://maps.google.com/?cid=4098308531613353726,,https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040,48.2774308,0.6361493,0
17,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière - Demi-sec 2019,1294,Active,http://www.cidrerie-traditionnelle-du-perche.fr/,https://www.facebook.com/cidrerietraditionnelleduperche,,https://maps.google.com/?cid=4098308531613353726,,https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040,48.2774308,0.6361493,0
18,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,http://www.cidrerie-traditionnelle-du-perche.fr/,https://www.facebook.com/cidrerietraditionnelleduperche,,https://maps.google.com/?cid=4098308531613353726,,https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040,48.2774308,0.6361493,0
19,2020,Cidre du Perche,🥈 Argent,Cidrerie Traditionnelle du Perche,L'Hermitière Brut 2019,1294,Active,http://www.cidrerie-traditionnelle-du-perche.fr/,https://www.facebook.com/cidrerietraditionnelleduperche,,https://maps.google.com/?cid=4098308531613353726,,https://untappd.com/w/cidrerie-traditionnelle-du-perche/28040,48.2774308,0.6361493,0
20,2020,AOP Poiré Domfront,🥇 Or,Pacory,Pacory Ferme des Grimaux - Le Cadet 2019,1582,Active,https://www.pacory.eu/,https://www.facebook.com/PacoryFermedesGrimaux,https://www.instagram.com/pacoryfermedesgrimaux,https://maps.google.com/?cid=15821520734729613945,,https://untappd.com/brewery/32360,48.5314059,-0.795102,0
21,2020,AOP Poiré Domfront,🥈 Argent,Famille Guesdon,La Cave Normande 2019,2697,Active,https://famille-guesdon.com/,https://www.facebook.com/profile.php?id=100057212210806,https://www.instagram.com/lacavenormandeguesdon/,https://maps.google.com/?cid=13182761816105385497,,https://untappd.com/w/guesdon-p-re-et-fils/343009,48.5746579,-0.7975042,0
22,2020,IGP Cidre de Normandie,🥇 Or,Cidre Viard-Bayeux,Cidre Artisanal de Bayeux - Brut 2019,3318,Active,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301,0
23,2020,IGP Cidre de Normandie,🥇 Or,Cidrerie Dujardin,Dujardin 2019,1142,Active,http://www.cidres-dujardin.fr/,,,https://maps.google.com/?cid=10438887429258835490,,https://untappd.com/w/cidrerie-dujardin/20309,49.1198831,-0.721687,0
