ID,Year,Category,Medalist,Region,Medal,WID,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
53,2017,Cidre Artisanal ou de Marque Brut,Cidrerie La Ruaudaie,Brittany,🥇 Or,2927,Active,,https://www.facebook.com/Cidrerie.La.Ruaudaie,,https://maps.google.com/?cid=9093489147196571898,,https://untappd.com/w/la-ruaudaie/92611,47.7463098,-2.2642371
61,2017,Cidre Artisanal ou de Marque Brut,Cidre Fournier,Normandy,🥈 Argent,2489,Active,https://www.cidre-fournier.com/,https://www.facebook.com/cidrefournier,https://www.instagram.com/cidrefournier/,https://maps.google.com/?cid=13822741997025402443,,https://untappd.com/w/cidre-fournier/304628,48.4721531,-0.1272051
39,2017,Cidre Artisanal ou de Marque Brut,Cidre Sorre,Brittany,🥈 Argent,1371,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256
48,2017,Cidre Artisanal ou de Marque Brut,Cidres Kerisac,Pays de la Loire,🥈 Argent,1141,Active,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846,47.519588,-1.9560451
2,2017,Cidre Artisanal ou de Marque Brut,Écusson,Île-de-France,🥈 Argent,3182,Active,https://www.cidre-ecusson.com/,https://www.facebook.com/CidreEcusson/,https://www.instagram.com/cidreecusson/,https://maps.google.com/?cid=12531232480419391978,,https://untappd.com/w/cidres-ecusson/15641,48.8279643,2.2657746
42,2017,Cidre Artisanal ou de Marque Brut,Loïc Raison,Brittany,🥈 Argent,1369,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779
29,2017,Cidre Artisanal ou de Marque Brut,Cidre Séhédic,Brittany,🥉 Bronze,1596,Active,https://www.cidre-sehedic.fr/,https://www.facebook.com/cidresehedic/,https://www.instagram.com/cidresehedic,https://maps.google.com/?cid=9273404757209871069,https://www.tripadvisor.com/Attraction_Review-g672967-d12699265,https://untappd.com/cidresehedic,47.9069754,-3.9868338
25,2017,Cidre Artisanal ou de Marque Brut,Distillerie des Menhirs,Brittany,🥉 Bronze,1182,Active,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619,47.938277,-4.151821
43,2017,Cidre Artisanal ou de Marque Brut,Loïc Raison,Brittany,🥉 Bronze,1369,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779
31,2017,Cidre Artisanal ou de Marque Demi-Sec,Cidrerie Kerné,Brittany,🥇 Or,1481,Active,https://www.cidre-kerne.bzh/,https://www.facebook.com/cidrekerne/,https://www.instagram.com/cidrekerne/,https://maps.google.com/?cid=10998184529652347583,https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595,https://untappd.com/w/cidrerie-kerne/49751,47.9574014,-4.3744346
60,2017,Cidre Artisanal ou de Marque Demi-Sec,Cidre Fournier,Normandy,🥈 Argent,2489,Active,https://www.cidre-fournier.com/,https://www.facebook.com/cidrefournier,https://www.instagram.com/cidrefournier/,https://maps.google.com/?cid=13822741997025402443,,https://untappd.com/w/cidre-fournier/304628,48.4721531,-0.1272051
33,2017,Cidre Artisanal ou de Marque Demi-Sec,Cidre Le Brun,Brittany,🥈 Argent,1586,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
57,2017,Cidre Artisanal ou de Marque Doux,Brasseries & Cidreries de Milly,Hauts-de-France,🥇 Or,1368,Active,https://bcmilly.com/,https://www.facebook.com/BrasseriesDeMilly/,,https://maps.google.com/?cid=5318378777475279780,,https://untappd.com/w/brasseries-cidreries-de-milly/13703,49.5029907,1.9895912
36,2017,Cidre Artisanal ou de Marque Doux,Cidrerie Château Lézergué,Brittany,🥇 Or,1487,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256
15,2017,Cidre Artisanal ou de Marque Doux,Les Celliers Associés,Brittany,🥇 Or,1999,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612
41,2017,Cidre Artisanal ou de Marque Doux,Loïc Raison,Brittany,🥇 Or,1369,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779
34,2017,Cidre Artisanal ou de Marque Doux,Cidre Le Brun,Brittany,🥈 Argent,1586,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
37,2017,Cidre Artisanal ou de Marque Doux,Cidrerie Château Lézergué,Brittany,🥈 Argent,1487,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256
54,2017,Cidre Artisanal ou de Marque Doux,Cidrerie La Ruaudaie,Brittany,🥈 Argent,2927,Active,,https://www.facebook.com/Cidrerie.La.Ruaudaie,,https://maps.google.com/?cid=9093489147196571898,,https://untappd.com/w/la-ruaudaie/92611,47.7463098,-2.2642371
40,2017,Cidre Artisanal ou de Marque Doux,Cidre Sorre,Brittany,🥉 Bronze,1371,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256
35,2017,Cidre Cornouaille AOP,Cidre Le Brun,Brittany,🥈 Argent,1586,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
28,2017,Cidre Cornouaille AOP,Cidrerie de Menez-Brug,Brittany,🥉 Bronze,1931,Active,https://www.cidrerie-de-menez-brug.com/,https://www.facebook.com/cidreriemenezbrug.fr/,,https://maps.google.com/?cid=10640223041696316686,https://www.tripadvisor.com/Attraction_Review-g666452-d15052081,https://untappd.com/w/cidrerie-de-menez-brug/150603,47.8654274,-3.9978625
5,2017,Cidre de Bretagne IGP Brut,Cidrerie de Boäl,Brittany,🥈 Argent,3482,Active,https://cidreriedeboal.com/,,,https://maps.google.com/?cid=11931011628979336491,,https://untappd.com/w/le-cellier-de-bo-l/215761,48.2920291,-2.1782711
55,2017,Cidre de Bretagne IGP Brut,Cidrerie La Ruaudaie,Brittany,🥈 Argent,2927,Active,,https://www.facebook.com/Cidrerie.La.Ruaudaie,,https://maps.google.com/?cid=9093489147196571898,,https://untappd.com/w/la-ruaudaie/92611,47.7463098,-2.2642371
7,2017,Cidre de Bretagne IGP Brut,Maison Kerloïck,Brittany,🥉 Bronze,1598,Active,https://www.kerloick.bzh/,https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/,https://www.instagram.com/maison_kerloick/,https://maps.google.com/?cid=8360416368856844083,,https://untappd.com/w/cidrerie-kerloick/400998,48.4395016,-2.4599481
6,2017,Cidre de Bretagne IGP Demi-Sec,Cidrerie de Boäl,Brittany,🥈 Argent,3482,Active,https://cidreriedeboal.com/,,,https://maps.google.com/?cid=11931011628979336491,,https://untappd.com/w/le-cellier-de-bo-l/215761,48.2920291,-2.1782711
52,2017,Cidre de Bretagne IGP Demi-Sec,Cidres Nicol,Brittany,🥉 Bronze,1612,Active,https://www.cidres-nicol.bzh/,https://www.facebook.com/CidresNicol,https://www.instagram.com/la_cidrerie_nicol/,https://maps.google.com/?cid=3722769551030161998,,https://untappd.com/CidrerieNICOL,47.5587853,-2.6110586
38,2017,Cidre de Bretagne IGP Doux,Cidre Sorre,Brittany,🥇 Or,1371,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256
30,2017,Cidre de Bretagne IGP Doux,Cidrerie Kerné,Brittany,🥇 Or,1481,Active,https://www.cidre-kerne.bzh/,https://www.facebook.com/cidrekerne/,https://www.instagram.com/cidrekerne/,https://maps.google.com/?cid=10998184529652347583,https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595,https://untappd.com/w/cidrerie-kerne/49751,47.9574014,-4.3744346
27,2017,Cidre de Bretagne IGP Doux,Cidrerie Château Lézergué,Brittany,🥉 Bronze,1487,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256
3,2017,Cidre de Normandie IGP Brut,Domaine des 5 D,Normandy,🥇 Or,2178,Active,http://cidreriedaufresne.com/,https://www.facebook.com/profile.php?id=100069411953752,,https://maps.google.com/?cid=8401719320995507859,,https://untappd.com/CidrerieDaufresne,49.1786404,0.2045199
12,2017,Cidre de Normandie IGP Brut,Les Celliers Associés,Brittany,🥇 Or,1999,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612
