Medalist,Region,🥇 Or,🥈 Argent,🥉 Bronze,🏅 Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude
Cidrerie Château Lézergué,Brittany,12,12,8,32,2017,2024,7,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256
Cidre Le Brun,Brittany,4,21,4,29,2017,2024,7,Active,https://cidrelebrun.com/,,https://www.instagram.com/cidrelebrun,https://maps.google.com/?cid=5387381455239409930,,https://untappd.com/brewery/31897,47.925263,-4.344798
Cidre Fournier,Normandy,2,17,9,28,2017,2024,7,Active,https://www.cidre-fournier.com/,https://www.facebook.com/cidrefournier,https://www.instagram.com/cidrefournier/,https://maps.google.com/?cid=13822741997025402443,,https://untappd.com/w/cidre-fournier/304628,48.4721531,-0.1272051
Les Celliers Associés,Brittany,13,9,4,26,2017,2024,7,Active,https://www.valderance.com/,https://www.facebook.com/ValdeRance/,,https://maps.google.com/?cid=7883069809343472545,,https://untappd.com/LesCelliersAssocis,48.5085682,-1.9533612
Domaine des Hauts-Vents,Normandy,4,7,4,15,2017,2024,7,Active,http://hautsvents.com/,https://www.facebook.com/CidreriedomaineDesHautsVents,https://www.instagram.com/domainedeshautsvents/,https://maps.google.com/?cid=3890633221204655265,https://www.tripadvisor.com/Attraction_Review-g661275-d6654230,https://untappd.com/w/domaine-des-hauts-vents/70064,49.3011577,0.9456953
Maison Kerloïck,Brittany,2,9,4,15,2017,2024,7,Active,https://www.kerloick.bzh/,https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/,https://www.instagram.com/maison_kerloick/,https://maps.google.com/?cid=8360416368856844083,,https://untappd.com/w/cidrerie-kerloick/400998,48.4395016,-2.4599481
Cidrerie Benoit,Brittany,3,7,3,13,2017,2024,6,Active,https://www.cidreriebenoit.fr/,https://www.facebook.com/CidrerieBenoit/,,https://maps.google.com/?cid=2837012515774011484,,https://untappd.com/w/cidrerie-benoit/548797,48.5308501,-2.5301834
Cidrerie Kerné,Brittany,7,4,1,12,2017,2023,6,Active,https://www.cidre-kerne.bzh/,https://www.facebook.com/cidrekerne/,https://www.instagram.com/cidrekerne/,https://maps.google.com/?cid=10998184529652347583,https://www.tripadvisor.com/Attraction_Review-g1200904-d9829595,https://untappd.com/w/cidrerie-kerne/49751,47.9574014,-4.3744346
Ferme Saint Charles,Pays de la Loire,7,4,1,12,2017,2024,7,Active,https://www.fermesaintcharles.fr/,https://www.facebook.com/profile.php?id=100069349890721,https://www.instagram.com/ferme_saint_charles/,https://maps.google.com/?cid=3373440369955425792,,https://untappd.com/w/ferme-saint-charles/416358,47.5159166,-1.8820177
Ferme du Theil,Pays de la Loire,6,2,3,11,2017,2024,6,Active,https://www.fermedutheil.com/,https://www.facebook.com/fermedutheil,https://www.instagram.com/fermedutheil/,https://maps.google.com/?cid=11988918544771126641,,https://untappd.com/w/gaec-rouland-ferme-du-theli/138309,48.159845,-0.826714
Cidre Sorre,Brittany,3,5,2,10,2017,2024,6,Active,https://www.cidre-sorre.fr/,https://www.facebook.com/CidrerieSorre/,https://www.instagram.com/cidreriesorre/,https://maps.google.com/?cid=3277478841126723957,https://www.tripadvisor.com/Attraction_Review-g8506159-d8653800,https://untappd.com/w/cidre-sorre/16758,48.5193051,-1.8481256
Cidre Séhédic,Brittany,2,6,2,10,2017,2024,7,Active,https://www.cidre-sehedic.fr/,https://www.facebook.com/cidresehedic/,https://www.instagram.com/cidresehedic,https://maps.google.com/?cid=9273404757209871069,https://www.tripadvisor.com/Attraction_Review-g672967-d12699265,https://untappd.com/cidresehedic,47.9069754,-3.9868338
Cidre Viard-Bayeux,Normandy,2,5,3,10,2019,2024,5,Active,https://cidrebayeux.com/,https://www.facebook.com/CidresBayeux,https://www.instagram.com/cidrerie_bayeux/,https://maps.google.com/?cid=13233255599279949282,https://www.tripadvisor.com/Attraction_Review-g187181-d3454062,https://untappd.com/w/cidrerie-viard/26008,49.2436576,-0.7038301
Cidres Nicol,Brittany,1,4,5,10,2017,2024,7,Active,https://www.cidres-nicol.bzh/,https://www.facebook.com/CidresNicol,https://www.instagram.com/la_cidrerie_nicol/,https://maps.google.com/?cid=3722769551030161998,,https://untappd.com/CidrerieNICOL,47.5587853,-2.6110586
Cidrerie Des Terroirs,Brittany,1,2,6,9,2018,2024,5,Active,,,,https://maps.google.com/?cid=1276600632339613858,,https://untappd.com/w/cidrerie-des-terroirs/72347,47.827291,-2.791703
La Maison du Cidre,Brittany,5,1,2,8,2017,2024,7,Active,https://www.museeducidre.com/,https://www.facebook.com/profile.php?id=100054446516930,https://www.instagram.com/lamaisonducidre/,https://maps.google.com/?cid=8243314023255302765,https://www.tripadvisor.com/Attraction_Review-g7221524-d7220846,https://untappd.com/w/la-maison-du-cidre/360621,47.5826763,-2.6930847
Le Clos des Citots,Normandy,3,2,3,8,2017,2023,5,Active,https://www.leclosdescitots.fr/,https://www.facebook.com/profile.php?id=100066990398769,,https://maps.google.com/?cid=3330784351320305206,,https://untappd.com/w/le-clos-des-citots-gerard-lenormand/87074,49.4573681,0.8128167
Cidrerie de la Brique,Normandy,1,2,5,8,2019,2024,4,Active,https://cidreriedelabrique.com/,https://www.facebook.com/CidreriedelaBrique/,https://www.instagram.com/cidreriedelabrique/,https://maps.google.com/?cid=7178427047416068956,,https://untappd.com/CidreriedeLaBrique,49.5156759,-1.5231005
Cidrerie La Ruaudaie,Brittany,3,4,0,7,2017,2023,3,Active,,https://www.facebook.com/Cidrerie.La.Ruaudaie,,https://maps.google.com/?cid=9093489147196571898,,https://untappd.com/w/la-ruaudaie/92611,47.7463098,-2.2642371
Ferme des Noës,Normandy,3,4,0,7,2017,2024,4,Active,https://www.fermedesnoes.com/,,https://www.instagram.com/fermedesnoes/,https://maps.google.com/?cid=16067236232754040277,,https://untappd.com/w/ferme-des-no-s/72679,49.1301268,1.3281105
Cidrerie Huby,Brittany,3,3,1,7,2017,2022,4,Active,http://www.cidreriehuby.fr/,https://www.facebook.com/cidreriehuby35/,https://www.instagram.com/cidrerie_huby/,https://maps.google.com/?cid=14757172260846963924,,https://untappd.com/w/cidrerie-huby/351358,48.1003741,-2.1023872
Loïc Raison,Brittany,2,3,2,7,2017,2023,4,Active,https://www.loicraison.fr/,https://www.facebook.com/CidreLoicRaison/,https://www.instagram.com/loicraison/,https://maps.google.com/?cid=15768587504697904757,,https://untappd.com/w/loic-raison/18640,48.070267,-1.394779
Cidres Kerisac,Pays de la Loire,1,4,2,7,2017,2024,5,Active,https://kerisac.bzh/,https://www.facebook.com/cidrekerisac,https://www.instagram.com/cidreriekerisac/,https://maps.google.com/?cid=14431639837198759734,,https://untappd.com/w/cidres-kerisac/12846,47.519588,-1.9560451
Le Pressoir d'Or,Normandy,1,2,4,7,2018,2024,6,Active,http://www.pressoirdor.com/,,https://www.instagram.com/lepressoirdor/,https://maps.google.com/?cid=11174929092699381803,,https://untappd.com/w/le-pressoir-d-or/210218,49.2934642,1.4849943
Distillerie des Menhirs,Brittany,0,4,3,7,2017,2024,5,Active,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619,47.938277,-4.151821
Cidre de Brocéliande,Brittany,2,0,3,5,2017,2024,4,Active,https://cidre-breton.com/,https://www.facebook.com/profile.php?id=100064718610464,https://www.instagram.com/cidreriedebroceliande/,https://maps.google.com/?cid=531489837427288496,https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210,https://untappd.com/w/cidre-du-pays-de-broceliande/158895,48.101293,-2.2516327
Domaine de la Galotière,Normandy,1,2,2,5,2017,2024,4,Active,https://www.lagalotiere.fr/,https://www.facebook.com/lagalotiere,,https://maps.google.com/?cid=3334578271943351430,https://www.tripadvisor.com/Attraction_Review-g608796-d12550194,https://untappd.com/w/domaine-de-la-galotiere/38855,48.923403,0.138481
Cidrerie de Boäl,Brittany,0,4,1,5,2017,2022,4,Active,https://cidreriedeboal.com/,,,https://maps.google.com/?cid=11931011628979336491,,https://untappd.com/w/le-cellier-de-bo-l/215761,48.2920291,-2.1782711
Kermorgann,Brittany,3,1,0,4,2020,2024,4,Active,,https://www.facebook.com/poiredebretagne/,,https://maps.google.com/?cid=16728634547598501219,,,48.4345851,-2.8034718
Manoir de Grandouet,Normandy,2,1,1,4,2018,2024,3,Active,https://www.manoir-de-grandouet.fr/,https://www.facebook.com/grandval.fr/,https://www.instagram.com/manoirdegrandouet/,https://maps.google.com/?cid=1664850146101306839,https://www.tripadvisor.com/Attraction_Review-g672825-d6994534,https://untappd.com/brewery/18942,49.158588,0.066211
