Producer,Department,🥇 Or,🥈 Argent,🥉 Bronze,Total,First,Last,Years,Status,Website,Facebook,Instagram,Google,TripAdvisor,Untappd,Latitude,Longitude,Transparency
Cidrerie Château Lézergué,Finistère,16,5,3,24,2017,2024,7,Active,https://www.chateau-lezergue.com/,https://www.facebook.com/profile.php?id=100066917829363,https://www.instagram.com/cidrerie_chateaudelezergue/,https://maps.google.com/?cid=8273125568764221419,,https://untappd.com/w/cidrerie-du-chateau-de-lezergue/127246,48.0028849,-4.0125256,0
Distillerie du Gorvello,Morbihan,14,8,2,24,2017,2024,7,Active,https://www.distilleriedugorvello.fr/,https://www.facebook.com/profile.php?id=100069448008978,https://www.instagram.com/distilleriedugorvello.bzh/,https://maps.google.com/?cid=13385362377425184430,https://www.tripadvisor.com/Attraction_Review-g2184206-d10593781,https://untappd.com/w/distillerie-du-gorvello/69203,47.6343178,-2.5911456,0
Les Vergers de Kermao,Finistère,7,5,2,14,2017,2024,6,Active,https://www.cidre-bretagne.com/,,https://www.instagram.com/kermao.cidre/,https://maps.google.com/?cid=11761800243914556755,https://www.tripadvisor.com/Attraction_Review-g2184442-d8603735,https://untappd.com/w/les-vergers-de-kermao/240565,47.921861,-4.08808,0
Cidrerie de Menez-Brug,Finistère,6,6,1,13,2017,2024,5,Active,https://www.cidrerie-de-menez-brug.com/,https://www.facebook.com/cidreriemenezbrug.fr/,,https://maps.google.com/?cid=10640223041696316686,https://www.tripadvisor.com/Attraction_Review-g666452-d15052081,https://untappd.com/w/cidrerie-de-menez-brug/150603,47.8654274,-3.9978625,0
Cidrerie Paul Coïc,Finistère,5,6,1,12,2018,2024,6,Active,https://www.cidrerie-coic.com/,https://www.facebook.com/profile.php?id=100053642774962,,https://maps.google.com/?cid=16824628257896189916,,https://untappd.com/w/paul-coa-c/137165,47.999837,-4.199284,0
Au Pressoir du Bélon,Finistère,4,7,1,12,2017,2024,7,Active,https://www.cidre-belon-bretagne.fr/,https://www.facebook.com/pressoirdubelon/,,https://maps.google.com/?cid=3283810982033688807,,,47.8361715,-3.6859769,0
Distillerie des Menhirs,Finistère,5,4,1,10,2017,2024,5,Active,https://www.distillerie.bzh/,https://www.facebook.com/distillerie.bzh,https://www.instagram.com/distilleriedesmenhirs/,https://maps.google.com/?cid=13168987804989415582,https://www.tripadvisor.com/Attraction_Review-g2544571-d7920317,https://untappd.com/w/distillerie-des-menhirs/91619,47.938277,-4.151821,0
Maison Kerloïck,Côtes-d'Armor,5,4,0,9,2017,2024,5,Active,https://www.kerloick.bzh/,https://www.facebook.com/people/Maison-Kerlo%C3%AFck/100063648757927/,https://www.instagram.com/maison_kerloick/,https://maps.google.com/?cid=8360416368856844083,,https://untappd.com/w/cidrerie-kerloick/400998,48.4395016,-2.4599481,0
Cidrerie Melenig,Finistère,3,4,2,9,2017,2024,6,Active,,,https://www.instagram.com/cidremelenig/,https://maps.google.com/?cid=10374518201153439760,https://www.tripadvisor.com/Attraction_Review-g6922089-d7330818,https://untappd.com/CidrerieMelenig,48.007427,-3.958735,0
Cidre de Brocéliande,Ille-et-Vilaine,6,2,0,8,2018,2024,6,Active,https://cidre-breton.com/,https://www.facebook.com/profile.php?id=100064718610464,https://www.instagram.com/cidreriedebroceliande/,https://maps.google.com/?cid=531489837427288496,https://www.tripadvisor.com/Attraction_Review-g12449841-d16844210,https://untappd.com/w/cidre-du-pays-de-broceliande/158895,48.101293,-2.2516327,0
Distillerie Warenghem,Côtes-d'Armor,5,2,1,8,2017,2024,6,Active,https://www.distillerie-warenghem.bzh/,https://www.facebook.com/warenghem/,,,,,48.718761,-3.414837,0
