ID,Style,Medal,WID,Medalist,Entry,Place
149,HEIRLOOM CIDER – DRY,Silver,127,Big Fish Cider Co.,Harrison - 2024,
28,MODERN CIDER – DRY,Silver,1084,19 Acres Cider Co.,Honeycrisp,
425,FRUIT CIDER – SWEET,Silver,1084,19 Acres Cider Co.,Raspberry Lemonade,
472,HOPPED CIDER,Silver,1084,19 Acres Cider Co.,Fresh Hopped,
517,BOTANICAL CIDER,Bronze,1084,19 Acres Cider Co.,Blood Orange Sage,
701,FORTIFIED CIDER,Best-in-Class,1084,19 Acres Cider Co.,Pommeau,1
39,MODERN CIDER – DRY,Silver,67,2 Towns Ciderhouse,The Golden Apples Shebrew Cider,
123,HEIRLOOM CIDER – DRY,Silver,67,2 Towns Ciderhouse,14th Anniversary,
253,TANNIN FORWARD CIDER – DRY,Silver,67,2 Towns Ciderhouse,Kingston Black Single Variety,
315,NATURAL CIDER,Silver,67,2 Towns Ciderhouse,Sidra Natural,
365,FRUIT CIDER – DRY,Silver,67,2 Towns Ciderhouse,Guava Cider,
417,FRUIT CIDER – SWEET,Silver,67,2 Towns Ciderhouse,Mango Cosmic Crisp,
456,FRUIT CIDER – SWEET,Bronze,67,2 Towns Ciderhouse,Pog Cosmic Crisp,
461,FRUIT CIDER – SWEET,Bronze,67,2 Towns Ciderhouse,Spring Forward,
512,BOTANICAL CIDER,Silver,67,2 Towns Ciderhouse,Polar Party,
541,WOOD AGED CIDER,Silver,67,2 Towns Ciderhouse,Westward Whiskey Collaboration,
555,LOW & NO ALCOHOL CIDER,Best-in-Class,67,2 Towns Ciderhouse,Sidekick Non-Alc Pacific Pineapple,2
561,LOW & NO ALCOHOL CIDER,Bronze,67,2 Towns Ciderhouse,Sidekick Non-Alc Cosmic Crisp,
704,FORTIFIED CIDER,Silver,67,2 Towns Ciderhouse,2022 Pomeau,
573,SPECIALTY CIDER & PERRY – DRY,Silver,3723,40 Knots Winery And Cidery,Knotty Cider Apple Cranberry,
574,SPECIALTY CIDER & PERRY – DRY,Silver,3723,40 Knots Winery And Cidery,Knotty Cider Apple Quince,
582,SPECIALTY CIDER & PERRY – DRY,Bronze,3723,40 Knots Winery And Cidery,Knotty Cider Apple Black Currant,
583,SPECIALTY CIDER & PERRY – DRY,Bronze,3723,40 Knots Winery And Cidery,Knotty Cider Apple Hops,
107,MODERN CIDER – SWEET,Bronze,3129,A1A Cider,Semi Sweet,
499,BOTANICAL CIDER,Silver,3129,A1A Cider,Chai,
9,MODERN CIDER – DRY,Silver,3129,Ace Cider,Ace Joker Dry Apple Cider,
400,FRUIT CIDER – SWEET,Silver,3129,Ace Cider,Ace Guava Craft Cider,
440,FRUIT CIDER – SWEET,Bronze,3129,Ace Cider,Ace Imperial Peach Cider,
441,FRUIT CIDER – SWEET,Bronze,3129,Ace Cider,Ace Pineapple Craft Cider,
592,SPECIALTY CIDER & PERRY – SWEET,Silver,3129,Ace Cider,Ace Perry Craft Cider,
348,HIGH TANNIN PERRY,Gold,79,Aeppeltreow Inc,Sweet Oriole Perry,
352,HIGH TANNIN PERRY,Silver,79,Aeppeltreow Inc,Orchard Oriole Perry,
2,MODERN CIDER – DRY,Best-in-Class,2546,Alde Sider,Alde Sider Fra Hardanger,1
639,SPECIALTY CIDER & PERRY – SWEET,Bronze,2546,Alde Sider,Svans,
693,ICE CIDER,Bronze,2546,Alde Sider,Alde Issider,
372,FRUIT CIDER – DRY,Silver,2659,Allagash Brewing Company,Rosé Cider,
722,SPIRITS,Best-in-Class,2135,Ambix Spirits,Founders Reserve,2
729,SPIRITS,Silver,2135,Ambix Spirits,Newtown Pippin,
380,FRUIT CIDER – DRY,Bronze,3113,Andover Cider Co,Andover Cider Dry Cranberry,
162,HEIRLOOM CIDER – DRY,Silver,87,Angry Orchard Hard Cider Company,Newtown Pippin Traditional Method,
206,HEIRLOOM CIDER – SWEET,Silver,87,Angry Orchard Hard Cider Company,Albany Post,
239,TANNIN FORWARD CIDER – DRY,Silver,87,Angry Orchard Hard Cider Company,Drop Top,
304,TANNIN FORWARD CIDER – SWEET,Bronze,87,Angry Orchard Hard Cider Company,Tremlett’s Bitter SVC,
364,FRUIT CIDER – DRY,Silver,87,Angry Orchard Hard Cider Company,Cidewinder 2,
481,HOPPED CIDER,Silver,87,Angry Orchard Hard Cider Company,One Thousand Four Hundred And Forty Minutes,
590,SPECIALTY CIDER & PERRY – SWEET,Gold,87,Angry Orchard Hard Cider Company,Pomme And Power,
601,SPECIALTY CIDER & PERRY – SWEET,Silver,87,Angry Orchard Hard Cider Company,Grandma’s Secret,
648,UNLIMITED CIDER AND PERRY,Silver,87,Angry Orchard Hard Cider Company,Crisp Apple,
694,ICE CIDER,Bronze,87,Angry Orchard Hard Cider Company,Harvest Frost,
10,MODERN CIDER – DRY,Silver,718,Annapolis Cider Company,Annapolis Red Sky,
18,MODERN CIDER – DRY,Silver,718,Annapolis Cider Company,Crisp & Dry,
93,MODERN CIDER – SWEET,Silver,718,Annapolis Cider Company,The Classic,
185,HEIRLOOM CIDER – DRY,Bronze,718,Annapolis Cider Company,Heirloom,
217,HEIRLOOM CIDER – SWEET,Silver,718,Annapolis Cider Company,Old Fashioned Gravenstein,
221,HEIRLOOM CIDER – SWEET,Bronze,718,Annapolis Cider Company,Cop,
286,TANNIN FORWARD CIDER – SWEET,Gold,718,Annapolis Cider Company,Acadian Keeved Brut,
324,ROSÉ CIDER,Silver,718,Annapolis Cider Company,Geneva Crab Rose,
504,BOTANICAL CIDER,Silver,718,Annapolis Cider Company,Hibiscus (Gin)Ger Fizz,
569,SPECIALTY CIDER & PERRY – DRY,Gold,718,Annapolis Cider Company,Hopped Strawberry Charmat,
589,SPECIALTY CIDER & PERRY – SWEET,Gold,718,Annapolis Cider Company,Earl Blue,
591,SPECIALTY CIDER & PERRY – SWEET,Gold,718,Annapolis Cider Company,Purple Rain,
649,UNLIMITED CIDER AND PERRY,Silver,718,Annapolis Cider Company,Foch-O,
654,UNLIMITED CIDER AND PERRY,Silver,718,Annapolis Cider Company,Pip Hop Seyval,
665,UNLIMITED CIDER AND PERRY,Bronze,718,Annapolis Cider Company,Agave Sunrise,
368,FRUIT CIDER – DRY,Silver,89,Anxo Cider,Montmorency,
383,FRUIT CIDER – DRY,Bronze,89,Anxo Cider,Cresthaven,
528,WOOD AGED CIDER,Gold,89,Anxo Cider,Great Valley Cuvée,
171,HEIRLOOM CIDER – DRY,Silver,538,Appalachian Ridge Cidery / Saint Paul Mountain Vineyard,Wallace,
138,HEIRLOOM CIDER – DRY,Silver,,Apple Theory Cidery,Esopus Spitzenburg,
232,TANNIN FORWARD CIDER – DRY,Gold,,Apple Theory Cidery,Porter’s Perfection,
236,TANNIN FORWARD CIDER – DRY,Silver,,Apple Theory Cidery,Chisel Jersey,
98,MODERN CIDER – SWEET,Bronze,102,Atlanta Hard Cider Co. & Distillery,Crisp Apple,
395,FRUIT CIDER – SWEET,Gold,102,Atlanta Hard Cider Co. & Distillery,Peach,
396,FRUIT CIDER – SWEET,Gold,102,Atlanta Hard Cider Co. & Distillery,Pomegranate,
459,FRUIT CIDER – SWEET,Bronze,102,Atlanta Hard Cider Co. & Distillery,Rosé,
505,BOTANICAL CIDER,Silver,102,Atlanta Hard Cider Co. & Distillery,Honey Bee,
614,SPECIALTY CIDER & PERRY – SWEET,Silver,102,Atlanta Hard Cider Co. & Distillery,Tepache,
411,FRUIT CIDER – SWEET,Silver,103,Avid Cider Co.,Dragon Fruit,
418,FRUIT CIDER – SWEET,Silver,103,Avid Cider Co.,Passionfruit Tangerine Imperial,
16,MODERN CIDER – DRY,Silver,118,Bauman’s Cider,Clyde’s Dry,
53,MODERN CIDER – DRY,Bronze,118,Bauman’s Cider,Oak St. Dry,
65,MODERN CIDER – SWEET,Gold,118,Bauman’s Cider,Authentic,
83,MODERN CIDER – SWEET,Silver,118,Bauman’s Cider,Mcintosh SV,
113,HEIRLOOM CIDER – DRY,Best-in-Class,118,Bauman’s Cider,Ashmead’s Kernel,2
117,HEIRLOOM CIDER – DRY,Gold,118,Bauman’s Cider,Do You Fancy A Road Trip?,
136,HEIRLOOM CIDER – DRY,Silver,118,Bauman’s Cider,Early Bird,
208,HEIRLOOM CIDER – SWEET,Silver,118,Bauman’s Cider,Endless Harvest,
228,TANNIN FORWARD CIDER – DRY,Best-in-Class,118,Bauman’s Cider,Kingston Black Sv,1
230,TANNIN FORWARD CIDER – DRY,Best-in-Class,118,Bauman’s Cider,Kristof Farms Orchard Cider,3
233,TANNIN FORWARD CIDER – DRY,Gold,118,Bauman’s Cider,Porter’s Perfection,
263,TANNIN FORWARD CIDER – DRY,Silver,118,Bauman’s Cider,Porter’s Perfection Pet Nat,
276,TANNIN FORWARD CIDER – DRY,Bronze,118,Bauman’s Cider,Kristof Farms Kingston Black SV,
277,TANNIN FORWARD CIDER – DRY,Bronze,118,Bauman’s Cider,Little Green Apples,
299,TANNIN FORWARD CIDER – SWEET,Silver,118,Bauman’s Cider,Reine Des Pommes,
327,ROSÉ CIDER,Silver,118,Bauman’s Cider,Mountain Rose Sv 2023,
393,FRUIT CIDER – SWEET,Gold,118,Bauman’s Cider,Juicy Pear,
406,FRUIT CIDER – SWEET,Silver,118,Bauman’s Cider,Boysenberry Lemonade,
416,FRUIT CIDER – SWEET,Silver,118,Bauman’s Cider,Kristof Farms Noir,
493,BOTANICAL CIDER,Silver,118,Bauman’s Cider,Alora,
508,BOTANICAL CIDER,Silver,118,Bauman’s Cider,Lavender Lemon Daze,
514,BOTANICAL CIDER,Silver,118,Bauman’s Cider,Strawberry Mojito,
526,WOOD AGED CIDER,Best-in-Class,118,Bauman’s Cider,Kristof Farms Reserve Cider,2
533,WOOD AGED CIDER,Silver,118,Bauman’s Cider,Bourbon Vanilla Cider,
557,LOW & NO ALCOHOL CIDER,Bronze,118,Bauman’s Cider,Apfelschorle,
708,FORTIFIED CIDER,Silver,118,Bauman’s Cider,Mistelle,
554,LOW & NO ALCOHOL CIDER,Best-in-Class,,Bdsm Cider,The Safeword Is “Rosé”,1
559,LOW & NO ALCOHOL CIDER,Bronze,,Bdsm Cider,Grandma’s Whip,
646,UNLIMITED CIDER AND PERRY,Silver,947,Beach Bee Meadery,Black Currant,
76,MODERN CIDER – SWEET,Silver,75,Beak & Skiff Apple Farms,Honeycrisp,
86,MODERN CIDER – SWEET,Silver,75,Beak & Skiff Apple Farms,Original,
297,TANNIN FORWARD CIDER – SWEET,Silver,75,Beak & Skiff Apple Farms,Lafayette,
410,FRUIT CIDER – SWEET,Silver,75,Beak & Skiff Apple Farms,Cranberry,
479,HOPPED CIDER,Silver,75,Beak & Skiff Apple Farms,Neipc,
603,SPECIALTY CIDER & PERRY – SWEET,Silver,75,Beak & Skiff Apple Farms,Honey Pear,
629,SPECIALTY CIDER & PERRY – SWEET,Bronze,75,Beak & Skiff Apple Farms,Imperial Empire,
636,SPECIALTY CIDER & PERRY – SWEET,Bronze,75,Beak & Skiff Apple Farms,Sour Raspberry,
710,FORTIFIED CIDER,Silver,75,Beak & Skiff Apple Farms,Pommeau,
139,HEIRLOOM CIDER – DRY,Silver,5,Bee Well Mead And Cider,Family Tree,
177,HEIRLOOM CIDER – DRY,Bronze,5,Bee Well Mead And Cider,Beaver Island Cider,
214,HEIRLOOM CIDER – SWEET,Silver,5,Bee Well Mead And Cider,Harrison Cider,
483,HOPPED CIDER,Silver,5,Bee Well Mead And Cider,Spy Vs Citra,
621,SPECIALTY CIDER & PERRY – SWEET,Bronze,5,Bee Well Mead And Cider,Bourbon Barrel Aged Comfortably Plum,
274,TANNIN FORWARD CIDER – DRY,Bronze,124,Bent Ladder,Kingston Black,
720,FORTIFIED CIDER,Bronze,124,Bent Ladder,The Orchard Fox,
13,MODERN CIDER – DRY,Silver,1962,Berkshire Cider Project,Champagne-Method (2019),
148,HEIRLOOM CIDER – DRY,Silver,1962,Berkshire Cider Project,Hancock Shaker Village (2023),
