Year,Medal,Medalist,Entry,Style,Place
2016,🥉 BRONZE,^5 Cider,Hello Raspberry ,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2016,🥉 BRONZE,^5 Cider,Strawbasaurus Hop,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2018,🥈 SILVER,101 Cider House,Bonfire Betty,"<a href=""https://ciderguide.com/glintcap/styles/wood-aged-specialty-cider/"">Wood Aged Specialty Cider</a>",
2016,🥈 SILVER,101 Cider House,SoCal Scrumpy,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2016,🥉 BRONZE,101 Cider House,India Pale Cider,"<a href=""https://ciderguide.com/glintcap/styles/hopped-cider/"">Hopped/Herbal Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Summer Daze,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2021,🥉 BRONZE,12 Bridge Ciderworks,Fremont Gingerella Pear,"<a href=""https://ciderguide.com/glintcap/styles/specialty-cider-and-perry/"">Specialty Cider and Perry</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Broadway Cran-Pom,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2019,🥉 BRONZE,12 Bridge Ciderworks,Hawthorne Apple,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥈 SILVER,12 Corners Vineyards,Big Daddys Hard Apple Cider,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥈 SILVER,12 Corners Vineyards,Juicy Lucy Peach Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2023,🥈 SILVER,12 Corners Vineyards,Lil Reds Cranberry Hard Cider,"<a href=""https://ciderguide.com/glintcap/styles/unlimited-cider-and-perry/"">Unlimited Cider and Perry</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Bright & Dry,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Dry</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Honeycrisp,"<a href=""https://ciderguide.com/glintcap/styles/modern-cider/"">Modern Cider - Sweet</a>",
2023,🥈 SILVER,19 Acres Cider Co.,Yuletide,"<a href=""https://ciderguide.com/glintcap/styles/botanical-cider/"">Botanical Cider</a>",
2023,🥉 BRONZE,19 Acres Cider Co.,Marionberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🥉 BRONZE,19 Acres Cider Co.,Pineapple Passion,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
2023,🏆 BEST IN CLASS,1911 Established,Lafayette,"<a href=""https://ciderguide.com/glintcap/styles/traditional-cider/"">Traditional Cider - Sweet</a>",3rd Place
2023,🥇 GOLD,1911 Established,Pommeau,"<a href=""https://ciderguide.com/glintcap/styles/fortified-cider/"">Fortified Cider</a>",
2023,🥈 SILVER,1911 Established,Apple Vodka,"<a href=""https://ciderguide.com/glintcap/styles/spirits/"">Spirits</a>",
2023,🥈 SILVER,1911 Established,Cranberry,"<a href=""https://ciderguide.com/glintcap/styles/fruit-cider/"">Fruit Cider</a>",
