Year,Entrant,Medalist,Entry,Class,Place,Results
2023,Seattle Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",McIntosh SV,Modern Cider - Dry,1st Place,https://ciderguide.com/glintcap/medalists/seattle-cider-company/
2023,Tandem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Crimson Gold,Modern Cider - Dry,2nd Place,https://ciderguide.com/glintcap/medalists/tandem-ciders/
2023,Seattle Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",City Fruit '20,Modern Cider - Dry,3rd Place,https://ciderguide.com/glintcap/medalists/seattle-cider-company/
2023,Bee Well Mead & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/"">Bee Well Mead & Cider</a>",North Cider,Modern Cider - Sweet,1st Place,https://ciderguide.com/glintcap/medalists/bee-well-mead-cider/
2023,Portland Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/portland-cider-company/"">Portland Cider Company</a>",Original Gold,Modern Cider - Sweet,2nd Place,https://ciderguide.com/glintcap/medalists/portland-cider-company/
2023,Gowan's Heirloom Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/"">Gowan's Heirloom Ciders</a>",Estate Gravenstein,Modern Cider - Sweet,3rd Place,https://ciderguide.com/glintcap/medalists/gowans-heirloom-ciders/
2023,Colorado Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Golden Russet,Heritage Cider - Dry,1st Place,https://ciderguide.com/glintcap/medalists/colorado-cider-company/
2023,Yip Cider,"<a href=""https://ciderguide.com/glintcap/medalists/yip-cider/"">Yip Cider</a>",Golden Dry,Heritage Cider - Dry,2nd Place,https://ciderguide.com/glintcap/medalists/yip-cider/
2023,Sage Bird Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/"">Sage Bird Ciderworks</a>",Virginia Hewes Crab,Heritage Cider - Dry,3rd Place,https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/
2023,2 Towns Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",11th Anniversary,Heritage Cider - Sweet,1st Place,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/
2023,Snow Capped Cider,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",Gold Rush,Heritage Cider - Sweet,2nd Place,https://ciderguide.com/glintcap/medalists/snow-capped-cider/
2023,Big Fish Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/big-fish-cider-co/"">Big Fish Cider Co.</a>",Elevation,Heritage Cider - Sweet,3rd Place,https://ciderguide.com/glintcap/medalists/big-fish-cider-co/
2023,Idol Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/idol-cider-house/"">Idol Cider House</a>",Pomme Crush,Traditional Cider - Dry,1st Place,https://ciderguide.com/glintcap/medalists/idol-cider-house/
2023,The Cider Farm,"<a href=""https://ciderguide.com/glintcap/medalists/the-cider-farm/"">The Cider Farm</a>",All English,Traditional Cider - Dry,2nd Place,https://ciderguide.com/glintcap/medalists/the-cider-farm/
2023,Bauman's Cider,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Kingston Black,Traditional Cider - Dry,3rd Place,https://ciderguide.com/glintcap/medalists/baumans-cider/
2023,James Creek Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/james-creek-cider-house/"">James Creek Cider House</a>",Stargazer - Etoile,Traditional Cider - Sweet,1st Place,https://ciderguide.com/glintcap/medalists/james-creek-cider-house/
2023,AVAL Cider,"<a href=""https://ciderguide.com/glintcap/medalists/aval-cider/"">AVAL Cider</a>",AVAL Blanc,Traditional Cider - Sweet,2nd Place,https://ciderguide.com/glintcap/medalists/aval-cider/
2023,1911 Established,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",Lafayette,Traditional Cider - Sweet,3rd Place,https://ciderguide.com/glintcap/medalists/1911-established/
2023,Brooklyn Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Solstice,Natural Cider,1st Place,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/
2023,Wildbranch Cider,"<a href=""https://ciderguide.com/glintcap/medalists/wildbranch-cider/"">Wildbranch Cider</a>",The Spinney,Natural Cider,2nd Place,https://ciderguide.com/glintcap/medalists/wildbranch-cider/
2023,Brooklyn Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",Raw,Natural Cider,3rd Place,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/
2023,Suttons Bay Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/"">Suttons Bay Ciders</a>",Natalie Rose,Rosé Cider,1st Place,https://ciderguide.com/glintcap/medalists/suttons-bay-ciders/
2023,Tandem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",Beauty School Dropout,Rosé Cider,2nd Place,https://ciderguide.com/glintcap/medalists/tandem-ciders/
2023,Bauman's Cider,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",Mountain Rose Single Varietal,Rosé Cider,3rd Place,https://ciderguide.com/glintcap/medalists/baumans-cider/
2023,Uncle John's,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",Perry,Modern Perry,1st Place,https://ciderguide.com/glintcap/medalists/uncle-johns/
2023,Seattle Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",Perry,Modern Perry,2nd Place,https://ciderguide.com/glintcap/medalists/seattle-cider-company/
2023,Colorado Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/colorado-cider-company/"">Colorado Cider Company</a>",Pearsnickety,Modern Perry,3rd Place,https://ciderguide.com/glintcap/medalists/colorado-cider-company/
2023,AeppelTreow Winery & Distillery,"<a href=""https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/"">AeppelTreow Winery & Distillery</a>",Orchard Oriole Perry,Traditional Perry,1st Place,https://ciderguide.com/glintcap/medalists/aeppeltreow-winery-distillery/
2023,Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",Principle,Traditional Perry,2nd Place,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
