Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL,Latitude,Longitude
2023,Snow Capped Cider,2,5,18,5,30,https://ciderguide.com/glintcap/medalists/snow-capped-cider/,38.898619,-107.924961
2023,Bauman's Cider,2,8,15,4,29,https://ciderguide.com/glintcap/medalists/baumans-cider/,45.1079661,-122.8693386
2023,Farmhaus Cider Co.,0,4,14,8,26,https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/,42.936623,-85.909009
2023,Seattle Cider Company,4,3,15,2,24,https://ciderguide.com/glintcap/medalists/seattle-cider-company/,47.560327,-122.337605
2023,2 Towns Ciderhouse,3,4,11,6,24,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/,44.563505,-123.226185
2023,Twin Pines Orchards & Cider House,0,3,13,7,23,https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/,43.187851,-81.847485
2023,Thornbury Craft Co.,3,0,13,4,20,https://ciderguide.com/glintcap/medalists/thornbury-craft-co/,44.5596898,-80.4459884
2023,Gypsy Circus,1,1,10,8,20,https://ciderguide.com/glintcap/medalists/gypsy-circus/,36.520022,-82.51794
2023,Angry Orchard,1,0,4,15,20,https://ciderguide.com/glintcap/medalists/angry-orchard/,41.587128,-74.221692
2023,Haykin Family Cider,0,3,13,4,20,https://ciderguide.com/glintcap/medalists/haykin-family-cider/,39.764391,-104.848127
2023,Uncle John's,3,1,7,7,18,https://ciderguide.com/glintcap/medalists/uncle-johns/,43.112648,-84.561921
2023,Slabtown Cider Co.,0,2,7,6,15,https://ciderguide.com/glintcap/medalists/slabtown-cider-co/,44.0606307,-79.1247329
2023,Empyrical Orchards & Cider,3,2,8,1,14,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/,47.9128756,-122.0981847
2023,Raven's Moon Craft Cider,0,0,10,4,14,https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/,49.692391,-125.040645
2023,Tandem Ciders,3,2,7,1,13,https://ciderguide.com/glintcap/medalists/tandem-ciders/,45.011335,-85.659757
2023,Wooden Gate Cider,0,1,6,6,13,https://ciderguide.com/glintcap/medalists/wooden-gate-cider/,49.2022693,-98.8931669
2023,Salt Spring Wild Cider,1,0,10,1,12,https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/,48.862494,-123.522065
2023,Blake's Hard Cider Co.,0,3,5,4,12,https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/,42.8503113,-82.9513855
2023,Mountain West Cider Company,1,0,6,4,11,https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/,40.778772,-111.903037
2023,Glacial Till Vineyard & Winery,0,0,7,4,11,https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/,41.038896,-96.368951
2023,Brooklyn Cider House,2,0,2,6,10,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/,41.757256,-74.04958
2023,Jefferson County Ciderworks,1,0,8,1,10,https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/,41.017198,-92.018367
2023,Threadbare Cider,0,1,4,5,10,https://ciderguide.com/glintcap/medalists/threadbare-cider/,40.460471,-79.988895
2023,Sage Bird Ciderworks,1,1,6,1,9,https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/,38.4530173,-78.86998
2023,1911 Established,1,1,5,2,9,https://ciderguide.com/glintcap/medalists/1911-established/,42.903744,-76.22158
2023,Swift Cider,0,0,7,2,9,https://ciderguide.com/glintcap/medalists/swift-cider/,45.577537,-122.651246
2023,The Cider Farm,1,1,5,1,8,https://ciderguide.com/glintcap/medalists/the-cider-farm/,42.859997,-90.179847
2023,Incline Cider Company,1,0,4,3,8,https://ciderguide.com/glintcap/medalists/incline-cider-company/,47.307323,-122.228453
