Year_Old,Year,Medalist,Medalist_URL,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,URL
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Snow Capped Cider,"<a href=""https://ciderguide.com/glintcap/medalists/snow-capped-cider/"">Snow Capped Cider</a>",2,5,18,5,30,https://ciderguide.com/glintcap/medalists/snow-capped-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Bauman's Cider,"<a href=""https://ciderguide.com/glintcap/medalists/baumans-cider/"">Bauman's Cider</a>",2,8,15,4,29,https://ciderguide.com/glintcap/medalists/baumans-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Farmhaus Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/"">Farmhaus Cider Co.</a>",0,4,14,8,26,https://ciderguide.com/glintcap/medalists/farmhaus-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Seattle Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/seattle-cider-company/"">Seattle Cider Company</a>",4,3,15,2,24,https://ciderguide.com/glintcap/medalists/seattle-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",2 Towns Ciderhouse,"<a href=""https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/"">2 Towns Ciderhouse</a>",3,4,11,6,24,https://ciderguide.com/glintcap/medalists/2-towns-ciderhouse/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Twin Pines Orchards & Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/"">Twin Pines Orchards & Cider House</a>",0,3,13,7,23,https://ciderguide.com/glintcap/medalists/twin-pines-orchards-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Thornbury Craft Co.,"<a href=""https://ciderguide.com/glintcap/medalists/thornbury-craft-co/"">Thornbury Craft Co.</a>",3,0,13,4,20,https://ciderguide.com/glintcap/medalists/thornbury-craft-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Gypsy Circus,"<a href=""https://ciderguide.com/glintcap/medalists/gypsy-circus/"">Gypsy Circus</a>",1,1,10,8,20,https://ciderguide.com/glintcap/medalists/gypsy-circus/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Angry Orchard,"<a href=""https://ciderguide.com/glintcap/medalists/angry-orchard/"">Angry Orchard</a>",1,0,4,15,20,https://ciderguide.com/glintcap/medalists/angry-orchard/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Haykin Family Cider,"<a href=""https://ciderguide.com/glintcap/medalists/haykin-family-cider/"">Haykin Family Cider</a>",0,3,13,4,20,https://ciderguide.com/glintcap/medalists/haykin-family-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Uncle John's,"<a href=""https://ciderguide.com/glintcap/medalists/uncle-johns/"">Uncle John's</a>",3,1,7,7,18,https://ciderguide.com/glintcap/medalists/uncle-johns/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Slabtown Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/slabtown-cider-co/"">Slabtown Cider Co.</a>",0,2,7,6,15,https://ciderguide.com/glintcap/medalists/slabtown-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Empyrical Orchards & Cider,"<a href=""https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/"">Empyrical Orchards & Cider</a>",3,2,8,1,14,https://ciderguide.com/glintcap/medalists/empyrical-orchards-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Raven's Moon Craft Cider,"<a href=""https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/"">Raven's Moon Craft Cider</a>",0,0,10,4,14,https://ciderguide.com/glintcap/medalists/ravens-moon-craft-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Tandem Ciders,"<a href=""https://ciderguide.com/glintcap/medalists/tandem-ciders/"">Tandem Ciders</a>",3,2,7,1,13,https://ciderguide.com/glintcap/medalists/tandem-ciders/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Wooden Gate Cider,"<a href=""https://ciderguide.com/glintcap/medalists/wooden-gate-cider/"">Wooden Gate Cider</a>",0,1,6,6,13,https://ciderguide.com/glintcap/medalists/wooden-gate-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Salt Spring Wild Cider,"<a href=""https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/"">Salt Spring Wild Cider</a>",1,0,10,1,12,https://ciderguide.com/glintcap/medalists/salt-spring-wild-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Blake's Hard Cider Co.,"<a href=""https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/"">Blake's Hard Cider Co.</a>",0,3,5,4,12,https://ciderguide.com/glintcap/medalists/blakes-hard-cider-co/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Mountain West Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/"">Mountain West Cider Company</a>",1,0,6,4,11,https://ciderguide.com/glintcap/medalists/mountain-west-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Glacial Till Vineyard & Winery,"<a href=""https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/"">Glacial Till Vineyard & Winery</a>",0,0,7,4,11,https://ciderguide.com/glintcap/medalists/glacial-till-vineyard-winery/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Brooklyn Cider House,"<a href=""https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/"">Brooklyn Cider House</a>",2,0,2,6,10,https://ciderguide.com/glintcap/medalists/brooklyn-cider-house/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Jefferson County Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/"">Jefferson County Ciderworks</a>",1,0,8,1,10,https://ciderguide.com/glintcap/medalists/jefferson-county-ciderworks/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Threadbare Cider,"<a href=""https://ciderguide.com/glintcap/medalists/threadbare-cider/"">Threadbare Cider</a>",0,1,4,5,10,https://ciderguide.com/glintcap/medalists/threadbare-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Sage Bird Ciderworks,"<a href=""https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/"">Sage Bird Ciderworks</a>",1,1,6,1,9,https://ciderguide.com/glintcap/medalists/sage-bird-ciderworks/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",1911 Established,"<a href=""https://ciderguide.com/glintcap/medalists/1911-established/"">1911 Established</a>",1,1,5,2,9,https://ciderguide.com/glintcap/medalists/1911-established/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Swift Cider,"<a href=""https://ciderguide.com/glintcap/medalists/swift-cider/"">Swift Cider</a>",0,0,7,2,9,https://ciderguide.com/glintcap/medalists/swift-cider/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",The Cider Farm,"<a href=""https://ciderguide.com/glintcap/medalists/the-cider-farm/"">The Cider Farm</a>",1,1,5,1,8,https://ciderguide.com/glintcap/medalists/the-cider-farm/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Incline Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/incline-cider-company/"">Incline Cider Company</a>",1,0,4,3,8,https://ciderguide.com/glintcap/medalists/incline-cider-company/
2023,"<a href=""https://ciderguide.com/glintcap/years/2023-results/"">2023</a>",Puget Sound Cider Company,"<a href=""https://ciderguide.com/glintcap/medalists/puget-sound-cider-company/"">Puget Sound Cider Company</a>",0,2,6,0,8,https://ciderguide.com/glintcap/medalists/puget-sound-cider-company/
