Year,Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total
2023,Snow Capped Cider,2,5,18,5,30
2023,Bauman's Cider,2,8,15,4,29
2023,Farmhaus Cider Co.,0,4,14,8,26
2023,Seattle Cider Company,4,3,15,2,24
2023,2 Towns Ciderhouse,3,4,11,6,24
2023,Twin Pines Orchards & Cider House,0,3,13,7,23
2023,Thornbury Cider House,3,0,13,4,20
2023,Gypsy Circus,1,1,10,8,20
2023,Angry Orchard,1,0,4,15,20
2023,Haykin Family Cider,0,3,13,4,20
2023,Uncle John's,3,1,7,7,18
2023,Slabtown Cider Co.,0,2,7,6,15
2023,Empyrical Orchards And Cider,3,2,8,1,14
2023,Blue Moon Winery & Ciderworx,0,0,10,4,14
2023,Tandem Ciders,3,2,7,1,13
2023,Wooden Gate Cider,0,1,6,6,13
2023,Salt Spring Wild Cider,1,0,10,1,12
2023,Blake's Hard Cider Co.,0,3,5,4,12
2023,Mountain West Cider Company,1,0,6,4,11
2023,Glacial Till Vineyard & Winery,0,0,7,4,11
2023,Brooklyn Cider House,2,0,2,6,10
2023,Jefferson County Ciderworks,1,0,8,1,10
2023,Threadbare Cider,0,1,4,5,10
2023,Sage Bird Ciderworks,1,1,6,1,9
2023,1911 Established,1,1,5,2,9
2023,Swift Cider,0,0,7,2,9
2023,The Cider Farm,1,1,5,1,8
2023,Incline Cider Company,1,0,4,3,8
2023,Puget Sound Cider Company,0,2,6,0,8
2023,St. Vrain Cidery,0,2,5,1,8
2023,Loch Mór Cider Co.,0,1,6,1,8
2023,Five Maidens Cider Company,0,1,4,3,8
2023,Portland Cider Company,1,2,3,1,7
2023,Thor's Hard Cider,1,1,4,1,7
2023,Cidrerie Verger Bilodeau,1,0,4,2,7
2023,Annapolis Cider Company,0,2,4,1,7
2023,Big Fish Cider Co.,1,1,4,0,6
2023,Cider Hill Cellars,1,1,3,1,6
2023,Bee Well Mead & Cider,1,0,2,3,6
2023,Cidrerie Milton,1,0,1,4,6
2023,Starcut Ciders,0,2,2,2,6
2023,Eden Specialty Ciders,0,1,2,3,6
2023,Minneapolis Cider Company,0,0,5,1,6
2023,Northville Winery and Brewing Company,0,0,5,1,6
2023,McClure's Orchard & Winery,0,0,4,2,6
2023,Stormalong Cider,0,0,4,2,6
2023,Green Bench Mead & Cider,0,0,3,3,6
2023,Sidra El Gaitero,0,0,3,3,6
2023,Castle Hill Cider,0,0,2,4,6
2023,Beach Bee Meadery,1,1,1,2,5
2023,Gowan's Heirloom Ciders,1,0,4,0,5
2023,Vala's Orchard Cider,1,0,3,1,5
2023,Thornapple Brewing Company,0,2,2,1,5
2023,Bold Rock Hard Cider (Mills River),0,1,4,0,5
2023,California Cider Company,0,1,3,1,5
2023,Eris Brewery & Cider House,0,1,3,1,5
2023,Stem Ciders,0,1,3,1,5
2023,Vander Mill,0,1,3,1,5
2023,Original Sin Cider,0,0,5,0,5
2023,Phillips Orchards & Cider Mill,0,0,5,0,5
2023,Virtue Cider,0,0,5,0,5
2023,Wild State Cider,0,0,5,0,5
2023,Ironbark Ciderworks,0,0,4,1,5
2023,Lost Boy Cider,0,0,4,1,5
2023,Number 12 Cider,0,0,4,1,5
2023,Sapsucker Farms Yellow Belly Cidery,0,0,4,1,5
2023,Seminary Hill Orchard & Cidery,0,0,4,1,5
2023,Toboggan Brewing Co.,0,0,4,1,5
2023,19 Acres Cider Co.,0,0,3,2,5
2023,Ernest Cider,0,0,3,2,5
2023,Waves Cider Co.,0,0,3,2,5
2023,Fenceline Cider,0,0,2,3,5
2023,Avid Cider,0,0,1,4,5
2023,Colorado Cider Company,2,0,1,1,4
2023,Yip Cider,1,1,1,1,4
2023,Papa Moon Vineyards & Winery,1,1,0,2,4
2023,James Creek Cider House,1,0,2,1,4
2023,Peat's Original Cider,1,0,1,2,4
2023,Albemarle CiderWorks,0,3,0,1,4
2023,Michigan Wine Company,0,2,2,0,4
2023,Black Diamond Cider,0,2,1,1,4
2023,Cambium Cider Co,0,2,1,1,4
2023,Left Foot Charley,0,1,3,0,4
2023,West Avenue Cider,0,1,3,0,4
2023,Champlain Orchards,0,1,2,1,4
2023,Liquid Alchemy Ciderworks,0,1,2,1,4
2023,Sea Cider Farm & Ciderhouse,0,1,2,1,4
2023,Apple Valley Cider Company,0,1,0,3,4
2023,Island Orchard Cider,0,0,4,0,4
2023,Sunken Paddle Ciderworks,0,0,4,0,4
2023,Willamette Ale & Cider House,0,0,4,0,4
2023,Bent Ladder,0,0,3,1,4
2023,Brew Lab 101 Beer & Cider Co.,0,0,3,1,4
2023,Ciders from Mars,0,0,3,1,4
2023,Junction Orchard & Cidery,0,0,3,1,4
2023,Salt Creek Cider House,0,0,3,1,4
2023,Serpentine Cider,0,0,3,1,4
2023,Two K Farms,0,0,3,1,4
2023,Victoria Cider Co.,0,0,3,1,4
2023,Black Apple,0,0,2,2,4
2023,Cidrerie Le Somnambule,0,0,2,2,4
2023,Deep Roots Hard Cider,0,0,2,2,4
2023,Pux Cider,0,0,2,2,4
2023,Blackgrass Ciderworks,0,0,1,3,4
2023,Flat Rock Cider Company,0,0,1,3,4
2023,Hazlitt 1852 Cider Crafters,0,0,1,3,4
2023,Locust Cider,0,0,1,3,4
2023,Finnriver Farm and Cidery,1,1,1,0,3
2023,Red Island Cider,1,1,1,0,3
2023,AVAL Cider,1,0,2,0,3
2023,Ambix Spirits,1,0,1,1,3
2023,Suttons Bay Ciders,1,0,0,2,3
2023,Rebel Apple,0,3,0,0,3
2023,Presque Isle Farm Cider,0,1,2,0,3
2023,Seek-No-Further Cidery,0,1,2,0,3
2023,Woodlore Cider Co.,0,1,2,0,3
2023,Banditry Cider,0,1,1,1,3
2023,King Orchards,0,1,1,1,3
2023,Manoff Market Cidery,0,1,1,1,3
2023,Townline Ciderworks,0,1,1,1,3
2023,12 Corners Vineyards,0,0,3,0,3
