Medalist,🏆 BIC,🥇 Gold,🥈 Silver,🥉 Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude,Shortcode
Uncle John's,19,28,91,73,211,2005,2023,17,https://ciderguide.com/uncle-johns/,https://www.ujcidermill.com/,https://www.facebook.com/UJCiderMill,https://www.instagram.com/unclejohns_cidermill/,https://maps.google.com/?cid=16260144443906622289,Michigan,United States,Active,43.112648,-84.561921,uncle-johns
2 Towns Ciderhouse,4,19,94,70,187,2012,2023,11,https://ciderguide.com/2-towns-ciderhouse/,http://www.2townsciderhouse.com/,https://www.facebook.com/2townsciderhouse,https://www.instagram.com/2townscider/,https://maps.google.com/?cid=10429935694700508047,Oregon,United States,Active,44.563505,-123.226185,2-towns-ciderhouse
Angry Orchard,5,8,53,70,136,2013,2023,10,https://ciderguide.com/angry-orchard/,https://www.angryorchard.com/,https://www.facebook.com/AngryOrchard/,https://www.instagram.com/angryorchard/,https://maps.google.com/?cid=17467507983407382578,New York,United States,Active,41.587128,-74.221692,angry-orchard
Seattle Cider Company,9,14,62,44,129,2015,2023,8,https://ciderguide.com/seattle-cider-company/,http://www.seattlecidercompany.com/,https://www.facebook.com/SeattleCiderCo,https://www.instagram.com/seattleciderco/,https://maps.google.com/?cid=10339393864619567754,Washington,United States,Active,47.560327,-122.337605,seattle-cider-company
Haykin Family Cider,9,14,64,22,109,2017,2023,6,https://ciderguide.com/haykin-family-cider/,http://www.haykinfamilycider.com/,https://www.facebook.com/HaykinFamilyCider,https://www.instagram.com/haykinfamilycider/,https://maps.google.com/?cid=7119124922857734574,Colorado,United States,Active,39.764391,-104.848127,haykin-family-cider
Twin Pines Orchards & Cider House,3,12,36,43,94,2011,2023,12,https://ciderguide.com/twin-pines-orchards-cider-house/,http://www.twinpinesorchards.com/,,https://www.instagram.com/twinpinesorchards/,https://goo.gl/maps/99ZTRGi4xuC2,Ontario,Canada,Active,43.187851,-81.847485,twin-pines-orchards-cider-house
Vander Mill,2,10,47,34,93,2008,2023,14,https://ciderguide.com/vander-mill/,http://vandermill.com/,https://www.facebook.com/VanderMillGR,https://www.instagram.com/vandermill/,https://maps.google.com/?cid=6214407049389872858,Michigan,United States,Active,42.971697,-85.630719,vander-mill
Vermont Cider Company,7,8,30,43,88,2005,2021,13,https://ciderguide.com/vermont-cider-company/,http://www.woodchuck.com/,https://www.facebook.com/WoodchuckCider,https://www.instagram.com/woodchuckcider/,https://maps.google.com/?cid=9402882086420367798,Vermont,United States,Active,44.034072,-73.172778,vermont-cider-company
Bauman's Cider,10,18,45,14,87,2016,2023,7,https://ciderguide.com/baumans-cider/,https://baumanscider.com/,https://www.facebook.com/Baumanscider/,https://www.instagram.com/baumanscider/,https://maps.google.com/?cid=10038644588886302965,Oregon,United States,Active,45.1079661,-122.8693386,baumans-cider
Snow Capped Cider,10,12,33,27,82,2017,2023,6,https://ciderguide.com/snow-capped-cider/,http://www.snowcappedcider.com/,https://www.facebook.com/snowcappedcider/,https://www.instagram.com/snowcappedcider/,https://maps.google.com/?cid=373602255640136887,Colorado,United States,Active,38.898619,-107.924961,snow-capped-cider
Tandem Ciders,5,8,49,19,81,2009,2023,13,https://ciderguide.com/tandem-ciders/,http://www.tandemciders.com/,https://www.facebook.com/TandemCiders/,https://www.instagram.com/tandemciders/,https://maps.google.com/?cid=17873533731324152260,Michigan,United States,Active,45.011335,-85.659757,tandem-ciders
Gypsy Circus InCider Taproom,1,5,35,29,70,2017,2023,4,https://ciderguide.com/gypsy-circus-incider-taproom/,http://gypsycircuscider.com/,https://www.facebook.com/GypsyCircusCider/,https://www.instagram.com/gypsycircuscider/,https://maps.google.com/?cid=4520512866262691085,Tennessee,United States,Active,36.520022,-82.51794,gypsy-circus-incider-taproom
