WID,Medalist,col2,col3,col4,Results,Best in Class,Gold,Silver,Bronze,Total,First,Last,Years,Results,Website,Facebook,Instagram,Google,State_Province,Country,Status,Latitude,Longitude
2,45 North Vineyard & Winery,45 North Vineyard & Winery,0,,https://glintcap.org/45-north-vineyard-winery,0,0,8,6,14,2016,2019,4,https://glintcap.org/45-north-vineyard-winery,https://fortyfivenorth.com/,https://www.facebook.com/fortyfivenorth,https://www.instagram.com/45northwinery/,https://maps.google.com/?cid=11817740184078021050,Michigan,United States,Active,45.002103,-85.681943
3,JK's Farmhouse Ciders,JK's Farmhouse Ciders,0,,https://glintcap.org/jks-farmhouse-ciders,0,0,1,2,3,2014,2018,3,https://glintcap.org/jks-farmhouse-ciders,http://jksfarmhouseciders.com/,https://www.facebook.com/jksfarmhouseciders,https://www.instagram.com/jksfarmhouseciders/,https://maps.google.com/?cid=9785317642581217954,Michigan,United States,Active,43.0274314,-83.9112091
4,B. Nektar,B. Nektar,0,,https://glintcap.org/b-nektar,0,0,4,3,7,2017,2022,3,https://glintcap.org/b-nektar,http://www.bnektar.com/,https://www.facebook.com/b.nektar,https://www.instagram.com/bnektar/,https://maps.google.com/?cid=8558313972907611413,Michigan,United States,Active,42.456877,-83.113432
5,Bee Well Mead & Cider,Bee Well Mead & Cider,0,,https://glintcap.org/bee-well-meadery,5,1,13,17,36,2016,2023,7,https://glintcap.org/bee-well-meadery,http://beewellmeadery.com/,https://www.facebook.com/BeeWellMeadery,https://www.instagram.com/beewellmeadery/,https://maps.google.com/?cid=18233410544073263210,Michigan,United States,Active,44.9760455,-85.2098303
6,Bel Lago Winery,Bel Lago Winery,0,,https://glintcap.org/bel-lago-winery,0,1,2,0,3,2015,2016,2,https://glintcap.org/bel-lago-winery,http://bellago.com/,https://www.facebook.com/Bellagowinery,https://www.instagram.com/bellagowinery/,https://maps.google.com/?cid=4644233978350648994,Michigan,United States,Active,44.883859,-85.725118
8,bigLITTLE Wines,bigLITTLE Wines,0,,https://glintcap.org/biglittle-wines,0,0,1,0,1,2016,2016,1,https://glintcap.org/biglittle-wines,,,,,Michigan,United States,Inactive,44.915844,-85.654114
9,Winery at Black Star Farms,Winery at Black Star Farms,0,,https://glintcap.org/black-star-farms,6,5,13,17,41,2005,2021,12,https://glintcap.org/black-star-farms,http://www.blackstarfarms.com/,https://www.facebook.com/blackstarfarms,https://www.instagram.com/blackstarfarms/,https://maps.google.com/?cid=7449332961214465656,Michigan,United States,Active,44.933625,-85.636114
10,Blake's Hard Cider Co.,Blake's Hard Cider Co.,0,,https://glintcap.org/blakes-hard-cider-co,1,10,31,23,65,2014,2023,9,https://glintcap.org/blakes-hard-cider-co,http://www.blakeshardcider.com/,https://www.facebook.com/blakeshardciderco,https://www.instagram.com/blakeshardciderco/,https://maps.google.com/?cid=15855146673119620480,Michigan,United States,Active,42.8503113,-82.9513855
12,Boss Cider Company,Boss Cider Company,0,,https://glintcap.org/boss-cider-company,0,0,5,4,9,2022,2022,1,https://glintcap.org/boss-cider-company,https://www.bosscider.com/,https://www.facebook.com/BossCider,https://www.instagram.com/bosscider/,https://maps.google.com/?cid=1969051789610674635,Michigan,United States,Active,42.450331,-84.431688
14,Cherry Creek Cellars,Cherry Creek Cellars,0,,https://glintcap.org/cherry-creek-cellars,0,0,1,5,6,2007,2018,5,https://glintcap.org/cherry-creek-cellars,http://www.cherrycreekwine.com/,https://www.facebook.com/cherrycreekcellars,https://www.instagram.com/cherrycreekcellars/,https://maps.google.com/?cid=5214593983043043226,Michigan,United States,Active,42.265117,-84.648542
