Year,Medal,Entrant,Entry,Style,Place
2016,🥉 BRONZE,^5 Cider,Hello Raspberry ,Specialty Cider and Perry,
2016,🥉 BRONZE,^5 Cider,Strawbasaurus Hop,Specialty Cider and Perry,
2018,🥈 SILVER,101 Cider House,Bonfire Betty,Wood Aged Specialty Cider,
2016,🥈 SILVER,101 Cider House,SoCal Scrumpy,Specialty Cider and Perry,
2016,🥉 BRONZE,101 Cider House,India Pale Cider,Hopped/Herbal Cider,
2021,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,Fruit Cider,
2021,🥈 SILVER,12 Bridge Ciderworks,Summer Daze,Fruit Cider,
2021,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,Fruit Cider,
2021,🥉 BRONZE,12 Bridge Ciderworks,Fremont Gingerella Pear,Specialty Cider and Perry,
2019,🥈 SILVER,12 Bridge Ciderworks,Broadway Cran-Pom,Fruit Cider,
2019,🥈 SILVER,12 Bridge Ciderworks,Ross Island Sangria,Fruit Cider,
2019,🥈 SILVER,12 Bridge Ciderworks,Tilikum Tropic Thunder,Fruit Cider,
2019,🥉 BRONZE,12 Bridge Ciderworks,Hawthorne Apple,Modern Cider - Dry,
2023,🥈 SILVER,12 Corners Vineyards,Big Daddys Hard Apple Cider,Modern Cider - Sweet,
2023,🥈 SILVER,12 Corners Vineyards,Juicy Lucy Peach Hard Cider,Unlimited Cider and Perry,
2023,🥈 SILVER,12 Corners Vineyards,Lil Reds Cranberry Hard Cider,Unlimited Cider and Perry,
2023,🥈 SILVER,19 Acres Cider Co.,Bright & Dry,Modern Cider - Dry,
2023,🥈 SILVER,19 Acres Cider Co.,Honeycrisp,Modern Cider - Sweet,
2023,🥈 SILVER,19 Acres Cider Co.,Yuletide,Botanical Cider,
2023,🥉 BRONZE,19 Acres Cider Co.,Marionberry,Fruit Cider,
2023,🥉 BRONZE,19 Acres Cider Co.,Pineapple Passion,Fruit Cider,
2023,🏆 BEST IN CLASS,1911 Established,Lafayette,Traditional Cider - Sweet,3rd Place
2023,🥇 GOLD,1911 Established,Pommeau,Fortified Cider,
2023,🥈 SILVER,1911 Established,Apple Vodka,Spirits,
2023,🥈 SILVER,1911 Established,Cranberry,Fruit Cider,
2023,🥈 SILVER,1911 Established,Jam On It,Fruit Cider,
2023,🥈 SILVER,1911 Established,Original,Modern Cider - Sweet,
2023,🥈 SILVER,1911 Established,Rose,Specialty Cider and Perry,
2023,🥉 BRONZE,1911 Established,NEIPC,Hopped Cider,
2023,🥉 BRONZE,1911 Established,Orange Creamsicle,Unlimited Cider and Perry,
2022,🥇 GOLD,1911 Established,Rose,Specialty Cider and Perry,
2022,🥈 SILVER,1911 Established,Apple Brandy,Spirits,
2022,🥈 SILVER,1911 Established,Apple Vodka,Spirits,
2022,🥈 SILVER,1911 Established,Cranberry,Fruit Cider,
2022,🥈 SILVER,1911 Established,Honeycrisp,Modern Cider - Sweet,
2022,🥈 SILVER,1911 Established,Jam On It,Fruit Cider,
2022,🥈 SILVER,1911 Established,Lafayette,Heritage Cider - Sweet,
2022,🥈 SILVER,1911 Established,NEIPC,Hopped Cider,
2022,🥈 SILVER,1911 Established,Pommeau,Fortified Cider,
2022,🥈 SILVER,1911 Established,Sour Blackberry,Specialty Cider and Perry,
2022,🥈 SILVER,1911 Established,Sour Cherry,Specialty Cider and Perry,
2022,🥈 SILVER,1911 Established,Unfiltered McIntosh,Modern Cider - Sweet,
2022,🥉 BRONZE,1911 Established,Original,Modern Cider - Sweet,
2022,🥉 BRONZE,1911 Established,Snapdragon,Modern Cider - Sweet,
2021,🥈 SILVER,1911 Established,Apple Vodka,Spirits,
2021,🥈 SILVER,1911 Established,Honeycrisp,Modern Cider - Sweet,
2021,🥈 SILVER,1911 Established,NE Hopped,Hopped Cider,
2021,🥈 SILVER,1911 Established,Original,Modern Cider - Sweet,
2021,🥈 SILVER,1911 Established,Pommeau,Fortified Cider,
2021,🥈 SILVER,1911 Established,Rose,Specialty Cider and Perry,
2021,🥈 SILVER,1911 Established,Sour Hibiscus,Specialty Cider and Perry,
2021,🥉 BRONZE,1911 Established,Cranberry,Fruit Cider,
2021,🥉 BRONZE,1911 Established,Lafayette,Heritage Cider - Sweet,
2021,🥉 BRONZE,1911 Established,Shandy,Fruit Cider,
2021,🥉 BRONZE,1911 Established,Snapdragon,Modern Cider - Sweet,
2019,🥈 SILVER,1911 Established,Full Bloom,Specialty Cider and Perry,
2019,🥈 SILVER,1911 Established,Generation Cider,Heritage Cider - Dry,
2019,🥈 SILVER,1911 Established,Honeycrisp Cider,Modern Cider - Sweet,
2019,🥈 SILVER,1911 Established,IPC Cider,Hopped Cider,
2019,🥈 SILVER,1911 Established,NY Hopped Cider,Hopped Cider,
2019,🥈 SILVER,1911 Established,Pommeau,Fortified Cider,
2019,🥈 SILVER,1911 Established,Vodka,Spirits,
2019,🥉 BRONZE,1911 Established,Cranberry Cider,Fruit Cider,
2019,🥉 BRONZE,1911 Established,Honey Cider,Specialty Cider and Perry,
2019,🥉 BRONZE,1911 Established,Honeycrisp Wine,Specialty Cider and Perry,
2019,🥉 BRONZE,1911 Established,Original Cider,Modern Cider - Sweet,
2019,🥉 BRONZE,1911 Established,Rose Cider,Specialty Cider and Perry,
2017,🥇 GOLD,1911 Established,Empire Dry Apple Wine,Specialty Cider and Perry,
2017,🥇 GOLD,1911 Established,Honey Cider,Specialty Cider and Perry,
2017,🥈 SILVER,1911 Established,Honeycrisp,Modern Cider - Sweet,
2017,🥈 SILVER,1911 Established,Honeycrisp Apple Wine,Specialty Cider and Perry,
2017,🥈 SILVER,1911 Established,Hopped IPC,Hopped Cider,
2017,🥉 BRONZE,1911 Established,Brett,Specialty Cider and Perry,
2017,🥉 BRONZE,1911 Established,McIntosh Apple Wine,Specialty Cider and Perry,
2017,🥉 BRONZE,1911 Established,Original,Modern Cider - Sweet,
2016,🥇 GOLD,1911 Established,Empire Wine,Applewine,
2016,🥈 SILVER,1911 Established,Brett,Specialty Cider and Perry,
2016,🥈 SILVER,1911 Established,Heritage Dry,Modern Cider,
2016,🥈 SILVER,1911 Established,McIntosh Wine,Applewine,
2016,🥈 SILVER,1911 Established,Original ,Modern Cider,
2016,🥈 SILVER,1911 Established,Rose,Fruit Cider,
2016,🥉 BRONZE,1911 Established,Empire Spy,Modern Cider,
2016,🥉 BRONZE,1911 Established,Honeycrisp Wine,Applewine,
2016,🥉 BRONZE,1911 Established,Hopped,Hopped/Herbal Cider,
2015,🥈 SILVER,1911 Established,Empire Dry,Applewine,
2015,🥈 SILVER,1911 Established,Heritage Dry,Modern Cider,
2015,🥈 SILVER,1911 Established,Rosé,Fruit Cider,
2015,🥉 BRONZE,1911 Established,Empire Spy,Modern Cider,
2015,🥉 BRONZE,1911 Established,Hopped,Hopped/Herbal Cider,
2015,🥉 BRONZE,1911 Established,Original,Modern Cider,
2021,🥇 GOLD,2 Fools Cider,2 Fools Dry,Modern Cider - Dry,
2021,🥈 SILVER,2 Fools Cider,2 Fools Hopped,Hopped Cider,
2019,🥇 GOLD,2 Fools Cider,Pinehopple,Specialty Cider and Perry,
2019,🥉 BRONZE,2 Fools Cider,Rosé,Fruit Cider,
2019,🥉 BRONZE,2 Fools Cider,Tart Cherry,Fruit Cider,
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,11th Anniversary,Heritage Cider - Sweet,1st Place
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,Pommeau,Fortified Cider,2nd Place
2023,🏆 BEST IN CLASS,2 Towns Ciderhouse,Hip Hops,Hopped Cider,3rd Place
