ID,Year,Medal,Place,Medal_Order,WID,Entrant_Original,Entrant,Entrant_2023,Entry,Style,Crosswalk,Crosswalk_Code
7736,2023,🏆 BEST IN CLASS,1st Place,1,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,McIntosh SV,Modern Cider - Dry,Modern Cider,A
7887,2023,🏆 BEST IN CLASS,2nd Place,1,54,Tandem Ciders,Tandem Ciders,Tandem Ciders,Crimson Gold,Modern Cider - Dry,Modern Cider,A
7734,2023,🏆 BEST IN CLASS,3rd Place,1,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,City Fruit '20,Modern Cider - Dry,Modern Cider,A
7041,2023,🥇 GOLD,,2,67,2 Towns Ciderhouse,2 Towns Ciderhouse,2 Towns Ciderhouse,BrightCider,Modern Cider - Dry,Modern Cider,A
7094,2023,🥇 GOLD,,2,718,Annapolis Cider Company,Annapolis Cider Company,Annapolis Cider Company,Northern Spy,Modern Cider - Dry,Modern Cider,A
7266,2023,🥇 GOLD,,2,188,Champlain Orchards,Champlain Orchards,Champlain Orchards,Honeycrisp,Modern Cider - Dry,Modern Cider,A
7359,2023,🥇 GOLD,,2,19,Farmhaus Cider Co.,Farmhaus Cider Co.,Farmhaus Cider Co.,Daily Dry,Modern Cider - Dry,Modern Cider,A
7465,2023,🥇 GOLD,,2,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Methode Ancestrale Roxbury Russet,Modern Cider - Dry,Modern Cider,A
7489,2023,🥇 GOLD,,2,1071,Heeman's,Heeman's,Heeman's,Dry Empire,Modern Cider - Dry,Modern Cider,A
7543,2023,🥇 GOLD,,2,30,Left Foot Charley,Left Foot Charley,Left Foot Charley,Winesap,Modern Cider - Dry,Modern Cider,A
7662,2023,🥇 GOLD,,2,490,Portland Cider Company,Portland Cider Company,Portland Cider Company,McIntosh,Modern Cider - Dry,Modern Cider,A
7687,2023,🥇 GOLD,,2,2091,Rebel Apple,Rebel Apple,Rebel Apple,Dickiy Crest,Modern Cider - Dry,Modern Cider,A
7738,2023,🥇 GOLD,,2,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,City Fruit '21,Modern Cider - Dry,Modern Cider,A
7758,2023,🥇 GOLD,,2,1817,Seek No Further Cider Co,Seek-No-Further Cidery,Seek-No-Further Cidery,After the GoldRush,Modern Cider - Dry,Modern Cider,A
7786,2023,🥇 GOLD,,2,2104,Slabtown Cider Co.,Slabtown Cider Co.,Slabtown Cider Co.,Founder's Dry,Modern Cider - Dry,Modern Cider,A
7888,2023,🥇 GOLD,,2,54,Tandem Ciders,Tandem Ciders,Tandem Ciders,Roadhouse,Modern Cider - Dry,Modern Cider,A
7941,2023,🥇 GOLD,,2,632,Threadbare Cider,Threadbare Cider,Threadbare Cider,Allegheny Dry,Modern Cider - Dry,Modern Cider,A
7964,2023,🥇 GOLD,,2,845,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Hammerbent Goldrush,Modern Cider - Dry,Modern Cider,A
7023,2023,🥈 SILVER,,3,1084,19 Acres Cider Co.,19 Acres Cider Co.,19 Acres Cider Co.,Bright & Dry,Modern Cider - Dry,Modern Cider,A
7098,2023,🥈 SILVER,,3,718,Annapolis Cider Company,Annapolis Cider Company,Annapolis Cider Company,Red Delicious,Modern Cider - Dry,Modern Cider,A
7106,2023,🥈 SILVER,,3,99,Artifact Cider Project,Artifact Cider Project,Artifact Cider Project,Slow Down,Modern Cider - Dry,Modern Cider,A
7136,2023,🥈 SILVER,,3,118,Bauman's Cider,Bauman's Cider,Bauman's Cider,Bauman's Imperial,Modern Cider - Dry,Modern Cider,A
7173,2023,🥈 SILVER,,3,127,Big Fish Cider Co.,Big Fish Cider Co.,Big Fish Cider Co.,Ashmead’s Kernel,Modern Cider - Dry,Modern Cider,A
7179,2023,🥈 SILVER,,3,133,Black Apple Hard Cider,Black Apple,Black Apple,Dry Me!,Modern Cider - Dry,Modern Cider,A
7236,2023,🥈 SILVER,,3,1994,Brew Lab 101 Beer & Cider Co.,Brew Lab 101 Beer & Cider Co.,Brew Lab 101 Beer & Cider Co.,Drought,Modern Cider - Dry,Modern Cider,A
7268,2023,🥈 SILVER,,3,188,Champlain Orchards,Champlain Orchards,Champlain Orchards,Kingston Dry,Modern Cider - Dry,Modern Cider,A
7302,2023,🥈 SILVER,,3,1813,Clarksburg Cider Co.,Clarksburg Cider,Clarksburg Cider,Dry,Modern Cider - Dry,Modern Cider,A
7356,2023,🥈 SILVER,,3,1069,Farmgate Cider,Farmgate Cider,Farmgate Cider,North Road,Modern Cider - Dry,Modern Cider,A
7383,2023,🥈 SILVER,,3,274,Fenceline Cider,Fenceline Cider,Fenceline Cider,McIntosh,Modern Cider - Dry,Modern Cider,A
7384,2023,🥈 SILVER,,3,274,Fenceline Cider,Fenceline Cider,Fenceline Cider,Seedling,Modern Cider - Dry,Modern Cider,A
7388,2023,🥈 SILVER,,3,20,Fenn Valley Vineyards,Fenn Valley Vineyards,Fenn Valley Vineyards,McIntosh Hard Cider,Modern Cider - Dry,Modern Cider,A
7396,2023,🥈 SILVER,,3,712,Five Maidens Cider Company,Five Maidens Cider Company,Five Maidens Cider Company,Semi-Dry,Modern Cider - Dry,Modern Cider,A
7416,2023,🥈 SILVER,,3,294,Glacial Till,Glacial Till Vineyard & Winery,Glacial Till Vineyard & Winery,Dry,Modern Cider - Dry,Modern Cider,A
7447,2023,🥈 SILVER,,3,312,Gypsy Circus Cider Company,Gypsy Circus,Gypsy Circus,Rain Dancer,Modern Cider - Dry,Modern Cider,A
7467,2023,🥈 SILVER,,3,323,Haykin Family Cider,Haykin Family Cider,Haykin Family Cider,Ashmead's Kernel,Modern Cider - Dry,Modern Cider,A
7525,2023,🥈 SILVER,,3,357,Jefferson County Ciderworks,Jefferson County Ciderworks,Jefferson County Ciderworks,Original Apple,Modern Cider - Dry,Modern Cider,A
7581,2023,🥈 SILVER,,3,1072,Market Garden Brewery,Market Garden Brewery,Magis Cider Co.,Magis Cider,Modern Cider - Dry,Modern Cider,A
7584,2023,🥈 SILVER,,3,407,McClure's Orchard/Winery,McClure's Orchard & Winery,McClure's Orchard & Winery,Farmhouse,Modern Cider - Dry,Modern Cider,A
7608,2023,🥈 SILVER,,3,432,Mountain West Hard Cider,Mountain West Cider Company,Mountain West Cider Company,Elliott Gold,Modern Cider - Dry,Modern Cider,A
7610,2023,🥈 SILVER,,3,432,Mountain West Hard Cider,Mountain West Cider Company,Mountain West Cider Company,Ruby,Modern Cider - Dry,Modern Cider,A
7622,2023,🥈 SILVER,,3,38,Northville Winery and Brewing Company,Northville Winery and Brewing Company,Northville Winery and Brewing Company,Bassline Brut,Modern Cider - Dry,Modern Cider,A
7630,2023,🥈 SILVER,,3,814,Northyards Cider Co.,Northyards Cider Co.,Northyards Cider Co.,Dry Cider,Modern Cider - Dry,Modern Cider,A
7643,2023,🥈 SILVER,,3,467,Original Sin Cider,Original Sin Cider,Original Sin Cider,New York Dry,Modern Cider - Dry,Modern Cider,A
7655,2023,🥈 SILVER,,3,43,Phillips Ciders,Phillips Orchards & Cider Mill,Phillips Orchards & Cider Mill,1852 Blend,Modern Cider - Dry,Modern Cider,A
7656,2023,🥈 SILVER,,3,43,Phillips Ciders,Phillips Orchards & Cider Mill,Phillips Orchards & Cider Mill,Goldrush/Snow,Modern Cider - Dry,Modern Cider,A
7659,2023,🥈 SILVER,,3,43,Phillips Ciders,Phillips Orchards & Cider Mill,Phillips Orchards & Cider Mill,Parm,Modern Cider - Dry,Modern Cider,A
7665,2023,🥈 SILVER,,3,490,Portland Cider Company,Portland Cider Company,Portland Cider Company,Kinda Dry,Modern Cider - Dry,Modern Cider,A
7212,2023,🥈 SILVER,,3,729,Blue Moon Estate Winery & Cider Worx,Raven's Moon Craft Cider,Blue Moon Winery & Ciderworx,Apple Cider,Modern Cider - Dry,Modern Cider,A
7743,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,City Fruit '22,Modern Cider - Dry,Modern Cider,A
7744,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Dry,Modern Cider - Dry,Modern Cider,A
7748,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Light Cider,Modern Cider - Dry,Modern Cider,A
7755,2023,🥈 SILVER,,3,553,Seattle Cider Company,Seattle Cider Company,Seattle Cider Company,Winter Banana,Modern Cider - Dry,Modern Cider,A
7775,2023,🥈 SILVER,,3,1916,Sidewood Estate,Sidewood Estate,Sidewood Estate,Sidewood Apple Cider,Modern Cider - Dry,Modern Cider,A
7790,2023,🥈 SILVER,,3,2104,Slabtown Cider Co.,Slabtown Cider Co.,Slabtown Cider Co.,Founder's Zero,Modern Cider - Dry,Modern Cider,A
7835,2023,🥈 SILVER,,3,971,Space Time Mead & Cider Works,Space Time Mead & Cider Works,Space Time Mead & Cider Works,Les Terriens Solitaires,Modern Cider - Dry,Modern Cider,A
7850,2023,🥈 SILVER,,3,52,Starcut Ciders,Starcut Ciders,Starcut Ciders,Pulsar,Modern Cider - Dry,Modern Cider,A
7878,2023,🥈 SILVER,,3,612,Swift Cider,Swift Cider,Swift Cider,Honeycrisp,Modern Cider - Dry,Modern Cider,A
7891,2023,🥈 SILVER,,3,54,Tandem Ciders,Tandem Ciders,Tandem Ciders,Clear Conscience,Modern Cider - Dry,Modern Cider,A
7895,2023,🥈 SILVER,,3,54,Tandem Ciders,Tandem Ciders,Tandem Ciders,Pretty Penny,Modern Cider - Dry,Modern Cider,A
7899,2023,🥈 SILVER,,3,617,Tapped Apple Winery,Tapped Apple Cider & Winery,Tapped Apple Winery,First Bite,Modern Cider - Dry,Modern Cider,A
7911,2023,🥈 SILVER,,3,631,Thor’s Hard Cider,Thor's Hard Cider,Thor's Hard Cider,Dry,Modern Cider - Dry,Modern Cider,A
7918,2023,🥈 SILVER,,3,58,Thornapple Brewing Company,Thornapple Brewing Company,Thornapple Brewing Company,Fruit Ridge,Modern Cider - Dry,Modern Cider,A
7944,2023,🥈 SILVER,,3,632,Threadbare Cider,Threadbare Cider,Threadbare Cider,Farmhouse,Modern Cider - Dry,Modern Cider,A
7952,2023,🥈 SILVER,,3,842,Toboggan Brewing Co.,Toboggan Brewing Co.,Toboggan Brewing Co.,Dry Cider,Modern Cider - Dry,Modern Cider,A
7976,2023,🥈 SILVER,,3,845,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Twin Pines Orchards & Cider House,Hammerbent Red,Modern Cider - Dry,Modern Cider,A
7998,2023,🥈 SILVER,,3,61,Uncle John's,Uncle John's,Uncle John's,Original Apple,Modern Cider - Dry,Modern Cider,A
8025,2023,🥈 SILVER,,3,63,Virtue Cider,Virtue Cider,Virtue Cider,Gold Rush,Modern Cider - Dry,Modern Cider,A
8029,2023,🥈 SILVER,,3,1050,Waves Cider Company,Waves Cider Co.,Waves Cider Co.,Waves Dry,Modern Cider - Dry,Modern Cider,A
8030,2023,🥈 SILVER,,3,1050,Waves Cider Company,Waves Cider Co.,Waves Cider Co.,Waves Semi Dry,Modern Cider - Dry,Modern Cider,A
8036,2023,🥈 SILVER,,3,864,West Avenue Cider,West Avenue Cider,West Avenue Cider,Heritage Dry,Modern Cider - Dry,Modern Cider,A
8037,2023,🥈 SILVER,,3,864,West Avenue Cider,West Avenue Cider,West Avenue Cider,Little Mac,Modern Cider - Dry,Modern Cider,A
8040,2023,🥈 SILVER,,3,685,Wild State Cider,Wild State Cider,Wild State Cider,Classic Dry,Modern Cider - Dry,Modern Cider,A
8044,2023,🥈 SILVER,,3,685,Wild State Cider,Wild State Cider,Wild State Cider,Wild Apple,Modern Cider - Dry,Modern Cider,A
7679,2023,🥈 SILVER,,3,689,Queen Orchard,Willamette Ale & Cider House,Willamette Ale & Cider House,BRUT/BASE,Modern Cider - Dry,Modern Cider,A
8056,2023,🥈 SILVER,,3,2045,Wooden Gate Cider,Wooden Gate Cider,Wooden Gate Cider,Homesteader,Modern Cider - Dry,Modern Cider,A
8072,2023,🥈 SILVER,,3,866,Yip Cider,Yip Cider,Yip Cider,Original,Modern Cider - Dry,Modern Cider,A
7056,2023,🥉 BRONZE,,4,67,2 Towns Ciderhouse,2 Towns Ciderhouse,2 Towns Ciderhouse,Mac Dry,Modern Cider - Dry,Modern Cider,A
7080,2023,🥉 BRONZE,,4,87,Angry Orchard,Angry Orchard,Angry Orchard,Cider Nouveau,Modern Cider - Dry,Modern Cider,A
