COUNTA of Medal,Year,col2,col3,col4,col5,col6,col7,col8,col9,col10,col11,col12,col13,col14,col15,col16,col17
Entrant_2023,2005,2006,2007,2008,2009,2011,2012,2013,2014,2015,2016,2017,2018,2019,2021,2022,2023
^5 Cider,,,,,,,,,,,2,,,,,,
101 Cider House,,,,,,,,,,,2,,1,,,,
12 Bridge Ciderworks,,,,,,,,,,,,,,4,4,,
12 Corners Vineyards,,,,,,,,,,,,,,,,,3
19 Acres Cider Co.,,,,,,,,,,,,,,,,,5
1911 Established,,,,,,,,,,6,9,8,,12,11,14,9
2 Fools Cider,,,,,,,,,,,,,,3,2,,
2 Towns Ciderhouse,,,,,,,5,12,19,21,18,20,26,21,10,11,24
26 Acre Craft Cider Company,,,,,,,,,,,,1,4,,,,
3 Keys Brewing,,,,,,,,,,,,,,2,,,
3 North Vines,,,,,,,,,,,,,,,3,,
3Cs Cider,,,,,,,,,1,,,,,,,,
45 North Vineyard & Winery,,,,,,,,,,,4,2,4,4,,,
5 Penny Hard Cider,,,,,,,,,,,,,1,2,,,
Acme Cider Co.,,,,,,,,,,,1,2,,,,,
Adams Cider Company,,,,,,,,,1,,,1,1,,,,
Adesanya Mead & Microbrewery,,,,,,,,,,,,,,,1,,
AeppelTreow Winery & Distillery,3,6,3,3,1,7,8,3,9,4,5,2,4,1,3,2,2
Akiu Winery,,,,,,,,,,,,,,,,1,
Albemarle CiderWorks,,,,,,,5,3,3,,4,2,,4,9,4,4
Allegheny Cellars Winery,,,,,,,,1,,,,,,,,,
Alma Cider,,,,,,,,,,,,,,,5,,3
Alpenfire Cider,,,,,,1,2,2,4,,,1,,,,,
Alter Ego Cider,,,,,,,,,,,,,,4,,,
Ambix Spirits,,,,,,,,,,,,,,,,,3
Ambrosia Orchard,,,,,,,,,,,,,,3,,3,
Andrew Peller Limited,,,,,,,,,,,,1,,,,,
Angeles Crest Cider,,,,,,,,,,,,,1,1,3,,
Angry Orchard,,,,,,,,6,6,8,16,15,20,13,20,12,20
Annapolis Cider Company,,,,,,,,,,,,6,,,,,7
ANXO Cider,,,,,,,,,,,2,3,5,6,7,7,
Apfelweinkontor,,,,,,,,,1,,,,,,,,
Apple Hill Cidery,,,,,,,,,,,1,,,,,,
Apple Knocker Hard Cider,,,,,,,,,3,,,,,,,,
Apple Outlaw,,,,,,,,,,5,,2,,,,,
Apple Valley Cider Company,,,,,,,,,,,,,,4,4,4,4
Appleholic Cider Company,,,,,,,,,,,,,8,5,3,,
Ardiel Cider House,,,,,,,,,,,,,5,,,,
Arktos Meadery,,,,,,,,,,,1,,,,,,
Armagh Cider Company,,,,,,,,2,3,,,,,,,,
Arsenal Cider House,,,,,,,,,,,6,,10,10,11,10,
