COUNTA of Medalist,col1,Medal,col3,col4,col5,col6
Medalist,Year,🏆 BEST IN CLASS,🥇 GOLD,🥈 SILVER,🥉 BRONZE,HONORABLE MENTION
^5 Cider Total,,,,,2,
101 Cider House Total,,,,2,1,
12 Bridge Ciderworks Total,,,,6,2,
12 Corners Vineyards Total,,,,3,,
19 Acres Cider Co. Total,,,,3,2,
1911 Established Total,,1,5,41,22,
2 Fools Cider Total,,,2,1,2,
2 Towns Ciderhouse Total,,4,19,94,70,
26 Acre Craft Cider Company Total,,,1,1,3,
3 Keys Brewing Total,,,,,2,
3 North Vines Total,,,,,3,
3Cs Cider Total,,,,1,,
45 North Vineyard & Winery Total,,,,8,6,
5 Penny Hard Cider Total,,,,2,1,
Acme Cider Co. Total,,,,1,2,
Adams Cider Company Total,,1,,1,1,
Adesanya Mead & Microbrewery Total,,,,,1,
AeppelTreow Winery & Distillery Total,,4,8,20,34,
Akiu Winery Total,,,,,1,
Albemarle CiderWorks Total,,1,9,16,12,
Allegheny Cellars Winery Total,,,,,1,
Alma Cider Total,,1,,6,1,
Alpenfire Cider Total,,,1,4,5,
Alter Ego Cider Total,,,,3,1,
Ambix Spirits Total,,1,,1,1,
Ambrosia Orchard Total,,,,3,3,
Angeles Crest Cider Total,,,1,1,3,
Angry Orchard Total,,5,8,53,70,
Annapolis Cider Company Total,,2,2,6,3,
ANXO Cider Total,,1,1,15,13,
Apfelweinkontor Total,,,,,1,
Apple Hill Cidery Total,,,,1,,
Apple Outlaw Total,,,,2,5,
Apple Valley Cider Company Total,,1,1,4,10,
Appleholic Cider Company Total,,,,7,9,
Ardiel Cider House Total,,,1,2,2,
Arktos Meadery Total,,,,,1,
Armagh Cider Company Total,,,,,5,
Arsenal Cider House Total,,2,6,26,13,
Artifact Cider Project Total,,,,3,,
Ash & Elm Cider Company Total,,,,4,5,
Aspall Total,,,1,7,6,
Asturvisa Total,,,1,,1,
Atlanta Hard Cider Co. Total,,1,1,11,,
Austin Eastciders Total,,,,2,2,
AVAL Cider Total,,1,,2,,
Avid Cider Total,,1,,4,7,
B. Nektar Total,,,,4,3,
Banditry Cider Total,,,1,1,1,
Banjo Cider Total,,1,,6,1,
Bantam Cider Total,,,,1,1,
Banter's Hard Cider Total,,,,1,3,
Bardic Brewing & Cider Total,,,,,1,
Barrika Total,,2,,1,1,
Bauman's Cider Total,,10,18,45,14,
Bayfield Winery & Blue Ox Cider Total,,,,,1,
Beach Bee Meadery Total,,1,1,1,2,
Bear Cider Total,,,1,,,
Beaver Valley Orchard & Cidery Total,,,2,3,18,
Bee Well Mead & Cider Total,,5,1,13,17,
Bel Lago Winery Total,,,1,2,,
Bent Ladder Total,,1,,6,4,
Bereziartua Total,,,2,4,2,
Berkshire Cider Project Total,,,,2,1,
Bier Distillery Total,,,,,2,
Big B's Hard Cider Total,,,1,15,16,
Big Belly Ciderworks Total,,,,1,3,
Big Fish Cider Co. Total,,4,8,13,4,
Big Hill Ciderworks Total,,,,6,7,
bigLITTLE Wines Total,,,,1,,
Bird Dog Cider Total,,,,1,1,
Bishop Cider Company Total,,,,,4,
Bishops Orchards Winery Total,,,1,2,12,
Black Apple Total,,,1,3,3,
Black Bear Cider Co. Total,,,,2,2,
Black Devil Cider Total,,,,1,,
Black Diamond Cider Total,,5,6,14,6,
Blackgrass Ciderworks Total,,,,7,12,
Blackman Cider Co. Total,,,,2,2,
Blacksmiths Winery Total,,,,1,1,
Blake's Hard Cider Co. Total,,1,10,31,23,
Blindwood Cider Total,,,,,1,
Bløm Meadworks Total,,,,5,1,
Blossom Barn Cidery Total,,,,3,3,
Blossomwood Cidery Total,,,,,,1
Blue Bee Cider Total,,,,6,4,
Blue Toad Hard Cider Total,,1,2,6,12,
Blueberry Hill Estates Total,,,,,4,
Bold Rock Hard Cider Total,,1,4,22,12,
Bonnieheath Estate Winery Total,,,,,2,
Boss Cider Company Total,,,,5,4,
Boston Beer Company Total,,,,,1,
Botanist & Barrel Total,,,,3,5,
Bowen Cider House Total,,,,1,1,
Boyden Valley Winery & Spirits Total,,,,4,,
Branch Out Cider Total,,,,2,2,
Brew Lab 101 Beer & Cider Co. Total,,,,6,3,
Brick River Cider Total,,,,1,1,
Brickworks Ciderhouse Total,,1,3,9,8,
Bridgehouse Cider Total,,1,1,2,1,
Brinkhall Sparkling Total,,,,,1,
Brix Cider Total,,,,6,4,
Broken Brix Total,,,,2,1,
Brooker's Cider Total,,,,1,3,
Brooklyn Cider House Total,,4,1,18,16,
Bryant's Cider Total,,,,4,8,
Brys Estate Ciderworks Total,,,,1,2,
Bull City Ciderworks Total,,2,3,10,8,
Bull Run Cider Total,,,1,9,12,
Bullevie Cidre Total,,,,1,2,
Bulwark Cider Total,,2,,3,8,
Buskey Cider Total,,,1,3,6,
C Squared Ciders Total,,3,1,5,6,
C.E.Petch Cidery and Distillery Total,,,1,4,1,
California Cider Company Total,,,6,10,12,
Calvados Pierre Huet Total,,,1,,,
Cambium Cider Co Total,,1,2,14,7,
Carolina Distillery Total,,,,2,1,
Casa de Oro Cider Total,,,,,1,
Cascade Winery & Sierra Rose Ciders Total,,,1,5,4,1
Cascadia Ciderworkers United Total,,,,1,3,
Castle Hill Cider Total,,1,,18,15,
Cellar Brewing Company Total,,,,1,,
Cellarmen's Total,,,,3,5,
Celtic Marches Total,,2,1,5,5,
Century Tree Cider Co. Total,,,,,3,
Chain Yard Urban Cidery Total,,,2,9,3,
Champlain Orchards Total,,1,5,16,3,
Chase Hill Cider Total,,,,1,,
Chateau Buffalo Total,,,,3,1,
Chateau Morrisette Total,,1,,1,1,
Cherry Creek Cellars Total,,,,1,5,1
Cider Brothers Total,,,1,3,5,
Cider by Rosie Total,,,,1,1,
Cider Corps Total,,,,1,2,
Cider Creek Hard Cider Total,,,2,12,27,
Cider Hill Cellars Total,,3,4,16,6,
Cider House of Wisconsin Total,,,,2,4,
Cider Riot! Total,,,,5,9,
Ciderboys Total,,1,3,13,17,
Ciders from Mars Total,,,1,4,3,
Ciderworks @ Story Tavern Total,,,,1,3,
Cidre La Chouette Total,,,,2,,
Cidre Le Brun Total,,,,3,2,
Cidrerie Compton Total,,,,,2,
Cidrerie de Menez-Brug Total,,,,1,3,
Cidrerie du Minot Total,,7,3,16,12,
Cidrerie Entre Pierre & Terre Total,,1,,7,1,
Cidrerie Le Somnambule Total,,,,2,2,
Cidrerie McKeown Total,,,,4,3,
Cidrerie Milton Total,,9,8,25,20,
Cidrerie St-Nicolas Total,,,,1,2,
Cidrerie Verger Bilodeau Total,,2,2,17,8,
Cidrerie Verger Hemmingford Total,,,,3,1,
Cidres Nicol Total,,,,1,1,
Cigar City Cider & Mead Total,,,,1,1,
Citizen Cider Total,,2,,12,9,
City Orchard Total,,1,4,24,8,
Clarksburg Cider Total,,,,3,,
Clear Fork Cider Total,,1,1,1,5,
Clos de la Fontaine Hugo Total,,,,2,,
Coastliner Craft Cider Total,,,1,2,2,
Coffin Ridge Boutique Winery Total,,2,,7,1,
Cold Hand Winery Total,,1,,,1,
Cold Hollow Cider Mill Total,,,,1,1,
Collective Arts Brewing Total,,,1,7,4,
Colorado Cider Company Total,,4,5,18,14,
Common Cider Company Total,,,,5,7,
Copper Crow Distillery Total,,,,1,,
Corey Lake Orchards Total,,1,,3,3,
Cornish Cider Company Total,,1,,2,2,
Coteau Rougemont Total,,,2,4,4,
Cotswold Cider Company Total,,,,,1,
Country Mill Winery Total,,,,,3,
County Cider Company Total,,1,,8,4,
Courthouse Creek Cider Total,,,,1,1,
Covered Bridge Brewing Total,,,1,1,,
Craigies Cider Total,,,,,1,
Creekside Estate Winery Total,,,,1,,
Crimson Cider Company Total,,,,1,1,
Crispin Cider Company Total,,2,4,23,35,
Critz Farms Total,,,1,4,2,
Crossmount Cider Company Total,,,,2,1,
Dan Kelly's Cider Total,,,,,1,
Dancing Cider Co. Total,,,1,3,4,
Dead Horse Cider Co. Total,,1,1,,1,
Deep Roots Hard Cider Total,,1,1,11,10,
Descendant Cider Company Total,,,1,7,3,
Devoto Orchards Cider Total,,,1,3,2,
Dickens Cider Total,,,,1,,
Diner Brew Co. Total,,,1,2,2,
Diskin Cider Total,,,1,4,4,
Distillery Lane Ciderworks Total,,,2,7,15,
Docendo Discitur Total,,,,2,,
Domaine de Kervéguen Total,,,1,,1,
Domaine de Normandie Total,,,,1,,
Domaine des 5 D Total,,1,,1,,
Domaine des Côtes d'Ardoise Total,,,,2,,
Domaine Duclos Fougeray Total,,,,1,2,
Domaine Pinnacle Total,,,,1,,
Dominion Cider Co. Total,,,,1,1,
Donovan Orchards Estate Ciders Total,,2,,21,18,
Door Peninsula Winery Total,,1,3,5,5,
Douglas Valley Total,,,,,4,
Downeast Cider House Total,,,,,1,
Dragon's Head Cider Total,,3,,7,8,
Duluth Cider Total,,1,1,3,5,
Dunkertons Cider and Perry Total,,4,,3,5,
Duntroon Cyder House Total,,,,,1,
E&J Gallo Winery Total,,,,3,,
Eaglemount Wine & Cider Total,,,,1,2,
East End Brewing Company Total,,,,,1,
Eden Ciders Total,,10,12,30,14,
EdenVale Winery Total,,1,,1,,
Ela Cider Co. Total,,,,3,1,
Elk Horn Brewery & Ciderhouse Total,,2,,3,9,
Embark Craft Ciderworks Total,,,4,13,14,
Empire Cider Company Total,,,,4,3,
Empyrical Orchards & Cider Total,,4,7,15,2,
Epona Total,,,,1,,
Eris Brewery & Cider House Total,,1,1,18,12,
Ernest Cider Total,,1,2,22,10,
EsoTerra Ciderworks Total,,2,1,9,6,
Ethic Ciders Total,,,,,2,
Etta Place Cider Total,,,1,5,5,
Eva Group Total,,,,,1,
F.H. Prager Total,,,,,1,
Fabbioli Cellars Total,,,,3,1,
Falconer Vineyards Total,,,,4,2,
Farm & Cidery Kaneshige Total,,,,,1,
Farm Club Total,,,,,1,
Farmgate Cider Total,,,,3,,
Farmhaus Cider Co. Total,,,8,41,21,
Farmstead Cider Total,,,,,2,
Fenceline Cider Total,,,1,9,12,
Fenn Valley Vineyards Total,,,2,2,2,
Ferme Black Creek Total,,,,1,2,
Ferme de la Sapinière Total,,,,5,8,
Ferme de Romilly Total,,4,1,,1,
Ferro Farms Total,,,,1,1,
Ficklewood Ciderworks Total,,,1,11,6,
FieldBird Cider Total,,,,1,1,
Fieldstone Hard Cider Co. Total,,,2,5,2,
Finnriver Farm and Cidery Total,,4,5,15,16,
Five Maidens Cider Company Total,,,1,4,3,
Flat Rock Cider Company Total,,,,2,8,
Flatbed Cider Co. Total,,,,1,1,
Flint City Hard Cider Co. Total,,,,2,5,
Floribunda Total,,1,,1,3,
Foggy Ridge Cider Total,,,,2,,
Forbidden Cider Co. Total,,,1,2,1,
Forgotten Ciders Total,,,,7,11,
Forgotten Fire Winery Total,,,,1,2,
Fort Point Beer Company Total,,,,1,1,
Forward Ferments Total,,,,,2,
Fourth Coast Ciderworks Total,,,,1,,
Foxcraft Hard Cider Total,,,,,4,
Fraser Valley Cider Company Total,,1,,1,1,
Frecon Farms Total,,,,1,6,
Freewater Cider and Wine Company Total,,,1,2,5,
French Road Cellars Total,,,,,1,
Friendly Noise Total,,,,,1,
Garage D'or Ciders Total,,,,1,,
Gary Awdey Total,,,2,1,4,
Geo Cider Total,,,,1,,
Glacial Till Vineyard & Winery Total,,,1,14,7,
Gnarly Grove Hard Cider Total,,,,,2,
Gnarly Pippin Cider House Total,,,2,,1,
Goat Rock Cider Company Total,,,,2,1,
Godfrey Run Cider Mill Total,,,,2,1,
Golden State Cider Total,,,,3,1,
Good Bones Ciderhouse Total,,,,1,,
GoodRoad Ciderworks Total,,,1,3,6,
Gowan's Heirloom Ciders Total,,7,1,17,5,
Grand Illusion Hard Cider Total,,,,,4,
Gravity Vineyards and Winery Total,,,,1,3,
Great Lakes Farms Total,,,,1,,
Green Bench Brewing Co. Total,,,1,12,5,
Green Bird Cellars Total,,,1,1,4,
Greenwood Cider Company Total,,,,1,2,
Grey & Gold Cider Total,,2,3,6,9,
Griffin Cider Works Total,,,,1,3,
Gypsy Circus Total,,1,5,35,29,
Hard Way Cider Co. Total,,,,,1,
Hardscrabble Cider Total,,,,1,3,
Harpers Ferry Brewing Total,,,,2,1,
Hawk Knob Total,,,1,8,8,
Haykin Family Cider Total,,9,14,64,22,
Hazlitt 1852 Vineyards Total,,,1,12,10,
Headwater Cider Total,,,1,3,3,
Heartland Ciderworks Total,,,,,1,
Heartwood Farm & Cidery Total,,,,1,8,
Heeman's Total,,1,2,8,2,
Heirloom Hill Cider Company Total,,,,1,1,
Henney's Cider Total,,,,1,1,
Hideout Brewing Company Total,,,,,1,
High Hope Cider Total,,,,1,2,
Himachal Total,,,,,2,
Hogan's Cider Total,,5,4,13,7,
Hoity Toity Cellars Total,,,2,,3,
Holmberg Orchards & Winery Total,,,,1,2,
Hudson Valley Farmhouse Cider Total,,,,2,2,
Humboldt Cider Company Total,,,1,3,6,
Idol Cider House Total,,1,,4,1,
Incline Cider Company Total,,1,2,11,5,
Independent Perry Total,,,,1,2,
Institut Agricole Régional Total,,,,2,,
Ironbark Ciderworks Total,,,,4,1,
Ironwood Hard Cider Total,,,1,2,5,
Island Folk Cider House Total,,,,6,1,
Island Orchard Cider Total,,1,3,23,15,
J. Trees Cellars Total,,,,1,,
Jaanihanso Cider Total,,2,,3,2,
James Creek Cider House Total,,1,,8,10,
Jefferson County Ciderworks Total,,3,2,14,8,
JK's Farmhouse Ciders Total,,,,1,2,
Journey North Cider Co. Total,,,1,10,6,
Junction Orchard & Cidery Total,,,,4,4,
Kaneb Orchards Total,,,,4,5,
Kekionga Craft Company Total,,,,2,4,
Kennebec Cider Company Total,,,,1,,
Keuka Craft Ciders Total,,,,4,1,
Kikusui Brewing Co. Total,,,1,,,
King Orchards Total,,,1,1,1,
Kings Highway Fine Cider Total,,,2,19,18,
Kings Mill Cider Total,,,,5,3,
Kingston Creek Cider Total,,,,3,,
Knightberg Total,,,,2,,
Koval Distillery Total,,,,1,,
Kristof Farms Total,,1,1,2,1,
Kuhnhenn Brewing Co. Total,,,1,,,
KW Craft Cider Total,,,1,19,6,
Lassen Traditional Cider Total,,,1,3,7,
Le Flanc Nord Verger & Cidrerie Total,,,1,4,4,
Le Père Jules Total,,3,2,7,1,
Leaky Barrel Cider Company Total,,,,,2,
Left Field Cider Co. Total,,,,3,2,
Left Foot Charley Total,,1,3,21,11,
Lehman's Orchards Total,,,,3,1,
Lekker Cider Total,,,1,1,2,
Les Vergers de Kermao Total,,1,,2,,
Liberty Ciderworks Total,,1,3,11,13,
Lindner's Cider Total,,,,4,3,
Liquid Alchemy Beverages Total,,,1,4,4,
Liquid Art Winery Total,,,,3,3,
Little Apple Cidery Total,,,1,3,2,
Little Pomona Total,,,,,2,
Llagares Valverán Total,,,,3,1,
Loch Mór Cider Co. Total,,4,3,9,1,
Locust Cider Total,,,,14,21,
Loïc Raison Total,,,1,1,1,
Long Island Meadery Total,,,1,,1,
Long View Ciderhouse Total,,,,,1,
Longueville House Total,,,,,1,
Lost Boy Cider Total,,,1,15,7,
Lost Giants Cider Company Total,,1,,3,4,
Lost Valley Cider Co. Total,,,,1,1,
Lucia Maria Melchiori Total,,,,1,1,
LUK Cider and Spirit Total,,,1,1,,
Maeloc Total,,,,1,3,
Maiden Rock Winery & Cidery Total,,2,1,6,3,
Maison Hérout Total,,,,2,,
Malicious Spirits Total,,,,,1,
Malner Total,,,1,,,
Manoff Market Gardens & Cidery Total,,,1,1,1,
Manoir de Grandouet Total,,,,2,1,
Market Garden Brewery Total,,,,3,1,
Mawby Vineyards Total,,,1,3,4,
McClure's Orchard & Winery Total,,,4,10,19,
Mcintosh Cellars Total,,1,2,7,10,
McRitchie Winery & Ciderworks Total,,,,2,2,
Meckley's Cidery Total,,,,4,15,
Melo Moon Cider Total,,,,1,,
Meraki Cider Total,,,,,4,
Meriwether Cider Company Total,,4,2,14,5,
Mershon's Artisan Cider Total,,,1,,1,
Metal House Cider Total,,,,1,1,
Methow Valley Ciderhouse Total,,1,1,4,5,
Michigan Wine Company Total,,1,2,7,2,
Milk & Honey Ciders Total,,,,2,2,
Mill Bridge Winery Total,,,,1,1,
Millionaires' Row Cider Co. Total,,1,,4,,
Minneapolis Cider Company Total,,,,7,2,
Mississippi Ale House Total,,,,2,5,
Montana CiderWorks Total,,1,5,7,5,
Mori-yama-en Total,,,,,1,
Moss Vineyards Total,,,,1,,
