Medalist,SUM of 🏆 BIC,SUM of 🥇 Gold,SUM of 🥈 Silver,SUM of 🥉 Bronze,SUM of Total
^5 Cider,0,0,0,2,2
101 Cider House,0,0,2,1,3
12 Bridge Ciderworks,0,0,6,2,8
12 Corners Vineyards,0,0,3,0,3
19 Acres Cider Co.,0,0,3,2,5
1911 Established,1,5,41,22,69
2 Fools Cider,0,2,1,2,5
2 Towns Ciderhouse,4,19,94,70,187
26 Acre Craft Cider Company,0,1,1,3,5
3 Keys Brewing,0,0,0,2,2
3 North Vines,0,0,0,3,3
3Cs Cider,0,0,1,0,1
45 North Vineyard & Winery,0,0,8,6,14
5 Penny Hard Cider,0,0,2,1,3
Acme Cider Co.,0,0,1,2,3
Adams Cider Company,1,0,1,1,3
Adesanya Mead & Microbrewery,0,0,0,1,1
AeppelTreow Winery & Distillery,4,8,20,34,66
Akiu Winery,0,0,0,1,1
Albemarle CiderWorks,1,9,16,12,38
Allegheny Cellars Winery,0,0,0,1,1
Alma Cider,1,0,6,1,8
Alpenfire Cider,0,1,4,5,10
Alter Ego Cider,0,0,3,1,4
Ambix Spirits,1,0,1,1,3
Ambrosia Orchard,0,0,3,3,6
Angeles Crest Cider,0,1,1,3,5
Angry Orchard,5,8,53,70,136
Annapolis Cider Company,2,2,6,3,13
ANXO Cider,1,1,15,13,30
Apfelweinkontor,0,0,0,1,1
Apple Hill Cidery,0,0,1,0,1
Apple Outlaw,0,0,2,5,7
Apple Valley Cider Company,1,1,4,10,16
Appleholic Cider Company,0,0,7,9,16
Ardiel Cider House,0,1,2,2,5
Arktos Meadery,0,0,0,1,1
Armagh Cider Company,0,0,0,5,5
Arsenal Cider House,2,6,26,13,47
Artifact Cider Project,0,0,3,0,3
Ash & Elm Cider Company,0,0,4,5,9
Aspall,0,1,7,6,14
Asturvisa,0,1,0,1,2
Atlanta Hard Cider Co.,1,1,11,0,13
Austin Eastciders,0,0,2,2,4
AVAL Cider,1,0,2,0,3
Avid Cider,1,0,4,7,12
B. Nektar,0,0,4,3,7
Banditry Cider,0,1,1,1,3
Banjo Cider,1,0,6,1,8
Bantam Cider,0,0,1,1,2
Banter's Hard Cider,0,0,1,3,4
Bardic Brewing & Cider,0,0,0,1,1
Barrika,2,0,1,1,4
Bauman's Cider,10,18,45,14,87
Bayfield Winery & Blue Ox Cider,0,0,0,1,1
Beach Bee Meadery,1,1,1,2,5
Bear Cider,0,1,0,0,1
Beaver Valley Orchard & Cidery,0,2,3,18,23
Bee Well Mead & Cider,5,1,13,17,36
Bel Lago Winery,0,1,2,0,3
Bent Ladder,1,0,6,4,11
Bereziartua,0,2,4,2,8
Berkshire Cider Project,0,0,2,1,3
Bier Distillery,0,0,0,2,2
Big B's Hard Cider,0,1,15,16,32
Big Belly Ciderworks,0,0,1,3,4
Big Fish Cider Co.,4,8,13,4,29
Big Hill Ciderworks,0,0,6,7,13
bigLITTLE Wines,0,0,1,0,1
Bird Dog Cider,0,0,1,1,2
Bishop Cider Company,0,0,0,4,4
Bishops Orchards Winery,0,1,2,12,15
Black Apple,0,1,3,3,7
Black Bear Cider Co.,0,0,2,2,4
Black Devil Cider,0,0,1,0,1
Black Diamond Cider,5,6,14,6,31
Blackgrass Ciderworks,0,0,7,12,19
Blackman Cider Co.,0,0,2,2,4
Blacksmiths Winery,0,0,1,1,2
Blake's Hard Cider Co.,1,10,31,23,65
Blindwood Cider,0,0,0,1,1
Bløm Meadworks,0,0,5,1,6
Blossom Barn Cidery,0,0,3,3,6
Blue Bee Cider,0,0,6,4,10
Blue Toad Hard Cider,1,2,6,12,21
Blueberry Hill Estates,0,0,0,4,4
Bold Rock Hard Cider,1,4,22,12,39
Bonnieheath Estate Winery,0,0,0,2,2
Boss Cider Company,0,0,5,4,9
Boston Beer Company,0,0,0,1,1
Botanist & Barrel,0,0,3,5,8
Bowen Cider House,0,0,1,1,2
Boyden Valley Winery & Spirits,0,0,4,0,4
Branch Out Cider,0,0,2,2,4
Brew Lab 101 Beer & Cider Co.,0,0,6,3,9
Brick River Cider,0,0,1,1,2
Brickworks Ciderhouse,1,3,9,8,21
Bridgehouse Cider,1,1,2,1,5
Brinkhall Sparkling,0,0,0,1,1
Brix Cider,0,0,6,4,10
Broken Brix,0,0,2,1,3
Brooker's Cider,0,0,1,3,4
Brooklyn Cider House,4,1,18,16,39
Bryant's Cider,0,0,4,8,12
Brys Estate Ciderworks,0,0,1,2,3
Bull City Ciderworks,2,3,10,8,23
Bull Run Cider,0,1,9,12,22
Bullevie Cidre,0,0,1,2,3
Bulwark Cider,2,0,3,8,13
Buskey Cider,0,1,3,6,10
C Squared Ciders,3,1,5,6,15
C.E.Petch Cidery and Distillery,0,1,4,1,6
California Cider Company,0,6,10,12,28
Calvados Pierre Huet,0,1,0,0,1
Cambium Cider Co,1,2,14,7,24
Carolina Distillery,0,0,2,1,3
Casa de Oro Cider,0,0,0,1,1
Cascade Winery & Sierra Rose Ciders,0,1,5,4,10
Cascadia Ciderworkers United,0,0,1,3,4
Castle Hill Cider,1,0,18,15,34
Cellar Brewing Company,0,0,1,0,1
Cellarmen's,0,0,3,5,8
Celtic Marches,2,1,5,5,13
Century Tree Cider Co.,0,0,0,3,3
Chain Yard Urban Cidery,0,2,9,3,14
Champlain Orchards,1,5,16,3,25
Chase Hill Cider,0,0,1,0,1
Chateau Buffalo,0,0,3,1,4
Chateau Morrisette,1,0,1,1,3
Cherry Creek Cellars,0,0,1,5,6
Cider Brothers,0,1,3,5,9
Cider by Rosie,0,0,1,1,2
Cider Corps,0,0,1,2,3
Cider Creek Hard Cider,0,2,12,27,41
Cider Hill Cellars,3,4,16,6,29
Cider House of Wisconsin,0,0,2,4,6
Cider Riot!,0,0,5,9,14
Ciderboys,1,3,13,17,34
Ciders from Mars,0,1,4,3,8
Ciderworks @ Story Tavern,0,0,1,3,4
Cidre La Chouette,0,0,2,0,2
Cidre Le Brun,0,0,3,2,5
Cidrerie Compton,0,0,0,2,2
Cidrerie de Menez-Brug,0,0,1,3,4
Cidrerie du Minot,7,3,16,12,38
Cidrerie Entre Pierre & Terre,1,0,7,1,9
Cidrerie Le Somnambule,0,0,2,2,4
